Date,RAIN
2014-01-01,36.4
2014-01-02,36.0
2014-01-03,36.0
2014-01-06,36.05
2014-01-07,36.0
2014-01-08,36.0
2014-01-09,36.45
2014-01-10,36.0
2014-01-13,36.0
2014-01-14,36.0
2014-01-15,36.05
2014-01-16,35.6
2014-01-17,35.1
2014-01-20,35.95
2014-01-21,36.1
2014-01-22,36.1
2014-01-23,36.7
2014-01-24,36.3
2014-01-27,35.85
2014-01-28,35.95
2014-01-29,36.05
2014-01-30,36.0
2014-01-31,36.9
2014-02-03,36.45
2014-02-04,36.15
2014-02-05,36.2
2014-02-06,36.05
2014-02-07,35.5
2014-02-10,35.55
2014-02-11,36.0
2014-02-12,36.65
2014-02-13,36.05
2014-02-14,36.2
2014-02-17,36.5
2014-02-18,36.95
2014-02-19,36.4
2014-02-20,36.9
2014-02-21,40.3
2014-02-24,41.85
2014-02-25,38.5
2014-02-26,37.15
2014-02-28,36.85
2014-03-03,35.4
2014-03-04,34.9
2014-03-05,34.65
2014-03-06,34.6
2014-03-07,34.35
2014-03-10,35.0
2014-03-11,35.1
2014-03-12,35.0
2014-03-13,35.0
2014-03-14,35.0
2014-03-18,35.05
2014-03-19,35.0
2014-03-20,35.0
2014-03-21,35.0
2014-03-22,34.8
2014-03-24,35.25
2014-03-25,35.5
2014-03-26,35.0
2014-03-27,35.4
2014-03-28,36.2
2014-03-31,36.85
2014-04-01,36.5
2014-04-02,36.25
2014-04-03,36.95
2014-04-04,37.2
2014-04-07,36.65
2014-04-09,36.9
2014-04-10,36.8
2014-04-11,37.45
2014-04-15,38.0
2014-04-16,38.0
2014-04-17,38.25
2014-04-21,39.05
2014-04-22,40.5
2014-04-23,41.65
2014-04-25,39.95
2014-04-28,40.0
2014-04-29,39.65
2014-04-30,39.3
2014-05-02,39.6
2014-05-05,38.15
2014-05-06,34.9
2014-05-07,31.85
2014-05-08,32.7
2014-05-09,32.15
2014-05-12,31.65
2014-05-13,32.1
2014-05-14,32.65
2014-05-15,33.85
2014-05-16,34.8
2014-05-19,36.7
2014-05-20,38.45
2014-05-21,37.9
2014-05-22,40.75
2014-05-23,48.9
2014-05-26,44.9
2014-05-27,46.9
2014-05-28,47.5
2014-05-29,48.55
2014-05-30,49.15
2014-06-02,52.55
2014-06-03,50.95
2014-06-04,50.1
2014-06-05,50.45
2014-06-06,48.7
2014-06-09,48.25
2014-06-10,47.95
2014-06-11,46.85
2014-06-12,45.85
2014-06-13,44.1
2014-06-16,45.2
2014-06-17,45.2
2014-06-18,44.1
2014-06-19,44.0
2014-06-20,43.35
2014-06-23,42.45
2014-06-24,43.4
2014-06-25,43.3
2014-06-26,42.5
2014-06-27,42.7
2014-06-30,42.5
2014-07-01,44.1
2014-07-02,44.05
2014-07-03,42.95
2014-07-04,42.95
2014-07-07,43.55
2014-07-08,40.15
2014-07-09,39.9
2014-07-10,39.95
2014-07-11,39.0
2014-07-14,38.85
2014-07-15,39.4
2014-07-16,40.25
2014-07-17,40.0
2014-07-18,39.75
2014-07-21,41.95
2014-07-22,43.0
2014-07-23,41.15
2014-07-24,40.8
2014-07-25,39.75
2014-07-28,39.1
2014-07-30,39.0
2014-07-31,39.55
2014-08-01,39.95
2014-08-04,41.65
2014-08-05,41.55
2014-08-06,41.85
2014-08-07,41.1
2014-08-08,39.35
2014-08-11,39.15
2014-08-12,38.95
2014-08-13,40.6
2014-08-14,42.95
2014-08-18,44.2
2014-08-19,44.05
2014-08-20,45.0
2014-08-21,45.6
2014-08-22,45.5
2014-08-25,44.4
2014-08-26,44.75
2014-08-27,44.8
2014-08-28,43.0
2014-09-01,43.75
2014-09-02,44.5
2014-09-03,46.35
2014-09-04,44.55
2014-09-05,48.3
2014-09-08,51.4
2014-09-09,50.25
2014-09-10,48.45
2014-09-11,52.7
2014-09-12,52.3
2014-09-15,52.0
2014-09-16,53.55
2014-09-17,55.3
2014-09-18,57.8
2014-09-19,56.9
2014-09-22,56.0
2014-09-23,51.85
2014-09-24,52.15
2014-09-25,49.1
2014-09-26,51.1
2014-09-29,49.7
2014-09-30,48.8
2014-10-01,49.85
2014-10-07,49.0
2014-10-08,48.6
2014-10-09,48.75
2014-10-10,47.1
2014-10-13,47.5
2014-10-14,45.05
2014-10-16,45.4
2014-10-17,47.65
2014-10-20,47.9
2014-10-21,47.75
2014-10-22,48.5
2014-10-23,48.65
2014-10-27,48.45
2014-10-28,48.45
2014-10-29,48.8
2014-10-30,48.65
2014-10-31,49.8
2014-11-03,50.0
2014-11-05,52.95
2014-11-07,51.25
2014-11-10,50.2
2014-11-11,51.0
2014-11-12,50.55
2014-11-13,50.1
2014-11-14,49.6
2014-11-17,50.95
2014-11-18,50.7
2014-11-19,50.6
2014-11-20,48.7
2014-11-21,50.05
2014-11-24,51.2
2014-11-25,49.9
2014-11-26,49.35
2014-11-27,48.65
2014-11-28,49.85
2014-12-01,49.8
2014-12-02,49.4
2014-12-03,48.4
2014-12-04,47.75
2014-12-05,46.65
2014-12-08,46.05
2014-12-09,45.2
2014-12-10,45.05
2014-12-11,45.0
2014-12-12,43.05
2014-12-15,43.1
2014-12-16,41.95
2014-12-17,41.75
2014-12-18,43.1
2014-12-19,44.65
2014-12-22,44.0
2014-12-23,44.65
2014-12-24,44.0
2014-12-26,45.05
2014-12-29,45.1
2014-12-30,44.8
2014-12-31,44.2
