Date,TRIGYN
2014-01-01,18.25
2014-01-02,19.15
2014-01-03,20.1
2014-01-06,21.1
2014-01-07,22.15
2014-01-08,23.25
2014-01-09,22.55
2014-01-10,22.05
2014-01-13,21.15
2014-01-14,21.9
2014-01-15,22.95
2014-01-16,24.05
2014-01-17,24.0
2014-01-20,23.4
2014-01-21,24.55
2014-01-22,25.75
2014-01-23,24.85
2014-01-24,23.7
2014-01-27,22.55
2014-01-28,22.0
2014-01-29,22.0
2014-01-30,22.8
2014-01-31,22.55
2014-02-03,23.0
2014-02-04,22.8
2014-02-05,23.55
2014-02-06,24.3
2014-02-07,25.5
2014-02-10,25.25
2014-02-11,24.15
2014-02-12,24.25
2014-02-13,23.45
2014-02-14,23.35
2014-02-17,23.95
2014-02-18,25.05
2014-02-19,25.9
2014-02-20,27.15
2014-02-21,28.5
2014-02-24,29.9
2014-02-25,31.3
2014-02-26,29.75
2014-02-28,29.35
2014-03-03,30.8
2014-03-04,32.3
2014-03-05,32.95
2014-03-06,31.7
2014-03-07,30.15
2014-03-10,29.2
2014-03-11,29.25
2014-03-12,28.85
2014-03-13,28.3
2014-03-14,27.25
2014-03-18,26.4
2014-03-19,27.2
2014-03-20,25.85
2014-03-21,27.1
2014-03-22,28.35
2014-03-24,28.5
2014-03-25,27.55
2014-03-26,26.2
2014-03-27,27.5
2014-03-28,28.5
2014-03-31,28.0
2014-04-01,29.4
2014-04-02,28.95
2014-04-03,28.25
2014-04-04,27.8
2014-04-07,28.5
2014-04-09,27.5
2014-04-10,27.65
2014-04-11,27.1
2014-04-15,27.4
2014-04-16,27.35
2014-04-17,27.4
2014-04-21,27.8
2014-04-22,28.25
2014-04-23,29.65
2014-04-25,31.1
2014-04-28,30.75
2014-04-29,30.6
2014-04-30,29.1
2014-05-02,28.5
2014-05-05,27.75
2014-05-06,26.95
2014-05-07,27.4
2014-05-08,27.4
2014-05-09,27.15
2014-05-12,26.3
2014-05-13,27.1
2014-05-14,26.75
2014-05-15,26.7
2014-05-16,26.05
2014-05-19,26.35
2014-05-20,27.45
2014-05-21,28.65
2014-05-22,29.7
2014-05-23,30.1
2014-05-26,33.1
2014-05-27,34.6
2014-05-28,34.7
2014-05-29,33.0
2014-05-30,31.9
2014-06-02,30.85
2014-06-03,31.3
2014-06-04,30.5
2014-06-05,32.0
2014-06-06,31.6
2014-06-09,31.65
2014-06-10,31.6
2014-06-11,33.15
2014-06-12,34.8
2014-06-13,33.1
2014-06-16,32.0
2014-06-17,31.95
2014-06-18,30.5
2014-06-19,31.65
2014-06-20,30.35
2014-06-23,30.35
2014-06-24,30.15
2014-06-25,29.2
2014-06-26,29.25
2014-06-27,30.65
2014-06-30,30.3
2014-07-01,31.75
2014-07-02,31.05
2014-07-03,29.95
2014-07-04,31.25
2014-07-07,30.9
2014-07-08,29.7
2014-07-09,28.05
2014-07-10,28.8
2014-07-11,26.45
2014-07-14,26.55
2014-07-15,28.2
2014-07-16,27.85
2014-07-17,27.6
2014-07-18,29.1
2014-07-21,29.7
2014-07-22,28.8
2014-07-23,28.4
2014-07-24,28.2
2014-07-25,27.95
2014-07-28,27.9
2014-07-30,26.95
2014-07-31,27.25
2014-08-01,25.75
2014-08-04,27.2
2014-08-05,29.1
2014-08-06,29.2
2014-08-07,28.2
2014-08-08,27.55
2014-08-11,33.05
2014-08-12,32.55
2014-08-13,37.0
2014-08-14,42.5
2014-08-18,42.75
2014-08-19,40.7
2014-08-20,41.2
2014-08-21,45.3
2014-08-22,49.8
2014-08-25,46.15
2014-08-26,43.1
2014-08-27,41.4
2014-08-28,42.65
2014-09-01,43.3
2014-09-02,41.65
2014-09-03,40.25
2014-09-04,40.15
2014-09-05,48.15
2014-09-08,57.75
2014-09-09,53.7
2014-09-10,58.5
2014-09-11,58.9
2014-09-12,55.7
2014-09-15,55.25
2014-09-16,49.3
2014-09-17,46.65
2014-09-18,51.3
2014-09-19,51.6
2014-09-22,51.6
2014-09-23,49.0
2014-09-24,47.9
2014-09-25,44.15
2014-09-26,45.95
2014-09-29,50.5
2014-09-30,49.0
2014-10-01,48.6
2014-10-07,47.65
2014-10-08,52.9
2014-10-09,49.75
2014-10-10,49.05
2014-10-13,48.65
2014-10-14,49.45
2014-10-16,47.75
2014-10-17,47.0
2014-10-20,47.35
2014-10-21,46.65
2014-10-22,46.55
2014-10-23,47.5
2014-10-27,43.7
2014-10-28,44.9
2014-10-29,45.95
2014-10-30,45.45
2014-10-31,45.8
2014-11-03,48.45
2014-11-05,46.65
2014-11-07,47.65
2014-11-10,45.35
2014-11-11,44.45
2014-11-12,46.5
2014-11-13,47.9
2014-11-14,46.4
2014-11-17,47.25
2014-11-18,44.85
2014-11-19,44.9
2014-11-20,44.9
2014-11-21,43.9
2014-11-24,42.75
2014-11-25,40.95
2014-11-26,40.25
2014-11-27,39.4
2014-11-28,42.25
2014-12-01,40.2
2014-12-02,39.6
2014-12-03,42.7
2014-12-04,41.6
2014-12-05,41.4
2014-12-08,41.2
2014-12-09,39.0
2014-12-10,39.2
2014-12-11,39.35
2014-12-12,37.5
2014-12-15,37.2
2014-12-16,35.7
2014-12-17,34.95
2014-12-18,36.0
2014-12-19,38.05
2014-12-22,36.8
2014-12-23,35.8
2014-12-24,35.7
2014-12-26,35.3
2014-12-29,38.25
2014-12-30,38.5
2014-12-31,39.15
