Date,OPTOCIRCUI
2014-01-01,28.7
2014-01-02,26.65
2014-01-03,27.05
2014-01-06,27.7
2014-01-07,27.8
2014-01-08,27.75
2014-01-09,27.15
2014-01-10,26.2
2014-01-13,26.15
2014-01-14,26.0
2014-01-15,27.5
2014-01-16,27.3
2014-01-17,26.65
2014-01-20,26.9
2014-01-21,27.5
2014-01-22,27.9
2014-01-23,29.9
2014-01-24,30.85
2014-01-27,34.7
2014-01-28,31.95
2014-01-29,32.65
2014-01-30,32.7
2014-01-31,32.35
2014-02-03,30.95
2014-02-04,30.4
2014-02-05,30.8
2014-02-06,29.85
2014-02-07,29.15
2014-02-10,31.05
2014-02-11,31.4
2014-02-12,30.25
2014-02-13,29.4
2014-02-14,28.8
2014-02-17,24.9
2014-02-18,25.0
2014-02-19,25.2
2014-02-20,26.1
2014-02-21,25.9
2014-02-24,25.65
2014-02-25,25.5
2014-02-26,26.25
2014-02-28,26.2
2014-03-03,27.0
2014-03-04,26.95
2014-03-05,27.05
2014-03-06,27.55
2014-03-07,28.15
2014-03-10,28.05
2014-03-11,28.0
2014-03-12,28.2
2014-03-13,28.2
2014-03-14,28.6
2014-03-18,27.85
2014-03-19,27.4
2014-03-20,27.05
2014-03-21,26.8
2014-03-22,26.7
2014-03-24,26.85
2014-03-25,26.55
2014-03-26,26.4
2014-03-27,26.6
2014-03-28,26.9
2014-03-31,27.2
2014-04-01,27.2
2014-04-02,28.2
2014-04-03,27.85
2014-04-04,28.1
2014-04-07,28.3
2014-04-09,30.8
2014-04-10,30.45
2014-04-11,31.9
2014-04-15,32.15
2014-04-16,30.85
2014-04-17,30.6
2014-04-21,31.1
2014-04-22,31.9
2014-04-23,31.45
2014-04-25,31.0
2014-04-28,31.55
2014-04-29,33.55
2014-04-30,33.2
2014-05-02,33.3
2014-05-05,33.1
2014-05-06,31.7
2014-05-07,32.05
2014-05-08,31.65
2014-05-09,31.7
2014-05-12,31.35
2014-05-13,31.7
2014-05-14,32.35
2014-05-15,31.5
2014-05-16,30.95
2014-05-19,33.0
2014-05-20,35.35
2014-05-21,42.4
2014-05-22,41.15
2014-05-23,42.25
2014-05-26,38.6
2014-05-27,36.75
2014-05-28,37.7
2014-05-29,39.9
2014-05-30,38.8
2014-06-02,37.4
2014-06-03,38.9
2014-06-04,40.85
2014-06-05,41.4
2014-06-06,40.85
2014-06-09,41.25
2014-06-10,41.55
2014-06-11,40.85
2014-06-12,40.25
2014-06-13,37.3
2014-06-16,38.05
2014-06-17,39.9
2014-06-18,39.2
2014-06-19,38.55
2014-06-20,37.6
2014-06-23,37.7
2014-06-24,38.4
2014-06-25,39.5
2014-06-26,38.6
2014-06-27,39.2
2014-06-30,39.5
2014-07-01,40.25
2014-07-02,39.85
2014-07-03,38.95
2014-07-04,38.4
2014-07-07,38.15
2014-07-08,35.45
2014-07-09,33.75
2014-07-10,34.9
2014-07-11,32.9
2014-07-14,32.3
2014-07-15,34.3
2014-07-16,35.05
2014-07-17,35.5
2014-07-18,35.0
2014-07-21,34.6
2014-07-22,33.85
2014-07-23,33.7
2014-07-24,33.05
2014-07-25,31.4
2014-07-28,30.65
2014-07-30,29.65
2014-07-31,29.45
2014-08-01,28.75
2014-08-04,28.8
2014-08-05,28.45
2014-08-06,29.3
2014-08-07,29.0
2014-08-08,28.05
2014-08-11,28.0
2014-08-12,28.0
2014-08-13,25.9
2014-08-14,26.0
2014-08-18,26.9
2014-08-19,27.5
2014-08-20,27.05
2014-08-21,26.75
2014-08-22,26.5
2014-08-25,26.8
2014-08-26,25.7
2014-08-27,24.95
2014-08-28,24.45
2014-09-01,24.65
2014-09-02,24.95
2014-09-03,25.4
2014-09-04,24.9
2014-09-05,24.45
2014-09-08,27.7
2014-09-09,26.5
2014-09-10,25.85
2014-09-11,26.5
2014-09-12,26.5
2014-09-15,26.35
2014-09-16,25.0
2014-09-17,25.1
2014-09-18,25.55
2014-09-19,25.2
2014-09-22,25.15
2014-09-23,24.45
2014-09-24,23.25
2014-09-25,21.75
2014-09-26,21.85
2014-09-29,21.7
2014-09-30,21.5
2014-10-01,20.5
2014-10-07,20.05
2014-10-08,19.4
2014-10-09,19.65
2014-10-10,19.7
2014-10-13,19.95
2014-10-14,19.75
2014-10-16,19.0
2014-10-17,19.0
2014-10-20,18.6
2014-10-21,19.05
2014-10-22,18.8
2014-10-23,19.3
2014-10-27,19.6
2014-10-28,19.25
2014-10-29,19.05
2014-10-30,18.9
2014-10-31,19.0
2014-11-03,22.05
2014-11-05,23.2
2014-11-07,22.05
2014-11-10,21.1
2014-11-11,24.55
2014-11-12,23.15
2014-11-13,23.1
2014-11-14,22.8
2014-11-17,23.1
2014-11-18,22.65
2014-11-19,23.25
2014-11-20,22.95
2014-11-21,22.45
2014-11-24,22.25
2014-11-25,21.3
2014-11-26,21.1
2014-11-27,21.05
2014-11-28,21.1
2014-12-01,20.45
2014-12-02,20.5
2014-12-03,21.8
2014-12-04,21.25
2014-12-05,23.3
2014-12-08,24.8
2014-12-09,25.6
2014-12-10,26.2
2014-12-11,24.55
2014-12-12,23.2
2014-12-15,23.05
2014-12-16,22.6
2014-12-17,21.85
2014-12-18,22.65
2014-12-19,22.65
2014-12-22,22.85
2014-12-23,22.35
2014-12-24,25.9
2014-12-26,25.75
2014-12-29,25.45
2014-12-30,24.95
2014-12-31,25.3
