Date,KTKBANK
2014-01-01,113.45
2014-01-02,108.45
2014-01-03,110.85
2014-01-06,109.5
2014-01-07,108.05
2014-01-08,109.25
2014-01-09,107.25
2014-01-10,104.8
2014-01-13,104.9
2014-01-14,104.1
2014-01-15,106.0
2014-01-16,104.0
2014-01-17,101.75
2014-01-20,104.7
2014-01-21,105.05
2014-01-22,105.7
2014-01-23,105.4
2014-01-24,104.95
2014-01-27,100.3
2014-01-28,99.0
2014-01-29,98.15
2014-01-30,93.8
2014-01-31,95.65
2014-02-03,93.55
2014-02-04,94.8
2014-02-05,95.2
2014-02-06,94.45
2014-02-07,95.45
2014-02-10,95.25
2014-02-11,95.1
2014-02-12,94.25
2014-02-13,93.2
2014-02-14,94.05
2014-02-17,94.55
2014-02-18,96.3
2014-02-19,96.55
2014-02-20,95.1
2014-02-21,96.85
2014-02-24,96.95
2014-02-25,101.1
2014-02-26,101.55
2014-02-28,106.95
2014-03-03,104.2
2014-03-04,108.9
2014-03-05,108.4
2014-03-06,109.6
2014-03-07,110.9
2014-03-10,112.05
2014-03-11,111.0
2014-03-12,108.5
2014-03-13,107.6
2014-03-14,107.8
2014-03-18,108.8
2014-03-19,109.1
2014-03-20,110.15
2014-03-21,110.55
2014-03-22,111.0
2014-03-24,114.1
2014-03-25,113.75
2014-03-26,116.0
2014-03-27,116.9
2014-03-28,119.6
2014-03-31,117.25
2014-04-01,116.3
2014-04-02,120.7
2014-04-03,117.3
2014-04-04,117.2
2014-04-07,116.0
2014-04-09,120.55
2014-04-10,121.05
2014-04-11,119.8
2014-04-15,119.7
2014-04-16,116.75
2014-04-17,118.7
2014-04-21,120.25
2014-04-22,119.05
2014-04-23,117.5
2014-04-25,122.45
2014-04-28,126.65
2014-04-29,124.3
2014-04-30,122.3
2014-05-02,121.6
2014-05-05,121.15
2014-05-06,122.1
2014-05-07,120.85
2014-05-08,119.15
2014-05-09,123.95
2014-05-12,123.55
2014-05-13,127.7
2014-05-14,131.0
2014-05-15,126.2
2014-05-16,133.75
2014-05-19,140.4
2014-05-20,142.85
2014-05-21,144.3
2014-05-22,144.85
2014-05-23,148.35
2014-05-26,138.9
2014-05-27,136.8
2014-05-28,138.35
2014-05-29,137.75
2014-05-30,134.95
2014-06-02,140.75
2014-06-03,138.5
2014-06-04,145.7
2014-06-05,144.5
2014-06-06,146.25
2014-06-09,145.8
2014-06-10,143.3
2014-06-11,139.75
2014-06-12,139.85
2014-06-13,134.95
2014-06-16,132.9
2014-06-17,136.75
2014-06-18,133.8
2014-06-19,132.6
2014-06-20,130.0
2014-06-23,130.6
2014-06-24,133.4
2014-06-25,134.4
2014-06-26,135.5
2014-06-27,133.7
2014-06-30,140.1
2014-07-01,139.85
2014-07-02,144.6
2014-07-03,143.0
2014-07-04,143.45
2014-07-07,144.35
2014-07-08,135.95
2014-07-09,133.1
2014-07-10,130.6
2014-07-11,125.05
2014-07-14,126.4
2014-07-15,129.95
2014-07-16,133.1
2014-07-17,132.85
2014-07-18,137.15
2014-07-21,137.8
2014-07-22,135.4
2014-07-23,134.85
2014-07-24,134.55
2014-07-25,128.55
2014-07-28,127.4
2014-07-30,127.6
2014-07-31,127.45
2014-08-01,126.8
2014-08-04,127.7
2014-08-05,129.4
2014-08-06,126.3
2014-08-07,126.0
2014-08-08,122.3
2014-08-11,123.8
2014-08-12,124.7
2014-08-13,118.2
2014-08-14,122.8
2014-08-18,125.65
2014-08-19,126.75
2014-08-20,125.35
2014-08-21,127.6
2014-08-22,129.95
2014-08-25,125.1
2014-08-26,124.05
2014-08-27,123.85
2014-08-28,122.85
2014-09-01,127.9
2014-09-02,127.8
2014-09-03,127.95
2014-09-04,129.0
2014-09-05,130.35
2014-09-08,131.1
2014-09-09,131.2
2014-09-10,130.2
2014-09-11,131.1
2014-09-12,130.8
2014-09-15,129.95
2014-09-16,123.8
2014-09-17,123.25
2014-09-18,126.35
2014-09-19,125.25
2014-09-22,124.95
2014-09-23,122.55
2014-09-24,120.15
2014-09-25,112.85
2014-09-26,116.45
2014-09-29,115.85
2014-09-30,113.0
2014-10-01,111.1
2014-10-07,109.65
2014-10-08,111.1
2014-10-09,114.65
2014-10-10,111.2
2014-10-13,112.7
2014-10-14,115.4
2014-10-16,110.9
2014-10-17,113.65
2014-10-20,114.7
2014-10-21,115.4
2014-10-22,118.45
2014-10-23,118.9
2014-10-27,118.3
2014-10-28,118.4
2014-10-29,117.5
2014-10-30,119.8
2014-10-31,124.05
2014-11-03,131.25
2014-11-05,131.45
2014-11-07,129.95
2014-11-10,128.65
2014-11-11,137.0
2014-11-12,137.0
2014-11-13,134.7
2014-11-14,137.2
2014-11-17,138.9
2014-11-18,138.65
2014-11-19,134.05
2014-11-20,136.0
2014-11-21,143.0
2014-11-24,143.3
2014-11-25,139.7
2014-11-26,140.05
2014-11-27,142.95
2014-11-28,144.5
2014-12-01,143.05
2014-12-02,154.05
2014-12-03,153.85
2014-12-04,152.05
2014-12-05,151.0
2014-12-08,150.0
2014-12-09,146.6
2014-12-10,151.65
2014-12-11,148.7
2014-12-12,147.0
2014-12-15,145.8
2014-12-16,135.35
2014-12-17,136.75
2014-12-18,142.7
2014-12-19,141.25
2014-12-22,143.0
2014-12-23,140.55
2014-12-24,143.55
2014-12-26,145.55
2014-12-29,143.75
2014-12-30,145.35
2014-12-31,146.3
