Date,PGEL
2014-01-01,219.3
2014-01-02,214.95
2014-01-03,216.3
2014-01-06,216.3
2014-01-07,213.15
2014-01-08,214.3
2014-01-09,211.6
2014-01-10,211.45
2014-01-13,205.75
2014-01-14,201.55
2014-01-15,200.0
2014-01-16,205.3
2014-01-17,203.45
2014-01-20,199.75
2014-01-21,195.7
2014-01-22,198.5
2014-01-23,196.6
2014-01-24,194.85
2014-01-27,195.35
2014-01-28,191.8
2014-01-29,191.8
2014-01-30,189.85
2014-01-31,188.95
2014-02-03,182.9
2014-02-04,182.9
2014-02-05,188.8
2014-02-06,188.55
2014-02-07,186.65
2014-02-10,184.6
2014-02-11,185.2
2014-02-12,186.2
2014-02-13,184.4
2014-02-14,179.1
2014-02-17,178.55
2014-02-18,181.6
2014-02-19,179.65
2014-02-20,181.85
2014-02-21,177.75
2014-02-24,179.85
2014-02-25,182.35
2014-02-26,181.6
2014-02-28,179.65
2014-03-03,175.15
2014-03-04,175.55
2014-03-05,174.75
2014-03-06,161.0
2014-03-07,160.45
2014-03-10,153.85
2014-03-11,151.65
2014-03-12,151.95
2014-03-13,171.1
2014-03-14,155.25
2014-03-18,170.8
2014-03-19,169.75
2014-03-20,158.3
2014-03-21,156.2
2014-03-22,166.35
2014-03-24,166.85
2014-03-25,156.55
2014-03-26,148.2
2014-03-27,140.7
2014-03-28,142.95
2014-03-31,140.8
2014-04-01,138.35
2014-04-02,151.2
2014-04-03,149.9
2014-04-04,141.05
2014-04-07,139.75
2014-04-09,137.8
2014-04-10,137.6
2014-04-11,138.1
2014-04-15,140.75
2014-04-16,138.5
2014-04-17,138.5
2014-04-21,138.05
2014-04-22,139.4
2014-04-23,136.65
2014-04-25,130.7
2014-04-28,135.15
2014-04-29,138.55
2014-04-30,139.75
2014-05-02,134.9
2014-05-05,135.0
2014-05-06,135.0
2014-05-07,137.95
2014-05-08,135.0
2014-05-09,133.0
2014-05-12,134.95
2014-05-13,130.0
2014-05-14,133.75
2014-05-15,134.25
2014-05-16,133.1
2014-05-19,129.95
2014-05-20,129.6
2014-05-21,129.05
2014-05-22,129.0
2014-05-23,154.8
2014-05-26,155.0
2014-05-27,148.7
2014-05-28,149.5
2014-05-29,149.3
2014-05-30,148.6
2014-06-02,146.45
2014-06-03,144.75
2014-06-04,155.3
2014-06-05,154.8
2014-06-06,151.35
2014-06-09,153.9
2014-06-10,157.75
2014-06-11,159.4
2014-06-12,159.75
2014-06-13,150.0
2014-06-16,154.6
2014-06-17,150.9
2014-06-18,144.15
2014-06-19,148.75
2014-06-20,144.1
2014-06-23,150.85
2014-06-24,149.45
2014-06-25,149.5
2014-06-26,147.8
2014-06-27,151.9
2014-06-30,151.2
2014-07-01,154.95
2014-07-02,155.45
2014-07-03,157.0
2014-07-04,174.3
2014-07-07,174.55
2014-07-08,167.3
2014-07-09,159.7
2014-07-10,158.1
2014-07-11,149.7
2014-07-14,149.95
2014-07-15,150.05
2014-07-16,150.5
2014-07-17,146.25
2014-07-18,145.45
2014-07-21,145.05
2014-07-22,139.8
2014-07-23,140.75
2014-07-24,144.85
2014-07-25,138.45
2014-07-28,139.65
2014-07-30,137.25
2014-07-31,130.8
2014-08-01,132.4
2014-08-04,132.8
2014-08-05,132.0
2014-08-06,140.65
2014-08-07,136.45
2014-08-08,134.2
2014-08-11,134.6
2014-08-12,126.55
2014-08-13,117.9
2014-08-14,98.15
2014-08-18,107.95
2014-08-19,116.05
2014-08-20,105.0
2014-08-21,105.1
2014-08-22,100.9
2014-08-25,105.5
2014-08-26,110.5
2014-08-27,119.5
2014-08-28,116.5
2014-09-01,124.55
2014-09-02,118.5
2014-09-03,114.15
2014-09-04,109.55
2014-09-05,105.1
2014-09-08,101.85
2014-09-09,101.95
2014-09-10,97.95
2014-09-11,102.75
2014-09-12,106.4
2014-09-15,107.85
2014-09-16,105.25
2014-09-17,102.55
2014-09-18,102.5
2014-09-19,100.9
2014-09-22,99.1
2014-09-23,100.25
2014-09-24,98.3
2014-09-25,99.8
2014-09-26,102.5
2014-09-29,99.85
2014-09-30,99.4
2014-10-01,98.95
2014-10-07,97.3
2014-10-08,94.8
2014-10-09,91.45
2014-10-10,93.45
2014-10-13,91.3
2014-10-14,90.8
2014-10-16,85.7
2014-10-17,84.7
2014-10-20,87.55
2014-10-21,86.0
2014-10-22,88.95
2014-10-23,97.05
2014-10-27,92.95
2014-10-28,92.5
2014-10-29,88.5
2014-10-30,85.65
2014-10-31,84.8
2014-11-03,91.25
2014-11-05,88.45
2014-11-07,90.35
2014-11-10,88.1
2014-11-11,89.35
2014-11-12,93.4
2014-11-13,91.75
2014-11-14,93.5
2014-11-17,94.0
2014-11-18,98.9
2014-11-19,100.15
2014-11-20,98.15
2014-11-21,97.0
2014-11-24,97.1
2014-11-25,93.35
2014-11-26,92.75
2014-11-27,89.6
2014-11-28,107.5
2014-12-01,102.2
2014-12-02,105.8
2014-12-03,104.5
2014-12-04,98.55
2014-12-05,94.2
2014-12-08,93.75
2014-12-09,91.25
2014-12-10,92.35
2014-12-11,91.1
2014-12-12,90.45
2014-12-15,87.95
2014-12-16,86.3
2014-12-17,82.05
2014-12-18,82.7
2014-12-19,81.5
2014-12-22,80.3
2014-12-23,81.2
2014-12-24,75.55
2014-12-26,71.4
2014-12-29,70.55
2014-12-30,69.6
2014-12-31,74.85
