Date,CELESTIAL
2014-01-01,17.55
2014-01-02,16.3
2014-01-03,17.05
2014-01-06,16.7
2014-01-07,16.75
2014-01-08,16.55
2014-01-09,16.7
2014-01-10,16.0
2014-01-13,15.95
2014-01-14,16.15
2014-01-15,16.15
2014-01-16,16.35
2014-01-17,15.45
2014-01-20,17.35
2014-01-21,17.0
2014-01-22,17.2
2014-01-23,17.4
2014-01-24,17.05
2014-01-27,16.15
2014-01-28,16.65
2014-01-29,16.65
2014-01-30,16.5
2014-01-31,16.25
2014-02-03,16.5
2014-02-04,16.65
2014-02-05,16.4
2014-02-06,16.5
2014-02-07,17.0
2014-02-10,17.1
2014-02-11,17.3
2014-02-12,17.0
2014-02-13,16.85
2014-02-14,16.65
2014-02-17,16.4
2014-02-18,17.4
2014-02-19,16.95
2014-02-20,17.3
2014-02-21,18.05
2014-02-24,18.85
2014-02-25,18.85
2014-02-26,18.0
2014-02-28,18.8
2014-03-03,18.95
2014-03-04,18.45
2014-03-05,19.25
2014-03-06,18.9
2014-03-07,19.25
2014-03-10,18.7
2014-03-11,19.1
2014-03-12,19.5
2014-03-13,20.3
2014-03-14,20.55
2014-03-18,21.35
2014-03-19,21.15
2014-03-20,20.6
2014-03-21,20.55
2014-03-22,20.85
2014-03-24,20.15
2014-03-25,20.25
2014-03-26,20.45
2014-03-27,20.2
2014-03-28,20.2
2014-03-31,21.7
2014-04-01,21.5
2014-04-02,21.2
2014-04-03,20.85
2014-04-04,20.9
2014-04-07,20.95
2014-04-09,20.4
2014-04-10,20.3
2014-04-11,20.05
2014-04-15,20.3
2014-04-16,18.45
2014-04-17,18.0
2014-04-21,17.8
2014-04-22,18.15
2014-04-23,18.05
2014-04-25,18.15
2014-04-28,18.2
2014-04-29,18.25
2014-04-30,18.2
2014-05-02,19.25
2014-05-05,20.45
2014-05-06,20.4
2014-05-07,21.25
2014-05-08,21.4
2014-05-09,22.8
2014-05-12,23.6
2014-05-13,24.35
2014-05-14,24.7
2014-05-15,24.45
2014-05-16,24.7
2014-05-19,23.95
2014-05-20,23.85
2014-05-21,23.8
2014-05-22,23.75
2014-05-23,24.2
2014-05-26,24.4
2014-05-27,24.2
2014-05-28,24.5
2014-05-29,24.35
2014-05-30,24.25
2014-06-02,24.55
2014-06-03,25.35
2014-06-04,25.75
2014-06-05,25.55
2014-06-06,25.75
2014-06-09,26.15
2014-06-10,26.05
2014-06-11,25.85
2014-06-12,25.4
2014-06-13,24.5
2014-06-16,24.15
2014-06-17,24.45
2014-06-18,23.8
2014-06-19,24.35
2014-06-20,24.45
2014-06-23,25.2
2014-06-24,25.55
2014-06-25,25.55
2014-06-26,25.5
2014-06-27,26.1
2014-06-30,27.0
2014-07-01,28.65
2014-07-02,27.2
2014-07-03,26.85
2014-07-04,26.55
2014-07-07,26.1
2014-07-08,24.85
2014-07-09,25.0
2014-07-10,25.2
2014-07-11,26.95
2014-07-14,27.1
2014-07-15,26.85
2014-07-16,26.15
2014-07-17,26.9
2014-07-18,26.9
2014-07-21,26.6
2014-07-22,27.2
2014-07-23,26.85
2014-07-24,26.55
2014-07-25,26.7
2014-07-28,26.65
2014-07-30,26.5
2014-07-31,26.4
2014-08-01,26.25
2014-08-04,25.05
2014-08-05,26.2
2014-08-06,26.25
2014-08-07,26.25
2014-08-08,26.3
2014-08-11,26.1
2014-08-12,26.85
2014-08-13,25.9
2014-08-14,26.5
2014-08-18,26.55
2014-08-19,26.5
2014-08-20,26.6
2014-08-21,26.65
2014-08-22,26.7
2014-08-25,26.7
2014-08-26,25.9
2014-08-27,26.6
2014-08-28,26.8
2014-09-01,26.8
2014-09-02,26.5
2014-09-03,27.25
2014-09-04,27.45
2014-09-05,28.5
2014-09-08,29.25
2014-09-09,29.6
2014-09-10,28.6
2014-09-11,29.7
2014-09-12,27.35
2014-09-15,28.1
2014-09-16,25.95
2014-09-17,27.05
2014-09-18,28.4
2014-09-19,29.05
2014-09-22,29.3
2014-09-23,29.5
2014-09-24,29.8
2014-09-25,29.0
2014-09-26,29.6
2014-09-29,30.15
2014-09-30,29.55
2014-10-01,30.25
2014-10-07,30.45
2014-10-08,30.2
2014-10-09,30.2
2014-10-10,29.35
2014-10-13,29.1
2014-10-14,29.2
2014-10-16,28.9
2014-10-17,29.2
2014-10-20,29.5
2014-10-21,29.1
2014-10-22,29.0
2014-10-23,28.95
2014-10-27,29.0
2014-10-28,28.75
2014-10-29,28.95
2014-10-30,29.0
2014-10-31,29.0
2014-11-03,29.7
2014-11-05,29.35
2014-11-07,29.55
2014-11-10,29.35
2014-11-11,29.15
2014-11-12,28.95
2014-11-13,28.85
2014-11-14,28.9
2014-11-17,28.75
2014-11-18,29.0
2014-11-19,29.55
2014-11-20,28.95
2014-11-21,28.85
2014-11-24,28.95
2014-11-25,29.2
2014-11-26,29.65
2014-11-27,30.1
2014-11-28,31.0
2014-12-01,32.65
2014-12-02,32.6
2014-12-03,35.9
2014-12-04,38.15
2014-12-05,38.25
2014-12-08,38.05
2014-12-09,37.9
2014-12-10,38.15
2014-12-11,38.45
2014-12-12,38.75
2014-12-15,38.8
2014-12-16,37.65
2014-12-17,37.3
2014-12-18,37.85
2014-12-19,37.9
2014-12-22,37.8
2014-12-23,37.7
2014-12-24,37.8
2014-12-26,37.75
2014-12-29,40.6
2014-12-30,41.65
2014-12-31,40.4
