Date,TIMETECHNO
2014-01-01,38.7
2014-01-02,37.5
2014-01-03,37.6
2014-01-06,38.85
2014-01-07,39.55
2014-01-08,38.15
2014-01-09,37.4
2014-01-10,36.85
2014-01-13,36.1
2014-01-14,36.5
2014-01-15,36.2
2014-01-16,36.15
2014-01-17,35.1
2014-01-20,35.15
2014-01-21,35.2
2014-01-22,36.8
2014-01-23,36.2
2014-01-24,35.5
2014-01-27,35.1
2014-01-28,35.9
2014-01-29,35.65
2014-01-30,34.0
2014-01-31,34.35
2014-02-03,34.6
2014-02-04,33.8
2014-02-05,34.05
2014-02-06,34.05
2014-02-07,34.2
2014-02-10,33.7
2014-02-11,34.2
2014-02-12,34.45
2014-02-13,33.35
2014-02-14,34.65
2014-02-17,35.0
2014-02-18,35.3
2014-02-19,34.85
2014-02-20,34.1
2014-02-21,34.5
2014-02-24,34.3
2014-02-25,34.25
2014-02-26,34.8
2014-02-28,34.15
2014-03-03,33.9
2014-03-04,33.7
2014-03-05,33.9
2014-03-06,35.85
2014-03-07,35.1
2014-03-10,34.65
2014-03-11,34.35
2014-03-12,34.1
2014-03-13,36.35
2014-03-14,37.2
2014-03-18,37.55
2014-03-19,39.25
2014-03-20,40.3
2014-03-21,43.2
2014-03-22,42.6
2014-03-24,43.6
2014-03-25,44.25
2014-03-26,42.65
2014-03-27,40.65
2014-03-28,41.95
2014-03-31,40.55
2014-04-01,40.4
2014-04-02,39.4
2014-04-03,39.4
2014-04-04,40.45
2014-04-07,40.5
2014-04-09,40.05
2014-04-10,39.85
2014-04-11,39.05
2014-04-15,39.5
2014-04-16,39.5
2014-04-17,39.8
2014-04-21,41.2
2014-04-22,40.9
2014-04-23,40.25
2014-04-25,40.2
2014-04-28,39.75
2014-04-29,39.05
2014-04-30,37.25
2014-05-02,40.3
2014-05-05,38.95
2014-05-06,38.6
2014-05-07,37.95
2014-05-08,39.35
2014-05-09,38.4
2014-05-12,38.05
2014-05-13,38.15
2014-05-14,39.35
2014-05-15,38.4
2014-05-16,38.1
2014-05-19,40.55
2014-05-20,42.6
2014-05-21,42.65
2014-05-22,43.25
2014-05-23,41.85
2014-05-26,40.95
2014-05-27,40.5
2014-05-28,41.1
2014-05-29,42.45
2014-05-30,42.55
2014-06-02,46.0
2014-06-03,46.15
2014-06-04,46.2
2014-06-05,44.55
2014-06-06,46.75
2014-06-09,46.8
2014-06-10,46.4
2014-06-11,44.85
2014-06-12,44.95
2014-06-13,44.0
2014-06-16,44.2
2014-06-17,45.1
2014-06-18,43.95
2014-06-19,45.35
2014-06-20,44.35
2014-06-23,45.0
2014-06-24,46.65
2014-06-25,46.35
2014-06-26,46.05
2014-06-27,46.0
2014-06-30,46.4
2014-07-01,48.7
2014-07-02,48.15
2014-07-03,47.35
2014-07-04,47.05
2014-07-07,52.2
2014-07-08,48.9
2014-07-09,48.3
2014-07-10,48.15
2014-07-11,45.1
2014-07-14,48.25
2014-07-15,50.1
2014-07-16,51.85
2014-07-17,51.25
2014-07-18,50.45
2014-07-21,50.5
2014-07-22,50.85
2014-07-23,49.75
2014-07-24,49.3
2014-07-25,49.1
2014-07-28,49.7
2014-07-30,50.05
2014-07-31,49.65
2014-08-01,50.9
2014-08-04,51.3
2014-08-05,51.0
2014-08-06,50.9
2014-08-07,50.65
2014-08-08,50.0
2014-08-11,50.5
2014-08-12,49.75
2014-08-13,49.65
2014-08-14,49.25
2014-08-18,49.3
2014-08-19,49.7
2014-08-20,49.45
2014-08-21,49.35
2014-08-22,49.15
2014-08-25,48.95
2014-08-26,48.65
2014-08-27,49.5
2014-08-28,50.45
2014-09-01,50.05
2014-09-02,50.1
2014-09-03,49.7
2014-09-04,49.0
2014-09-05,49.7
2014-09-08,53.75
2014-09-09,54.3
2014-09-10,54.75
2014-09-11,53.95
2014-09-12,54.35
2014-09-15,56.45
2014-09-16,54.15
2014-09-17,53.3
2014-09-18,54.5
2014-09-19,53.7
2014-09-22,54.15
2014-09-23,52.8
2014-09-24,51.6
2014-09-25,49.0
2014-09-26,49.9
2014-09-29,49.95
2014-09-30,50.25
2014-10-01,49.65
2014-10-07,49.75
2014-10-08,49.85
2014-10-09,49.85
2014-10-10,48.75
2014-10-13,48.3
2014-10-14,48.15
2014-10-16,46.8
2014-10-17,46.5
2014-10-20,46.6
2014-10-21,47.1
2014-10-22,47.25
2014-10-23,49.7
2014-10-27,47.65
2014-10-28,47.65
2014-10-29,47.25
2014-10-30,47.5
2014-10-31,47.3
2014-11-03,48.5
2014-11-05,48.5
2014-11-07,47.75
2014-11-10,47.95
2014-11-11,47.85
2014-11-12,47.8
2014-11-13,49.65
2014-11-14,48.8
2014-11-17,48.9
2014-11-18,51.4
2014-11-19,50.2
2014-11-20,52.45
2014-11-21,51.7
2014-11-24,51.95
2014-11-25,50.45
2014-11-26,51.3
2014-11-27,51.35
2014-11-28,52.05
2014-12-01,52.85
2014-12-02,51.7
2014-12-03,51.9
2014-12-04,51.5
2014-12-05,54.2
2014-12-08,54.0
2014-12-09,53.65
2014-12-10,53.6
2014-12-11,54.7
2014-12-12,54.3
2014-12-15,55.7
2014-12-16,52.8
2014-12-17,52.95
2014-12-18,54.8
2014-12-19,53.85
2014-12-22,54.35
2014-12-23,53.55
2014-12-24,53.6
2014-12-26,53.15
2014-12-29,53.05
2014-12-30,52.75
2014-12-31,53.35
