Date,AHLUCONT
2014-01-01,26.1
2014-01-02,26.15
2014-01-03,26.5
2014-01-06,26.75
2014-01-07,27.2
2014-01-08,26.75
2014-01-09,26.55
2014-01-10,26.5
2014-01-13,26.0
2014-01-14,25.55
2014-01-15,24.8
2014-01-16,24.95
2014-01-17,23.4
2014-01-20,23.2
2014-01-21,23.4
2014-01-22,23.8
2014-01-23,23.0
2014-01-24,23.5
2014-01-27,23.05
2014-01-28,21.85
2014-01-29,23.0
2014-01-30,22.1
2014-01-31,23.0
2014-02-03,23.8
2014-02-04,23.9
2014-02-05,23.55
2014-02-06,23.55
2014-02-07,24.75
2014-02-10,25.1
2014-02-11,24.1
2014-02-12,24.05
2014-02-13,24.55
2014-02-14,24.0
2014-02-17,24.0
2014-02-18,25.0
2014-02-19,25.8
2014-02-20,25.0
2014-02-21,24.05
2014-02-24,25.0
2014-02-25,27.5
2014-02-26,29.3
2014-02-28,28.55
2014-03-03,28.65
2014-03-04,29.0
2014-03-05,29.5
2014-03-06,28.7
2014-03-07,28.75
2014-03-10,33.55
2014-03-11,31.55
2014-03-12,31.85
2014-03-13,32.9
2014-03-14,38.25
2014-03-18,41.5
2014-03-19,42.1
2014-03-20,40.9
2014-03-21,40.45
2014-03-22,40.25
2014-03-24,38.7
2014-03-25,40.05
2014-03-26,42.15
2014-03-27,40.75
2014-03-28,40.8
2014-03-31,40.5
2014-04-01,41.85
2014-04-02,42.25
2014-04-03,41.75
2014-04-04,40.85
2014-04-07,41.9
2014-04-09,46.45
2014-04-10,47.55
2014-04-11,49.55
2014-04-15,54.65
2014-04-16,54.35
2014-04-17,65.2
2014-04-21,66.65
2014-04-22,63.9
2014-04-23,61.2
2014-04-25,64.0
2014-04-28,70.4
2014-04-29,76.8
2014-04-30,71.75
2014-05-02,71.4
2014-05-05,68.95
2014-05-06,67.1
2014-05-07,65.65
2014-05-08,65.75
2014-05-09,69.1
2014-05-12,68.9
2014-05-13,66.15
2014-05-14,70.7
2014-05-15,70.05
2014-05-16,70.8
2014-05-19,80.1
2014-05-20,78.9
2014-05-21,85.8
2014-05-22,84.35
2014-05-23,84.5
2014-05-26,78.35
2014-05-27,79.95
2014-05-28,85.3
2014-05-29,85.9
2014-05-30,85.3
2014-06-02,87.5
2014-06-03,86.0
2014-06-04,88.0
2014-06-05,88.45
2014-06-06,87.25
2014-06-09,86.7
2014-06-10,93.25
2014-06-11,103.85
2014-06-12,107.75
2014-06-13,98.85
2014-06-16,101.7
2014-06-17,104.45
2014-06-18,105.0
2014-06-19,104.45
2014-06-20,101.4
2014-06-23,100.5
2014-06-24,104.95
2014-06-25,104.3
2014-06-26,103.6
2014-06-27,103.7
2014-06-30,117.65
2014-07-01,125.35
2014-07-02,123.1
2014-07-03,123.95
2014-07-04,123.3
2014-07-07,124.25
2014-07-08,111.3
2014-07-09,105.05
2014-07-10,105.85
2014-07-11,99.75
2014-07-14,103.45
2014-07-15,107.3
2014-07-16,113.65
2014-07-17,126.65
2014-07-18,135.45
2014-07-21,144.55
2014-07-22,146.7
2014-07-23,143.3
2014-07-24,145.7
2014-07-25,143.2
2014-07-28,143.0
2014-07-30,143.1
2014-07-31,145.55
2014-08-01,143.85
2014-08-04,145.6
2014-08-05,144.15
2014-08-06,143.45
2014-08-07,142.1
2014-08-08,134.05
2014-08-11,138.6
2014-08-12,143.15
2014-08-13,137.65
2014-08-14,142.95
2014-08-18,151.6
2014-08-19,150.15
2014-08-20,150.85
2014-08-21,147.0
2014-08-22,146.3
2014-08-25,142.0
2014-08-26,140.0
2014-08-27,141.25
2014-08-28,139.8
2014-09-01,142.0
2014-09-02,143.75
2014-09-03,145.5
2014-09-04,146.05
2014-09-05,155.05
2014-09-08,168.35
2014-09-09,165.05
2014-09-10,168.2
2014-09-11,185.05
2014-09-12,193.35
2014-09-15,184.35
2014-09-16,180.4
2014-09-17,174.05
2014-09-18,176.95
2014-09-19,175.1
2014-09-22,179.95
2014-09-23,171.85
2014-09-24,165.75
2014-09-25,158.7
2014-09-26,164.65
2014-09-29,167.3
2014-09-30,164.7
2014-10-01,163.15
2014-10-07,153.25
2014-10-08,150.05
2014-10-09,157.05
2014-10-10,155.25
2014-10-13,153.4
2014-10-14,153.55
2014-10-16,148.4
2014-10-17,146.6
2014-10-20,149.9
2014-10-21,148.8
2014-10-22,148.1
2014-10-23,153.3
2014-10-27,147.15
2014-10-28,143.5
2014-10-29,150.15
2014-10-30,152.8
2014-10-31,154.75
2014-11-03,155.1
2014-11-05,154.7
2014-11-07,152.4
2014-11-10,152.45
2014-11-11,153.65
2014-11-12,152.6
2014-11-13,151.8
2014-11-14,153.15
2014-11-17,154.65
2014-11-18,158.4
2014-11-19,160.85
2014-11-20,174.25
2014-11-21,182.0
2014-11-24,179.95
2014-11-25,178.75
2014-11-26,181.85
2014-11-27,182.0
2014-11-28,182.9
2014-12-01,182.4
2014-12-02,205.05
2014-12-03,209.25
2014-12-04,229.0
2014-12-05,215.35
2014-12-08,218.35
2014-12-09,205.95
2014-12-10,219.8
2014-12-11,218.35
2014-12-12,216.45
2014-12-15,214.0
2014-12-16,211.75
2014-12-17,200.95
2014-12-18,210.85
2014-12-19,215.9
2014-12-22,210.1
2014-12-23,214.15
2014-12-24,218.15
2014-12-26,213.4
2014-12-29,213.4
2014-12-30,220.95
2014-12-31,224.65
