Date,ARVIND
2014-01-01,138.85
2014-01-02,144.45
2014-01-03,144.6
2014-01-06,152.8
2014-01-07,153.65
2014-01-08,153.15
2014-01-09,151.4
2014-01-10,150.7
2014-01-13,153.9
2014-01-14,153.1
2014-01-15,151.85
2014-01-16,149.7
2014-01-17,142.0
2014-01-20,142.75
2014-01-21,146.3
2014-01-22,147.4
2014-01-23,146.45
2014-01-24,141.05
2014-01-27,139.9
2014-01-28,138.8
2014-01-29,139.2
2014-01-30,137.35
2014-01-31,148.35
2014-02-03,147.65
2014-02-04,148.6
2014-02-05,149.1
2014-02-06,147.1
2014-02-07,148.15
2014-02-10,146.8
2014-02-11,141.6
2014-02-12,144.5
2014-02-13,140.1
2014-02-14,137.85
2014-02-17,137.1
2014-02-18,144.15
2014-02-19,143.6
2014-02-20,145.1
2014-02-21,147.7
2014-02-24,147.15
2014-02-25,147.5
2014-02-26,154.3
2014-02-28,156.0
2014-03-03,154.75
2014-03-04,156.95
2014-03-05,156.2
2014-03-06,157.35
2014-03-07,153.95
2014-03-10,155.05
2014-03-11,152.15
2014-03-12,151.95
2014-03-13,145.1
2014-03-14,142.9
2014-03-18,148.1
2014-03-19,151.3
2014-03-20,148.8
2014-03-21,148.1
2014-03-22,147.95
2014-03-24,147.5
2014-03-25,155.85
2014-03-26,165.5
2014-03-27,167.3
2014-03-28,166.4
2014-03-31,173.95
2014-04-01,178.9
2014-04-02,181.9
2014-04-03,178.45
2014-04-04,181.55
2014-04-07,180.35
2014-04-09,180.55
2014-04-10,180.6
2014-04-11,184.1
2014-04-15,183.9
2014-04-16,180.75
2014-04-17,191.75
2014-04-21,193.6
2014-04-22,188.85
2014-04-23,193.5
2014-04-25,189.2
2014-04-28,185.8
2014-04-29,184.65
2014-04-30,183.45
2014-05-02,184.6
2014-05-05,183.05
2014-05-06,184.65
2014-05-07,190.1
2014-05-08,197.1
2014-05-09,191.75
2014-05-12,188.7
2014-05-13,193.1
2014-05-14,196.45
2014-05-15,189.9
2014-05-16,178.4
2014-05-19,180.3
2014-05-20,187.45
2014-05-21,187.75
2014-05-22,194.8
2014-05-23,200.45
2014-05-26,188.8
2014-05-27,187.7
2014-05-28,184.55
2014-05-29,185.7
2014-05-30,182.7
2014-06-02,192.05
2014-06-03,196.0
2014-06-04,199.8
2014-06-05,203.9
2014-06-06,207.35
2014-06-09,207.55
2014-06-10,202.35
2014-06-11,210.55
2014-06-12,213.45
2014-06-13,210.45
2014-06-16,216.3
2014-06-17,222.1
2014-06-18,218.55
2014-06-19,215.15
2014-06-20,214.25
2014-06-23,220.85
2014-06-24,221.9
2014-06-25,225.75
2014-06-26,233.65
2014-06-27,233.05
2014-06-30,233.75
2014-07-01,235.0
2014-07-02,234.85
2014-07-03,244.1
2014-07-04,245.4
2014-07-07,243.1
2014-07-08,229.5
2014-07-09,222.85
2014-07-10,211.75
2014-07-11,203.5
2014-07-14,212.05
2014-07-15,222.15
2014-07-16,227.6
2014-07-17,230.9
2014-07-18,230.45
2014-07-21,234.75
2014-07-22,235.45
2014-07-23,236.1
2014-07-24,232.55
2014-07-25,217.35
2014-07-28,210.9
2014-07-30,240.65
2014-07-31,230.65
2014-08-01,222.3
2014-08-04,232.85
2014-08-05,233.7
2014-08-06,232.45
2014-08-07,239.8
2014-08-08,227.6
2014-08-11,231.2
2014-08-12,232.55
2014-08-13,224.65
2014-08-14,230.45
2014-08-18,232.85
2014-08-19,235.05
2014-08-20,251.8
2014-08-21,252.9
2014-08-22,255.95
2014-08-25,271.7
2014-08-26,278.2
2014-08-27,278.45
2014-08-28,286.7
2014-09-01,292.45
2014-09-02,295.4
2014-09-03,304.25
2014-09-04,324.15
2014-09-05,325.35
2014-09-08,319.0
2014-09-09,323.4
2014-09-10,323.95
2014-09-11,325.15
2014-09-12,335.75
2014-09-15,334.15
2014-09-16,305.5
2014-09-17,319.3
2014-09-18,326.55
2014-09-19,316.2
2014-09-22,316.75
2014-09-23,303.4
2014-09-24,293.75
2014-09-25,290.6
2014-09-26,297.35
2014-09-29,301.8
2014-09-30,296.9
2014-10-01,295.15
2014-10-07,285.9
2014-10-08,287.7
2014-10-09,295.15
2014-10-10,281.25
2014-10-13,282.45
2014-10-14,281.2
2014-10-16,268.1
2014-10-17,273.05
2014-10-20,283.75
2014-10-21,292.0
2014-10-22,296.9
2014-10-23,297.1
2014-10-27,295.5
2014-10-28,288.95
2014-10-29,296.8
2014-10-30,297.15
2014-10-31,298.25
2014-11-03,300.85
2014-11-05,308.55
2014-11-07,299.3
2014-11-10,289.8
2014-11-11,285.4
2014-11-12,285.65
2014-11-13,278.2
2014-11-14,282.05
2014-11-17,287.1
2014-11-18,292.75
2014-11-19,295.5
2014-11-20,292.15
2014-11-21,291.9
2014-11-24,287.95
2014-11-25,277.75
2014-11-26,281.05
2014-11-27,278.2
2014-11-28,280.8
2014-12-01,275.65
2014-12-02,285.2
2014-12-03,287.35
2014-12-04,296.5
2014-12-05,291.15
2014-12-08,277.8
2014-12-09,268.85
2014-12-10,272.6
2014-12-11,273.4
2014-12-12,266.0
2014-12-15,256.65
2014-12-16,252.25
2014-12-17,246.45
2014-12-18,267.65
2014-12-19,270.2
2014-12-22,271.95
2014-12-23,266.7
2014-12-24,269.4
2014-12-26,277.4
2014-12-29,280.4
2014-12-30,281.2
2014-12-31,283.1
