Date,GARDENSILK
2014-01-01,37.95
2014-01-02,38.2
2014-01-03,37.95
2014-01-06,38.25
2014-01-07,39.8
2014-01-08,41.0
2014-01-09,40.0
2014-01-10,41.35
2014-01-13,42.05
2014-01-14,43.95
2014-01-15,48.15
2014-01-16,48.15
2014-01-17,44.05
2014-01-20,44.15
2014-01-21,43.65
2014-01-22,42.3
2014-01-23,41.25
2014-01-24,40.4
2014-01-27,39.45
2014-01-28,39.1
2014-01-29,39.05
2014-01-30,37.6
2014-01-31,37.45
2014-02-03,37.15
2014-02-04,36.5
2014-02-05,37.5
2014-02-06,37.45
2014-02-07,37.0
2014-02-10,37.0
2014-02-11,37.3
2014-02-12,36.65
2014-02-13,34.85
2014-02-14,34.85
2014-02-17,33.95
2014-02-18,34.05
2014-02-19,34.45
2014-02-20,34.05
2014-02-21,34.6
2014-02-24,34.3
2014-02-25,34.1
2014-02-26,35.25
2014-02-28,34.95
2014-03-03,33.9
2014-03-04,33.65
2014-03-05,34.3
2014-03-06,34.4
2014-03-07,34.45
2014-03-10,34.1
2014-03-11,34.5
2014-03-12,34.3
2014-03-13,36.7
2014-03-14,37.7
2014-03-18,39.95
2014-03-19,41.75
2014-03-20,39.3
2014-03-21,39.9
2014-03-22,39.55
2014-03-24,39.5
2014-03-25,38.95
2014-03-26,39.0
2014-03-27,38.1
2014-03-28,38.25
2014-03-31,38.0
2014-04-01,38.45
2014-04-02,38.95
2014-04-03,38.3
2014-04-04,38.25
2014-04-07,38.35
2014-04-09,38.5
2014-04-10,39.1
2014-04-11,40.1
2014-04-15,39.35
2014-04-16,38.7
2014-04-17,39.95
2014-04-21,40.4
2014-04-22,40.1
2014-04-23,39.65
2014-04-25,39.55
2014-04-28,39.25
2014-04-29,39.1
2014-04-30,37.55
2014-05-02,38.5
2014-05-05,38.65
2014-05-06,37.85
2014-05-07,37.25
2014-05-08,36.2
2014-05-09,37.1
2014-05-12,37.6
2014-05-13,37.4
2014-05-14,38.35
2014-05-15,37.85
2014-05-16,38.0
2014-05-19,42.5
2014-05-20,43.1
2014-05-21,42.8
2014-05-22,43.7
2014-05-23,46.3
2014-05-26,42.9
2014-05-27,41.5
2014-05-28,42.85
2014-05-29,41.5
2014-05-30,40.35
2014-06-02,40.25
2014-06-03,42.6
2014-06-04,45.0
2014-06-05,40.65
2014-06-06,39.2
2014-06-09,44.35
2014-06-10,45.65
2014-06-11,44.7
2014-06-12,43.7
2014-06-13,45.1
2014-06-16,45.2
2014-06-17,47.35
2014-06-18,46.05
2014-06-19,45.2
2014-06-20,44.5
2014-06-23,45.1
2014-06-24,47.15
2014-06-25,47.45
2014-06-26,46.75
2014-06-27,47.25
2014-06-30,47.7
2014-07-01,47.5
2014-07-02,47.2
2014-07-03,49.15
2014-07-04,55.05
2014-07-07,52.6
2014-07-08,47.4
2014-07-09,47.95
2014-07-10,48.05
2014-07-11,44.35
2014-07-14,43.6
2014-07-15,45.05
2014-07-16,46.5
2014-07-17,46.9
2014-07-18,46.4
2014-07-21,47.05
2014-07-22,46.6
2014-07-23,46.2
2014-07-24,49.1
2014-07-25,47.8
2014-07-28,46.35
2014-07-30,45.9
2014-07-31,45.5
2014-08-01,44.5
2014-08-04,44.7
2014-08-05,44.6
2014-08-06,44.75
2014-08-07,44.45
2014-08-08,43.1
2014-08-11,43.2
2014-08-12,43.55
2014-08-13,42.25
2014-08-14,40.7
2014-08-18,41.85
2014-08-19,41.9
2014-08-20,42.1
2014-08-21,42.1
2014-08-22,42.85
2014-08-25,43.7
2014-08-26,43.65
2014-08-27,43.2
2014-08-28,42.95
2014-09-01,42.8
2014-09-02,42.65
2014-09-03,42.85
2014-09-04,42.1
2014-09-05,38.7
2014-09-08,38.95
2014-09-09,38.2
2014-09-10,38.4
2014-09-11,39.3
2014-09-12,41.6
2014-09-15,43.1
2014-09-16,39.4
2014-09-17,39.45
2014-09-18,40.2
2014-09-19,39.85
2014-09-22,40.2
2014-09-23,38.45
2014-09-24,37.95
2014-09-25,36.85
2014-09-26,37.4
2014-09-29,38.2
2014-09-30,40.8
2014-10-01,39.25
2014-10-07,37.6
2014-10-08,37.15
2014-10-09,38.0
2014-10-10,37.95
2014-10-13,37.4
2014-10-14,37.25
2014-10-16,37.05
2014-10-17,36.3
2014-10-20,36.4
2014-10-21,36.1
2014-10-22,36.65
2014-10-23,36.75
2014-10-27,36.75
2014-10-28,37.3
2014-10-29,37.7
2014-10-30,36.95
2014-10-31,37.8
2014-11-03,38.45
2014-11-05,38.4
2014-11-07,37.9
2014-11-10,37.65
2014-11-11,38.0
2014-11-12,37.75
2014-11-13,37.05
2014-11-14,36.55
2014-11-17,35.9
2014-11-18,36.75
2014-11-19,36.25
2014-11-20,35.8
2014-11-21,35.5
2014-11-24,34.45
2014-11-25,33.55
2014-11-26,34.7
2014-11-27,33.7
2014-11-28,33.4
2014-12-01,32.8
2014-12-02,32.95
2014-12-03,32.8
2014-12-04,33.45
2014-12-05,33.25
2014-12-08,32.9
2014-12-09,32.45
2014-12-10,32.25
2014-12-11,32.1
2014-12-12,31.35
2014-12-15,30.4
2014-12-16,30.0
2014-12-17,29.65
2014-12-18,30.6
2014-12-19,31.05
2014-12-22,31.45
2014-12-23,30.65
2014-12-24,29.85
2014-12-26,30.1
2014-12-29,30.25
2014-12-30,30.1
2014-12-31,30.85
