Date,NMDC
2014-01-01,142.8
2014-01-02,140.3
2014-01-03,138.5
2014-01-06,137.0
2014-01-07,136.15
2014-01-08,138.9
2014-01-09,139.45
2014-01-10,139.15
2014-01-13,141.65
2014-01-14,138.3
2014-01-15,142.65
2014-01-16,144.65
2014-01-17,145.5
2014-01-20,143.75
2014-01-21,144.8
2014-01-22,145.0
2014-01-23,145.1
2014-01-24,145.6
2014-01-27,142.05
2014-01-28,141.7
2014-01-29,142.85
2014-01-30,141.95
2014-01-31,145.0
2014-02-03,142.3
2014-02-04,137.85
2014-02-05,140.2
2014-02-06,143.3
2014-02-07,144.9
2014-02-10,143.95
2014-02-11,145.0
2014-02-12,144.75
2014-02-13,142.85
2014-02-14,145.45
2014-02-17,138.15
2014-02-18,137.75
2014-02-19,136.95
2014-02-20,135.35
2014-02-21,137.15
2014-02-24,135.3
2014-02-25,131.6
2014-02-26,126.9
2014-02-28,127.5
2014-03-03,129.0
2014-03-04,133.05
2014-03-05,131.95
2014-03-06,132.2
2014-03-07,131.75
2014-03-10,128.35
2014-03-11,125.0
2014-03-12,127.0
2014-03-13,126.1
2014-03-14,129.25
2014-03-18,129.4
2014-03-19,131.05
2014-03-20,132.15
2014-03-21,128.85
2014-03-22,129.9
2014-03-24,134.5
2014-03-25,134.75
2014-03-26,134.95
2014-03-27,135.45
2014-03-28,138.55
2014-03-31,139.25
2014-04-01,137.6
2014-04-02,138.75
2014-04-03,140.85
2014-04-04,140.4
2014-04-07,143.7
2014-04-09,147.35
2014-04-10,149.7
2014-04-11,151.05
2014-04-15,150.05
2014-04-16,149.1
2014-04-17,148.95
2014-04-21,150.25
2014-04-22,150.6
2014-04-23,149.3
2014-04-25,151.4
2014-04-28,149.95
2014-04-29,150.3
2014-04-30,150.2
2014-05-02,152.2
2014-05-05,149.7
2014-05-06,149.85
2014-05-07,150.15
2014-05-08,149.65
2014-05-09,149.85
2014-05-12,151.6
2014-05-13,151.75
2014-05-14,159.2
2014-05-15,154.9
2014-05-16,161.9
2014-05-19,169.25
2014-05-20,178.45
2014-05-21,177.6
2014-05-22,179.8
2014-05-23,178.15
2014-05-26,177.35
2014-05-27,175.2
2014-05-28,176.15
2014-05-29,171.55
2014-05-30,170.0
2014-06-02,176.1
2014-06-03,180.8
2014-06-04,190.3
2014-06-05,193.6
2014-06-06,190.85
2014-06-09,191.25
2014-06-10,189.75
2014-06-11,182.4
2014-06-12,184.45
2014-06-13,176.15
2014-06-16,179.1
2014-06-17,179.3
2014-06-18,174.9
2014-06-19,177.0
2014-06-20,173.5
2014-06-23,175.05
2014-06-24,180.7
2014-06-25,181.1
2014-06-26,180.9
2014-06-27,178.95
2014-06-30,182.5
2014-07-01,183.05
2014-07-02,184.85
2014-07-03,185.3
2014-07-04,183.9
2014-07-07,182.6
2014-07-08,174.2
2014-07-09,173.25
2014-07-10,173.1
2014-07-11,160.8
2014-07-14,162.25
2014-07-15,168.05
2014-07-16,169.95
2014-07-17,172.0
2014-07-18,174.45
2014-07-21,175.65
2014-07-22,175.1
2014-07-23,175.45
2014-07-24,178.25
2014-07-25,176.25
2014-07-28,172.9
2014-07-30,172.15
2014-07-31,170.05
2014-08-01,169.75
2014-08-04,175.55
2014-08-05,174.45
2014-08-06,172.95
2014-08-07,173.8
2014-08-08,171.3
2014-08-11,172.05
2014-08-12,173.45
2014-08-13,174.1
2014-08-14,174.45
2014-08-18,175.75
2014-08-19,176.95
2014-08-20,176.25
2014-08-21,174.95
2014-08-22,174.3
2014-08-25,171.5
2014-08-26,170.95
2014-08-27,168.8
2014-08-28,169.55
2014-09-01,170.7
2014-09-02,174.45
2014-09-03,178.85
2014-09-04,176.5
2014-09-05,185.8
2014-09-08,183.95
2014-09-09,181.65
2014-09-10,180.7
2014-09-11,176.75
2014-09-12,176.55
2014-09-15,175.3
2014-09-16,173.5
2014-09-17,175.15
2014-09-18,175.6
2014-09-19,174.4
2014-09-22,172.95
2014-09-23,169.35
2014-09-24,168.75
2014-09-25,159.55
2014-09-26,166.65
2014-09-29,165.2
2014-09-30,165.4
2014-10-01,166.95
2014-10-07,160.25
2014-10-08,161.5
2014-10-09,160.6
2014-10-10,152.0
2014-10-13,155.6
2014-10-14,153.95
2014-10-16,157.6
2014-10-17,159.85
2014-10-20,159.7
2014-10-21,162.9
2014-10-22,161.0
2014-10-23,161.9
2014-10-27,163.6
2014-10-28,165.05
2014-10-29,165.35
2014-10-30,168.3
2014-10-31,170.9
2014-11-03,165.9
2014-11-05,159.45
2014-11-07,157.75
2014-11-10,159.35
2014-11-11,157.0
2014-11-12,156.05
2014-11-13,151.25
2014-11-14,154.85
2014-11-17,152.25
2014-11-18,151.6
2014-11-19,149.35
2014-11-20,144.8
2014-11-21,146.1
2014-11-24,146.0
2014-11-25,140.45
2014-11-26,140.75
2014-11-27,140.15
2014-11-28,139.95
2014-12-01,134.4
2014-12-02,137.3
2014-12-03,138.15
2014-12-04,139.8
2014-12-05,139.9
2014-12-08,139.9
2014-12-09,140.0
2014-12-10,136.75
2014-12-11,137.7
2014-12-12,139.1
2014-12-15,137.5
2014-12-16,134.4
2014-12-17,137.3
2014-12-18,139.4
2014-12-19,140.65
2014-12-22,145.5
2014-12-23,145.1
2014-12-24,144.9
2014-12-26,144.5
2014-12-29,143.5
2014-12-30,145.4
2014-12-31,145.0
