Date,SOMANYCERA
2014-01-01,114.85
2014-01-02,112.5
2014-01-03,110.05
2014-01-06,112.25
2014-01-07,114.5
2014-01-08,117.55
2014-01-09,118.25
2014-01-10,117.45
2014-01-13,121.9
2014-01-14,143.65
2014-01-15,145.7
2014-01-16,141.5
2014-01-17,128.5
2014-01-20,130.9
2014-01-21,126.5
2014-01-22,126.05
2014-01-23,126.0
2014-01-24,125.45
2014-01-27,122.25
2014-01-28,118.4
2014-01-29,120.4
2014-01-30,117.8
2014-01-31,117.0
2014-02-03,128.6
2014-02-04,134.6
2014-02-05,130.9
2014-02-06,132.3
2014-02-07,133.75
2014-02-10,135.0
2014-02-11,130.1
2014-02-12,130.85
2014-02-13,131.25
2014-02-14,127.8
2014-02-17,147.1
2014-02-18,143.1
2014-02-19,137.8
2014-02-20,138.65
2014-02-21,137.4
2014-02-24,137.75
2014-02-25,137.2
2014-02-26,137.5
2014-02-28,137.25
2014-03-03,132.2
2014-03-04,132.6
2014-03-05,134.0
2014-03-06,138.1
2014-03-07,137.45
2014-03-10,138.15
2014-03-11,150.7
2014-03-12,148.9
2014-03-13,145.45
2014-03-14,159.0
2014-03-18,162.9
2014-03-19,160.25
2014-03-20,160.85
2014-03-21,167.45
2014-03-22,170.9
2014-03-24,179.55
2014-03-25,180.05
2014-03-26,170.9
2014-03-27,167.3
2014-03-28,164.55
2014-03-31,161.85
2014-04-01,166.1
2014-04-02,172.7
2014-04-03,169.35
2014-04-04,172.5
2014-04-07,167.3
2014-04-09,173.1
2014-04-10,173.65
2014-04-11,172.35
2014-04-15,169.4
2014-04-16,171.65
2014-04-17,170.25
2014-04-21,171.6
2014-04-22,177.15
2014-04-23,189.75
2014-04-25,196.95
2014-04-28,194.7
2014-04-29,189.45
2014-04-30,185.55
2014-05-02,200.25
2014-05-05,200.4
2014-05-06,190.65
2014-05-07,191.2
2014-05-08,189.35
2014-05-09,189.55
2014-05-12,187.85
2014-05-13,197.7
2014-05-14,200.1
2014-05-15,199.8
2014-05-16,198.35
2014-05-19,205.5
2014-05-20,203.5
2014-05-21,203.5
2014-05-22,209.7
2014-05-23,223.5
2014-05-26,221.0
2014-05-27,238.7
2014-05-28,230.0
2014-05-29,235.6
2014-05-30,238.25
2014-06-02,247.65
2014-06-03,257.9
2014-06-04,270.15
2014-06-05,268.9
2014-06-06,279.45
2014-06-09,270.05
2014-06-10,259.5
2014-06-11,266.25
2014-06-12,265.05
2014-06-13,254.1
2014-06-16,251.85
2014-06-17,244.0
2014-06-18,243.45
2014-06-19,241.0
2014-06-20,240.15
2014-06-23,243.6
2014-06-24,246.25
2014-06-25,249.85
2014-06-26,248.65
2014-06-27,242.6
2014-06-30,245.75
2014-07-01,252.3
2014-07-02,248.4
2014-07-03,246.95
2014-07-04,255.55
2014-07-07,257.0
2014-07-08,245.2
2014-07-09,240.8
2014-07-10,251.3
2014-07-11,240.85
2014-07-14,236.05
2014-07-15,246.5
2014-07-16,243.05
2014-07-17,257.1
2014-07-18,259.0
2014-07-21,263.85
2014-07-22,258.3
2014-07-23,252.35
2014-07-24,246.15
2014-07-25,244.5
2014-07-28,242.75
2014-07-30,243.4
2014-07-31,243.95
2014-08-01,236.95
2014-08-04,242.95
2014-08-05,243.9
2014-08-06,249.75
2014-08-07,248.8
2014-08-08,249.0
2014-08-11,246.45
2014-08-12,246.95
2014-08-13,246.85
2014-08-14,248.65
2014-08-18,257.0
2014-08-19,289.0
2014-08-20,294.95
2014-08-21,289.5
2014-08-22,280.25
2014-08-25,278.55
2014-08-26,273.25
2014-08-27,268.15
2014-08-28,283.75
2014-09-01,294.9
2014-09-02,313.6
2014-09-03,318.45
2014-09-04,316.2
2014-09-05,314.55
2014-09-08,310.3
2014-09-09,305.4
2014-09-10,311.9
2014-09-11,309.2
2014-09-12,310.05
2014-09-15,319.1
2014-09-16,309.6
2014-09-17,314.45
2014-09-18,314.6
2014-09-19,307.5
2014-09-22,307.2
2014-09-23,300.95
2014-09-24,295.6
2014-09-25,282.7
2014-09-26,271.95
2014-09-29,287.65
2014-09-30,290.1
2014-10-01,290.3
2014-10-07,295.45
2014-10-08,289.45
2014-10-09,318.95
2014-10-10,320.1
2014-10-13,313.0
2014-10-14,312.65
2014-10-16,334.8
2014-10-17,319.3
2014-10-20,317.05
2014-10-21,309.95
2014-10-22,317.7
2014-10-23,320.35
2014-10-27,309.8
2014-10-28,304.3
2014-10-29,311.2
2014-10-30,318.3
2014-10-31,314.55
2014-11-03,314.25
2014-11-05,310.75
2014-11-07,310.8
2014-11-10,313.25
2014-11-11,310.6
2014-11-12,312.2
2014-11-13,313.55
2014-11-14,319.45
2014-11-17,321.45
2014-11-18,330.45
2014-11-19,318.15
2014-11-20,315.0
2014-11-21,310.5
2014-11-24,320.0
2014-11-25,312.85
2014-11-26,315.95
2014-11-27,312.6
2014-11-28,320.8
2014-12-01,316.55
2014-12-02,312.1
2014-12-03,322.6
2014-12-04,330.35
2014-12-05,345.55
2014-12-08,333.65
2014-12-09,320.15
2014-12-10,323.9
2014-12-11,321.5
2014-12-12,317.2
2014-12-15,312.55
2014-12-16,298.25
2014-12-17,286.3
2014-12-18,296.6
2014-12-19,301.6
2014-12-22,314.4
2014-12-23,306.15
2014-12-24,304.2
2014-12-26,303.2
2014-12-29,299.05
2014-12-30,298.7
2014-12-31,306.9
