Date,GODREJCP
2014-01-01,850.7
2014-01-02,838.3
2014-01-03,823.8
2014-01-06,830.95
2014-01-07,813.65
2014-01-08,830.3
2014-01-09,816.25
2014-01-10,811.65
2014-01-13,803.05
2014-01-14,795.05
2014-01-15,789.35
2014-01-16,758.5
2014-01-17,770.55
2014-01-20,778.7
2014-01-21,764.6
2014-01-22,767.5
2014-01-23,734.7
2014-01-24,705.05
2014-01-27,685.75
2014-01-28,712.0
2014-01-29,739.25
2014-01-30,714.45
2014-01-31,753.7
2014-02-03,723.05
2014-02-04,716.65
2014-02-05,722.65
2014-02-06,738.85
2014-02-07,729.8
2014-02-10,719.1
2014-02-11,717.4
2014-02-12,719.9
2014-02-13,739.55
2014-02-14,741.05
2014-02-17,750.85
2014-02-18,756.95
2014-02-19,762.9
2014-02-20,779.15
2014-02-21,804.0
2014-02-24,787.35
2014-02-25,798.95
2014-02-26,770.7
2014-02-28,784.0
2014-03-03,783.2
2014-03-04,779.4
2014-03-05,761.6
2014-03-06,752.4
2014-03-07,739.95
2014-03-10,724.1
2014-03-11,712.35
2014-03-12,727.05
2014-03-13,708.15
2014-03-14,710.5
2014-03-18,738.05
2014-03-19,763.8
2014-03-20,741.5
2014-03-21,772.5
2014-03-22,763.8
2014-03-24,752.9
2014-03-25,753.5
2014-03-26,761.65
2014-03-27,784.55
2014-03-28,821.8
2014-03-31,859.35
2014-04-01,899.15
2014-04-02,889.4
2014-04-03,836.8
2014-04-04,838.65
2014-04-07,835.15
2014-04-09,856.95
2014-04-10,863.75
2014-04-11,866.9
2014-04-15,841.9
2014-04-16,841.3
2014-04-17,838.75
2014-04-21,827.3
2014-04-22,814.2
2014-04-23,814.1
2014-04-25,803.8
2014-04-28,780.75
2014-04-29,785.05
2014-04-30,798.5
2014-05-02,799.35
2014-05-05,796.45
2014-05-06,787.0
2014-05-07,764.7
2014-05-08,745.9
2014-05-09,748.15
2014-05-12,763.65
2014-05-13,793.6
2014-05-14,798.95
2014-05-15,811.05
2014-05-16,833.55
2014-05-19,837.2
2014-05-20,805.95
2014-05-21,801.2
2014-05-22,804.3
2014-05-23,796.45
2014-05-26,780.15
2014-05-27,788.05
2014-05-28,757.35
2014-05-29,763.75
2014-05-30,779.4
2014-06-02,788.75
2014-06-03,801.65
2014-06-04,784.25
2014-06-05,845.25
2014-06-06,890.95
2014-06-09,845.7
2014-06-10,859.4
2014-06-11,885.2
2014-06-12,891.15
2014-06-13,858.25
2014-06-16,831.8
2014-06-17,810.35
2014-06-18,805.55
2014-06-19,810.05
2014-06-20,803.4
2014-06-23,809.95
2014-06-24,801.0
2014-06-25,809.5
2014-06-26,799.95
2014-06-27,813.85
2014-06-30,824.4
2014-07-01,809.6
2014-07-02,809.6
2014-07-03,807.05
2014-07-04,808.9
2014-07-07,815.55
2014-07-08,808.55
2014-07-09,804.05
2014-07-10,804.45
2014-07-11,803.0
2014-07-14,809.8
2014-07-15,810.6
2014-07-16,803.9
2014-07-17,805.85
2014-07-18,801.0
2014-07-21,803.9
2014-07-22,835.05
2014-07-23,829.7
2014-07-24,840.55
2014-07-25,858.65
2014-07-28,868.8
2014-07-30,843.45
2014-07-31,840.7
2014-08-01,842.7
2014-08-04,849.25
2014-08-05,839.35
2014-08-06,873.65
2014-08-07,874.8
2014-08-08,863.65
2014-08-11,870.85
2014-08-12,872.6
2014-08-13,881.2
2014-08-14,890.75
2014-08-18,885.3
2014-08-19,917.95
2014-08-20,936.5
2014-08-21,959.0
2014-08-22,929.15
2014-08-25,903.5
2014-08-26,938.45
2014-08-27,966.3
2014-08-28,985.95
2014-09-01,1002.4
2014-09-02,1006.55
2014-09-03,1078.4
2014-09-04,1040.45
2014-09-05,1014.7
2014-09-08,1079.25
2014-09-09,1101.95
2014-09-10,1053.45
2014-09-11,1059.7
2014-09-12,1027.9
2014-09-15,1008.75
2014-09-16,1009.25
2014-09-17,1027.35
2014-09-18,1025.95
2014-09-19,1024.85
2014-09-22,1024.85
2014-09-23,1001.2
2014-09-24,1024.15
2014-09-25,988.65
2014-09-26,1017.45
2014-09-29,1010.3
2014-09-30,988.6
2014-10-01,990.55
2014-10-07,997.8
2014-10-08,980.5
2014-10-09,994.15
2014-10-10,980.1
2014-10-13,943.0
2014-10-14,954.1
2014-10-16,888.1
2014-10-17,906.1
2014-10-20,928.15
2014-10-21,937.45
2014-10-22,938.95
2014-10-23,947.95
2014-10-27,914.25
2014-10-28,922.4
2014-10-29,940.1
2014-10-30,969.3
2014-10-31,969.85
2014-11-03,953.0
2014-11-05,941.75
2014-11-07,925.9
2014-11-10,937.95
2014-11-11,960.35
2014-11-12,969.7
2014-11-13,973.35
2014-11-14,978.7
2014-11-17,982.6
2014-11-18,980.55
2014-11-19,963.2
2014-11-20,965.9
2014-11-21,959.25
2014-11-24,977.0
2014-11-25,984.1
2014-11-26,961.0
2014-11-27,972.5
2014-11-28,954.4
2014-12-01,972.7
2014-12-02,969.95
2014-12-03,967.05
2014-12-04,969.25
2014-12-05,1001.65
2014-12-08,1015.45
2014-12-09,1011.6
2014-12-10,980.3
2014-12-11,945.8
2014-12-12,917.1
2014-12-15,902.15
2014-12-16,848.6
2014-12-17,876.45
2014-12-18,906.8
2014-12-19,922.8
2014-12-22,962.05
2014-12-23,979.8
2014-12-24,955.15
2014-12-26,952.65
2014-12-29,952.35
2014-12-30,955.15
2014-12-31,972.8
