Date,JPINFRATEC
2014-01-01,24.2
2014-01-02,22.65
2014-01-03,22.65
2014-01-06,23.05
2014-01-07,22.6
2014-01-08,22.35
2014-01-09,21.85
2014-01-10,21.35
2014-01-13,21.05
2014-01-14,20.75
2014-01-15,20.25
2014-01-16,19.9
2014-01-17,19.35
2014-01-20,19.4
2014-01-21,19.25
2014-01-22,20.25
2014-01-23,20.6
2014-01-24,19.7
2014-01-27,18.15
2014-01-28,18.65
2014-01-29,18.9
2014-01-30,18.6
2014-01-31,19.05
2014-02-03,19.05
2014-02-04,18.85
2014-02-05,18.8
2014-02-06,18.7
2014-02-07,19.05
2014-02-10,18.85
2014-02-11,18.95
2014-02-12,18.95
2014-02-13,18.5
2014-02-14,18.55
2014-02-17,18.7
2014-02-18,18.95
2014-02-19,18.75
2014-02-20,18.95
2014-02-21,18.95
2014-02-24,18.85
2014-02-25,18.65
2014-02-26,18.25
2014-02-28,18.45
2014-03-03,18.1
2014-03-04,18.15
2014-03-05,18.35
2014-03-06,18.9
2014-03-07,19.2
2014-03-10,19.25
2014-03-11,19.15
2014-03-12,19.2
2014-03-13,18.75
2014-03-14,18.55
2014-03-18,18.45
2014-03-19,18.5
2014-03-20,18.35
2014-03-21,18.45
2014-03-22,18.6
2014-03-24,18.5
2014-03-25,18.35
2014-03-26,18.35
2014-03-27,19.4
2014-03-28,19.85
2014-03-31,21.2
2014-04-01,20.8
2014-04-02,21.45
2014-04-03,21.0
2014-04-04,21.7
2014-04-07,22.25
2014-04-09,23.45
2014-04-10,23.55
2014-04-11,23.85
2014-04-15,22.95
2014-04-16,21.65
2014-04-17,22.0
2014-04-21,22.45
2014-04-22,23.05
2014-04-23,22.4
2014-04-25,22.0
2014-04-28,25.0
2014-04-29,25.8
2014-04-30,24.3
2014-05-02,24.85
2014-05-05,24.45
2014-05-06,24.35
2014-05-07,24.3
2014-05-08,23.9
2014-05-09,25.0
2014-05-12,26.1
2014-05-13,27.85
2014-05-14,28.35
2014-05-15,29.55
2014-05-16,30.15
2014-05-19,35.8
2014-05-20,36.3
2014-05-21,36.9
2014-05-22,37.7
2014-05-23,37.8
2014-05-26,36.9
2014-05-27,32.75
2014-05-28,33.55
2014-05-29,33.1
2014-05-30,32.75
2014-06-02,34.3
2014-06-03,34.45
2014-06-04,35.95
2014-06-05,35.55
2014-06-06,35.8
2014-06-09,37.15
2014-06-10,36.3
2014-06-11,34.25
2014-06-12,32.65
2014-06-13,30.95
2014-06-16,29.05
2014-06-17,32.95
2014-06-18,32.6
2014-06-19,31.4
2014-06-20,31.35
2014-06-23,31.8
2014-06-24,32.85
2014-06-25,32.8
2014-06-26,31.95
2014-06-27,32.35
2014-06-30,33.7
2014-07-01,34.5
2014-07-02,34.8
2014-07-03,33.2
2014-07-04,32.95
2014-07-07,32.85
2014-07-08,30.9
2014-07-09,30.05
2014-07-10,31.35
2014-07-11,28.45
2014-07-14,28.05
2014-07-15,28.95
2014-07-16,34.7
2014-07-17,37.05
2014-07-18,37.1
2014-07-21,37.9
2014-07-22,36.45
2014-07-23,35.45
2014-07-24,35.85
2014-07-25,33.2
2014-07-28,31.85
2014-07-30,31.85
2014-07-31,32.85
2014-08-01,32.5
2014-08-04,33.95
2014-08-05,35.4
2014-08-06,36.6
2014-08-07,35.3
2014-08-08,33.6
2014-08-11,34.75
2014-08-12,34.6
2014-08-13,33.15
2014-08-14,34.1
2014-08-18,34.65
2014-08-19,34.65
2014-08-20,35.85
2014-08-21,34.4
2014-08-22,34.05
2014-08-25,34.0
2014-08-26,32.7
2014-08-27,32.2
2014-08-28,31.6
2014-09-01,32.05
2014-09-02,31.95
2014-09-03,32.6
2014-09-04,29.0
2014-09-05,26.95
2014-09-08,28.35
2014-09-09,28.8
2014-09-10,28.7
2014-09-11,29.75
2014-09-12,28.55
2014-09-15,27.4
2014-09-16,26.1
2014-09-17,25.4
2014-09-18,26.6
2014-09-19,25.65
2014-09-22,26.3
2014-09-23,25.2
2014-09-24,23.0
2014-09-25,19.85
2014-09-26,20.85
2014-09-29,21.0
2014-09-30,22.55
2014-10-01,22.0
2014-10-07,21.55
2014-10-08,21.6
2014-10-09,22.45
2014-10-10,21.75
2014-10-13,21.7
2014-10-14,21.15
2014-10-16,20.05
2014-10-17,20.15
2014-10-20,20.35
2014-10-21,20.6
2014-10-22,20.7
2014-10-23,21.0
2014-10-27,20.55
2014-10-28,20.5
2014-10-29,21.25
2014-10-30,22.5
2014-10-31,22.95
2014-11-03,24.05
2014-11-05,23.2
2014-11-07,22.9
2014-11-10,24.15
2014-11-11,23.7
2014-11-12,23.35
2014-11-13,22.95
2014-11-14,24.0
2014-11-17,23.8
2014-11-18,24.2
2014-11-19,23.5
2014-11-20,23.0
2014-11-21,22.45
2014-11-24,22.75
2014-11-25,22.0
2014-11-26,21.6
2014-11-27,21.15
2014-11-28,21.2
2014-12-01,20.8
2014-12-02,20.8
2014-12-03,21.15
2014-12-04,21.0
2014-12-05,21.05
2014-12-08,20.65
2014-12-09,19.95
2014-12-10,19.85
2014-12-11,19.6
2014-12-12,19.4
2014-12-15,20.95
2014-12-16,20.0
2014-12-17,20.1
2014-12-18,20.8
2014-12-19,22.0
2014-12-22,21.7
2014-12-23,20.85
2014-12-24,21.3
2014-12-26,21.2
2014-12-29,21.05
2014-12-30,21.45
2014-12-31,21.45
