Date,GOLDBEES
2014-01-01,2724.3
2014-01-02,2746.05
2014-01-03,2765.3
2014-01-06,2762.7
2014-01-07,2761.15
2014-01-08,2740.05
2014-01-09,2742.95
2014-01-10,2752.2
2014-01-13,2760.45
2014-01-14,2770.55
2014-01-15,2753.5
2014-01-16,2758.35
2014-01-17,2756.55
2014-01-20,2773.35
2014-01-21,2768.1
2014-01-22,2755.85
2014-01-23,2750.6
2014-01-24,2766.25
2014-01-27,2783.55
2014-01-28,2775.95
2014-01-29,2814.1
2014-01-30,2779.5
2014-01-31,2765.5
2014-02-03,2760.45
2014-02-04,2771.15
2014-02-05,2770.65
2014-02-06,2771.95
2014-02-07,2774.85
2014-02-10,2791.2
2014-02-11,2801.8
2014-02-12,2799.35
2014-02-13,2795.25
2014-02-14,2810.15
2014-02-17,2852.7
2014-02-18,2859.2
2014-02-19,2863.0
2014-02-20,2856.45
2014-02-21,2844.1
2014-02-24,2857.2
2014-02-25,2850.3
2014-02-26,2855.2
2014-02-28,2850.25
2014-03-03,2861.55
2014-03-04,2845.15
2014-03-05,2835.75
2014-03-06,2824.95
2014-03-07,2821.5
2014-03-10,2805.25
2014-03-11,2809.7
2014-03-12,2818.0
2014-03-13,2822.0
2014-03-14,2836.65
2014-03-18,2812.8
2014-03-19,2791.75
2014-03-20,2754.4
2014-03-21,2762.7
2014-03-22,2759.1
2014-03-24,2730.95
2014-03-25,2703.15
2014-03-26,2700.65
2014-03-27,2682.6
2014-03-28,2686.1
2014-03-31,2707.25
2014-04-01,2677.75
2014-04-02,2637.0
2014-04-03,2661.45
2014-04-04,2664.05
2014-04-07,2667.95
2014-04-09,2683.6
2014-04-10,2709.85
2014-04-11,2706.65
2014-04-15,2732.35
2014-04-16,2731.8
2014-04-17,2740.7
2014-04-21,2751.95
2014-04-22,2774.5
2014-04-23,2783.95
2014-04-25,2799.35
2014-04-28,2803.4
2014-04-29,2795.65
2014-04-30,2785.85
2014-05-02,2783.25
2014-05-05,2794.45
2014-05-06,2797.25
2014-05-07,2799.8
2014-05-08,2777.05
2014-05-09,2763.65
2014-05-12,2758.4
2014-05-13,2744.4
2014-05-14,2740.9
2014-05-15,2738.05
2014-05-16,2701.5
2014-05-19,2675.75
2014-05-20,2664.1
2014-05-21,2654.05
2014-05-22,2559.8
2014-05-23,2550.9
2014-05-26,2559.1
2014-05-27,2545.65
2014-05-28,2525.45
2014-05-29,2492.6
2014-05-30,2492.1
2014-06-02,2480.15
2014-06-03,2481.35
2014-06-04,2477.1
2014-06-05,2471.45
2014-06-06,2473.3
2014-06-09,2466.55
2014-06-10,2469.65
2014-06-11,2484.5
2014-06-12,2485.15
2014-06-13,2512.25
2014-06-16,2559.4
2014-06-17,2533.55
2014-06-18,2542.95
2014-06-19,2553.85
2014-06-20,2609.4
2014-06-23,2607.35
2014-06-24,2619.35
2014-06-25,2604.15
2014-06-26,2606.7
2014-06-27,2600.85
2014-06-30,2606.75
2014-07-01,2607.8
2014-07-02,2596.95
2014-07-03,2580.0
2014-07-04,2580.2
2014-07-07,2565.05
2014-07-08,2563.05
2014-07-09,2570.1
2014-07-10,2633.65
2014-07-11,2625.15
2014-07-14,2609.25
2014-07-15,2594.95
2014-07-16,2578.25
2014-07-17,2585.05
2014-07-18,2595.7
2014-07-21,2595.7
2014-07-22,2585.65
2014-07-23,2581.1
2014-07-24,2567.3
2014-07-25,2551.6
2014-07-28,2576.75
2014-07-30,2568.2
2014-07-31,2569.15
2014-08-01,2578.75
2014-08-04,2589.2
2014-08-05,2584.65
2014-08-06,2597.85
2014-08-07,2617.9
2014-08-08,2647.95
2014-08-11,2619.65
2014-08-12,2632.35
2014-08-13,2625.9
2014-08-14,2627.8
2014-08-18,2602.45
2014-08-19,2592.25
2014-08-20,2595.7
2014-08-21,2569.45
2014-08-22,2573.8
2014-08-25,2553.25
2014-08-26,2568.8
2014-08-27,2560.15
2014-08-28,2570.75
2014-09-01,2570.95
2014-09-02,2556.2
2014-09-03,2546.25
2014-09-04,2535.65
2014-09-05,2528.2
2014-09-08,2518.35
2014-09-09,2509.85
2014-09-10,2525.15
2014-09-11,2510.95
2014-09-12,2500.45
2014-09-15,2498.75
2014-09-16,2500.85
2014-09-17,2485.4
2014-09-18,2486.1
2014-09-19,2479.85
2014-09-22,2468.95
2014-09-23,2478.9
2014-09-24,2489.5
2014-09-25,2476.65
2014-09-26,2476.6
2014-09-29,2480.7
2014-09-30,2469.8
2014-10-01,2469.6
2014-10-07,2459.05
2014-10-08,2488.4
2014-10-09,2490.4
2014-10-10,2486.25
2014-10-13,2494.0
2014-10-14,2498.35
