Date,GILLETTE
2014-01-01,2054.6
2014-01-02,2024.75
2014-01-03,2072.5
2014-01-06,2139.4
2014-01-07,2201.1
2014-01-08,2117.35
2014-01-09,2067.5
2014-01-10,2074.85
2014-01-13,2075.85
2014-01-14,2087.8
2014-01-15,2100.1
2014-01-16,2110.1
2014-01-17,2099.55
2014-01-20,2097.6
2014-01-21,2093.75
2014-01-22,2088.2
2014-01-23,2145.5
2014-01-24,2118.55
2014-01-27,2055.55
2014-01-28,2068.45
2014-01-29,2087.2
2014-01-30,2061.1
2014-01-31,2051.5
2014-02-03,2035.1
2014-02-04,2021.25
2014-02-05,2031.35
2014-02-06,2005.35
2014-02-07,1981.6
2014-02-10,1978.15
2014-02-11,1995.85
2014-02-12,2006.85
2014-02-13,2010.2
2014-02-14,1974.25
2014-02-17,1973.9
2014-02-18,1952.3
2014-02-19,1956.6
2014-02-20,1943.8
2014-02-21,1952.5
2014-02-24,1961.05
2014-02-25,1968.5
2014-02-26,1942.7
2014-02-28,1942.85
2014-03-03,1953.3
2014-03-04,1953.75
2014-03-05,1947.15
2014-03-06,1949.95
2014-03-07,1942.2
2014-03-10,1941.95
2014-03-11,1934.6
2014-03-12,1931.7
2014-03-13,1928.9
2014-03-14,1919.75
2014-03-18,1914.2
2014-03-19,1903.95
2014-03-20,1897.25
2014-03-21,1891.65
2014-03-22,1898.0
2014-03-24,1880.0
2014-03-25,1877.0
2014-03-26,1913.45
2014-03-27,1931.4
2014-03-28,1992.3
2014-03-31,1973.55
2014-04-01,1980.2
2014-04-02,1953.45
2014-04-03,1930.8
2014-04-04,1936.25
2014-04-07,1950.9
2014-04-09,1948.85
2014-04-10,1943.0
2014-04-11,1918.7
2014-04-15,1906.4
2014-04-16,1895.65
2014-04-17,1888.95
2014-04-21,1899.3
2014-04-22,1888.2
2014-04-23,1901.35
2014-04-25,1899.8
2014-04-28,1902.0
2014-04-29,1900.2
2014-04-30,1902.5
2014-05-02,1897.1
2014-05-05,1895.65
