Date,HATHWAY
2014-01-01,276.95
2014-01-02,276.8
2014-01-03,275.5
2014-01-06,282.75
2014-01-07,277.0
2014-01-08,274.65
2014-01-09,269.95
2014-01-10,265.85
2014-01-13,259.9
2014-01-14,257.45
2014-01-15,259.35
2014-01-16,258.2
2014-01-17,259.4
2014-01-20,259.2
2014-01-21,253.7
2014-01-22,256.5
2014-01-23,256.15
2014-01-24,257.8
2014-01-27,256.6
2014-01-28,257.1
2014-01-29,258.15
2014-01-30,251.1
2014-01-31,255.0
2014-02-03,251.45
2014-02-04,251.85
2014-02-05,252.25
2014-02-06,250.5
2014-02-07,259.8
2014-02-10,265.65
2014-02-11,258.75
2014-02-12,261.25
2014-02-13,256.9
2014-02-14,252.85
2014-02-17,254.8
2014-02-18,249.35
2014-02-19,248.05
2014-02-20,245.8
2014-02-21,249.45
2014-02-24,244.4
2014-02-25,242.25
2014-02-26,244.55
2014-02-28,244.45
2014-03-03,253.4
2014-03-04,246.7
2014-03-05,247.0
2014-03-06,253.5
2014-03-07,250.0
2014-03-10,247.6
2014-03-11,247.05
2014-03-12,246.5
2014-03-13,248.0
2014-03-14,244.5
2014-03-18,247.65
2014-03-19,249.45
2014-03-20,243.45
2014-03-21,249.9
2014-03-22,246.25
2014-03-24,246.25
2014-03-25,248.8
2014-03-26,248.3
2014-03-27,246.35
2014-03-28,244.05
2014-03-31,242.35
2014-04-01,247.9
2014-04-02,249.75
2014-04-03,244.15
2014-04-04,245.8
2014-04-07,242.35
2014-04-09,244.3
2014-04-10,243.1
2014-04-11,240.65
2014-04-15,234.2
2014-04-16,227.8
2014-04-17,240.75
2014-04-21,243.8
2014-04-22,240.0
2014-04-23,242.05
2014-04-25,239.8
2014-04-28,242.4
2014-04-29,245.0
2014-04-30,244.75
2014-05-02,245.0
2014-05-05,242.5
2014-05-06,245.0
2014-05-07,245.1
2014-05-08,243.25
2014-05-09,244.95
2014-05-12,247.75
2014-05-13,250.2
2014-05-14,245.95
2014-05-15,243.95
2014-05-16,250.55
2014-05-19,250.25
2014-05-20,271.15
2014-05-21,278.4
2014-05-22,300.35
2014-05-23,298.85
2014-05-26,275.7
2014-05-27,269.9
2014-05-28,273.25
2014-05-29,290.3
2014-05-30,328.4
2014-06-02,310.45
2014-06-03,317.7
2014-06-04,316.9
2014-06-05,311.9
2014-06-06,323.95
2014-06-09,352.75
2014-06-10,355.55
2014-06-11,334.35
2014-06-12,321.6
2014-06-13,306.1
2014-06-16,305.3
2014-06-17,314.45
2014-06-18,317.15
2014-06-19,319.0
2014-06-20,307.9
2014-06-23,292.4
2014-06-24,304.05
2014-06-25,302.95
2014-06-26,319.4
2014-06-27,310.75
2014-06-30,316.4
2014-07-01,316.15
2014-07-02,327.15
2014-07-03,318.15
2014-07-04,319.1
2014-07-07,322.55
2014-07-08,314.4
2014-07-09,310.0
2014-07-10,316.8
2014-07-11,316.4
2014-07-14,314.95
2014-07-15,315.95
2014-07-16,320.0
2014-07-17,322.05
2014-07-18,320.0
2014-07-21,320.45
2014-07-22,321.95
2014-07-23,321.4
2014-07-24,318.2
2014-07-25,312.3
2014-07-28,307.7
2014-07-30,310.05
2014-07-31,320.2
2014-08-01,313.55
2014-08-04,319.3
2014-08-05,319.0
2014-08-06,308.05
2014-08-07,297.0
2014-08-08,287.15
2014-08-11,285.0
2014-08-12,288.05
2014-08-13,274.6
2014-08-14,274.3
2014-08-18,265.15
2014-08-19,269.95
2014-08-20,279.95
2014-08-21,279.95
2014-08-22,275.65
2014-08-25,285.35
2014-08-26,285.05
2014-08-27,279.0
2014-08-28,273.75
2014-09-01,267.0
2014-09-02,276.85
2014-09-03,280.25
2014-09-04,294.0
2014-09-05,293.85
2014-09-08,295.6
2014-09-09,285.5
2014-09-10,301.9
2014-09-11,296.65
2014-09-12,297.7
2014-09-15,293.35
2014-09-16,283.05
2014-09-17,277.25
2014-09-18,280.85
2014-09-19,274.0
2014-09-22,284.6
2014-09-23,291.55
2014-09-24,287.4
2014-09-25,283.0
2014-09-26,276.75
2014-09-29,290.3
2014-09-30,291.35
2014-10-01,292.4
2014-10-07,304.8
2014-10-08,305.05
2014-10-09,307.8
2014-10-10,294.5
2014-10-13,297.75
2014-10-14,300.65
2014-10-16,298.5
2014-10-17,300.3
2014-10-20,303.05
2014-10-21,305.25
2014-10-22,307.75
2014-10-23,305.85
2014-10-27,300.3
2014-10-28,306.5
2014-10-29,302.4
2014-10-30,302.35
2014-10-31,308.7
2014-11-03,305.1
2014-11-05,309.75
2014-11-07,322.5
2014-11-10,314.7
2014-11-11,313.3
2014-11-12,319.9
2014-11-13,322.2
2014-11-14,326.9
2014-11-17,345.35
2014-11-18,350.55
2014-11-19,358.6
2014-11-20,352.4
2014-11-21,357.4
2014-11-24,349.95
2014-11-25,349.95
2014-11-26,350.25
2014-11-27,351.3
2014-11-28,358.95
2014-12-01,362.05
2014-12-02,370.35
2014-12-03,369.8
2014-12-04,369.45
2014-12-05,364.3
2014-12-08,365.3
2014-12-09,356.3
2014-12-10,366.95
2014-12-11,359.35
2014-12-12,348.75
2014-12-15,352.4
2014-12-16,350.2
2014-12-17,334.0
2014-12-18,327.5
2014-12-19,325.55
2014-12-22,332.75
2014-12-23,332.2
2014-12-24,348.0
2014-12-26,349.9
2014-12-29,346.1
2014-12-30,349.5
2014-12-31,349.95
