Date,TGBHOTELS
2014-01-01,63.0
2014-01-02,61.85
2014-01-03,62.7
2014-01-06,62.35
2014-01-07,61.7
2014-01-08,61.1
2014-01-09,62.15
2014-01-10,61.25
2014-01-13,60.65
2014-01-14,59.5
2014-01-15,59.15
2014-01-16,59.7
2014-01-17,58.9
2014-01-20,58.8
2014-01-21,59.0
2014-01-22,58.4
2014-01-23,60.0
2014-01-24,59.6
2014-01-27,58.7
2014-01-28,59.7
2014-01-29,58.45
2014-01-30,56.95
2014-01-31,58.55
2014-02-03,57.65
2014-02-04,54.65
2014-02-05,57.25
2014-02-06,56.25
2014-02-07,56.05
2014-02-10,54.65
2014-02-11,53.3
2014-02-12,52.8
2014-02-13,51.85
2014-02-14,51.85
2014-02-17,50.9
2014-02-18,52.45
2014-02-19,51.7
2014-02-20,51.9
2014-02-21,52.4
2014-02-24,51.1
2014-02-25,51.65
2014-02-26,51.4
2014-02-28,52.1
2014-03-03,51.35
2014-03-04,51.0
2014-03-05,51.35
2014-03-06,51.45
2014-03-07,51.05
2014-03-10,50.85
2014-03-11,50.8
2014-03-12,48.75
2014-03-13,47.45
2014-03-14,47.25
2014-03-18,47.7
2014-03-19,47.7
2014-03-20,47.35
2014-03-21,50.1
2014-03-24,49.0
2014-03-25,48.7
2014-03-26,48.0
2014-03-27,48.2
2014-03-28,49.35
2014-03-31,49.95
2014-04-01,51.0
2014-04-02,52.0
2014-04-03,50.5
2014-04-04,48.2
2014-04-07,48.65
2014-04-09,50.5
2014-04-10,49.75
2014-04-11,50.85
2014-04-15,50.55
2014-04-16,50.25
2014-04-17,49.25
2014-04-21,49.0
2014-04-22,49.6
2014-04-23,48.75
2014-04-25,48.2
2014-04-28,49.7
2014-04-29,49.75
2014-04-30,49.8
2014-05-02,50.6
2014-05-05,49.7
2014-05-06,50.3
2014-05-07,49.2
2014-05-08,49.2
2014-05-09,49.45
2014-05-12,59.3
2014-05-13,57.7
2014-05-14,57.05
2014-05-15,54.45
2014-05-16,57.45
2014-05-19,62.65
2014-05-20,61.95
2014-05-21,65.0
2014-05-22,69.1
2014-05-23,66.2
2014-05-26,64.85
2014-05-27,62.1
2014-05-28,63.15
2014-05-29,61.8
2014-05-30,62.15
2014-06-02,64.2
2014-06-03,65.2
2014-06-04,66.0
2014-06-05,66.1
2014-06-06,67.1
2014-06-09,79.8
2014-06-10,76.3
2014-06-11,76.35
2014-06-12,73.4
2014-06-13,68.0
2014-06-16,66.25
2014-06-17,70.45
2014-06-18,71.75
2014-06-19,69.1
2014-06-20,70.55
2014-06-23,69.5
2014-06-24,69.7
2014-06-25,69.85
2014-06-26,69.2
2014-06-27,67.45
2014-06-30,67.55
2014-07-01,69.5
2014-07-02,68.1
2014-07-03,66.8
2014-07-04,66.35
2014-07-07,64.95
2014-07-08,63.1
2014-07-09,62.0
2014-07-10,62.2
2014-07-11,61.95
2014-07-14,61.2
2014-07-15,60.7
2014-07-16,60.8
2014-07-17,62.6
2014-07-18,60.3
2014-07-21,59.8
2014-07-22,59.65
2014-07-23,58.75
2014-07-24,59.55
2014-07-25,58.25
2014-07-28,58.95
2014-07-30,59.25
2014-07-31,58.25
2014-08-01,58.3
2014-08-04,58.0
2014-08-05,57.6
2014-08-06,56.1
2014-08-07,55.45
2014-08-08,55.3
2014-08-11,54.8
2014-08-12,56.6
2014-08-13,54.5
2014-08-14,55.45
2014-08-18,55.4
2014-08-19,56.9
2014-08-20,55.3
2014-08-21,56.05
2014-08-22,55.0
2014-08-25,53.55
2014-08-26,56.0
2014-08-27,53.8
2014-08-28,53.4
2014-09-01,57.65
2014-09-02,56.2
2014-09-03,54.6
2014-09-04,54.9
2014-09-05,54.25
2014-09-08,56.35
2014-09-09,55.1
2014-09-10,55.6
2014-09-11,54.7
2014-09-12,55.0
2014-09-15,65.9
2014-09-16,60.0
2014-09-17,58.1
2014-09-18,60.9
2014-09-19,60.65
2014-09-22,64.7
2014-09-23,61.35
2014-09-24,59.5
2014-09-25,57.1
2014-09-26,58.75
2014-09-29,58.6
2014-09-30,58.0
2014-10-01,58.45
2014-10-07,58.0
2014-10-08,58.95
2014-10-09,59.95
2014-10-10,57.65
2014-10-13,58.45
2014-10-14,58.5
2014-10-16,57.05
2014-10-17,57.0
2014-10-20,57.0
2014-10-21,58.55
2014-10-22,57.0
2014-10-23,57.05
2014-10-27,56.35
2014-10-28,58.0
2014-10-29,56.5
2014-10-30,56.0
2014-10-31,55.25
2014-11-03,59.15
2014-11-05,58.0
2014-11-07,56.55
2014-11-10,56.5
2014-11-11,56.35
2014-11-12,57.35
2014-11-13,57.5
2014-11-14,56.4
2014-11-17,56.2
2014-11-18,56.5
2014-11-19,56.85
2014-11-20,55.7
2014-11-21,54.6
2014-11-24,55.5
2014-11-25,54.65
2014-11-26,53.85
2014-11-27,53.6
2014-11-28,53.0
2014-12-01,53.0
2014-12-02,52.1
2014-12-03,52.5
2014-12-04,53.1
2014-12-05,52.55
2014-12-08,50.9
2014-12-09,52.75
2014-12-10,53.8
2014-12-11,52.5
2014-12-12,49.65
2014-12-15,49.25
2014-12-16,50.0
2014-12-17,48.0
2014-12-18,48.2
2014-12-19,49.45
2014-12-22,49.3
2014-12-23,49.85
2014-12-24,49.45
2014-12-26,47.45
2014-12-29,48.45
2014-12-30,48.0
2014-12-31,48.45
