Date,ARCHIES
2014-01-01,20.15
2014-01-02,19.1
2014-01-03,18.6
2014-01-06,18.6
2014-01-07,18.55
2014-01-08,18.45
2014-01-09,18.45
2014-01-10,18.3
2014-01-13,18.1
2014-01-14,18.1
2014-01-15,18.2
2014-01-16,18.05
2014-01-17,17.4
2014-01-20,17.6
2014-01-21,19.55
2014-01-22,23.45
2014-01-23,21.1
2014-01-24,20.2
2014-01-27,18.8
2014-01-28,19.0
2014-01-29,18.15
2014-01-30,17.35
2014-01-31,17.9
2014-02-03,17.55
2014-02-04,17.65
2014-02-05,17.5
2014-02-06,18.95
2014-02-07,18.6
2014-02-10,18.4
2014-02-11,18.2
2014-02-12,17.9
2014-02-13,17.8
2014-02-14,17.35
2014-02-17,16.8
2014-02-18,16.5
2014-02-19,16.45
2014-02-20,15.9
2014-02-21,16.0
2014-02-24,15.8
2014-02-25,15.7
2014-02-26,15.85
2014-02-28,15.5
2014-03-03,15.55
2014-03-04,15.65
2014-03-05,15.7
2014-03-06,16.15
2014-03-07,16.15
2014-03-10,16.4
2014-03-11,16.2
2014-03-12,15.75
2014-03-13,15.8
2014-03-14,15.65
2014-03-18,15.7
2014-03-19,15.55
2014-03-20,15.55
2014-03-21,16.0
2014-03-22,15.8
2014-03-24,15.75
2014-03-25,15.55
2014-03-26,15.65
2014-03-27,15.8
2014-03-28,15.9
2014-03-31,16.85
2014-04-01,16.65
2014-04-02,17.5
2014-04-03,16.75
2014-04-04,17.7
2014-04-07,18.45
2014-04-09,18.75
2014-04-10,18.3
2014-04-11,18.9
2014-04-15,18.55
2014-04-16,18.15
2014-04-17,17.95
2014-04-21,19.5
2014-04-22,19.25
2014-04-23,18.55
2014-04-25,18.2
2014-04-28,17.85
2014-04-29,17.5
2014-04-30,16.8
2014-05-02,17.15
2014-05-05,16.85
2014-05-06,16.95
2014-05-07,16.85
2014-05-08,16.7
2014-05-09,16.65
2014-05-12,17.25
2014-05-13,17.4
2014-05-14,17.65
2014-05-15,17.2
2014-05-16,17.45
2014-05-19,18.9
2014-05-20,19.65
2014-05-21,21.0
2014-05-22,22.75
2014-05-23,22.65
2014-05-26,20.95
2014-05-27,20.0
2014-05-28,20.4
2014-05-29,20.35
2014-05-30,19.8
2014-06-02,20.4
2014-06-03,20.85
2014-06-04,21.85
2014-06-05,22.0
2014-06-06,22.3
2014-06-09,22.65
2014-06-10,21.85
2014-06-11,22.35
2014-06-12,22.2
2014-06-13,20.9
2014-06-16,20.4
2014-06-17,21.05
2014-06-18,21.45
2014-06-19,21.05
2014-06-20,20.45
2014-06-23,20.4
2014-06-24,20.85
2014-06-25,20.65
2014-06-26,20.55
2014-06-27,21.55
2014-06-30,22.35
2014-07-01,22.25
2014-07-02,22.4
2014-07-03,22.2
2014-07-04,22.8
2014-07-07,22.3
2014-07-08,23.0
2014-07-09,21.45
2014-07-10,21.35
2014-07-11,20.2
2014-07-14,19.85
2014-07-15,20.2
2014-07-16,20.75
2014-07-17,20.75
2014-07-18,20.4
2014-07-21,21.55
2014-07-22,21.15
2014-07-23,20.85
2014-07-24,20.5
2014-07-25,20.05
2014-07-28,19.9
2014-07-30,20.0
2014-07-31,20.0
2014-08-01,19.55
2014-08-04,19.75
2014-08-05,21.55
2014-08-06,21.75
2014-08-07,20.35
2014-08-08,18.95
2014-08-11,19.0
2014-08-12,19.1
2014-08-13,18.25
2014-08-14,18.6
2014-08-18,18.75
2014-08-19,18.95
2014-08-20,19.4
2014-08-21,18.95
2014-08-22,18.65
2014-08-25,18.4
2014-08-26,18.5
2014-08-27,19.15
2014-08-28,18.75
2014-09-01,19.05
2014-09-02,20.2
2014-09-03,19.45
2014-09-04,19.1
2014-09-05,19.2
2014-09-08,21.45
2014-09-09,22.4
2014-09-10,21.65
2014-09-11,25.4
2014-09-12,26.75
2014-09-15,29.9
2014-09-16,26.2
2014-09-17,25.5
2014-09-18,30.6
2014-09-19,32.5
2014-09-22,32.85
2014-09-23,30.55
2014-09-24,30.9
2014-09-25,29.3
2014-09-26,29.55
2014-09-29,31.3
2014-09-30,30.25
2014-10-01,28.9
2014-10-07,28.95
2014-10-08,27.9
2014-10-09,28.9
2014-10-10,29.8
2014-10-13,30.9
2014-10-14,29.75
2014-10-16,28.05
2014-10-17,27.9
2014-10-20,28.15
2014-10-21,27.4
2014-10-22,27.85
2014-10-23,28.5
2014-10-27,29.65
2014-10-28,30.25
2014-10-29,30.35
2014-10-30,29.65
2014-10-31,29.8
2014-11-03,32.35
2014-11-05,30.85
2014-11-07,29.8
2014-11-10,31.75
2014-11-11,31.2
2014-11-12,30.5
2014-11-13,31.2
2014-11-14,31.9
2014-11-17,31.85
2014-11-18,31.65
2014-11-19,30.85
2014-11-20,30.85
2014-11-21,30.95
2014-11-24,30.75
2014-11-25,29.8
2014-11-26,29.65
2014-11-27,34.3
2014-11-28,32.8
2014-12-01,32.75
2014-12-02,34.8
2014-12-03,33.9
2014-12-04,30.9
2014-12-05,30.15
2014-12-08,29.35
2014-12-09,26.7
2014-12-10,27.8
2014-12-11,26.9
2014-12-12,25.85
2014-12-15,26.35
2014-12-16,24.75
2014-12-17,24.15
2014-12-18,25.55
2014-12-19,26.05
2014-12-22,26.3
2014-12-23,25.75
2014-12-24,25.3
2014-12-26,28.05
2014-12-29,28.0
2014-12-30,27.8
2014-12-31,29.1
