Date,PCJEWELLER
2014-01-01,86.15
2014-01-02,85.65
2014-01-03,86.7
2014-01-06,84.45
2014-01-07,83.8
2014-01-08,83.55
2014-01-09,83.4
2014-01-10,81.05
2014-01-13,80.25
2014-01-14,78.35
2014-01-15,79.1
2014-01-16,77.7
2014-01-17,76.6
2014-01-20,77.25
2014-01-21,77.55
2014-01-22,77.2
2014-01-23,80.3
2014-01-24,76.8
2014-01-27,73.3
2014-01-28,73.05
2014-01-29,75.05
2014-01-30,72.45
2014-01-31,73.85
2014-02-03,73.1
2014-02-04,74.15
2014-02-05,75.65
2014-02-06,77.6
2014-02-07,76.25
2014-02-10,78.4
2014-02-11,81.05
2014-02-12,82.95
2014-02-13,86.25
2014-02-14,90.35
2014-02-17,87.85
2014-02-18,91.5
2014-02-19,94.0
2014-02-20,96.55
2014-02-21,99.55
2014-02-24,98.8
2014-02-25,101.2
2014-02-26,103.45
2014-02-28,104.15
2014-03-03,108.1
2014-03-04,111.6
2014-03-05,104.55
2014-03-06,107.95
2014-03-07,103.65
2014-03-10,100.95
2014-03-11,98.45
2014-03-12,98.85
2014-03-13,96.2
2014-03-14,94.7
2014-03-18,101.05
2014-03-19,99.55
2014-03-20,96.8
2014-03-21,98.15
2014-03-22,100.25
2014-03-24,99.25
2014-03-25,99.05
2014-03-26,97.85
2014-03-27,97.2
2014-03-28,96.15
2014-03-31,96.9
2014-04-01,96.7
2014-04-02,97.15
2014-04-03,95.85
2014-04-04,95.9
2014-04-07,94.85
2014-04-09,96.55
2014-04-10,95.85
2014-04-11,94.65
2014-04-15,96.9
2014-04-16,94.45
2014-04-17,96.1
2014-04-21,94.8
2014-04-22,94.3
2014-04-23,94.85
2014-04-25,95.45
2014-04-28,95.5
2014-04-29,94.9
2014-04-30,91.4
2014-05-02,92.55
2014-05-05,91.75
2014-05-06,92.15
2014-05-07,94.95
2014-05-08,94.95
2014-05-09,93.8
2014-05-12,94.55
2014-05-13,96.8
2014-05-14,94.8
2014-05-15,93.7
2014-05-16,92.85
2014-05-19,95.85
2014-05-20,101.65
2014-05-21,103.45
2014-05-22,123.35
2014-05-23,123.15
2014-05-26,118.6
2014-05-27,119.45
2014-05-28,116.35
2014-05-29,118.7
2014-05-30,110.8
2014-06-02,111.3
2014-06-03,114.35
2014-06-04,113.2
2014-06-05,114.35
2014-06-06,113.1
2014-06-09,116.65
2014-06-10,125.45
2014-06-11,121.25
2014-06-12,118.65
2014-06-13,112.15
2014-06-16,113.8
2014-06-17,115.3
2014-06-18,112.1
2014-06-19,109.5
2014-06-20,109.0
2014-06-23,111.75
2014-06-24,113.15
2014-06-25,113.85
2014-06-26,115.15
2014-06-27,119.9
2014-06-30,122.45
2014-07-01,124.85
2014-07-02,126.55
2014-07-03,135.0
2014-07-04,142.6
2014-07-07,134.45
2014-07-08,126.9
2014-07-09,129.65
2014-07-10,122.35
2014-07-11,117.15
2014-07-14,112.8
2014-07-15,118.2
2014-07-16,117.2
2014-07-17,119.6
2014-07-18,119.45
2014-07-21,121.55
2014-07-22,119.5
2014-07-23,121.0
2014-07-24,122.75
2014-07-25,121.6
2014-07-28,122.6
2014-07-30,123.9
2014-07-31,128.45
2014-08-01,128.05
2014-08-04,132.5
2014-08-05,139.05
2014-08-06,140.3
2014-08-07,144.7
2014-08-08,147.55
2014-08-11,138.65
2014-08-12,133.45
2014-08-13,129.65
2014-08-14,127.35
2014-08-18,142.9
2014-08-19,140.7
2014-08-20,142.3
2014-08-21,153.8
2014-08-22,155.95
2014-08-25,159.2
2014-08-26,161.6
2014-08-27,165.35
2014-08-28,181.15
2014-09-01,185.4
2014-09-02,191.6
2014-09-03,189.35
2014-09-04,181.8
2014-09-05,176.2
2014-09-08,184.35
2014-09-09,181.1
2014-09-10,180.45
2014-09-11,190.9
2014-09-12,191.15
2014-09-15,207.7
2014-09-16,202.5
2014-09-17,198.25
2014-09-18,205.2
2014-09-19,217.0
2014-09-22,258.65
2014-09-23,253.65
2014-09-24,209.25
2014-09-25,224.5
2014-09-26,221.0
2014-09-29,226.2
2014-09-30,234.5
2014-10-01,231.55
2014-10-07,232.9
2014-10-08,227.1
2014-10-09,223.65
2014-10-10,215.55
2014-10-13,208.95
2014-10-14,212.55
2014-10-16,202.55
2014-10-17,200.9
2014-10-20,199.85
2014-10-21,198.3
2014-10-22,212.2
2014-10-23,211.95
2014-10-27,241.45
2014-10-28,243.25
2014-10-29,250.55
2014-10-30,247.4
2014-10-31,241.8
2014-11-03,236.2
2014-11-05,236.5
2014-11-07,235.85
2014-11-10,243.8
2014-11-11,246.65
2014-11-12,243.8
2014-11-13,244.35
2014-11-14,251.35
2014-11-17,252.1
2014-11-18,244.45
2014-11-19,247.2
2014-11-20,244.8
2014-11-21,239.1
2014-11-24,237.55
2014-11-25,242.8
2014-11-26,243.15
2014-11-27,239.6
2014-11-28,241.15
2014-12-01,247.1
2014-12-02,241.4
2014-12-03,251.3
2014-12-04,243.3
2014-12-05,239.15
2014-12-08,233.95
2014-12-09,228.95
2014-12-10,234.8
2014-12-11,232.2
2014-12-12,215.45
2014-12-15,206.7
2014-12-16,185.6
2014-12-17,172.4
2014-12-18,199.95
2014-12-19,195.3
2014-12-22,201.45
2014-12-23,205.35
2014-12-24,209.95
2014-12-26,210.7
2014-12-29,211.25
2014-12-30,211.95
2014-12-31,216.25
