Date,PFOCUS
2014-01-01,28.9
2014-01-02,28.2
2014-01-03,28.55
2014-01-06,28.85
2014-01-07,32.5
2014-01-08,36.4
2014-01-09,33.5
2014-01-10,32.4
2014-01-13,32.75
2014-01-14,31.85
2014-01-15,31.8
2014-01-16,31.3
2014-01-17,29.75
2014-01-20,30.05
2014-01-21,30.7
2014-01-22,31.1
2014-01-23,32.85
2014-01-24,30.8
2014-01-27,29.35
2014-01-28,29.05
2014-01-29,29.3
2014-01-30,28.75
2014-01-31,29.85
2014-02-03,29.25
2014-02-04,29.15
2014-02-05,29.6
2014-02-06,29.65
2014-02-07,29.45
2014-02-10,29.0
2014-02-11,28.85
2014-02-12,28.75
2014-02-13,28.55
2014-02-14,28.25
2014-02-17,28.2
2014-02-18,27.4
2014-02-19,27.45
2014-02-20,27.4
2014-02-21,28.5
2014-02-24,27.8
2014-02-25,28.15
2014-02-26,28.0
2014-02-28,28.05
2014-03-03,27.7
2014-03-04,28.15
2014-03-05,27.95
2014-03-06,28.4
2014-03-07,27.9
2014-03-10,28.05
2014-03-11,28.55
2014-03-12,28.75
2014-03-13,28.2
2014-03-14,27.9
2014-03-18,27.4
2014-03-19,27.65
2014-03-20,27.3
2014-03-21,26.95
2014-03-22,27.4
2014-03-24,27.25
2014-03-25,27.05
2014-03-26,26.85
2014-03-27,26.95
2014-03-28,27.05
2014-03-31,27.25
2014-04-01,27.7
2014-04-02,28.75
2014-04-03,27.9
2014-04-04,27.9
2014-04-07,27.95
2014-04-09,29.5
2014-04-10,30.05
2014-04-11,31.5
2014-04-15,30.95
2014-04-16,29.2
2014-04-17,29.7
2014-04-21,29.95
2014-04-22,29.3
2014-04-23,28.7
2014-04-25,29.25
2014-04-28,29.05
2014-04-29,28.6
2014-04-30,28.1
2014-05-02,27.75
2014-05-05,27.6
2014-05-06,27.6
2014-05-07,27.4
2014-05-08,26.8
2014-05-09,27.0
2014-05-12,27.1
2014-05-13,26.55
2014-05-14,26.9
2014-05-15,26.8
2014-05-16,26.45
2014-05-19,30.4
2014-05-20,31.1
2014-05-21,32.65
2014-05-22,33.15
2014-05-23,34.3
2014-05-26,33.5
2014-05-27,33.85
2014-05-28,35.4
2014-05-29,35.0
2014-05-30,36.2
2014-06-02,39.5
2014-06-03,40.25
2014-06-04,43.3
2014-06-05,42.1
2014-06-06,41.7
2014-06-09,42.05
2014-06-10,42.65
2014-06-11,40.65
2014-06-12,39.4
2014-06-13,37.9
2014-06-16,38.6
2014-06-17,38.9
2014-06-18,38.6
2014-06-19,38.55
2014-06-20,41.55
2014-06-23,48.1
2014-06-24,47.8
2014-06-25,48.65
2014-06-26,48.65
2014-06-27,48.8
2014-06-30,49.45
2014-07-01,54.75
2014-07-02,54.6
2014-07-03,52.0
2014-07-04,50.7
2014-07-07,49.65
2014-07-08,49.25
2014-07-09,48.8
2014-07-10,49.2
2014-07-11,49.5
2014-07-14,49.55
2014-07-15,49.75
2014-07-16,49.8
2014-07-17,49.95
2014-07-18,49.8
2014-07-21,49.9
2014-07-22,50.0
2014-07-23,49.9
2014-07-24,49.95
2014-07-25,49.8
2014-07-28,50.3
2014-07-30,50.45
2014-07-31,49.85
2014-08-01,49.75
2014-08-04,49.75
2014-08-05,49.7
2014-08-06,49.7
2014-08-07,49.6
2014-08-08,49.5
2014-08-11,49.45
2014-08-12,49.85
2014-08-13,49.5
2014-08-14,49.6
2014-08-18,49.6
2014-08-19,49.4
2014-08-20,49.4
2014-08-21,49.35
2014-08-22,49.35
2014-08-25,49.3
2014-08-26,49.15
2014-08-27,49.0
2014-08-28,49.0
2014-09-01,49.0
2014-09-02,49.1
2014-09-03,49.0
2014-09-04,48.9
2014-09-05,48.8
2014-09-08,49.05
2014-09-09,48.95
2014-09-10,48.95
2014-09-11,49.0
2014-09-12,48.95
2014-09-15,48.6
2014-09-16,48.55
2014-09-17,48.55
2014-09-18,48.55
2014-09-19,48.6
2014-09-22,48.65
2014-09-23,48.7
2014-09-24,48.55
2014-09-25,48.3
2014-09-26,48.75
2014-09-29,48.8
2014-09-30,48.95
2014-10-01,48.95
2014-10-07,48.55
2014-10-08,48.6
2014-10-09,48.85
2014-10-10,49.05
2014-10-13,49.05
2014-10-14,49.05
2014-10-16,48.6
2014-10-17,48.35
2014-10-20,48.0
2014-10-21,48.1
2014-10-22,48.3
2014-10-23,48.3
2014-10-27,48.35
2014-10-28,48.45
2014-10-29,48.8
2014-10-30,48.75
2014-10-31,48.8
2014-11-03,49.1
2014-11-05,49.4
2014-11-07,49.15
2014-11-10,49.1
2014-11-11,49.05
2014-11-12,49.0
2014-11-13,48.8
2014-11-14,48.65
2014-11-17,48.65
2014-11-18,48.9
2014-11-19,48.7
2014-11-20,48.8
2014-11-21,48.85
2014-11-24,48.55
2014-11-25,48.35
2014-11-26,48.55
2014-11-27,48.7
2014-11-28,48.6
2014-12-01,48.95
2014-12-02,48.65
2014-12-03,49.05
2014-12-04,50.7
2014-12-05,50.85
2014-12-08,50.6
2014-12-09,50.6
2014-12-10,50.6
2014-12-11,50.55
2014-12-12,50.7
2014-12-15,50.75
2014-12-16,50.75
2014-12-17,50.95
2014-12-18,51.0
2014-12-19,51.1
2014-12-22,51.15
2014-12-23,51.2
2014-12-24,51.25
2014-12-26,51.2
2014-12-29,51.3
2014-12-30,51.3
2014-12-31,51.25
