Date,IDBI
2014-01-01,67.6
2014-01-02,65.6
2014-01-03,66.15
2014-01-06,65.55
2014-01-07,64.25
2014-01-08,66.8
2014-01-09,64.75
2014-01-10,64.1
2014-01-13,64.2
2014-01-14,64.05
2014-01-15,65.35
2014-01-16,64.75
2014-01-17,63.2
2014-01-20,63.15
2014-01-21,63.85
2014-01-22,63.45
2014-01-23,63.65
2014-01-24,61.45
2014-01-27,57.45
2014-01-28,56.2
2014-01-29,54.35
2014-01-30,54.75
2014-01-31,55.55
2014-02-03,54.4
2014-02-04,55.55
2014-02-05,55.05
2014-02-06,54.2
2014-02-07,54.7
2014-02-10,54.7
2014-02-11,54.9
2014-02-12,54.7
2014-02-13,53.85
2014-02-14,55.0
2014-02-17,56.05
2014-02-18,56.45
2014-02-19,56.1
2014-02-20,55.9
2014-02-21,56.15
2014-02-24,56.1
2014-02-25,55.9
2014-02-26,55.7
2014-02-28,56.0
2014-03-03,56.2
2014-03-04,57.15
2014-03-05,58.5
2014-03-06,58.65
2014-03-07,59.85
2014-03-10,60.7
2014-03-11,59.95
2014-03-12,59.55
2014-03-13,59.4
2014-03-14,59.05
2014-03-18,59.7
2014-03-19,59.55
2014-03-20,58.3
2014-03-21,58.7
2014-03-22,59.25
2014-03-24,59.95
2014-03-25,60.2
2014-03-26,61.55
2014-03-27,63.8
2014-03-28,65.8
2014-03-31,65.3
2014-04-01,64.1
2014-04-02,65.55
2014-04-03,64.35
2014-04-04,65.05
2014-04-07,64.2
2014-04-09,67.0
2014-04-10,66.85
2014-04-11,68.15
2014-04-15,66.35
2014-04-16,65.2
2014-04-17,66.25
2014-04-21,68.15
2014-04-22,67.1
2014-04-23,67.0
2014-04-25,67.7
2014-04-28,69.3
2014-04-29,68.0
2014-04-30,68.2
2014-05-02,69.1
2014-05-05,68.75
2014-05-06,68.1
2014-05-07,67.2
2014-05-08,66.25
2014-05-09,69.35
2014-05-12,69.7
2014-05-13,70.45
2014-05-14,74.15
2014-05-15,73.7
2014-05-16,79.55
2014-05-19,86.45
2014-05-20,86.55
2014-05-21,88.3
2014-05-22,89.6
2014-05-23,95.45
2014-05-26,97.85
2014-05-27,94.7
2014-05-28,93.5
2014-05-29,96.0
2014-05-30,93.6
2014-06-02,98.35
2014-06-03,97.3
2014-06-04,112.25
2014-06-05,112.05
2014-06-06,112.2
2014-06-09,112.4
2014-06-10,112.7
2014-06-11,109.35
2014-06-12,109.4
2014-06-13,103.2
2014-06-16,104.8
2014-06-17,107.9
2014-06-18,105.3
2014-06-19,103.6
2014-06-20,101.55
2014-06-23,103.7
2014-06-24,106.7
2014-06-25,107.55
2014-06-26,107.55
2014-06-27,105.55
2014-06-30,109.45
2014-07-01,107.65
2014-07-02,106.9
2014-07-03,108.0
2014-07-04,107.95
2014-07-07,106.9
2014-07-08,98.75
2014-07-09,93.75
2014-07-10,95.75
2014-07-11,88.2
2014-07-14,89.85
2014-07-15,93.1
2014-07-16,94.7
2014-07-17,94.75
2014-07-18,93.6
2014-07-21,93.25
2014-07-22,92.3
2014-07-23,92.4
2014-07-24,92.9
2014-07-25,90.2
2014-07-28,90.3
2014-07-30,91.1
2014-07-31,89.15
2014-08-01,89.3
2014-08-04,90.7
2014-08-05,91.4
2014-08-06,85.0
2014-08-07,84.6
2014-08-08,83.1
2014-08-11,81.2
2014-08-12,82.1
2014-08-13,77.8
2014-08-14,78.85
2014-08-18,80.15
2014-08-19,79.8
2014-08-20,79.05
2014-08-21,80.35
2014-08-22,81.1
2014-08-25,78.95
2014-08-26,79.55
2014-08-27,77.95
2014-08-28,75.95
2014-09-01,77.7
2014-09-02,78.15
2014-09-03,77.15
2014-09-04,75.2
2014-09-05,74.85
2014-09-08,75.4
2014-09-09,75.75
2014-09-10,77.2
2014-09-11,78.2
2014-09-12,78.0
2014-09-15,80.05
2014-09-16,74.6
2014-09-17,73.85
2014-09-18,76.25
2014-09-19,73.45
2014-09-22,73.8
2014-09-23,71.4
2014-09-24,67.5
2014-09-25,59.5
2014-09-26,62.7
2014-09-29,62.6
2014-09-30,60.85
2014-10-01,60.45
2014-10-07,60.0
2014-10-08,60.25
2014-10-09,62.2
2014-10-10,60.75
2014-10-13,61.35
2014-10-14,61.55
2014-10-16,60.1
2014-10-17,61.6
2014-10-20,63.75
2014-10-21,65.9
2014-10-22,66.85
2014-10-23,67.2
2014-10-27,68.35
2014-10-28,68.2
2014-10-29,67.85
2014-10-30,68.35
2014-10-31,70.6
2014-11-03,72.3
2014-11-05,71.3
2014-11-07,70.35
2014-11-10,69.6
2014-11-11,72.45
2014-11-12,71.7
2014-11-13,69.95
2014-11-14,71.7
2014-11-17,70.9
2014-11-18,73.9
2014-11-19,72.25
2014-11-20,71.25
2014-11-21,71.1
2014-11-24,71.65
2014-11-25,68.15
2014-11-26,68.1
2014-11-27,68.85
2014-11-28,72.4
2014-12-01,70.65
2014-12-02,73.4
2014-12-03,73.2
2014-12-04,73.05
2014-12-05,72.8
2014-12-08,72.35
2014-12-09,69.05
2014-12-10,71.25
2014-12-11,70.9
2014-12-12,69.1
2014-12-15,68.75
2014-12-16,65.25
2014-12-17,65.2
2014-12-18,67.7
2014-12-19,67.9
2014-12-22,69.5
2014-12-23,68.2
2014-12-24,69.1
2014-12-26,71.35
2014-12-29,71.15
2014-12-30,73.0
2014-12-31,73.15
