Date,MANAPPURAM
2014-01-01,15.75
2014-01-02,15.25
2014-01-03,15.6
2014-01-06,15.7
2014-01-07,15.2
2014-01-08,15.15
2014-01-09,18.15
2014-01-10,21.05
2014-01-13,20.6
2014-01-14,20.05
2014-01-15,20.95
2014-01-16,20.9
2014-01-17,20.25
2014-01-20,19.75
2014-01-21,20.7
2014-01-22,20.85
2014-01-23,20.85
2014-01-24,20.75
2014-01-27,20.0
2014-01-28,20.15
2014-01-29,19.85
2014-01-30,19.05
2014-01-31,19.75
2014-02-03,19.4
2014-02-04,19.65
2014-02-05,19.7
2014-02-06,20.4
2014-02-07,21.0
2014-02-10,21.25
2014-02-11,23.75
2014-02-12,24.3
2014-02-13,21.95
2014-02-14,22.65
2014-02-17,23.6
2014-02-18,22.65
2014-02-19,22.45
2014-02-20,22.35
2014-02-21,21.85
2014-02-24,22.15
2014-02-25,22.75
2014-02-26,22.95
2014-02-28,22.65
2014-03-03,22.4
2014-03-04,22.6
2014-03-05,22.6
2014-03-06,22.65
2014-03-07,22.15
2014-03-10,22.85
2014-03-11,22.45
2014-03-12,22.0
2014-03-13,22.2
2014-03-14,21.75
2014-03-18,21.6
2014-03-19,21.2
2014-03-20,21.4
2014-03-21,20.95
2014-03-22,21.05
2014-03-24,21.4
2014-03-25,21.7
2014-03-26,21.95
2014-03-27,21.8
2014-03-28,21.7
2014-03-31,21.5
2014-04-01,21.45
2014-04-02,21.85
2014-04-03,22.35
2014-04-04,21.6
2014-04-07,21.15
2014-04-09,21.5
2014-04-10,22.2
2014-04-11,21.85
2014-04-15,22.35
2014-04-16,22.3
2014-04-17,22.75
2014-04-21,22.95
2014-04-22,22.65
2014-04-23,22.45
2014-04-25,22.25
2014-04-28,22.45
2014-04-29,22.45
2014-04-30,22.25
2014-05-02,22.1
2014-05-05,22.1
2014-05-06,22.2
2014-05-07,22.1
2014-05-08,22.25
2014-05-09,22.2
2014-05-12,22.45
2014-05-13,24.55
2014-05-14,24.0
2014-05-15,24.0
2014-05-16,20.8
2014-05-19,21.2
2014-05-20,21.7
2014-05-21,22.6
2014-05-22,23.65
2014-05-23,23.35
2014-05-26,22.15
2014-05-27,20.95
2014-05-28,20.95
2014-05-29,21.05
2014-05-30,20.8
2014-06-02,20.9
2014-06-03,21.0
2014-06-04,21.7
2014-06-05,22.25
2014-06-06,23.65
2014-06-09,23.25
2014-06-10,23.85
2014-06-11,23.05
2014-06-12,23.35
2014-06-13,23.35
2014-06-16,23.9
2014-06-17,24.05
2014-06-18,23.3
2014-06-19,23.5
2014-06-20,23.75
2014-06-23,23.35
2014-06-24,23.3
2014-06-25,23.8
2014-06-26,23.65
2014-06-27,23.45
2014-06-30,23.55
2014-07-01,23.95
2014-07-02,23.85
2014-07-03,23.35
2014-07-04,24.05
2014-07-07,24.5
2014-07-08,22.45
2014-07-09,21.9
2014-07-10,22.15
2014-07-11,21.85
2014-07-14,21.15
2014-07-15,22.1
2014-07-16,22.05
2014-07-17,22.7
2014-07-18,23.4
2014-07-21,23.95
2014-07-22,23.65
2014-07-23,23.5
2014-07-24,22.9
2014-07-25,22.7
2014-07-28,22.5
2014-07-30,22.6
2014-07-31,22.35
2014-08-01,21.9
2014-08-04,21.8
2014-08-05,22.05
2014-08-06,22.35
2014-08-07,21.95
2014-08-08,21.5
2014-08-11,21.9
2014-08-12,22.05
2014-08-13,21.95
2014-08-14,21.85
2014-08-18,22.0
2014-08-19,26.4
2014-08-20,26.35
2014-08-21,27.2
2014-08-22,29.15
2014-08-25,26.9
2014-08-26,27.6
2014-08-27,27.1
2014-08-28,25.95
2014-09-01,28.0
2014-09-02,28.0
2014-09-03,27.35
2014-09-04,27.6
2014-09-05,27.55
2014-09-08,27.4
2014-09-09,27.3
2014-09-10,26.8
2014-09-11,27.45
2014-09-12,26.7
2014-09-15,26.5
2014-09-16,26.75
2014-09-17,29.6
2014-09-18,29.9
2014-09-19,30.35
2014-09-22,29.8
2014-09-23,29.05
2014-09-24,28.9
2014-09-25,27.4
2014-09-26,27.8
2014-09-29,28.65
2014-09-30,29.55
2014-10-01,28.2
2014-10-07,27.75
2014-10-08,27.95
2014-10-09,28.0
2014-10-10,28.7
2014-10-13,27.95
2014-10-14,27.6
2014-10-16,26.55
2014-10-17,26.3
2014-10-20,27.0
2014-10-21,27.35
2014-10-22,28.9
2014-10-23,28.9
2014-10-27,29.0
2014-10-28,31.95
2014-10-29,31.8
2014-10-30,32.15
2014-10-31,31.5
2014-11-03,31.2
2014-11-05,33.05
2014-11-07,33.7
2014-11-10,34.85
2014-11-11,34.5
2014-11-12,34.8
2014-11-13,34.35
2014-11-14,33.8
2014-11-17,34.75
2014-11-18,35.8
2014-11-19,38.15
2014-11-20,37.8
2014-11-21,38.2
2014-11-24,36.6
2014-11-25,34.4
2014-11-26,35.65
2014-11-27,35.6
2014-11-28,36.75
2014-12-01,36.5
2014-12-02,36.75
2014-12-03,37.1
2014-12-04,37.55
2014-12-05,36.9
2014-12-08,36.15
2014-12-09,35.45
2014-12-10,35.15
2014-12-11,34.7
2014-12-12,33.8
2014-12-15,32.15
2014-12-16,30.3
2014-12-17,30.8
2014-12-18,32.0
2014-12-19,30.95
2014-12-22,32.75
2014-12-23,32.4
2014-12-24,33.1
2014-12-26,32.4
2014-12-29,33.0
2014-12-30,32.95
2014-12-31,34.1
