Date,INDNIPPON
2014-01-01,189.4
2014-01-02,179.5
2014-01-03,176.35
2014-01-06,185.3
2014-01-07,207.3
2014-01-08,199.9
2014-01-09,189.45
2014-01-10,184.25
2014-01-13,185.25
2014-01-14,181.3
2014-01-15,180.75
2014-01-16,181.3
2014-01-17,180.65
2014-01-20,177.8
2014-01-21,180.4
2014-01-22,186.1
2014-01-23,183.35
2014-01-24,178.55
2014-01-27,176.2
2014-01-28,177.85
2014-01-29,176.35
2014-01-30,172.65
2014-01-31,174.75
2014-02-03,175.65
2014-02-04,173.8
2014-02-05,174.75
2014-02-06,177.15
2014-02-07,183.35
2014-02-10,184.5
2014-02-11,179.75
2014-02-12,179.7
2014-02-13,178.0
2014-02-14,173.5
2014-02-17,173.3
2014-02-18,173.05
2014-02-19,172.5
2014-02-20,174.65
2014-02-21,175.0
2014-02-24,176.5
2014-02-25,174.5
2014-02-26,176.0
2014-02-28,173.95
2014-03-03,172.95
2014-03-04,176.3
2014-03-05,174.8
2014-03-06,176.0
2014-03-07,180.95
2014-03-10,177.65
2014-03-11,175.15
2014-03-12,174.75
2014-03-13,176.25
2014-03-14,175.25
2014-03-18,177.9
2014-03-19,176.75
2014-03-20,174.95
2014-03-21,182.8
2014-03-22,179.1
2014-03-24,180.25
2014-03-25,179.85
2014-03-26,180.05
2014-03-27,180.5
2014-03-28,184.5
2014-03-31,199.6
2014-04-01,195.8
2014-04-02,194.75
2014-04-03,193.45
2014-04-04,191.4
2014-04-07,190.3
2014-04-09,194.05
2014-04-10,195.0
2014-04-11,193.8
2014-04-15,196.95
2014-04-16,196.4
2014-04-17,196.2
2014-04-21,201.2
2014-04-22,197.55
2014-04-23,197.15
2014-04-25,191.4
2014-04-28,192.0
2014-04-29,190.4
2014-04-30,185.5
2014-05-02,185.7
2014-05-05,187.0
2014-05-06,185.0
2014-05-07,188.9
2014-05-08,185.15
2014-05-09,186.95
2014-05-12,194.05
2014-05-13,189.1
2014-05-14,190.45
2014-05-15,188.15
2014-05-16,190.0
2014-05-19,201.6
2014-05-20,213.0
2014-05-21,214.15
2014-05-22,217.45
2014-05-23,214.1
2014-05-26,211.2
2014-05-27,208.0
2014-05-28,209.75
2014-05-29,207.3
2014-05-30,209.65
2014-06-02,216.0
2014-06-03,209.7
2014-06-04,214.65
2014-06-05,216.4
2014-06-06,233.15
2014-06-09,241.8
2014-06-10,242.4
2014-06-11,231.8
2014-06-12,235.3
2014-06-13,224.9
2014-06-16,227.45
2014-06-17,234.05
2014-06-18,231.85
2014-06-19,236.65
2014-06-20,234.35
2014-06-23,232.3
2014-06-24,230.0
2014-06-25,229.85
2014-06-26,239.8
2014-06-27,243.15
2014-06-30,250.4
2014-07-01,259.6
2014-07-02,262.25
2014-07-03,261.1
2014-07-04,257.9
2014-07-07,257.55
2014-07-08,244.1
2014-07-09,229.55
2014-07-10,230.8
2014-07-11,229.05
2014-07-14,230.15
2014-07-15,235.0
2014-07-16,241.55
2014-07-17,242.0
2014-07-18,236.7
2014-07-21,240.0
2014-07-22,240.0
2014-07-23,240.5
2014-07-24,240.75
2014-07-25,238.4
2014-07-28,239.0
2014-07-30,240.0
2014-07-31,240.0
2014-08-01,239.4
2014-08-04,244.4
2014-08-05,265.7
2014-08-06,275.0
2014-08-07,295.75
2014-08-08,293.9
2014-08-11,288.8
2014-08-12,291.25
2014-08-13,285.1
2014-08-14,291.35
2014-08-18,284.8
2014-08-19,279.75
2014-08-20,278.2
2014-08-21,284.8
2014-08-22,289.2
2014-08-25,285.55
2014-08-26,279.85
2014-08-27,292.5
2014-08-28,291.05
2014-09-01,328.25
2014-09-02,324.8
2014-09-03,330.9
2014-09-04,316.75
2014-09-05,331.5
2014-09-08,337.5
2014-09-09,333.05
2014-09-10,329.4
2014-09-11,331.3
2014-09-12,331.7
2014-09-15,330.7
2014-09-16,312.05
2014-09-17,314.5
2014-09-18,331.45
2014-09-19,327.1
2014-09-22,331.45
2014-09-23,320.75
2014-09-24,332.55
2014-09-25,329.7
2014-09-26,319.75
2014-09-29,327.05
2014-09-30,325.8
2014-10-01,365.35
2014-10-07,363.5
2014-10-08,353.15
2014-10-09,372.05
2014-10-10,363.95
2014-10-13,384.0
2014-10-14,372.0
2014-10-16,338.6
2014-10-17,352.85
2014-10-20,346.7
2014-10-21,348.0
2014-10-22,353.15
2014-10-23,355.5
2014-10-27,354.85
2014-10-28,358.05
2014-10-29,369.0
2014-10-30,375.1
2014-10-31,419.3
2014-11-03,423.35
2014-11-05,426.35
2014-11-07,424.2
2014-11-10,472.2
2014-11-11,466.4
2014-11-12,475.45
2014-11-13,486.8
2014-11-14,484.7
2014-11-17,467.8
2014-11-18,467.95
2014-11-19,471.35
2014-11-20,461.4
2014-11-21,470.8
2014-11-24,459.4
2014-11-25,442.05
2014-11-26,439.7
2014-11-27,449.15
2014-11-28,443.25
2014-12-01,443.6
2014-12-02,444.65
2014-12-03,466.0
2014-12-04,471.7
2014-12-05,462.6
2014-12-08,454.95
2014-12-09,451.0
2014-12-10,454.85
2014-12-11,448.4
2014-12-12,443.4
2014-12-15,437.05
2014-12-16,425.65
2014-12-17,408.0
2014-12-18,425.1
2014-12-19,423.4
2014-12-22,420.25
2014-12-23,499.6
2014-12-24,477.35
2014-12-26,475.25
2014-12-29,467.5
2014-12-30,460.7
2014-12-31,467.4
