Date,LT
2014-01-01,1068.55
2014-01-02,1036.05
2014-01-03,1012.05
2014-01-06,1010.5
2014-01-07,1019.5
2014-01-08,998.35
2014-01-09,971.9
2014-01-10,956.05
2014-01-13,980.55
2014-01-14,972.0
2014-01-15,999.1
2014-01-16,1004.0
2014-01-17,1002.85
2014-01-20,998.95
2014-01-21,1011.5
2014-01-22,1004.8
2014-01-23,1032.95
2014-01-24,1006.35
2014-01-27,980.15
2014-01-28,983.5
2014-01-29,993.15
2014-01-30,980.45
2014-01-31,985.9
2014-02-03,979.3
2014-02-04,983.0
2014-02-05,985.4
2014-02-06,975.25
2014-02-07,984.15
2014-02-10,995.9
2014-02-11,993.65
2014-02-12,1010.5
2014-02-13,986.95
2014-02-14,992.75
2014-02-17,998.3
2014-02-18,1017.4
2014-02-19,1031.3
2014-02-20,1034.65
2014-02-21,1055.15
2014-02-24,1084.65
2014-02-25,1087.9
2014-02-26,1096.65
2014-02-28,1109.65
2014-03-03,1097.55
2014-03-04,1116.7
2014-03-05,1123.35
2014-03-06,1142.5
2014-03-07,1198.65
2014-03-10,1236.9
2014-03-11,1230.05
2014-03-12,1218.25
2014-03-13,1225.2
2014-03-14,1254.95
2014-03-18,1240.55
2014-03-19,1246.0
2014-03-20,1219.05
2014-03-21,1216.6
2014-03-22,1219.45
2014-03-24,1230.35
2014-03-25,1248.45
2014-03-26,1275.8
2014-03-27,1283.6
2014-03-28,1288.15
2014-03-31,1271.9
2014-04-01,1279.05
2014-04-02,1300.45
2014-04-03,1290.1
2014-04-04,1277.1
2014-04-07,1284.35
2014-04-09,1298.05
2014-04-10,1314.25
2014-04-11,1298.5
2014-04-15,1297.85
2014-04-16,1259.9
2014-04-17,1268.95
2014-04-21,1322.55
2014-04-22,1346.55
2014-04-23,1376.35
2014-04-25,1349.9
2014-04-28,1328.5
2014-04-29,1321.4
2014-04-30,1294.1
2014-05-02,1263.55
2014-05-05,1283.95
2014-05-06,1300.0
2014-05-07,1295.6
2014-05-08,1299.15
2014-05-09,1342.7
2014-05-12,1387.25
2014-05-13,1409.3
2014-05-14,1394.5
2014-05-15,1378.4
2014-05-16,1427.7
2014-05-19,1524.55
2014-05-20,1509.35
2014-05-21,1476.05
2014-05-22,1480.65
2014-05-23,1514.0
2014-05-26,1548.25
2014-05-27,1566.05
2014-05-28,1577.1
2014-05-29,1549.65
2014-05-30,1545.5
2014-06-02,1646.0
2014-06-03,1653.35
2014-06-04,1674.65
2014-06-05,1681.85
2014-06-06,1691.05
2014-06-09,1752.15
2014-06-10,1738.95
2014-06-11,1717.45
2014-06-12,1722.4
2014-06-13,1685.95
2014-06-16,1650.5
2014-06-17,1684.55
2014-06-18,1671.35
2014-06-19,1656.7
2014-06-20,1647.95
2014-06-23,1657.15
2014-06-24,1670.45
2014-06-25,1650.05
2014-06-26,1673.55
2014-06-27,1667.3
2014-06-30,1701.7
2014-07-01,1726.35
2014-07-02,1753.95
2014-07-03,1752.35
2014-07-04,1742.7
2014-07-07,1749.35
2014-07-08,1672.55
2014-07-09,1651.65
2014-07-10,1654.75
2014-07-11,1574.35
2014-07-14,1597.45
2014-07-15,1633.65
2014-07-16,1659.05
2014-07-17,1668.95
2014-07-18,1686.5
2014-07-21,1670.25
2014-07-22,1654.95
2014-07-23,1653.55
2014-07-24,1663.45
2014-07-25,1658.0
2014-07-28,1641.1
2014-07-30,1524.1
2014-07-31,1502.9
2014-08-01,1468.7
2014-08-04,1493.95
2014-08-05,1490.05
2014-08-06,1483.3
2014-08-07,1481.9
2014-08-08,1442.8
2014-08-11,1462.75
2014-08-12,1489.1
2014-08-13,1453.6
2014-08-14,1484.1
2014-08-18,1516.0
2014-08-19,1532.65
2014-08-20,1517.9
2014-08-21,1533.45
2014-08-22,1540.0
2014-08-25,1527.45
2014-08-26,1506.2
2014-08-27,1503.65
2014-08-28,1526.5
2014-09-01,1577.35
2014-09-02,1579.35
2014-09-03,1598.2
2014-09-04,1589.95
2014-09-05,1612.6
2014-09-08,1629.4
2014-09-09,1605.25
2014-09-10,1585.1
2014-09-11,1595.15
2014-09-12,1578.7
2014-09-15,1560.55
2014-09-16,1515.65
2014-09-17,1519.15
2014-09-18,1574.2
2014-09-19,1532.45
2014-09-22,1533.2
2014-09-23,1495.75
2014-09-24,1464.0
2014-09-25,1447.1
2014-09-26,1476.0
2014-09-29,1468.6
2014-09-30,1458.25
2014-10-01,1446.85
2014-10-07,1414.8
2014-10-08,1447.25
2014-10-09,1486.9
2014-10-10,1461.7
2014-10-13,1445.8
2014-10-14,1439.9
2014-10-16,1423.7
2014-10-17,1452.9
2014-10-20,1495.25
2014-10-21,1512.0
2014-10-22,1553.75
2014-10-23,1558.45
2014-10-27,1567.35
2014-10-28,1576.5
2014-10-29,1577.2
2014-10-30,1597.7
2014-10-31,1655.45
2014-11-03,1657.8
2014-11-05,1665.9
2014-11-07,1653.8
2014-11-10,1619.4
2014-11-11,1637.2
2014-11-12,1613.5
2014-11-13,1616.4
2014-11-14,1621.65
2014-11-17,1615.85
2014-11-18,1644.6
2014-11-19,1658.6
2014-11-20,1644.95
2014-11-21,1666.3
2014-11-24,1669.85
2014-11-25,1636.8
2014-11-26,1631.0
2014-11-27,1619.15
2014-11-28,1639.35
2014-12-01,1622.0
2014-12-02,1639.65
2014-12-03,1644.15
2014-12-04,1629.3
2014-12-05,1628.5
2014-12-08,1601.8
2014-12-09,1559.6
2014-12-10,1544.3
