Date,PSUBNKBEES
2014-01-01,272.89
2014-01-02,282.95
2014-01-03,278.0
2014-01-06,273.1
2014-01-07,270.15
2014-01-08,270.36
2014-01-09,268.25
2014-01-10,264.39
2014-01-13,259.93
2014-01-14,257.5
2014-01-15,266.49
2014-01-16,262.23
2014-01-17,260.0
2014-01-20,258.5
2014-01-21,264.75
2014-01-22,265.0
2014-01-23,261.0
2014-01-24,256.26
2014-01-27,242.38
2014-01-28,244.34
2014-01-29,251.61
2014-01-30,234.24
2014-01-31,235.79
2014-02-03,232.74
2014-02-04,228.64
2014-02-05,231.5
2014-02-06,230.0
2014-02-07,232.78
2014-02-10,233.26
2014-02-11,230.34
2014-02-12,233.82
2014-02-13,229.95
2014-02-14,227.39
2014-02-17,232.9
2014-02-18,234.5
2014-02-19,230.06
2014-02-20,228.15
2014-02-21,228.69
2014-02-24,230.74
2014-02-25,229.0
2014-02-26,230.74
2014-02-28,234.9
2014-03-03,240.04
2014-03-04,239.01
2014-03-05,241.97
2014-03-06,241.55
2014-03-07,252.08
2014-03-10,257.57
2014-03-11,260.0
2014-03-12,255.73
2014-03-13,259.5
2014-03-14,259.0
2014-03-18,262.46
2014-03-19,268.0
2014-03-20,264.02
2014-03-21,269.58
2014-03-22,264.21
2014-03-24,267.81
2014-03-25,274.42
2014-03-26,273.82
2014-03-27,282.92
2014-03-28,290.56
2014-03-31,295.09
2014-04-01,290.29
2014-04-02,295.92
2014-04-03,293.72
2014-04-04,293.29
2014-04-07,295.62
2014-04-09,306.55
2014-04-10,313.1
2014-04-11,313.78
2014-04-15,299.54
2014-04-16,301.82
2014-04-17,299.53
2014-04-21,316.87
2014-04-22,320.05
2014-04-23,317.49
2014-04-25,319.76
2014-04-28,324.44
2014-04-29,324.5
2014-04-30,325.0
2014-05-02,319.17
2014-05-05,327.65
2014-05-06,329.16
2014-05-07,322.9
2014-05-08,328.74
2014-05-09,339.44
2014-05-12,339.54
2014-05-13,354.15
2014-05-14,367.58
2014-05-15,359.49
2014-05-16,371.67
2014-05-19,420.96
2014-05-20,418.66
2014-05-21,397.28
2014-05-22,395.67
2014-05-23,427.16
2014-05-26,416.54
2014-05-27,417.3
2014-05-28,411.03
2014-05-29,408.36
2014-05-30,400.49
2014-06-02,412.14
2014-06-03,408.11
2014-06-04,415.16
2014-06-05,410.66
2014-06-06,422.22
2014-06-09,418.29
2014-06-10,414.71
2014-06-11,412.06
2014-06-12,431.49
2014-06-13,418.5
2014-06-16,410.04
2014-06-17,411.59
2014-06-18,408.53
2014-06-19,414.62
2014-06-20,410.09
2014-06-23,412.63
2014-06-24,411.56
2014-06-25,425.69
2014-06-26,417.0
2014-06-27,410.26
2014-06-30,421.53
2014-07-01,419.66
2014-07-02,419.66
2014-07-03,421.49
2014-07-04,419.75
2014-07-07,423.0
2014-07-08,409.93
2014-07-09,411.5
2014-07-10,396.58
2014-07-11,378.31
2014-07-14,368.73
2014-07-15,395.24
2014-07-16,403.07
2014-07-17,398.98
2014-07-18,396.01
2014-07-21,386.67
2014-07-22,383.98
2014-07-23,385.21
2014-07-24,389.0
2014-07-25,377.43
2014-07-28,374.98
2014-07-30,379.57
2014-07-31,379.17
2014-08-01,377.35
2014-08-04,385.58
2014-08-05,388.27
2014-08-06,387.07
2014-08-07,383.1
2014-08-08,380.41
2014-08-11,379.17
2014-08-12,377.01
2014-08-13,375.6
2014-08-14,371.63
2014-08-18,373.32
2014-08-19,377.68
2014-08-20,373.48
2014-08-21,385.97
2014-08-22,391.0
2014-08-25,389.22
2014-08-26,386.82
2014-08-27,385.0
2014-08-28,382.85
2014-09-01,392.27
2014-09-02,390.84
2014-09-03,384.92
2014-09-04,385.91
2014-09-05,383.55
2014-09-08,389.29
2014-09-09,390.12
2014-09-10,389.91
2014-09-11,408.61
2014-09-12,415.08
2014-09-15,409.87
2014-09-16,397.04
2014-09-17,392.89
2014-09-18,401.7
2014-09-19,398.82
2014-09-22,400.07
2014-09-23,397.38
2014-09-24,387.08
2014-09-25,370.64
2014-09-26,374.74
2014-09-29,372.16
2014-09-30,376.69
2014-10-01,375.71
2014-10-07,360.81
2014-10-08,366.29
2014-10-09,380.96
2014-10-10,371.62
2014-10-13,380.86
2014-10-14,386.98
2014-10-16,379.14
2014-10-17,378.96
2014-10-20,384.68
2014-10-21,402.6
2014-10-22,399.48
2014-10-23,399.76
2014-10-27,409.59
2014-10-28,398.76
2014-10-29,392.7
2014-10-30,394.33
2014-10-31,396.79
2014-11-03,411.71
2014-11-05,417.34
2014-11-07,408.0
2014-11-10,416.78
2014-11-11,419.43
2014-11-12,421.82
2014-11-13,418.9
2014-11-14,421.24
2014-11-17,434.27
2014-11-18,439.34
2014-11-19,436.39
2014-11-20,436.66
2014-11-21,446.46
2014-11-24,448.34
2014-11-25,436.35
2014-11-26,440.1
2014-11-27,438.98
2014-11-28,465.29
2014-12-01,469.31
2014-12-02,466.69
2014-12-03,477.24
2014-12-04,475.7
2014-12-05,475.14
2014-12-08,468.66
2014-12-09,458.26
2014-12-10,470.05
2014-12-11,462.51
2014-12-12,463.25
2014-12-15,459.3
2014-12-16,440.55
2014-12-17,445.2
2014-12-18,460.66
2014-12-19,454.33
2014-12-22,468.94
2014-12-23,465.49
2014-12-24,456.02
2014-12-26,465.0
2014-12-29,464.95
2014-12-30,458.48
2014-12-31,465.67
