Date,UNITEDBNK
2014-01-01,32.55
2014-01-02,32.8
2014-01-03,32.9
2014-01-06,32.5
2014-01-07,32.45
2014-01-08,32.8
2014-01-09,32.15
2014-01-10,32.05
2014-01-13,31.85
2014-01-14,31.85
2014-01-15,31.75
2014-01-16,31.8
2014-01-17,31.5
2014-01-20,32.15
2014-01-21,31.5
2014-01-22,31.6
2014-01-23,31.6
2014-01-24,30.5
2014-01-27,29.8
2014-01-28,30.15
2014-01-29,30.0
2014-01-30,28.9
2014-01-31,29.6
2014-02-03,29.4
2014-02-04,28.8
2014-02-05,28.6
2014-02-06,28.55
2014-02-07,28.6
2014-02-10,26.85
2014-02-11,26.45
2014-02-12,25.95
2014-02-13,25.05
2014-02-14,24.5
2014-02-17,24.2
2014-02-18,24.3
2014-02-19,24.4
2014-02-20,24.2
2014-02-21,24.4
2014-02-24,25.75
2014-02-25,25.85
2014-02-26,25.5
2014-02-28,25.05
2014-03-03,25.35
2014-03-04,25.5
2014-03-05,26.3
2014-03-06,27.25
2014-03-07,27.7
2014-03-10,27.6
2014-03-11,27.3
2014-03-12,27.05
2014-03-13,27.0
2014-03-14,27.05
2014-03-18,28.0
2014-03-19,27.8
2014-03-20,27.35
2014-03-21,27.45
2014-03-22,27.3
2014-03-24,27.45
2014-03-25,27.45
2014-03-26,27.5
2014-03-27,27.9
2014-03-28,29.6
2014-03-31,31.35
2014-04-01,30.85
2014-04-02,31.75
2014-04-03,30.95
2014-04-04,31.0
2014-04-07,30.8
2014-04-09,32.45
2014-04-10,32.6
2014-04-11,32.5
2014-04-15,31.9
2014-04-16,31.1
2014-04-17,31.1
2014-04-21,31.45
2014-04-22,30.95
2014-04-23,31.15
2014-04-25,31.05
2014-04-28,30.95
2014-04-29,31.0
2014-04-30,31.8
2014-05-02,33.4
2014-05-05,34.75
2014-05-06,36.4
2014-05-07,33.7
2014-05-08,33.4
2014-05-09,33.8
2014-05-12,34.3
2014-05-13,34.9
2014-05-14,36.35
2014-05-15,36.65
2014-05-16,37.85
2014-05-19,40.3
2014-05-20,43.5
2014-05-21,44.2
2014-05-22,44.8
2014-05-23,46.2
2014-05-26,49.9
2014-05-27,47.0
2014-05-28,47.75
2014-05-29,47.45
2014-05-30,47.15
2014-06-02,48.85
2014-06-03,48.95
2014-06-04,50.05
2014-06-05,52.8
2014-06-06,53.75
2014-06-09,53.9
2014-06-10,52.6
2014-06-11,53.1
2014-06-12,51.9
2014-06-13,48.15
2014-06-16,45.3
2014-06-17,46.1
2014-06-18,45.45
2014-06-19,45.0
2014-06-20,43.15
2014-06-23,43.65
2014-06-24,44.0
2014-06-25,43.8
2014-06-26,43.6
2014-06-27,42.8
2014-06-30,44.6
2014-07-01,42.8
2014-07-02,44.55
2014-07-03,52.1
2014-07-04,59.3
2014-07-07,55.95
2014-07-08,55.95
2014-07-09,53.8
2014-07-10,53.45
2014-07-11,49.9
2014-07-14,49.2
2014-07-15,52.05
2014-07-16,52.35
2014-07-17,52.3
2014-07-18,51.45
2014-07-21,52.05
2014-07-22,51.4
2014-07-23,51.1
2014-07-24,50.85
2014-07-25,48.9
2014-07-28,51.4
2014-07-30,50.0
2014-07-31,51.05
2014-08-01,50.0
2014-08-04,49.95
2014-08-05,49.75
2014-08-06,49.3
2014-08-07,48.2
2014-08-08,46.3
2014-08-11,46.8
2014-08-12,46.65
2014-08-13,44.8
2014-08-14,46.9
2014-08-18,47.45
2014-08-19,47.35
2014-08-20,46.7
2014-08-21,47.7
2014-08-22,47.3
2014-08-25,45.55
2014-08-26,46.95
2014-08-27,46.5
2014-08-28,45.6
2014-09-01,47.25
2014-09-02,47.05
2014-09-03,47.1
2014-09-04,46.0
2014-09-05,45.55
2014-09-08,46.7
2014-09-09,46.05
2014-09-10,46.05
2014-09-11,46.75
2014-09-12,46.85
2014-09-15,47.0
2014-09-16,45.6
2014-09-17,44.85
2014-09-18,45.55
2014-09-19,45.6
2014-09-22,45.45
2014-09-23,44.85
2014-09-24,43.0
2014-09-25,41.0
2014-09-26,41.6
2014-09-29,42.35
2014-09-30,41.9
2014-10-01,41.5
2014-10-07,40.5
2014-10-08,40.35
2014-10-09,42.95
2014-10-10,41.85
2014-10-13,41.9
2014-10-14,41.75
2014-10-16,40.45
2014-10-17,40.7
2014-10-20,40.3
2014-10-21,40.55
2014-10-22,40.4
2014-10-23,40.9
2014-10-27,40.8
2014-10-28,40.95
2014-10-29,40.9
2014-10-30,41.55
2014-10-31,42.2
2014-11-03,43.6
2014-11-05,43.2
2014-11-07,45.05
2014-11-10,44.15
2014-11-11,44.75
2014-11-12,44.1
2014-11-13,43.15
2014-11-14,43.15
2014-11-17,43.35
2014-11-18,43.9
2014-11-19,43.2
2014-11-20,42.4
2014-11-21,42.8
2014-11-24,42.75
2014-11-25,41.4
2014-11-26,40.85
2014-11-27,41.0
2014-11-28,42.45
2014-12-01,41.75
2014-12-02,41.75
2014-12-03,42.0
2014-12-04,41.9
2014-12-05,42.15
2014-12-08,41.4
2014-12-09,40.6
2014-12-10,40.85
2014-12-11,40.9
2014-12-12,40.15
2014-12-15,39.85
2014-12-16,38.45
2014-12-17,38.35
2014-12-18,39.4
2014-12-19,39.15
2014-12-22,39.3
2014-12-23,38.6
2014-12-24,38.75
2014-12-26,39.4
2014-12-29,40.25
2014-12-30,40.4
2014-12-31,41.2
