Date,PDPL
2014-01-01,41.35
2014-01-02,40.55
2014-01-03,41.7
2014-01-06,40.8
2014-01-07,40.45
2014-01-08,41.9
2014-01-09,33.55
2014-01-10,31.9
2014-01-13,32.1
2014-01-14,32.6
2014-01-15,32.65
2014-01-16,32.75
2014-01-17,31.8
2014-01-20,31.0
2014-01-21,31.65
2014-01-22,32.45
2014-01-23,31.95
2014-01-24,31.15
2014-01-27,30.15
2014-01-28,29.9
2014-01-29,30.05
2014-01-30,29.8
2014-01-31,29.25
2014-02-03,29.9
2014-02-04,30.25
2014-02-05,29.6
2014-02-06,28.4
2014-02-07,28.7
2014-02-10,28.55
2014-02-11,29.35
2014-02-12,30.4
2014-02-13,29.3
2014-02-14,28.1
2014-02-17,27.35
2014-02-18,27.1
2014-02-19,27.1
2014-02-20,27.0
2014-02-21,27.15
2014-02-24,26.85
2014-02-25,25.95
2014-02-26,27.75
2014-02-28,33.3
2014-03-03,39.5
2014-03-04,36.2
2014-03-05,34.2
2014-03-06,33.05
2014-03-07,31.75
2014-03-10,30.95
2014-03-11,30.95
2014-03-12,31.0
2014-03-13,30.65
2014-03-14,31.95
2014-03-18,31.55
2014-03-19,31.1
2014-03-20,30.85
2014-03-21,30.75
2014-03-22,31.5
2014-03-24,31.55
2014-03-25,30.8
2014-03-26,29.55
2014-03-27,29.25
2014-03-28,29.0
2014-03-31,30.0
2014-04-01,29.9
2014-04-02,30.8
2014-04-03,29.9
2014-04-04,30.85
2014-04-07,30.65
2014-04-09,32.15
2014-04-10,33.75
2014-04-11,35.3
2014-04-15,35.65
2014-04-16,34.35
2014-04-17,33.25
2014-04-21,32.3
2014-04-22,33.2
2014-04-23,32.75
2014-04-25,31.25
2014-04-28,30.85
2014-04-29,31.65
2014-04-30,31.5
2014-05-02,31.65
2014-05-05,31.5
2014-05-06,30.8
2014-05-07,30.35
2014-05-08,31.45
2014-05-09,31.35
2014-05-12,30.75
2014-05-13,29.85
2014-05-14,29.35
2014-05-15,28.75
2014-05-16,29.2
2014-05-19,30.6
2014-05-20,31.75
2014-05-21,32.0
2014-05-22,32.0
2014-05-23,32.0
2014-05-26,31.0
2014-05-27,31.0
2014-05-28,31.85
2014-05-29,31.65
2014-05-30,31.65
2014-06-02,31.8
2014-06-03,32.0
2014-06-04,31.95
2014-06-05,31.95
2014-06-06,31.55
2014-06-09,33.55
2014-06-10,32.8
2014-06-11,32.1
2014-06-12,31.8
2014-06-13,30.45
2014-06-16,30.15
2014-06-17,29.95
2014-06-18,30.0
2014-06-19,29.1
2014-06-20,29.3
2014-06-23,28.1
2014-06-24,26.8
2014-06-25,26.25
2014-06-26,26.05
2014-06-27,26.05
2014-06-30,25.9
2014-07-01,25.3
2014-07-02,24.85
2014-07-03,24.5
2014-07-04,26.95
2014-07-07,32.3
2014-07-08,33.5
2014-07-09,33.4
2014-07-10,32.5
2014-07-11,29.75
2014-07-14,28.25
2014-07-15,33.9
2014-07-16,36.35
2014-07-17,35.05
2014-07-18,33.65
2014-07-21,32.25
2014-07-22,34.0
2014-07-23,33.55
2014-07-24,32.75
2014-07-25,31.15
2014-07-28,30.8
2014-07-30,30.65
2014-07-31,30.55
2014-08-01,29.9
2014-08-04,30.35
2014-08-05,31.15
2014-08-06,31.5
2014-08-07,30.4
2014-08-08,30.0
2014-08-11,30.75
2014-08-12,30.5
2014-08-13,30.55
2014-08-14,30.9
2014-08-18,31.05
2014-08-19,30.15
2014-08-20,30.6
2014-08-21,29.8
2014-08-22,29.65
2014-08-25,29.95
2014-08-26,29.55
2014-08-27,29.6
2014-08-28,28.5
2014-09-01,28.2
2014-09-02,28.3
2014-09-03,28.8
2014-09-04,28.1
2014-09-05,28.75
2014-09-08,30.85
2014-09-09,30.45
2014-09-10,31.25
2014-09-11,31.35
2014-09-12,32.45
2014-09-15,32.95
2014-09-16,30.15
2014-09-17,30.15
2014-09-18,30.7
2014-09-19,30.1
2014-09-22,29.95
2014-09-23,29.45
2014-09-24,28.6
2014-09-25,28.05
2014-09-26,27.1
2014-09-29,28.1
2014-09-30,28.3
2014-10-01,27.05
2014-10-07,27.25
2014-10-08,26.9
2014-10-09,26.95
2014-10-10,27.3
2014-10-13,26.95
2014-10-14,26.7
2014-10-16,26.25
2014-10-17,26.0
2014-10-20,26.2
2014-10-21,26.0
2014-10-22,26.35
2014-10-23,26.65
2014-10-27,26.25
2014-10-28,26.05
2014-10-29,25.8
2014-10-30,27.0
2014-10-31,28.55
2014-11-03,28.55
2014-11-05,28.6
2014-11-07,28.55
2014-11-10,28.85
2014-11-11,28.0
2014-11-12,28.1
2014-11-13,28.65
2014-11-14,28.25
2014-11-17,27.25
2014-11-18,26.4
2014-11-19,25.7
2014-11-20,25.4
2014-11-21,25.5
2014-11-24,25.0
2014-11-25,23.45
2014-11-26,23.95
2014-11-27,23.85
2014-11-28,24.5
2014-12-01,23.95
2014-12-02,25.0
2014-12-03,24.95
2014-12-04,25.05
2014-12-05,25.05
2014-12-08,24.6
2014-12-09,24.4
2014-12-10,23.8
2014-12-11,23.75
2014-12-12,23.2
2014-12-15,23.1
2014-12-16,22.9
2014-12-17,21.75
2014-12-18,22.05
2014-12-19,22.3
2014-12-22,22.1
2014-12-23,22.9
2014-12-24,22.95
2014-12-26,22.7
2014-12-29,24.0
2014-12-30,23.85
2014-12-31,23.85
