Date,CANBK
2014-01-01,285.2
2014-01-02,271.2
2014-01-03,277.85
2014-01-06,271.55
2014-01-07,268.5
2014-01-08,274.15
2014-01-09,267.5
2014-01-10,263.45
2014-01-13,262.95
2014-01-14,256.65
2014-01-15,265.2
2014-01-16,266.4
2014-01-17,258.3
2014-01-20,260.1
2014-01-21,265.05
2014-01-22,266.85
2014-01-23,265.55
2014-01-24,247.7
2014-01-27,233.5
2014-01-28,229.2
2014-01-29,227.25
2014-01-30,215.9
2014-01-31,221.15
2014-02-03,215.85
2014-02-04,220.75
2014-02-05,222.3
2014-02-06,220.1
2014-02-07,220.45
2014-02-10,219.6
2014-02-11,219.35
2014-02-12,218.95
2014-02-13,213.2
2014-02-14,212.95
2014-02-17,214.7
2014-02-18,218.6
2014-02-19,216.3
2014-02-20,211.85
2014-02-21,214.25
2014-02-24,216.7
2014-02-25,214.45
2014-02-26,212.25
2014-02-28,216.1
2014-03-03,213.0
2014-03-04,219.45
2014-03-05,227.95
2014-03-06,231.55
2014-03-07,236.3
2014-03-10,237.7
2014-03-11,240.8
2014-03-12,235.95
2014-03-13,237.75
2014-03-14,238.7
2014-03-18,247.8
2014-03-19,246.3
2014-03-20,239.2
2014-03-21,239.9
2014-03-22,241.1
2014-03-24,245.0
2014-03-25,245.3
2014-03-26,246.8
2014-03-27,251.3
2014-03-28,267.75
2014-03-31,264.35
2014-04-01,261.1
2014-04-02,277.7
2014-04-03,274.65
2014-04-04,275.35
2014-04-07,274.95
2014-04-09,285.05
2014-04-10,284.15
2014-04-11,280.7
2014-04-15,269.7
2014-04-16,260.65
2014-04-17,275.0
2014-04-21,281.3
2014-04-22,279.35
2014-04-23,279.95
2014-04-25,287.2
2014-04-28,294.65
2014-04-29,287.0
2014-04-30,285.65
2014-05-02,285.4
2014-05-05,304.15
2014-05-06,287.5
2014-05-07,283.15
2014-05-08,276.2
2014-05-09,286.4
2014-05-12,290.2
2014-05-13,301.9
2014-05-14,333.65
2014-05-15,333.75
2014-05-16,361.9
2014-05-19,395.35
2014-05-20,410.55
2014-05-21,405.95
2014-05-22,414.75
2014-05-23,469.05
2014-05-26,448.5
2014-05-27,429.6
2014-05-28,432.55
2014-05-29,432.75
2014-05-30,414.75
2014-06-02,440.75
2014-06-03,439.0
2014-06-04,450.85
2014-06-05,456.65
2014-06-06,469.05
2014-06-09,493.2
2014-06-10,480.7
2014-06-11,469.7
2014-06-12,470.55
2014-06-13,450.4
2014-06-16,439.0
2014-06-17,451.8
2014-06-18,441.5
2014-06-19,430.75
2014-06-20,422.5
2014-06-23,434.9
2014-06-24,446.9
2014-06-25,444.8
2014-06-26,432.15
2014-06-27,433.05
2014-06-30,462.4
2014-07-01,461.4
2014-07-02,459.2
2014-07-03,447.05
2014-07-04,448.45
2014-07-07,445.0
2014-07-08,425.85
2014-07-09,412.2
2014-07-10,414.0
2014-07-11,389.05
2014-07-14,393.65
2014-07-15,409.0
2014-07-16,414.85
2014-07-17,417.15
2014-07-18,412.0
2014-07-21,401.15
2014-07-22,401.9
2014-07-23,401.25
2014-07-24,403.5
2014-07-25,395.1
2014-07-28,399.2
2014-07-30,401.4
2014-07-31,399.7
2014-08-01,393.65
2014-08-04,405.3
2014-08-05,406.25
2014-08-06,396.35
2014-08-07,394.4
2014-08-08,378.25
2014-08-11,382.2
2014-08-12,382.15
2014-08-13,365.25
2014-08-14,375.05
2014-08-18,382.95
2014-08-19,382.55
2014-08-20,377.95
2014-08-21,387.95
2014-08-22,394.65
2014-08-25,389.0
2014-08-26,393.8
2014-08-27,389.35
2014-08-28,378.15
2014-09-01,392.65
2014-09-02,389.6
2014-09-03,390.35
2014-09-04,385.85
2014-09-05,386.25
2014-09-08,393.85
2014-09-09,395.05
2014-09-10,403.65
2014-09-11,408.75
2014-09-12,412.85
2014-09-15,414.1
2014-09-16,391.6
2014-09-17,391.35
2014-09-18,402.15
2014-09-19,395.2
2014-09-22,393.8
2014-09-23,376.9
2014-09-24,358.8
2014-09-25,341.6
2014-09-26,359.4
2014-09-29,356.3
2014-09-30,350.9
2014-10-01,354.15
2014-10-07,348.15
2014-10-08,356.3
2014-10-09,369.15
2014-10-10,367.35
2014-10-13,375.65
2014-10-14,379.45
2014-10-16,371.65
2014-10-17,383.7
2014-10-20,386.85
2014-10-21,390.7
2014-10-22,384.9
2014-10-23,386.4
2014-10-27,388.4
2014-10-28,385.7
2014-10-29,388.4
2014-10-30,387.15
2014-10-31,402.25
2014-11-03,409.0
2014-11-05,410.3
2014-11-07,404.05
2014-11-10,395.2
2014-11-11,406.2
2014-11-12,409.6
2014-11-13,403.3
2014-11-14,402.75
2014-11-17,411.05
2014-11-18,415.45
2014-11-19,404.25
2014-11-20,392.9
2014-11-21,396.15
2014-11-24,402.3
2014-11-25,385.8
2014-11-26,382.35
2014-11-27,382.85
2014-11-28,412.3
2014-12-01,405.65
2014-12-02,414.8
2014-12-03,416.4
2014-12-04,421.2
2014-12-05,419.85
2014-12-08,415.25
2014-12-09,399.35
2014-12-10,414.35
2014-12-11,423.1
2014-12-12,417.0
2014-12-15,421.45
2014-12-16,407.35
2014-12-17,407.5
2014-12-18,435.55
2014-12-19,428.3
2014-12-22,438.3
2014-12-23,433.2
2014-12-24,441.05
2014-12-26,448.25
2014-12-29,442.85
2014-12-30,448.75
2014-12-31,448.7
