Date,SANWARIA
2014-01-01,10.25
2014-01-02,11.0
2014-01-03,10.2
2014-01-06,9.4
2014-01-07,8.4
2014-01-08,9.25
2014-01-09,8.8
2014-01-10,8.15
2014-01-13,7.75
2014-01-14,7.15
2014-01-15,8.0
2014-01-16,8.3
2014-01-17,8.1
2014-01-20,8.1
2014-01-21,8.1
2014-01-22,8.05
2014-01-23,7.95
2014-01-24,7.9
2014-01-27,7.8
2014-01-28,7.75
2014-01-29,7.75
2014-01-30,7.75
2014-01-31,7.85
2014-02-03,8.25
2014-02-04,8.2
2014-02-05,8.15
2014-02-06,8.1
2014-02-07,8.1
2014-02-10,8.0
2014-02-11,7.85
2014-02-12,7.7
2014-02-13,7.7
2014-02-14,7.65
2014-02-17,7.25
2014-02-18,7.25
2014-02-19,7.05
2014-02-20,6.75
2014-02-21,6.85
2014-02-24,6.25
2014-02-25,5.8
2014-02-26,6.25
2014-02-28,7.1
2014-03-03,7.5
2014-03-04,8.35
2014-03-05,8.35
2014-03-06,7.65
2014-03-07,8.3
2014-03-10,8.15
2014-03-11,7.85
2014-03-12,7.9
2014-03-13,7.75
2014-03-14,7.6
2014-03-18,7.55
2014-03-19,7.55
2014-03-20,7.2
2014-03-21,6.9
2014-03-22,6.95
2014-03-24,6.85
2014-03-25,7.05
2014-03-26,6.75
2014-03-27,6.95
2014-03-28,7.15
2014-03-31,6.85
2014-04-01,6.85
2014-04-02,7.3
2014-04-03,7.15
2014-04-04,7.15
2014-04-07,7.1
2014-04-09,7.35
2014-04-10,7.35
2014-04-11,7.6
2014-04-15,8.15
2014-04-16,8.05
2014-04-17,7.9
2014-04-21,7.75
2014-04-22,8.1
2014-04-23,7.95
2014-04-25,7.8
2014-04-28,7.75
2014-04-29,7.6
2014-04-30,7.4
2014-05-02,7.05
2014-05-05,7.3
2014-05-06,7.4
2014-05-07,7.3
2014-05-08,7.3
2014-05-09,7.15
2014-05-12,7.8
2014-05-13,8.1
2014-05-14,7.65
2014-05-15,7.75
2014-05-16,7.5
2014-05-19,7.9
2014-05-20,8.5
2014-05-21,9.55
2014-05-22,10.85
2014-05-23,11.45
2014-05-26,10.35
2014-05-27,9.4
2014-05-28,10.15
2014-05-29,9.8
2014-05-30,9.9
2014-06-02,10.15
2014-06-03,10.1
2014-06-04,10.0
2014-06-05,10.6
2014-06-06,10.65
2014-06-09,10.45
2014-06-10,10.15
2014-06-11,10.1
2014-06-12,10.35
2014-06-13,9.95
2014-06-16,9.45
2014-06-17,9.65
2014-06-18,9.55
2014-06-19,9.2
2014-06-20,9.05
2014-06-23,9.0
2014-06-24,9.35
2014-06-25,9.45
2014-06-26,9.3
2014-06-27,9.1
2014-06-30,9.45
2014-07-01,9.75
2014-07-02,10.1
2014-07-03,10.2
2014-07-04,9.95
2014-07-07,10.15
2014-07-08,9.45
2014-07-09,9.2
2014-07-10,9.5
2014-07-11,9.05
2014-07-14,9.0
2014-07-15,9.25
2014-07-16,9.05
2014-07-17,9.1
2014-07-18,9.25
2014-07-21,9.2
2014-07-22,9.1
2014-07-23,8.95
2014-07-24,8.8
2014-07-25,8.65
2014-07-28,8.25
2014-07-30,8.0
2014-07-31,9.0
2014-08-01,8.35
2014-08-04,8.45
2014-08-05,8.5
2014-08-06,8.4
2014-08-07,8.3
2014-08-08,8.1
2014-08-11,8.25
2014-08-12,8.25
2014-08-13,8.0
2014-08-14,8.05
2014-08-18,8.2
2014-08-19,8.15
2014-08-20,8.3
2014-08-21,8.25
2014-08-22,8.35
2014-08-25,8.4
2014-08-26,8.3
2014-08-27,8.1
2014-08-28,8.05
2014-09-01,8.3
2014-09-02,8.25
2014-09-03,8.3
2014-09-04,8.15
2014-09-05,8.1
2014-09-08,8.05
2014-09-09,8.15
2014-09-10,8.1
2014-09-11,8.15
2014-09-12,9.4
2014-09-15,10.85
2014-09-16,9.85
2014-09-17,9.2
2014-09-18,9.5
2014-09-19,9.15
2014-09-22,9.75
2014-09-23,9.65
2014-09-24,9.15
2014-09-25,8.9
2014-09-26,8.7
2014-09-29,8.85
2014-09-30,8.85
2014-10-01,8.9
2014-10-07,8.6
2014-10-08,8.65
2014-10-09,8.75
2014-10-10,8.55
2014-10-13,8.75
2014-10-14,8.6
2014-10-16,8.25
2014-10-17,8.4
2014-10-20,8.6
2014-10-21,8.5
2014-10-22,8.5
2014-10-23,8.7
2014-10-27,8.45
2014-10-28,8.55
2014-10-29,8.5
2014-10-30,8.5
2014-10-31,8.5
2014-11-03,8.65
2014-11-05,8.6
2014-11-07,8.6
2014-11-10,8.4
2014-11-11,8.4
2014-11-12,8.35
2014-11-13,8.3
2014-11-14,8.3
2014-11-17,8.5
2014-11-18,8.45
2014-11-19,8.3
2014-11-20,8.2
2014-11-21,8.0
2014-11-24,8.0
2014-11-25,7.65
2014-11-26,7.75
2014-11-27,7.7
2014-11-28,7.6
2014-12-01,7.7
2014-12-02,7.55
2014-12-03,7.6
2014-12-04,7.4
2014-12-05,8.55
2014-12-08,8.75
2014-12-09,8.35
2014-12-10,8.1
2014-12-11,7.95
2014-12-12,7.95
2014-12-15,7.85
2014-12-16,7.6
2014-12-17,7.55
2014-12-18,7.65
2014-12-19,7.65
2014-12-22,7.45
2014-12-23,7.4
2014-12-24,7.4
2014-12-26,7.75
2014-12-29,7.65
2014-12-30,7.5
2014-12-31,7.45
