Date,PANORAMUNI
2014-01-02,8.8
2014-01-03,8.95
2014-01-06,9.45
2014-01-07,8.3
2014-01-08,8.9
2014-01-09,8.2
2014-01-10,9.05
2014-01-13,8.55
2014-01-14,8.7
2014-01-15,8.5
2014-01-16,8.2
2014-01-17,8.0
2014-01-20,8.0
2014-01-21,7.85
2014-01-22,7.9
2014-01-23,7.35
2014-01-24,7.1
2014-01-27,7.1
2014-01-28,7.35
2014-01-29,7.1
2014-01-30,7.1
2014-01-31,7.15
2014-02-03,7.2
2014-02-04,7.55
2014-02-05,7.75
2014-02-06,7.75
2014-02-07,7.5
2014-02-10,7.5
2014-02-11,7.7
2014-02-12,7.4
2014-02-13,7.5
2014-02-14,7.8
2014-02-17,7.1
2014-02-18,7.1
2014-02-19,7.0
2014-02-20,7.1
2014-02-21,7.15
2014-02-24,7.4
2014-02-25,7.0
2014-02-26,7.35
2014-02-28,7.1
2014-03-03,7.2
2014-03-04,7.1
2014-03-05,7.15
2014-03-06,7.05
2014-03-07,7.0
2014-03-10,6.95
2014-03-11,7.25
2014-03-12,7.0
2014-03-13,7.0
2014-03-14,6.9
2014-03-18,7.4
2014-03-19,7.2
2014-03-20,7.1
2014-03-21,7.05
2014-03-22,6.9
2014-03-24,7.0
2014-03-25,7.0
2014-03-26,6.9
2014-03-27,7.05
2014-03-28,7.05
2014-03-31,7.0
2014-04-01,7.3
2014-04-02,7.5
2014-04-03,7.4
2014-04-04,7.05
2014-04-07,7.05
2014-04-09,7.3
2014-04-10,7.45
2014-04-11,7.75
2014-04-15,7.9
2014-04-16,7.8
2014-04-17,7.4
2014-04-21,7.65
2014-04-22,7.9
2014-04-23,7.9
2014-04-25,8.1
2014-04-28,7.95
2014-04-29,7.75
2014-04-30,7.6
2014-05-02,7.55
2014-05-05,7.6
2014-05-06,7.55
2014-05-07,7.5
2014-05-08,7.6
2014-05-09,7.3
2014-05-12,7.35
2014-05-13,7.35
2014-05-14,7.7
2014-05-15,7.6
2014-05-16,7.55
2014-05-19,7.9
2014-05-20,8.75
2014-05-21,8.5
2014-05-22,9.1
2014-05-23,9.75
2014-05-26,9.1
2014-05-27,8.45
2014-05-28,8.3
2014-05-29,8.25
2014-05-30,8.25
2014-06-02,8.3
2014-06-03,8.25
2014-06-04,8.65
2014-06-05,8.9
2014-06-06,9.7
2014-06-09,11.6
2014-06-10,13.55
2014-06-11,13.25
2014-06-12,12.65
2014-06-13,11.4
2014-06-16,11.15
2014-06-17,11.55
2014-06-18,11.15
2014-06-19,10.85
2014-06-20,10.55
2014-06-23,10.5
2014-06-24,10.6
2014-06-25,10.75
2014-06-26,10.8
2014-06-27,10.8
2014-06-30,11.5
2014-07-01,12.45
2014-07-02,13.65
2014-07-03,13.0
2014-07-04,12.45
2014-07-07,12.35
2014-07-08,11.75
2014-07-09,11.2
2014-07-10,11.2
2014-07-11,10.7
2014-07-14,10.45
2014-07-15,10.55
2014-07-16,10.85
2014-07-17,10.65
2014-07-18,10.85
2014-07-21,10.9
2014-07-22,11.05
2014-07-23,10.95
2014-07-24,10.9
2014-07-25,10.8
2014-07-28,10.45
2014-07-30,10.2
2014-07-31,10.7
2014-08-01,10.2
2014-08-04,10.7
2014-08-05,10.45
2014-08-06,10.3
2014-08-07,10.2
2014-08-08,9.9
2014-08-11,10.2
2014-08-12,9.45
2014-08-13,9.15
2014-08-14,9.3
2014-08-18,9.65
2014-08-19,9.7
2014-08-20,9.75
2014-08-21,10.2
2014-08-22,10.1
2014-08-25,9.95
2014-08-26,9.4
2014-08-27,9.7
2014-08-28,9.35
2014-09-01,9.9
2014-09-02,10.0
2014-09-03,11.0
2014-09-04,11.05
2014-09-05,13.15
2014-09-08,14.5
2014-09-09,17.4
2014-09-10,19.0
2014-09-11,17.35
2014-09-12,15.75
2014-09-15,16.8
2014-09-16,16.35
2014-09-17,15.5
2014-09-18,16.15
2014-09-19,15.2
2014-09-22,15.05
2014-09-23,14.85
2014-09-24,14.3
2014-09-25,12.9
2014-09-26,11.95
2014-09-29,12.5
2014-09-30,13.1
2014-10-01,13.75
2014-10-07,13.35
2014-10-08,12.95
2014-10-09,13.3
2014-10-10,12.9
2014-10-13,12.3
2014-10-14,12.6
2014-10-16,12.15
2014-10-17,12.4
2014-10-20,11.95
2014-10-21,12.2
2014-10-22,12.0
2014-10-23,12.55
2014-10-27,12.35
2014-10-28,12.55
2014-10-29,12.45
2014-10-30,12.9
2014-10-31,13.5
2014-11-03,13.5
2014-11-05,13.35
2014-11-07,13.4
2014-11-10,13.5
2014-11-11,13.4
2014-11-12,13.65
2014-11-13,12.65
2014-11-14,12.6
2014-11-17,12.8
2014-11-18,12.5
2014-11-19,12.35
2014-11-20,12.4
2014-11-21,12.65
2014-11-24,12.75
2014-11-25,12.35
2014-11-26,12.3
2014-11-27,12.25
2014-11-28,12.15
2014-12-01,11.85
2014-12-02,11.6
2014-12-03,12.05
2014-12-04,11.85
2014-12-05,11.9
2014-12-08,12.25
2014-12-09,12.1
2014-12-10,11.65
2014-12-11,11.6
2014-12-12,11.25
2014-12-15,11.25
2014-12-16,10.7
2014-12-17,10.15
2014-12-18,10.3
2014-12-19,10.65
2014-12-22,10.4
2014-12-23,10.3
2014-12-24,10.7
2014-12-26,10.85
2014-12-29,11.25
2014-12-30,11.6
2014-12-31,11.55
