Date,IFCI
2014-01-01,26.05
2014-01-02,25.05
2014-01-03,25.5
2014-01-06,25.35
2014-01-07,25.1
2014-01-08,25.05
2014-01-09,24.35
2014-01-10,23.95
2014-01-13,24.05
2014-01-14,23.95
2014-01-15,24.45
2014-01-16,24.45
2014-01-17,23.85
2014-01-20,24.3
2014-01-21,24.1
2014-01-22,24.65
2014-01-23,24.35
2014-01-24,23.8
2014-01-27,22.75
2014-01-28,22.85
2014-01-29,22.4
2014-01-30,22.05
2014-01-31,22.8
2014-02-03,22.15
2014-02-04,22.55
2014-02-05,22.6
2014-02-06,22.85
2014-02-07,22.95
2014-02-10,23.6
2014-02-11,23.4
2014-02-12,23.05
2014-02-13,22.55
2014-02-14,22.65
2014-02-17,23.2
2014-02-18,23.3
2014-02-19,23.1
2014-02-20,22.7
2014-02-21,23.0
2014-02-24,23.15
2014-02-25,23.05
2014-02-26,23.2
2014-02-28,23.0
2014-03-03,22.7
2014-03-04,23.15
2014-03-05,22.95
2014-03-06,23.85
2014-03-07,24.5
2014-03-10,25.2
2014-03-11,25.6
2014-03-12,25.6
2014-03-13,24.7
2014-03-14,24.85
2014-03-18,24.95
2014-03-19,24.6
2014-03-20,24.1
2014-03-21,24.35
2014-03-22,24.3
2014-03-24,24.35
2014-03-25,24.5
2014-03-26,24.7
2014-03-27,25.5
2014-03-28,27.1
2014-03-31,26.55
2014-04-01,26.35
2014-04-02,27.55
2014-04-03,25.25
2014-04-04,25.35
2014-04-07,24.95
2014-04-09,25.75
2014-04-10,26.05
2014-04-11,26.05
2014-04-15,25.65
2014-04-16,25.1
2014-04-17,25.5
2014-04-21,25.85
2014-04-22,26.1
2014-04-23,26.15
2014-04-25,26.2
2014-04-28,27.5
2014-04-29,27.25
2014-04-30,25.5
2014-05-02,25.5
2014-05-05,25.25
2014-05-06,25.4
2014-05-07,25.4
2014-05-08,25.2
2014-05-09,26.7
2014-05-12,27.0
2014-05-13,27.7
2014-05-14,29.45
2014-05-15,28.3
2014-05-16,29.45
2014-05-19,31.35
2014-05-20,32.85
2014-05-21,36.9
2014-05-22,37.3
2014-05-23,41.1
2014-05-26,38.7
2014-05-27,36.05
2014-05-28,36.0
2014-05-29,36.7
2014-05-30,36.3
2014-06-02,37.9
2014-06-03,37.6
2014-06-04,39.95
2014-06-05,39.95
2014-06-06,41.15
2014-06-09,44.25
2014-06-10,43.55
2014-06-11,40.95
2014-06-12,40.65
2014-06-13,38.45
2014-06-16,38.05
2014-06-17,40.15
2014-06-18,38.65
2014-06-19,38.25
2014-06-20,39.7
2014-06-23,39.3
2014-06-24,40.6
2014-06-25,41.15
2014-06-26,40.6
2014-06-27,40.95
2014-06-30,42.1
2014-07-01,41.65
2014-07-02,41.6
2014-07-03,41.15
2014-07-04,41.2
2014-07-07,41.2
2014-07-08,37.3
2014-07-09,36.8
2014-07-10,38.0
2014-07-11,35.0
2014-07-14,35.65
2014-07-15,36.9
2014-07-16,38.15
2014-07-17,38.15
2014-07-18,37.8
2014-07-21,37.8
2014-07-22,38.7
2014-07-23,38.2
2014-07-24,38.65
2014-07-25,37.1
2014-07-28,36.9
2014-07-30,37.6
2014-07-31,38.2
2014-08-01,36.85
2014-08-04,37.6
2014-08-05,38.4
2014-08-06,37.45
2014-08-07,37.6
2014-08-08,36.4
2014-08-11,37.2
2014-08-12,38.75
2014-08-13,35.65
2014-08-14,35.8
2014-08-18,36.4
2014-08-19,36.65
2014-08-20,36.3
2014-08-21,36.15
2014-08-22,35.85
2014-08-25,34.55
2014-08-26,34.4
2014-08-27,34.25
2014-08-28,33.6
2014-09-01,34.35
2014-09-02,33.9
2014-09-03,33.85
2014-09-04,34.2
2014-09-05,32.7
2014-09-08,33.55
2014-09-09,33.45
2014-09-10,34.05
2014-09-11,34.3
2014-09-12,34.25
2014-09-15,34.35
2014-09-16,32.7
2014-09-17,32.55
2014-09-18,34.2
2014-09-19,33.65
2014-09-22,34.35
2014-09-23,34.5
2014-09-24,35.8
2014-09-25,34.45
2014-09-26,35.3
2014-09-29,36.9
2014-09-30,35.75
2014-10-01,35.6
2014-10-07,33.8
2014-10-08,33.9
2014-10-09,34.75
2014-10-10,33.55
2014-10-13,34.0
2014-10-14,33.7
2014-10-16,32.45
2014-10-17,33.15
2014-10-20,34.25
2014-10-21,34.45
2014-10-22,35.05
2014-10-23,35.3
2014-10-27,35.6
2014-10-28,35.8
2014-10-29,35.55
2014-10-30,36.55
2014-10-31,36.8
2014-11-03,38.25
2014-11-05,39.8
2014-11-07,38.65
2014-11-10,38.75
2014-11-11,39.15
2014-11-12,39.3
2014-11-13,38.15
2014-11-14,38.6
2014-11-17,39.15
2014-11-18,40.9
2014-11-19,39.7
2014-11-20,39.5
2014-11-21,40.0
2014-11-24,39.7
2014-11-25,38.4
2014-11-26,38.85
2014-11-27,39.75
2014-11-28,39.95
2014-12-01,39.05
2014-12-02,39.75
2014-12-03,39.45
2014-12-04,40.1
2014-12-05,40.35
2014-12-08,39.55
2014-12-09,37.45
2014-12-10,38.05
2014-12-11,37.8
2014-12-12,37.1
2014-12-15,36.65
2014-12-16,33.85
2014-12-17,34.8
2014-12-18,35.9
2014-12-19,35.5
2014-12-22,36.25
2014-12-23,35.35
2014-12-24,35.85
2014-12-26,36.1
2014-12-29,37.75
2014-12-30,37.75
2014-12-31,37.85
