Date,KEI
2014-01-01,12.25
2014-01-02,11.85
2014-01-03,13.15
2014-01-06,14.0
2014-01-07,13.55
2014-01-08,13.95
2014-01-09,13.3
2014-01-10,12.8
2014-01-13,12.25
2014-01-14,12.2
2014-01-15,11.85
2014-01-16,12.15
2014-01-17,11.35
2014-01-20,11.7
2014-01-21,13.0
2014-01-22,12.7
2014-01-23,12.2
2014-01-24,12.2
2014-01-27,11.4
2014-01-28,11.5
2014-01-29,12.2
2014-01-30,11.8
2014-01-31,11.9
2014-02-03,12.05
2014-02-04,11.95
2014-02-05,11.9
2014-02-06,11.75
2014-02-07,11.6
2014-02-10,12.0
2014-02-11,11.75
2014-02-12,11.65
2014-02-13,11.45
2014-02-14,11.3
2014-02-17,11.35
2014-02-18,12.25
2014-02-19,12.3
2014-02-20,12.65
2014-02-21,13.55
2014-02-24,13.1
2014-02-25,12.65
2014-02-26,12.45
2014-02-28,11.95
2014-03-03,11.9
2014-03-04,11.95
2014-03-05,11.95
2014-03-06,12.15
2014-03-07,12.0
2014-03-10,12.05
2014-03-11,11.9
2014-03-12,11.9
2014-03-13,11.7
2014-03-14,11.55
2014-03-18,11.85
2014-03-19,11.85
2014-03-20,11.45
2014-03-21,11.6
2014-03-22,11.7
2014-03-24,11.6
2014-03-25,11.15
2014-03-26,11.55
2014-03-27,11.6
2014-03-28,12.0
2014-03-31,12.55
2014-04-01,12.4
2014-04-02,12.85
2014-04-03,12.45
2014-04-04,12.85
2014-04-07,13.55
2014-04-09,16.25
2014-04-10,16.3
2014-04-11,18.05
2014-04-15,18.05
2014-04-16,17.5
2014-04-17,18.0
2014-04-21,19.0
2014-04-22,20.9
2014-04-23,22.0
2014-04-25,20.35
2014-04-28,19.7
2014-04-29,19.8
2014-04-30,19.65
2014-05-02,18.8
2014-05-05,18.85
2014-05-06,18.25
2014-05-07,18.05
2014-05-08,18.15
2014-05-09,19.1
2014-05-12,19.0
2014-05-13,19.35
2014-05-14,20.05
2014-05-15,19.9
2014-05-16,19.05
2014-05-19,20.2
2014-05-20,23.2
2014-05-21,27.7
2014-05-22,28.4
2014-05-23,27.9
2014-05-26,25.4
2014-05-27,24.65
2014-05-28,26.2
2014-05-29,25.3
2014-05-30,25.55
2014-06-02,27.35
2014-06-03,28.25
2014-06-04,28.3
2014-06-05,27.9
2014-06-06,27.35
2014-06-09,28.0
2014-06-10,27.55
2014-06-11,27.15
2014-06-12,27.05
2014-06-13,25.75
2014-06-16,24.8
2014-06-17,24.95
2014-06-18,25.55
2014-06-19,24.25
2014-06-20,24.15
2014-06-23,26.55
2014-06-24,29.2
2014-06-25,29.5
2014-06-26,28.55
2014-06-27,29.75
2014-06-30,30.0
2014-07-01,31.8
2014-07-02,31.8
2014-07-03,31.05
2014-07-04,30.9
2014-07-07,31.4
2014-07-08,29.75
2014-07-09,29.65
2014-07-10,30.15
2014-07-11,29.15
2014-07-14,28.35
2014-07-15,29.2
2014-07-16,29.9
2014-07-17,31.4
2014-07-18,33.15
2014-07-21,35.45
2014-07-22,34.1
2014-07-23,33.25
2014-07-24,33.85
2014-07-25,32.8
2014-07-28,31.5
2014-07-30,31.7
2014-07-31,31.95
2014-08-01,32.85
2014-08-04,34.05
2014-08-05,33.95
2014-08-06,33.95
2014-08-07,34.0
2014-08-08,32.0
2014-08-11,32.05
2014-08-12,33.3
2014-08-13,31.9
2014-08-14,31.45
2014-08-18,32.25
2014-08-19,32.05
2014-08-20,32.4
2014-08-21,31.85
2014-08-22,31.2
2014-08-25,30.3
2014-08-26,29.8
2014-08-27,30.85
2014-08-28,31.15
2014-09-01,30.8
2014-09-02,30.8
2014-09-03,33.45
2014-09-04,31.75
2014-09-05,32.05
2014-09-08,32.0
2014-09-09,32.15
2014-09-10,35.05
2014-09-11,37.8
2014-09-12,37.7
2014-09-15,37.7
2014-09-16,35.15
2014-09-17,34.6
2014-09-18,36.0
2014-09-19,35.2
2014-09-22,35.35
2014-09-23,34.55
2014-09-24,35.3
2014-09-25,33.55
2014-09-26,34.35
2014-09-29,33.85
2014-09-30,33.3
2014-10-01,33.3
2014-10-07,32.65
2014-10-08,32.7
2014-10-09,33.2
2014-10-10,32.5
2014-10-13,33.1
2014-10-14,32.7
2014-10-16,30.35
2014-10-17,31.3
2014-10-20,31.05
2014-10-21,31.75
2014-10-22,33.2
2014-10-23,33.7
2014-10-27,33.25
2014-10-28,32.55
2014-10-29,33.1
2014-10-30,32.8
2014-10-31,34.85
2014-11-03,35.35
2014-11-05,35.45
2014-11-07,42.5
2014-11-10,46.25
2014-11-11,44.75
2014-11-12,43.35
2014-11-13,46.9
2014-11-14,48.35
2014-11-17,48.15
2014-11-18,47.6
2014-11-19,46.0
2014-11-20,46.3
2014-11-21,46.0
2014-11-24,45.6
2014-11-25,44.35
2014-11-26,44.65
2014-11-27,44.4
2014-11-28,46.1
2014-12-01,46.55
2014-12-02,45.35
2014-12-03,44.75
2014-12-04,47.7
2014-12-05,47.15
2014-12-08,46.3
2014-12-09,45.55
2014-12-10,45.8
2014-12-11,45.05
2014-12-12,45.45
2014-12-15,45.65
2014-12-16,44.2
2014-12-17,42.1
2014-12-18,43.85
2014-12-19,42.9
2014-12-22,43.85
2014-12-23,43.45
2014-12-24,43.6
2014-12-26,44.85
2014-12-29,45.55
2014-12-30,46.75
2014-12-31,48.3
