Date,SOTL
2014-01-01,433.05
2014-01-02,422.75
2014-01-03,414.65
2014-01-06,423.4
2014-01-07,419.6
2014-01-08,412.2
2014-01-09,425.1
2014-01-10,418.55
2014-01-13,412.35
2014-01-14,411.85
2014-01-15,404.55
2014-01-16,399.05
2014-01-17,395.6
2014-01-20,395.7
2014-01-21,399.9
2014-01-22,399.4
2014-01-23,393.6
2014-01-24,395.1
2014-01-27,394.55
2014-01-28,391.75
2014-01-29,388.4
2014-01-30,381.15
2014-01-31,384.5
2014-02-03,391.5
2014-02-04,394.6
2014-02-05,402.1
2014-02-06,412.0
2014-02-07,405.4
2014-02-10,408.35
2014-02-11,399.4
2014-02-12,405.0
2014-02-13,399.55
2014-02-14,397.75
2014-02-17,405.3
2014-02-18,394.35
2014-02-19,395.25
2014-02-20,400.0
2014-02-21,394.25
2014-02-24,391.1
2014-02-25,394.0
2014-02-26,395.0
2014-02-28,397.05
2014-03-03,400.3
2014-03-04,412.3
2014-03-05,415.2
2014-03-06,411.55
2014-03-07,406.3
2014-03-10,405.6
2014-03-11,403.35
2014-03-12,396.8
2014-03-13,402.95
2014-03-14,403.7
2014-03-18,397.8
2014-03-19,398.0
2014-03-20,472.6
2014-03-21,488.45
2014-03-22,564.4
2014-03-24,508.0
2014-03-25,492.95
2014-03-26,479.95
2014-03-27,486.2
2014-03-28,490.65
2014-03-31,481.1
2014-04-01,479.8
2014-04-02,479.05
2014-04-03,479.05
2014-04-04,475.7
2014-04-07,504.65
2014-04-09,508.35
2014-04-10,507.3
2014-04-11,501.6
2014-04-15,497.7
2014-04-16,490.25
2014-04-17,513.6
2014-04-21,502.95
2014-04-22,497.4
2014-04-23,511.45
2014-04-25,500.25
2014-04-28,499.6
2014-04-29,501.25
2014-04-30,493.7
2014-05-02,490.9
2014-05-05,488.3
2014-05-06,491.9
2014-05-07,501.55
2014-05-08,544.75
2014-05-09,552.25
2014-05-12,549.7
2014-05-13,565.55
2014-05-14,552.4
2014-05-15,550.5
2014-05-16,575.6
2014-05-19,588.4
2014-05-20,585.95
2014-05-21,601.95
2014-05-22,612.05
2014-05-23,612.5
2014-05-26,596.95
2014-05-27,580.55
2014-05-28,600.0
2014-05-29,592.25
2014-05-30,594.05
2014-06-02,616.05
2014-06-03,616.2
2014-06-04,615.15
2014-06-05,618.55
2014-06-06,611.4
2014-06-09,615.6
2014-06-10,616.5
2014-06-11,615.85
2014-06-12,620.25
2014-06-13,620.0
2014-06-16,622.9
2014-06-17,625.1
2014-06-18,620.45
2014-06-19,614.0
2014-06-20,617.0
2014-06-23,624.35
2014-06-24,620.2
2014-06-25,620.85
2014-06-26,655.65
2014-06-27,724.75
2014-06-30,766.2
2014-07-01,744.15
2014-07-02,745.35
2014-07-03,777.9
2014-07-04,778.65
2014-07-07,784.15
2014-07-08,745.4
2014-07-09,724.7
2014-07-10,693.55
2014-07-11,661.5
2014-07-14,657.25
2014-07-15,664.3
2014-07-16,723.85
2014-07-17,811.85
2014-07-18,796.9
2014-07-21,770.6
2014-07-22,704.0
2014-07-23,696.35
2014-07-24,676.85
2014-07-25,647.2
2014-07-28,702.75
2014-07-30,702.85
2014-07-31,683.65
2014-08-01,664.95
2014-08-04,669.85
2014-08-05,687.0
2014-08-06,684.1
2014-08-07,667.45
2014-08-08,651.85
2014-08-11,660.95
2014-08-12,661.7
2014-08-13,642.3
2014-08-14,643.75
2014-08-18,654.0
2014-08-19,678.85
2014-08-20,671.0
2014-08-21,697.85
2014-08-22,704.0
2014-08-25,710.55
2014-08-26,718.35
2014-08-27,690.55
2014-08-28,679.7
2014-09-01,702.15
2014-09-02,694.1
2014-09-03,717.5
2014-09-04,702.1
2014-09-05,713.15
2014-09-08,711.4
2014-09-09,700.6
2014-09-10,700.65
2014-09-11,710.4
2014-09-12,712.75
2014-09-15,705.75
2014-09-16,678.7
2014-09-17,677.0
2014-09-18,696.3
2014-09-19,706.8
2014-09-22,710.3
2014-09-23,704.55
2014-09-24,704.9
2014-09-25,761.3
2014-09-26,746.9
2014-09-29,753.85
2014-09-30,749.7
2014-10-01,791.75
2014-10-07,774.75
2014-10-08,773.25
2014-10-09,776.6
2014-10-10,774.05
2014-10-13,771.55
2014-10-14,800.35
2014-10-16,762.5
2014-10-17,770.05
2014-10-20,770.35
2014-10-21,762.6
2014-10-22,755.9
2014-10-23,765.35
2014-10-27,781.9
2014-10-28,792.95
2014-10-29,783.5
2014-10-30,777.15
2014-10-31,771.5
2014-11-03,712.4
2014-11-05,704.2
2014-11-07,700.6
2014-11-10,691.7
2014-11-11,691.6
2014-11-12,693.6
2014-11-13,686.95
2014-11-14,681.85
2014-11-17,694.75
2014-11-18,694.15
2014-11-19,689.5
2014-11-20,722.75
2014-11-21,715.1
2014-11-24,713.7
2014-11-25,692.35
2014-11-26,694.85
2014-11-27,714.25
2014-11-28,723.7
2014-12-01,727.8
2014-12-02,719.6
2014-12-03,731.0
2014-12-04,736.55
2014-12-05,747.75
2014-12-08,737.0
2014-12-09,732.75
2014-12-10,733.55
2014-12-11,730.2
2014-12-12,722.45
2014-12-15,718.15
2014-12-16,693.0
2014-12-17,697.9
2014-12-18,695.3
2014-12-19,716.1
2014-12-22,706.6
2014-12-23,705.8
2014-12-24,699.35
2014-12-26,714.0
2014-12-29,716.55
2014-12-30,721.15
2014-12-31,725.4
