Date,USHAMART
2014-01-01,32.3
2014-01-02,32.15
2014-01-03,32.2
2014-01-06,32.7
2014-01-07,33.0
2014-01-08,34.85
2014-01-09,36.15
2014-01-10,35.9
2014-01-13,36.25
2014-01-14,34.1
2014-01-15,34.15
2014-01-16,34.5
2014-01-17,32.4
2014-01-20,32.95
2014-01-21,32.8
2014-01-22,33.5
2014-01-23,33.65
2014-01-24,32.1
2014-01-27,31.0
2014-01-28,31.5
2014-01-29,30.9
2014-01-30,29.2
2014-01-31,30.45
2014-02-03,30.85
2014-02-04,31.05
2014-02-05,31.05
2014-02-06,31.1
2014-02-07,32.1
2014-02-10,31.65
2014-02-11,32.0
2014-02-12,32.1
2014-02-13,31.65
2014-02-14,32.6
2014-02-17,31.75
2014-02-18,31.7
2014-02-19,31.7
2014-02-20,31.75
2014-02-21,31.95
2014-02-24,32.7
2014-02-25,32.05
2014-02-26,31.2
2014-02-28,30.0
2014-03-03,29.6
2014-03-04,29.7
2014-03-05,29.35
2014-03-06,29.7
2014-03-07,30.2
2014-03-10,30.35
2014-03-11,29.75
2014-03-12,30.0
2014-03-13,29.95
2014-03-14,29.55
2014-03-18,29.5
2014-03-19,29.35
2014-03-20,29.05
2014-03-21,29.55
2014-03-22,30.1
2014-03-24,33.8
2014-03-25,33.4
2014-03-26,33.4
2014-03-27,33.9
2014-03-28,35.6
2014-03-31,35.15
2014-04-01,35.65
2014-04-02,38.65
2014-04-03,36.9
2014-04-04,37.3
2014-04-07,36.65
2014-04-09,38.4
2014-04-10,40.2
2014-04-11,40.15
2014-04-15,39.25
2014-04-16,37.1
2014-04-17,37.7
2014-04-21,36.5
2014-04-22,36.35
2014-04-23,36.05
2014-04-25,36.2
2014-04-28,36.65
2014-04-29,37.7
2014-04-30,37.0
2014-05-02,37.3
2014-05-05,36.9
2014-05-06,38.4
2014-05-07,37.15
2014-05-08,37.35
2014-05-09,37.05
2014-05-12,36.25
2014-05-13,36.0
2014-05-14,36.5
2014-05-15,35.5
2014-05-16,38.8
2014-05-19,40.0
2014-05-20,41.45
2014-05-21,41.0
2014-05-22,43.85
2014-05-23,46.5
2014-05-26,40.95
2014-05-27,38.9
2014-05-28,36.15
2014-05-29,37.9
2014-05-30,38.7
2014-06-02,40.95
2014-06-03,40.05
2014-06-04,41.95
2014-06-05,41.5
2014-06-06,39.95
2014-06-09,43.7
2014-06-10,41.8
2014-06-11,41.7
2014-06-12,41.4
2014-06-13,39.85
2014-06-16,40.9
2014-06-17,40.65
2014-06-18,40.95
2014-06-19,39.65
2014-06-20,39.1
2014-06-23,39.75
2014-06-24,39.5
2014-06-25,38.85
2014-06-26,38.55
2014-06-27,37.6
2014-06-30,38.25
2014-07-01,39.75
2014-07-02,40.05
2014-07-03,40.3
2014-07-04,41.9
2014-07-07,42.4
2014-07-08,38.65
2014-07-09,36.8
2014-07-10,36.75
2014-07-11,36.4
2014-07-14,37.2
2014-07-15,38.95
2014-07-16,38.95
2014-07-17,39.05
2014-07-18,39.5
2014-07-21,39.75
2014-07-22,41.1
2014-07-23,41.25
2014-07-24,40.65
2014-07-25,39.3
2014-07-28,39.2
2014-07-30,40.0
2014-07-31,42.2
2014-08-01,42.9
2014-08-04,42.75
2014-08-05,42.6
2014-08-06,42.3
2014-08-07,45.75
2014-08-08,45.0
2014-08-11,44.0
2014-08-12,42.25
2014-08-13,41.4
2014-08-14,42.45
2014-08-18,42.7
2014-08-19,42.25
2014-08-20,42.75
2014-08-21,42.9
2014-08-22,43.25
2014-08-25,39.4
2014-08-26,40.0
2014-08-27,40.65
2014-08-28,40.3
2014-09-01,41.05
2014-09-02,40.65
2014-09-03,40.2
2014-09-04,40.25
2014-09-05,40.25
2014-09-08,40.0
2014-09-09,39.85
2014-09-10,38.9
2014-09-11,39.05
2014-09-12,38.55
2014-09-15,37.6
2014-09-16,35.35
2014-09-17,34.5
2014-09-18,35.45
2014-09-19,35.05
2014-09-22,34.65
2014-09-23,33.5
2014-09-24,30.0
2014-09-25,24.0
2014-09-26,21.65
2014-09-29,23.55
2014-09-30,23.3
2014-10-01,23.25
2014-10-07,22.9
2014-10-08,22.35
2014-10-09,22.25
2014-10-10,21.35
2014-10-13,21.75
2014-10-14,22.3
2014-10-16,23.2
2014-10-17,24.0
2014-10-20,24.5
2014-10-21,25.35
2014-10-22,27.85
2014-10-23,27.25
2014-10-27,27.05
2014-10-28,26.2
2014-10-29,26.35
2014-10-30,26.3
2014-10-31,26.35
2014-11-03,28.5
2014-11-05,28.6
2014-11-07,28.25
2014-11-10,27.6
2014-11-11,30.0
2014-11-12,32.9
2014-11-13,33.0
2014-11-14,32.9
2014-11-17,32.8
2014-11-18,31.8
2014-11-19,29.95
2014-11-20,29.7
2014-11-21,28.95
2014-11-24,27.95
2014-11-25,27.25
2014-11-26,27.6
2014-11-27,27.6
2014-11-28,27.5
2014-12-01,27.15
2014-12-02,26.8
2014-12-03,27.05
2014-12-04,27.65
2014-12-05,27.85
2014-12-08,29.05
2014-12-09,28.7
2014-12-10,29.5
2014-12-11,27.6
2014-12-12,27.35
2014-12-15,26.6
2014-12-16,26.7
2014-12-17,26.3
2014-12-18,27.0
2014-12-19,26.55
2014-12-22,26.95
2014-12-23,26.65
2014-12-24,26.0
2014-12-26,25.75
2014-12-29,26.3
2014-12-30,26.55
2014-12-31,26.55
