Date,LUMAXIND
2014-01-01,330.9
2014-01-02,331.95
2014-01-03,331.85
2014-01-06,330.6
2014-01-07,329.85
2014-01-08,330.55
2014-01-09,331.75
2014-01-10,328.85
2014-01-13,329.15
2014-01-14,334.15
2014-01-15,331.45
2014-01-16,332.0
2014-01-17,336.5
2014-01-20,327.25
2014-01-21,331.8
2014-01-22,330.4
2014-01-23,330.35
2014-01-24,330.0
2014-01-27,329.25
2014-01-28,331.45
2014-01-29,329.25
2014-01-30,329.1
2014-01-31,328.5
2014-02-03,330.0
2014-02-04,323.05
2014-02-05,326.5
2014-02-06,329.8
2014-02-07,327.45
2014-02-10,328.85
2014-02-11,325.1
2014-02-12,328.9
2014-02-17,326.65
2014-02-19,329.4
2014-02-20,328.25
2014-02-21,326.7
2014-02-24,326.8
2014-02-25,326.8
2014-02-26,326.75
2014-02-28,324.35
2014-03-03,324.75
2014-03-04,326.05
2014-03-05,323.45
2014-03-06,324.95
2014-03-07,324.0
2014-03-10,324.75
2014-03-11,325.2
2014-03-12,324.85
2014-03-13,320.1
2014-03-14,316.9
2014-03-18,311.4
2014-03-19,318.75
2014-03-20,316.0
2014-03-21,324.15
2014-03-22,325.25
2014-03-24,317.6
2014-03-25,315.35
2014-03-26,299.3
2014-03-27,295.2
2014-03-28,296.8
2014-03-31,291.5
2014-04-01,300.75
2014-04-02,295.8
2014-04-03,299.75
2014-04-04,297.5
2014-04-07,304.6
2014-04-09,307.0
2014-04-10,304.9
2014-04-11,303.4
2014-04-15,303.45
2014-04-16,301.25
2014-04-17,295.4
2014-04-21,301.85
2014-04-22,303.9
2014-04-23,303.75
2014-04-25,294.8
2014-04-28,296.0
2014-04-29,294.65
2014-04-30,294.85
2014-05-02,299.5
2014-05-05,300.15
2014-05-06,296.65
2014-05-07,299.0
2014-05-08,293.75
2014-05-09,297.15
2014-05-12,300.9
2014-05-13,297.75
2014-05-14,298.25
2014-05-15,295.3
2014-05-16,296.2
2014-05-19,303.8
2014-05-20,304.3
2014-05-21,305.55
2014-05-22,306.65
2014-05-23,322.65
2014-05-26,322.0
2014-05-27,315.35
2014-05-28,317.75
2014-05-29,315.65
2014-05-30,318.15
2014-06-02,315.1
2014-06-03,316.5
2014-06-04,318.5
2014-06-05,324.8
2014-06-06,332.85
2014-06-09,334.35
2014-06-10,344.6
2014-06-11,337.65
2014-06-12,333.4
2014-06-13,333.0
2014-06-16,331.7
2014-06-17,333.0
2014-06-18,328.3
2014-06-19,328.8
2014-06-20,319.5
2014-06-23,320.0
2014-06-24,319.7
2014-06-25,319.1
2014-06-26,319.9
2014-06-27,319.4
2014-06-30,319.9
2014-07-01,319.0
2014-07-02,319.95
2014-07-03,316.7
2014-07-04,319.15
2014-07-07,317.85
2014-07-08,317.3
2014-07-09,317.6
2014-07-10,317.35
2014-07-11,311.15
2014-07-14,317.45
2014-07-15,317.05
2014-07-16,325.45
2014-07-17,329.6
2014-07-18,333.75
2014-07-21,337.8
2014-07-22,333.0
2014-07-23,334.15
2014-07-24,343.8
2014-07-25,338.8
2014-07-28,330.65
2014-07-30,328.5
2014-07-31,327.2
2014-08-01,331.35
2014-08-04,328.05
2014-08-05,330.2
2014-08-06,329.95
2014-08-07,328.05
2014-08-08,332.7
2014-08-11,339.0
2014-08-12,340.0
2014-08-13,328.9
2014-08-14,373.35
2014-08-18,376.9
2014-08-19,381.45
2014-08-20,433.7
2014-08-21,425.65
2014-08-22,413.85
2014-08-25,414.2
2014-08-26,409.8
2014-08-27,413.75
2014-08-28,413.5
2014-09-01,419.3
2014-09-02,422.55
2014-09-03,417.25
2014-09-04,422.25
2014-09-05,414.3
2014-09-08,412.3
2014-09-09,411.35
2014-09-10,406.4
2014-09-11,423.15
2014-09-12,415.4
2014-09-15,421.4
2014-09-16,401.6
2014-09-17,410.5
2014-09-18,409.85
2014-09-19,407.75
2014-09-22,406.55
2014-09-23,394.0
2014-09-24,391.7
2014-09-25,375.3
2014-09-26,375.5
2014-09-29,377.45
2014-09-30,362.75
2014-10-01,358.45
2014-10-07,358.45
2014-10-08,359.55
2014-10-09,367.0
2014-10-10,351.9
2014-10-13,369.45
2014-10-14,361.6
2014-10-16,349.5
2014-10-17,344.85
2014-10-20,340.85
2014-10-21,342.7
2014-10-22,353.65
2014-10-23,357.35
2014-10-27,367.15
2014-10-28,361.7
2014-10-29,364.5
2014-10-30,357.65
2014-10-31,362.3
2014-11-03,367.35
2014-11-05,393.55
2014-11-07,387.2
2014-11-10,387.35
2014-11-11,381.15
2014-11-12,390.15
2014-11-13,392.6
2014-11-14,389.7
2014-11-17,386.5
2014-11-18,407.0
2014-11-19,409.0
2014-11-20,404.9
2014-11-21,401.95
2014-11-24,398.3
2014-11-25,383.1
2014-11-26,400.5
2014-11-27,404.3
2014-11-28,400.95
2014-12-01,423.9
2014-12-02,424.8
2014-12-03,443.2
2014-12-04,460.7
2014-12-05,455.5
2014-12-08,442.65
2014-12-09,427.15
2014-12-10,428.1
2014-12-11,420.2
2014-12-12,414.6
2014-12-15,428.3
2014-12-16,407.05
2014-12-17,401.1
2014-12-18,419.8
2014-12-19,406.4
2014-12-22,417.05
2014-12-23,414.85
2014-12-24,413.35
2014-12-26,401.8
2014-12-29,399.45
2014-12-30,415.4
2014-12-31,408.65
