Date,JOCIL
2014-01-01,85.4
2014-01-02,85.0
2014-01-03,88.0
2014-01-06,88.5
2014-01-07,88.0
2014-01-08,88.0
2014-01-09,89.0
2014-01-10,89.9
2014-01-13,90.0
2014-01-14,90.0
2014-01-15,88.0
2014-01-16,86.95
2014-01-17,87.0
2014-01-20,89.0
2014-01-21,87.05
2014-01-22,91.4
2014-01-23,90.5
2014-01-24,87.6
2014-01-27,87.0
2014-01-28,89.85
2014-01-29,87.85
2014-01-30,88.0
2014-01-31,86.0
2014-02-03,86.2
2014-02-04,85.45
2014-02-05,85.0
2014-02-06,85.65
2014-02-11,82.2
2014-02-12,79.9
2014-02-13,80.4
2014-02-14,82.0
2014-02-17,78.5
2014-02-18,80.0
2014-02-19,79.4
2014-02-20,79.0
2014-02-21,80.85
2014-02-24,80.5
2014-02-25,79.85
2014-02-26,78.5
2014-02-28,80.0
2014-03-03,80.0
2014-03-04,80.5
2014-03-05,81.0
2014-03-06,83.1
2014-03-07,82.0
2014-03-10,87.9
2014-03-11,87.15
2014-03-12,83.7
2014-03-13,86.95
2014-03-14,85.4
2014-03-18,87.0
2014-03-19,86.1
2014-03-20,87.3
2014-03-21,89.0
2014-03-22,87.1
2014-03-24,86.1
2014-03-25,90.0
2014-03-26,89.05
2014-03-27,90.0
2014-03-28,86.2
2014-03-31,90.05
2014-04-01,95.6
2014-04-02,99.8
2014-04-03,98.1
2014-04-04,100.1
2014-04-07,100.75
2014-04-09,101.0
2014-04-10,101.6
2014-04-11,100.05
2014-04-15,99.95
2014-04-16,99.4
2014-04-17,97.75
2014-04-21,98.4
2014-04-22,97.7
2014-04-23,98.0
2014-04-25,94.6
2014-04-28,96.0
2014-04-29,92.45
2014-04-30,92.9
2014-05-02,92.55
2014-05-05,91.0
2014-05-06,90.9
2014-05-08,91.0
2014-05-09,90.3
2014-05-12,92.1
2014-05-13,91.1
2014-05-14,91.0
2014-05-15,89.8
2014-05-16,88.85
2014-05-19,104.3
2014-05-20,106.1
2014-05-21,106.0
2014-05-22,112.25
2014-05-23,112.95
2014-05-26,113.35
2014-05-27,111.65
2014-05-28,110.0
2014-05-29,113.5
2014-05-30,117.95
2014-06-02,118.85
2014-06-03,120.6
2014-06-04,119.45
2014-06-05,117.7
2014-06-06,121.3
2014-06-09,122.45
2014-06-10,119.2
2014-06-11,118.75
2014-06-12,120.2
2014-06-13,114.15
2014-06-16,115.0
2014-06-17,115.25
2014-06-18,109.5
2014-06-19,111.4
2014-06-20,116.55
2014-06-23,117.7
2014-06-24,114.75
2014-06-25,117.05
2014-06-26,120.0
2014-06-27,120.95
2014-06-30,121.5
2014-07-01,125.85
2014-07-02,133.05
2014-07-03,132.0
2014-07-04,133.9
2014-07-07,127.8
2014-07-08,121.85
2014-07-09,120.7
2014-07-10,124.1
2014-07-11,117.9
2014-07-14,118.15
2014-07-15,124.15
2014-07-16,122.2
2014-07-17,123.7
2014-07-18,123.0
2014-07-21,125.75
2014-07-22,123.25
2014-07-23,124.9
2014-07-24,125.75
2014-07-25,124.8
2014-07-28,122.5
2014-07-30,121.0
2014-07-31,121.1
2014-08-01,125.05
2014-08-04,125.05
2014-08-05,133.15
2014-08-06,132.6
2014-08-07,126.35
2014-08-08,122.6
2014-08-11,119.0
2014-08-12,119.3
2014-08-13,116.75
2014-08-14,116.6
2014-08-18,117.0
2014-08-19,121.05
2014-08-20,120.35
2014-08-21,119.7
2014-08-22,124.5
2014-08-25,118.95
2014-08-26,120.1
2014-08-27,120.35
2014-08-28,120.35
2014-09-01,119.15
2014-09-02,119.55
2014-09-03,120.4
2014-09-04,117.85
2014-09-05,123.0
2014-09-08,120.25
2014-09-09,125.75
2014-09-10,126.7
2014-09-11,151.2
2014-09-12,165.05
2014-09-15,165.95
2014-09-16,152.1
2014-09-17,149.85
2014-09-18,165.75
2014-09-19,170.35
2014-09-22,163.1
2014-09-23,161.0
2014-09-24,154.35
2014-09-25,146.55
2014-09-26,146.3
2014-09-29,144.4
2014-09-30,146.5
2014-10-01,143.35
2014-10-07,140.05
2014-10-08,143.45
2014-10-09,146.0
2014-10-10,141.05
2014-10-13,141.1
2014-10-14,144.6
2014-10-16,139.3
2014-10-17,139.65
2014-10-20,140.8
2014-10-21,141.0
2014-10-22,139.2
2014-10-23,143.25
2014-10-27,142.65
2014-10-28,142.8
2014-10-29,142.85
2014-10-30,141.25
2014-10-31,138.65
2014-11-03,151.4
2014-11-05,146.45
2014-11-07,143.35
2014-11-10,136.25
2014-11-11,135.9
2014-11-12,136.0
2014-11-13,132.35
2014-11-14,126.2
2014-11-17,128.4
2014-11-18,130.6
2014-11-19,129.25
2014-11-20,128.55
2014-11-21,127.4
2014-11-24,129.4
2014-11-25,125.3
2014-11-26,125.0
2014-11-27,127.4
2014-11-28,128.8
2014-12-01,128.0
2014-12-02,128.0
2014-12-03,131.05
2014-12-04,134.15
2014-12-05,130.45
2014-12-08,127.1
2014-12-09,124.1
2014-12-10,126.4
2014-12-11,124.4
2014-12-12,123.95
2014-12-15,122.5
2014-12-16,119.8
2014-12-17,119.15
2014-12-18,129.35
2014-12-19,130.25
2014-12-22,128.1
2014-12-23,130.15
2014-12-24,126.65
2014-12-26,126.7
2014-12-29,126.5
2014-12-30,126.0
2014-12-31,126.9
