Date,GARWALLROP
2014-01-01,54.9
2014-01-02,55.0
2014-01-03,55.0
2014-01-06,55.0
2014-01-07,55.0
2014-01-08,55.0
2014-01-09,55.0
2014-01-10,55.0
2014-01-13,55.0
2014-01-14,54.8
2014-01-15,55.0
2014-01-16,55.0
2014-01-17,54.9
2014-01-20,55.1
2014-01-21,55.05
2014-01-22,55.7
2014-01-23,55.5
2014-01-24,54.1
2014-01-27,54.85
2014-01-28,55.0
2014-01-29,55.0
2014-01-30,55.45
2014-01-31,55.0
2014-02-03,55.0
2014-02-04,55.0
2014-02-05,55.05
2014-02-06,55.0
2014-02-07,55.0
2014-02-10,55.75
2014-02-11,55.45
2014-02-12,55.1
2014-02-13,55.0
2014-02-14,55.05
2014-02-17,55.05
2014-02-18,55.0
2014-02-19,56.0
2014-02-20,57.6
2014-02-21,59.05
2014-02-24,61.1
2014-02-25,63.45
2014-02-26,62.55
2014-02-28,62.8
2014-03-03,62.4
2014-03-04,64.85
2014-03-05,64.25
2014-03-06,63.0
2014-03-07,61.05
2014-03-10,63.0
2014-03-11,61.85
2014-03-12,62.5
2014-03-13,63.0
2014-03-14,62.4
2014-03-18,63.45
2014-03-19,64.5
2014-03-20,64.5
2014-03-21,64.45
2014-03-22,64.6
2014-03-24,63.0
2014-03-25,61.3
2014-03-26,61.45
2014-03-27,61.0
2014-03-28,61.35
2014-03-31,59.7
2014-04-01,61.0
2014-04-02,63.35
2014-04-03,60.1
2014-04-04,61.85
2014-04-07,63.25
2014-04-09,64.4
2014-04-10,62.45
2014-04-11,69.4
2014-04-15,69.2
2014-04-16,66.75
2014-04-17,67.95
2014-04-21,71.65
2014-04-22,71.3
2014-04-23,70.5
2014-04-25,74.6
2014-04-28,76.35
2014-04-29,75.85
2014-04-30,73.3
2014-05-02,76.6
2014-05-05,81.7
2014-05-06,84.65
2014-05-07,89.2
2014-05-08,87.05
2014-05-09,90.95
2014-05-12,96.8
2014-05-13,90.8
2014-05-14,93.1
2014-05-15,93.45
2014-05-16,90.15
2014-05-19,92.15
2014-05-20,93.65
2014-05-21,97.95
2014-05-22,93.9
2014-05-23,93.7
2014-05-26,88.75
2014-05-27,88.55
2014-05-28,88.85
2014-05-29,91.7
2014-05-30,92.25
2014-06-02,89.15
2014-06-03,92.3
2014-06-04,92.4
2014-06-05,94.45
2014-06-06,102.6
2014-06-09,101.2
2014-06-10,98.65
2014-06-11,96.4
2014-06-12,99.05
2014-06-13,96.65
2014-06-16,111.8
2014-06-17,110.1
2014-06-18,110.0
2014-06-19,109.05
2014-06-20,108.75
2014-06-23,108.95
2014-06-24,109.8
2014-06-25,110.15
2014-06-26,109.55
2014-06-27,111.4
2014-06-30,111.85
2014-07-01,114.75
2014-07-02,114.8
2014-07-03,113.45
2014-07-04,114.0
2014-07-07,113.0
2014-07-08,105.9
2014-07-09,102.8
2014-07-10,100.2
2014-07-11,96.5
2014-07-14,103.4
2014-07-15,108.9
2014-07-16,112.05
2014-07-17,112.0
2014-07-18,118.0
2014-07-21,121.8
2014-07-22,122.05
2014-07-23,121.1
2014-07-24,122.45
2014-07-25,119.7
2014-07-28,119.95
2014-07-30,119.95
2014-07-31,127.9
2014-08-01,123.2
2014-08-04,134.45
2014-08-05,136.2
2014-08-06,132.2
2014-08-07,148.35
2014-08-08,147.1
2014-08-11,146.95
2014-08-12,143.85
2014-08-13,140.8
2014-08-14,144.4
2014-08-18,146.1
2014-08-19,142.3
2014-08-20,145.35
2014-08-21,146.15
2014-08-22,144.05
2014-08-25,150.15
2014-08-26,174.55
2014-08-27,163.65
2014-08-28,164.95
2014-09-01,169.15
2014-09-02,164.6
2014-09-03,164.45
2014-09-04,160.15
2014-09-05,162.4
2014-09-08,170.95
2014-09-09,169.3
2014-09-10,179.75
2014-09-11,178.05
2014-09-12,173.85
2014-09-15,176.2
2014-09-16,164.05
2014-09-17,173.1
2014-09-18,180.0
2014-09-19,176.15
2014-09-22,181.45
2014-09-23,176.2
2014-09-24,169.0
2014-09-25,165.25
2014-09-26,169.15
2014-09-29,173.6
2014-09-30,168.15
2014-10-01,167.8
2014-10-07,168.3
2014-10-08,164.65
2014-10-09,172.0
2014-10-10,168.15
2014-10-13,173.75
2014-10-14,168.3
2014-10-16,164.9
2014-10-17,160.6
2014-10-20,158.65
2014-10-21,158.7
2014-10-22,155.65
2014-10-23,159.75
2014-10-27,160.1
2014-10-28,154.35
2014-10-29,160.1
2014-10-30,158.25
2014-10-31,157.75
2014-11-03,159.9
2014-11-05,163.2
2014-11-07,166.85
2014-11-10,173.3
2014-11-11,178.45
2014-11-12,174.7
2014-11-13,176.15
2014-11-14,179.4
2014-11-17,181.15
2014-11-18,180.65
2014-11-19,176.15
2014-11-20,175.55
2014-11-21,175.35
2014-11-24,172.05
2014-11-25,165.05
2014-11-26,169.35
2014-11-27,167.8
2014-11-28,170.1
2014-12-01,166.15
2014-12-02,161.6
2014-12-03,162.6
2014-12-04,166.2
2014-12-05,172.7
2014-12-08,175.7
2014-12-09,173.9
2014-12-10,178.4
2014-12-11,174.9
2014-12-12,170.45
2014-12-15,170.8
2014-12-16,164.1
2014-12-17,157.55
2014-12-18,161.9
2014-12-19,159.85
2014-12-22,162.35
2014-12-23,162.3
2014-12-24,169.35
2014-12-26,199.05
2014-12-29,206.45
2014-12-30,204.55
2014-12-31,201.05
