Date,ATLANTA
2014-01-01,42.2
2014-01-02,40.95
2014-01-03,41.45
2014-01-06,42.15
2014-01-07,44.2
2014-01-08,45.1
2014-01-09,44.95
2014-01-10,43.2
2014-01-13,43.45
2014-01-14,43.95
2014-01-15,44.95
2014-01-16,44.6
2014-01-17,43.15
2014-01-20,43.8
2014-01-21,43.7
2014-01-22,43.75
2014-01-23,42.75
2014-01-24,41.6
2014-01-27,39.6
2014-01-28,39.95
2014-01-29,39.7
2014-01-30,39.35
2014-01-31,39.2
2014-02-03,38.8
2014-02-04,38.75
2014-02-05,38.6
2014-02-06,38.65
2014-02-07,38.6
2014-02-10,38.4
2014-02-11,39.8
2014-02-12,38.7
2014-02-13,36.7
2014-02-14,36.35
2014-02-17,36.35
2014-02-18,36.1
2014-02-19,36.65
2014-02-20,36.7
2014-02-21,36.3
2014-02-24,35.7
2014-02-25,35.5
2014-02-26,35.55
2014-02-28,35.25
2014-03-03,35.1
2014-03-04,35.25
2014-03-05,37.6
2014-03-06,38.1
2014-03-07,38.05
2014-03-10,37.75
2014-03-11,38.95
2014-03-12,37.75
2014-03-13,37.6
2014-03-14,37.55
2014-03-18,38.05
2014-03-19,37.65
2014-03-20,38.0
2014-03-21,38.0
2014-03-22,38.8
2014-03-24,38.1
2014-03-25,37.8
2014-03-26,37.5
2014-03-27,38.65
2014-03-28,44.2
2014-03-31,43.35
2014-04-01,42.55
2014-04-02,43.0
2014-04-03,42.75
2014-04-04,42.5
2014-04-07,43.95
2014-04-09,44.9
2014-04-10,44.45
2014-04-11,42.55
2014-04-15,42.05
2014-04-16,41.4
2014-04-17,42.1
2014-04-21,41.9
2014-04-22,41.5
2014-04-23,40.5
2014-04-25,41.1
2014-04-28,41.0
2014-04-29,41.05
2014-04-30,40.35
2014-05-02,40.5
2014-05-05,40.5
2014-05-06,40.4
2014-05-07,40.45
2014-05-08,40.05
2014-05-09,39.4
2014-05-12,40.5
2014-05-13,41.8
2014-05-14,45.3
2014-05-15,44.6
2014-05-16,45.9
2014-05-19,46.9
2014-05-20,47.95
2014-05-21,48.9
2014-05-22,50.9
2014-05-23,51.45
2014-05-26,48.6
2014-05-27,47.65
2014-05-28,47.75
2014-05-29,47.5
2014-05-30,47.6
2014-06-02,53.9
2014-06-03,54.45
2014-06-04,58.3
2014-06-05,58.6
2014-06-06,61.25
2014-06-09,63.15
2014-06-10,65.6
2014-06-11,64.15
2014-06-12,64.2
2014-06-13,60.55
2014-06-16,58.9
2014-06-17,61.3
2014-06-18,61.1
2014-06-19,60.55
2014-06-20,59.05
2014-06-23,59.95
2014-06-24,60.6
2014-06-25,60.85
2014-06-26,59.8
2014-06-27,60.5
2014-06-30,63.1
2014-07-01,67.45
2014-07-02,72.25
2014-07-03,68.85
2014-07-04,67.85
2014-07-07,68.3
2014-07-08,63.85
2014-07-09,61.5
2014-07-10,62.2
2014-07-11,59.25
2014-07-14,60.15
2014-07-15,61.75
2014-07-16,66.15
2014-07-17,67.05
2014-07-18,66.4
2014-07-21,65.5
2014-07-22,64.5
2014-07-23,63.4
2014-07-24,63.3
2014-07-25,61.75
2014-07-28,60.95
2014-07-30,61.3
2014-07-31,61.1
2014-08-01,59.65
2014-08-04,62.2
2014-08-05,63.0
2014-08-06,62.0
2014-08-07,63.55
2014-08-08,61.95
2014-08-11,73.85
2014-08-12,74.55
2014-08-13,73.85
2014-08-14,74.0
2014-08-18,74.3
2014-08-19,74.3
2014-08-20,75.0
2014-08-21,73.7
2014-08-22,72.3
2014-08-25,70.4
2014-08-26,68.4
2014-08-27,68.5
2014-08-28,68.15
2014-09-01,69.75
2014-09-02,69.55
2014-09-03,69.4
2014-09-04,67.85
2014-09-05,67.25
2014-09-08,69.45
2014-09-09,68.6
2014-09-10,69.05
2014-09-11,70.2
2014-09-12,71.9
2014-09-15,73.25
2014-09-16,69.25
2014-09-17,68.4
2014-09-18,69.6
2014-09-19,69.4
2014-09-22,70.35
2014-09-23,68.7
2014-09-24,68.1
2014-09-25,65.8
2014-09-26,67.15
2014-09-29,67.4
2014-09-30,67.05
2014-10-01,67.2
2014-10-07,65.55
2014-10-08,65.5
2014-10-09,66.35
2014-10-10,66.0
2014-10-13,65.45
2014-10-14,65.95
2014-10-16,64.6
2014-10-17,64.0
2014-10-20,64.8
2014-10-21,66.05
2014-10-22,66.55
2014-10-23,66.8
2014-10-27,66.55
2014-10-28,67.05
2014-10-29,67.0
2014-10-30,66.7
2014-10-31,66.9
2014-11-03,67.75
2014-11-05,68.2
2014-11-07,68.75
2014-11-10,68.35
2014-11-11,66.8
2014-11-12,66.7
2014-11-13,66.6
2014-11-14,66.9
2014-11-17,67.35
2014-11-18,67.65
2014-11-19,68.8
2014-11-20,67.35
2014-11-21,66.95
2014-11-24,66.15
2014-11-25,63.55
2014-11-26,65.1
2014-11-27,65.15
2014-11-28,64.5
2014-12-01,64.95
2014-12-02,64.7
2014-12-03,67.95
2014-12-04,68.3
2014-12-05,65.55
2014-12-08,65.65
2014-12-09,64.35
2014-12-10,64.0
2014-12-11,63.75
2014-12-12,62.35
2014-12-15,61.3
2014-12-16,58.4
2014-12-17,56.85
2014-12-18,58.2
2014-12-19,58.05
2014-12-22,59.95
2014-12-23,59.55
2014-12-24,59.1
2014-12-26,58.1
2014-12-29,58.8
2014-12-30,58.5
2014-12-31,59.8
