Date,LAKSHVILAS
2014-01-01,73.35
2014-01-02,74.4
2014-01-03,75.25
2014-01-06,73.7
2014-01-07,72.2
2014-01-08,71.25
2014-01-09,69.9
2014-01-10,67.95
2014-01-13,67.45
2014-01-14,67.45
2014-01-15,67.9
2014-01-16,67.5
2014-01-17,66.6
2014-01-20,67.95
2014-01-21,68.05
2014-01-22,67.95
2014-01-23,67.8
2014-01-24,66.95
2014-01-27,64.75
2014-01-28,64.75
2014-01-29,64.15
2014-01-30,62.0
2014-01-31,63.35
2014-02-03,62.0
2014-02-04,63.35
2014-02-05,65.1
2014-02-06,65.55
2014-02-07,65.1
2014-02-10,65.05
2014-02-11,64.2
2014-02-12,62.6
2014-02-13,61.15
2014-02-14,61.1
2014-02-17,59.95
2014-02-18,61.55
2014-02-19,61.4
2014-02-20,61.5
2014-02-21,61.05
2014-02-24,60.95
2014-02-25,60.2
2014-02-26,60.65
2014-02-28,62.7
2014-03-03,63.55
2014-03-04,65.6
2014-03-05,66.25
2014-03-06,67.5
2014-03-07,67.55
2014-03-10,68.4
2014-03-11,67.5
2014-03-12,66.3
2014-03-13,66.0
2014-03-14,65.45
2014-03-18,65.5
2014-03-19,65.8
2014-03-20,66.05
2014-03-21,65.75
2014-03-22,65.4
2014-03-24,65.25
2014-03-25,64.35
2014-03-26,65.45
2014-03-27,65.95
2014-03-28,69.65
2014-03-31,71.35
2014-04-01,69.55
2014-04-02,71.65
2014-04-03,70.25
2014-04-04,71.8
2014-04-07,73.0
2014-04-09,78.8
2014-04-10,80.55
2014-04-11,81.0
2014-04-15,81.4
2014-04-16,79.8
2014-04-17,81.95
2014-04-21,83.05
2014-04-22,83.6
2014-04-23,82.95
2014-04-25,83.8
2014-04-28,83.55
2014-04-29,85.15
2014-04-30,84.35
2014-05-02,84.9
2014-05-05,84.9
2014-05-06,84.9
2014-05-07,84.15
2014-05-08,84.2
2014-05-09,85.1
2014-05-12,86.4
2014-05-13,87.75
2014-05-14,89.2
2014-05-15,92.0
2014-05-16,94.35
2014-05-19,94.9
2014-05-20,94.2
2014-05-21,94.0
2014-05-22,95.15
2014-05-23,97.35
2014-05-26,95.25
2014-05-27,96.45
2014-05-28,98.15
2014-05-29,98.3
2014-05-30,97.0
2014-06-02,99.35
2014-06-03,99.25
2014-06-04,101.0
2014-06-05,99.95
2014-06-06,107.9
2014-06-09,107.8
2014-06-10,107.3
2014-06-11,106.15
2014-06-12,105.3
2014-06-13,102.2
2014-06-16,103.35
2014-06-17,104.45
2014-06-18,104.45
2014-06-19,106.6
2014-06-20,105.55
2014-06-23,105.7
2014-06-24,106.5
2014-06-25,107.4
2014-06-26,106.65
2014-06-27,109.6
2014-06-30,111.25
2014-07-01,109.05
2014-07-02,108.6
2014-07-03,107.2
2014-07-04,108.55
2014-07-07,108.05
2014-07-08,103.15
2014-07-09,102.75
2014-07-10,105.55
2014-07-11,104.0
2014-07-14,102.9
2014-07-15,104.05
2014-07-16,106.65
2014-07-17,107.9
2014-07-18,107.75
2014-07-21,108.9
2014-07-22,111.85
2014-07-23,109.9
2014-07-24,111.7
2014-07-25,82.55
2014-07-28,80.25
2014-07-30,80.4
2014-07-31,83.25
2014-08-01,82.85
2014-08-04,82.05
2014-08-05,81.8
2014-08-06,81.45
2014-08-07,81.35
2014-08-08,80.45
2014-08-11,79.9
2014-08-12,80.05
2014-08-13,80.2
2014-08-14,80.5
2014-08-18,80.3
2014-08-19,80.3
2014-08-20,80.1
2014-08-21,80.1
2014-08-22,80.15
2014-08-25,80.6
2014-08-26,80.45
2014-08-27,81.95
2014-08-28,80.4
2014-09-01,79.4
2014-09-02,79.2
2014-09-03,79.25
2014-09-04,74.65
2014-09-05,75.0
2014-09-08,74.95
2014-09-09,74.0
2014-09-10,73.5
2014-09-11,74.65
2014-09-12,74.2
2014-09-15,73.9
2014-09-16,71.7
2014-09-17,72.15
2014-09-18,75.05
2014-09-19,75.95
2014-09-22,74.25
2014-09-23,74.7
2014-09-24,74.7
2014-09-25,73.7
2014-09-26,73.6
2014-09-29,74.8
2014-09-30,74.7
2014-10-01,74.75
2014-10-07,73.95
2014-10-08,74.1
2014-10-09,73.95
2014-10-10,74.7
2014-10-13,75.1
2014-10-14,74.55
2014-10-16,75.3
2014-10-17,74.8
2014-10-20,75.55
2014-10-21,75.25
2014-10-22,75.35
2014-10-23,75.9
2014-10-27,75.05
2014-10-28,75.5
2014-10-29,75.65
2014-10-30,75.35
2014-10-31,75.3
2014-11-03,77.1
2014-11-05,80.1
2014-11-07,78.75
2014-11-10,79.6
2014-11-11,80.75
2014-11-12,84.1
2014-11-13,86.55
2014-11-14,88.4
2014-11-17,85.55
2014-11-18,86.55
2014-11-19,84.95
2014-11-20,84.05
2014-11-21,85.2
2014-11-24,85.1
2014-11-25,84.7
2014-11-26,82.85
2014-11-27,82.65
2014-11-28,83.55
2014-12-01,82.3
2014-12-02,83.25
2014-12-03,83.9
2014-12-04,83.4
2014-12-05,84.3
2014-12-08,82.4
2014-12-09,80.5
2014-12-10,81.2
2014-12-11,83.2
2014-12-12,81.95
2014-12-15,81.65
2014-12-16,79.85
2014-12-17,80.4
2014-12-18,81.95
2014-12-19,81.6
2014-12-22,82.15
2014-12-23,82.05
2014-12-24,82.55
2014-12-26,82.45
2014-12-29,83.0
2014-12-30,83.0
2014-12-31,85.3
