Date,DIAPOWER
2014-01-01,60.35
2014-01-02,57.75
2014-01-03,59.75
2014-01-06,58.9
2014-01-07,58.1
2014-01-08,58.75
2014-01-09,57.85
2014-01-10,55.6
2014-01-13,55.1
2014-01-14,54.8
2014-01-15,54.85
2014-01-16,54.5
2014-01-17,52.65
2014-01-20,52.35
2014-01-21,53.5
2014-01-22,53.0
2014-01-23,52.7
2014-01-24,54.05
2014-01-27,50.5
2014-01-28,51.2
2014-01-29,51.5
2014-01-30,48.1
2014-01-31,50.15
2014-02-03,48.0
2014-02-04,49.1
2014-02-05,48.7
2014-02-06,49.9
2014-02-07,49.35
2014-02-10,49.8
2014-02-11,48.9
2014-02-12,49.75
2014-02-13,48.7
2014-02-14,48.55
2014-02-17,45.2
2014-02-18,46.5
2014-02-19,46.05
2014-02-20,45.65
2014-02-21,45.65
2014-02-24,44.85
2014-02-25,43.6
2014-02-26,44.85
2014-02-28,42.0
2014-03-03,41.5
2014-03-04,40.9
2014-03-05,40.6
2014-03-06,43.7
2014-03-07,42.95
2014-03-10,42.45
2014-03-11,43.1
2014-03-12,42.75
2014-03-13,42.55
2014-03-14,41.45
2014-03-18,41.55
2014-03-19,42.5
2014-03-20,42.45
2014-03-21,45.4
2014-03-22,45.95
2014-03-24,50.05
2014-03-25,50.0
2014-03-26,47.55
2014-03-27,48.85
2014-03-28,48.45
2014-03-31,48.15
2014-04-01,52.95
2014-04-02,54.0
2014-04-03,54.7
2014-04-04,64.6
2014-04-07,68.4
2014-04-09,75.2
2014-04-10,69.3
2014-04-11,71.0
2014-04-15,69.6
2014-04-16,65.45
2014-04-17,69.1
2014-04-21,72.05
2014-04-22,72.65
2014-04-23,74.0
2014-04-25,76.25
2014-04-28,78.4
2014-04-29,76.9
2014-04-30,74.45
2014-05-02,73.65
2014-05-05,73.1
2014-05-06,71.55
2014-05-07,71.05
2014-05-08,72.85
2014-05-09,72.95
2014-05-12,72.0
2014-05-13,74.2
2014-05-14,78.7
2014-05-15,77.85
2014-05-16,79.75
2014-05-19,95.25
2014-05-20,96.5
2014-05-21,93.45
2014-05-22,93.15
2014-05-23,103.9
2014-05-26,97.0
2014-05-27,94.6
2014-05-28,99.7
2014-05-29,95.75
2014-05-30,100.3
2014-06-02,107.0
2014-06-03,116.2
2014-06-04,122.15
2014-06-05,119.75
2014-06-06,117.95
2014-06-09,119.8
2014-06-10,115.8
2014-06-11,116.15
2014-06-12,113.75
2014-06-13,108.15
2014-06-16,104.4
2014-06-17,109.6
2014-06-18,106.95
2014-06-19,106.05
2014-06-20,105.05
2014-06-23,107.25
2014-06-24,109.65
2014-06-25,109.85
2014-06-26,109.65
2014-06-27,113.95
2014-06-30,115.75
2014-07-01,124.55
2014-07-02,125.6
2014-07-03,122.25
2014-07-04,125.1
2014-07-07,121.65
2014-07-08,108.3
2014-07-09,105.0
2014-07-10,109.6
2014-07-11,106.2
2014-07-14,108.7
2014-07-15,111.35
2014-07-16,112.5
2014-07-17,118.55
2014-07-18,114.45
2014-07-21,120.3
2014-07-22,116.85
2014-07-23,114.65
2014-07-24,114.1
2014-07-25,115.9
2014-07-28,114.05
2014-07-30,110.3
2014-07-31,115.35
2014-08-01,112.7
2014-08-04,111.95
2014-08-05,114.7
2014-08-06,116.95
2014-08-07,115.2
2014-08-08,110.05
2014-08-11,115.0
2014-08-12,113.6
2014-08-13,111.5
2014-08-14,111.15
2014-08-18,114.05
2014-08-19,112.5
2014-08-20,112.7
2014-08-21,110.5
2014-08-22,122.85
2014-08-25,119.2
2014-08-26,115.9
2014-08-27,118.5
2014-08-28,119.3
2014-09-01,120.4
2014-09-02,119.45
2014-09-03,119.75
2014-09-04,117.0
2014-09-05,116.0
2014-09-08,117.95
2014-09-09,122.05
2014-09-10,131.95
2014-09-11,131.75
2014-09-12,130.85
2014-09-15,135.2
2014-09-16,123.5
2014-09-17,124.65
2014-09-18,127.25
2014-09-19,125.7
2014-09-22,127.55
2014-09-23,121.25
2014-09-24,117.6
2014-09-25,111.25
2014-09-26,113.4
2014-09-29,116.5
2014-09-30,115.4
2014-10-01,119.0
2014-10-07,118.0
2014-10-08,116.5
2014-10-09,120.3
2014-10-10,115.25
2014-10-13,125.7
2014-10-14,122.9
2014-10-16,114.7
2014-10-17,116.75
2014-10-20,118.3
2014-10-21,118.95
2014-10-22,123.25
2014-10-23,127.7
2014-10-27,127.8
2014-10-28,126.55
2014-10-29,126.25
2014-10-30,125.75
2014-10-31,126.25
2014-11-03,130.95
2014-11-05,127.4
2014-11-07,124.0
2014-11-10,130.35
2014-11-11,134.2
2014-11-12,140.4
2014-11-13,134.4
2014-11-14,133.9
2014-11-17,131.45
2014-11-18,134.3
2014-11-19,132.2
2014-11-20,129.8
2014-11-21,128.8
2014-11-24,129.2
2014-11-25,123.85
2014-11-26,123.6
2014-11-27,123.6
2014-11-28,119.95
2014-12-01,117.3
2014-12-02,115.65
2014-12-03,115.8
2014-12-04,114.6
2014-12-05,110.55
2014-12-08,96.0
2014-12-09,76.8
2014-12-10,69.15
2014-12-11,65.25
2014-12-12,62.55
2014-12-15,59.2
2014-12-16,61.95
2014-12-17,65.0
2014-12-18,68.25
2014-12-19,70.25
2014-12-22,69.3
2014-12-23,67.45
2014-12-24,67.15
2014-12-26,66.6
2014-12-29,65.8
2014-12-30,65.2
2014-12-31,64.8
