Date,APLAPOLLO
2014-01-01,142.5
2014-01-02,141.85
2014-01-03,142.25
2014-01-06,146.7
2014-01-07,148.0
2014-01-08,150.2
2014-01-09,153.85
2014-01-10,149.95
2014-01-13,147.95
2014-01-14,151.05
2014-01-15,150.0
2014-01-16,155.1
2014-01-17,152.4
2014-01-20,148.0
2014-01-21,150.0
2014-01-22,148.0
2014-01-23,150.05
2014-01-24,147.2
2014-01-27,142.1
2014-01-28,143.25
2014-01-29,145.1
2014-01-30,146.4
2014-01-31,144.0
2014-02-03,142.75
2014-02-04,142.0
2014-02-05,141.45
2014-02-06,142.5
2014-02-07,141.85
2014-02-10,141.05
2014-02-11,142.0
2014-02-12,138.05
2014-02-13,159.95
2014-02-14,156.45
2014-02-17,158.0
2014-02-18,158.45
2014-02-19,162.25
2014-02-20,165.0
2014-02-21,157.0
2014-02-24,159.75
2014-02-25,158.5
2014-02-26,157.8
2014-02-28,156.7
2014-03-03,156.2
2014-03-04,155.1
2014-03-05,152.1
2014-03-06,150.1
2014-03-07,157.35
2014-03-10,184.6
2014-03-11,183.65
2014-03-12,183.5
2014-03-13,180.55
2014-03-14,180.0
2014-03-18,179.75
2014-03-19,188.95
2014-03-20,183.35
2014-03-21,181.65
2014-03-22,185.05
2014-03-24,189.6
2014-03-25,189.4
2014-03-26,187.55
2014-03-27,185.7
2014-03-28,184.8
2014-03-31,195.65
2014-04-01,197.35
2014-04-02,195.05
2014-04-03,215.3
2014-04-04,221.25
2014-04-07,219.85
2014-04-09,215.95
2014-04-10,208.85
2014-04-11,212.0
2014-04-15,209.95
2014-04-16,209.8
2014-04-17,212.5
2014-04-21,213.55
2014-04-22,213.25
2014-04-23,213.7
2014-04-25,214.35
2014-04-28,217.2
2014-04-29,214.5
2014-04-30,206.6
2014-05-02,205.0
2014-05-05,205.0
2014-05-06,204.0
2014-05-07,204.0
2014-05-08,202.95
2014-05-09,203.3
2014-05-12,225.65
2014-05-13,225.0
2014-05-14,218.7
2014-05-15,207.35
2014-05-16,202.0
2014-05-19,213.85
2014-05-20,213.15
2014-05-21,219.8
2014-05-22,233.6
2014-05-23,238.75
2014-05-26,236.85
2014-05-27,249.75
2014-05-28,265.7
2014-05-29,263.3
2014-05-30,255.9
2014-06-02,263.35
2014-06-03,273.55
2014-06-04,269.8
2014-06-05,273.7
2014-06-06,269.5
2014-06-09,276.1
2014-06-10,281.65
2014-06-11,282.3
2014-06-12,280.0
2014-06-13,276.75
2014-06-16,275.0
2014-06-17,280.0
2014-06-18,272.45
2014-06-19,272.0
2014-06-20,270.05
2014-06-23,273.5
2014-06-24,283.2
2014-06-25,289.5
2014-06-26,288.55
2014-06-27,298.5
2014-06-30,309.75
2014-07-01,315.7
2014-07-02,318.7
2014-07-03,317.5
2014-07-04,311.7
2014-07-07,308.3
2014-07-08,300.8
2014-07-09,297.7
2014-07-10,301.25
2014-07-11,299.75
2014-07-14,298.7
2014-07-15,302.85
2014-07-16,307.1
2014-07-17,328.1
2014-07-18,340.7
2014-07-21,339.15
2014-07-22,337.45
2014-07-23,335.0
2014-07-24,333.6
2014-07-25,332.6
2014-07-28,331.25
2014-07-30,332.25
2014-07-31,330.1
2014-08-01,327.45
2014-08-04,332.1
2014-08-05,325.1
2014-08-06,327.1
2014-08-07,345.8
2014-08-08,335.05
2014-08-11,336.6
2014-08-12,335.6
2014-08-13,339.65
2014-08-14,339.0
2014-08-18,345.85
2014-08-19,345.65
2014-08-20,342.9
2014-08-21,347.4
2014-08-22,336.0
2014-08-25,336.8
2014-08-26,330.9
2014-08-27,328.45
2014-08-28,322.25
2014-09-01,317.4
2014-09-02,324.95
2014-09-03,324.4
2014-09-04,315.15
2014-09-05,317.75
2014-09-08,334.25
2014-09-09,330.0
2014-09-10,324.75
2014-09-11,326.65
2014-09-12,320.6
2014-09-15,319.4
2014-09-16,311.85
2014-09-17,313.65
2014-09-18,313.1
2014-09-19,314.4
2014-09-22,309.2
2014-09-23,307.2
2014-09-24,309.55
2014-09-25,296.8
2014-09-26,281.85
2014-09-29,281.65
2014-09-30,291.3
2014-10-01,286.05
2014-10-07,286.9
2014-10-08,286.0
2014-10-09,289.2
2014-10-10,286.05
2014-10-13,314.6
2014-10-14,307.85
2014-10-16,300.4
2014-10-17,302.55
2014-10-20,302.0
2014-10-21,302.0
2014-10-22,314.75
2014-10-23,319.65
2014-10-27,315.05
2014-10-28,313.65
2014-10-29,309.45
2014-10-30,310.55
2014-10-31,311.0
2014-11-03,317.35
2014-11-05,318.6
2014-11-07,317.5
2014-11-10,347.05
2014-11-11,347.05
2014-11-12,351.1
2014-11-13,339.65
2014-11-14,339.85
2014-11-17,330.95
2014-11-18,335.4
2014-11-19,333.7
2014-11-20,328.55
2014-11-21,327.7
2014-11-24,325.4
2014-11-25,325.9
2014-11-26,326.2
2014-11-27,326.65
2014-11-28,322.05
2014-12-01,335.25
2014-12-02,342.1
2014-12-03,352.5
2014-12-04,358.95
2014-12-05,362.0
2014-12-08,369.25
2014-12-09,363.65
2014-12-10,357.85
2014-12-11,358.85
2014-12-12,349.35
2014-12-15,344.75
2014-12-16,327.05
2014-12-17,327.3
2014-12-18,329.55
2014-12-19,336.55
2014-12-22,327.55
2014-12-23,324.15
2014-12-24,326.2
2014-12-26,319.85
2014-12-29,331.4
2014-12-30,338.2
2014-12-31,341.6
