Date,MUNJALAU
2014-01-01,43.1
2014-01-02,42.4
2014-01-03,41.75
2014-01-06,41.95
2014-01-07,41.6
2014-01-08,41.2
2014-01-09,40.85
2014-01-10,41.0
2014-01-13,41.05
2014-01-14,40.75
2014-01-15,40.65
2014-01-16,41.65
2014-01-17,41.0
2014-01-20,40.8
2014-01-21,41.1
2014-01-22,41.0
2014-01-23,41.0
2014-01-24,40.45
2014-01-27,37.95
2014-01-28,40.5
2014-01-29,40.45
2014-01-30,40.35
2014-01-31,40.45
2014-02-03,39.5
2014-02-04,39.55
2014-02-05,41.1
2014-02-06,41.0
2014-02-07,40.4
2014-02-10,41.85
2014-02-11,42.2
2014-02-12,41.5
2014-02-13,40.25
2014-02-14,41.0
2014-02-17,40.8
2014-02-18,41.25
2014-02-19,41.45
2014-02-20,41.65
2014-02-21,41.65
2014-02-24,41.7
2014-02-25,40.9
2014-02-26,41.3
2014-02-28,41.1
2014-03-03,42.4
2014-03-04,43.7
2014-03-05,44.7
2014-03-06,44.4
2014-03-07,44.5
2014-03-10,46.5
2014-03-11,45.8
2014-03-12,45.75
2014-03-13,45.8
2014-03-14,45.2
2014-03-18,45.35
2014-03-19,45.5
2014-03-20,45.35
2014-03-21,46.2
2014-03-22,46.5
2014-03-24,47.5
2014-03-25,47.65
2014-03-26,49.2
2014-03-27,49.65
2014-03-28,50.4
2014-03-31,51.9
2014-04-01,52.8
2014-04-02,52.0
2014-04-03,51.1
2014-04-04,55.4
2014-04-07,56.9
2014-04-09,57.3
2014-04-10,56.8
2014-04-11,56.05
2014-04-15,55.45
2014-04-16,54.8
2014-04-17,55.1
2014-04-21,54.9
2014-04-22,55.55
2014-04-23,54.55
2014-04-25,54.0
2014-04-28,53.0
2014-04-29,52.7
2014-04-30,51.35
2014-05-02,52.95
2014-05-05,52.75
2014-05-06,51.55
2014-05-07,51.65
2014-05-08,51.5
2014-05-09,52.0
2014-05-12,52.5
2014-05-13,52.7
2014-05-14,54.1
2014-05-15,56.25
2014-05-16,56.8
2014-05-19,59.2
2014-05-20,63.4
2014-05-21,65.75
2014-05-22,65.9
2014-05-23,66.35
2014-05-26,63.2
2014-05-27,64.35
2014-05-28,64.4
2014-05-29,64.75
2014-05-30,65.05
2014-06-02,67.25
2014-06-03,68.75
2014-06-04,71.7
2014-06-05,72.45
2014-06-06,74.25
2014-06-09,78.4
2014-06-10,77.35
2014-06-11,76.15
2014-06-12,78.05
2014-06-13,73.55
2014-06-16,73.1
2014-06-17,76.9
2014-06-18,75.05
2014-06-19,79.55
2014-06-20,81.25
2014-06-23,77.3
2014-06-24,79.5
2014-06-25,77.3
2014-06-26,78.95
2014-06-27,78.5
2014-06-30,79.4
2014-07-01,79.95
2014-07-02,81.25
2014-07-03,79.3
2014-07-04,78.6
2014-07-07,83.15
2014-07-08,79.2
2014-07-09,77.8
2014-07-10,77.65
2014-07-11,71.4
2014-07-14,72.45
2014-07-15,73.75
2014-07-16,74.75
2014-07-17,76.15
2014-07-18,76.4
2014-07-21,77.05
2014-07-22,77.05
2014-07-23,76.65
2014-07-24,77.8
2014-07-25,78.4
2014-07-28,78.75
2014-07-30,79.25
2014-07-31,77.2
2014-08-01,76.0
2014-08-04,76.0
2014-08-05,76.75
2014-08-06,79.0
2014-08-07,78.95
2014-08-08,79.05
2014-08-11,78.4
2014-08-12,76.1
2014-08-13,73.75
2014-08-14,75.35
2014-08-18,76.05
2014-08-19,77.05
2014-08-20,78.85
2014-08-21,81.85
2014-08-22,82.1
2014-08-25,82.4
2014-08-26,79.1
2014-08-27,80.4
2014-08-28,81.35
2014-09-01,83.3
2014-09-02,85.95
2014-09-03,84.9
2014-09-04,84.95
2014-09-05,96.65
2014-09-08,97.5
2014-09-09,96.4
2014-09-10,103.3
2014-09-11,106.8
2014-09-12,113.75
2014-09-15,119.75
2014-09-16,107.15
2014-09-17,112.35
2014-09-18,117.4
2014-09-19,115.2
2014-09-22,114.0
2014-09-23,112.0
2014-09-24,109.1
2014-09-25,106.2
2014-09-26,105.95
2014-09-29,110.25
2014-09-30,107.75
2014-10-01,107.95
2014-10-07,107.0
2014-10-08,104.35
2014-10-09,106.9
2014-10-10,103.7
2014-10-13,102.85
2014-10-14,103.25
2014-10-16,106.4
2014-10-17,107.65
2014-10-20,109.75
2014-10-21,109.6
2014-10-22,112.7
2014-10-23,112.55
2014-10-27,112.0
2014-10-28,113.9
2014-10-29,115.3
2014-10-30,117.45
2014-10-31,118.95
2014-11-03,121.0
2014-11-05,122.5
2014-11-07,120.55
2014-11-10,123.2
2014-11-11,117.0
2014-11-12,117.5
2014-11-13,115.65
2014-11-14,114.15
2014-11-17,116.9
2014-11-18,115.7
2014-11-19,113.2
2014-11-20,113.0
2014-11-21,111.2
2014-11-24,109.2
2014-11-25,106.4
2014-11-26,115.75
2014-11-27,117.25
2014-11-28,116.05
2014-12-01,112.4
2014-12-02,111.15
2014-12-03,116.2
2014-12-04,120.45
2014-12-05,117.45
2014-12-08,116.1
2014-12-09,113.25
2014-12-10,114.1
2014-12-11,112.95
2014-12-12,109.85
2014-12-15,109.0
2014-12-16,106.2
2014-12-17,105.9
2014-12-18,110.8
2014-12-19,110.6
2014-12-22,115.3
2014-12-23,113.4
2014-12-24,111.45
2014-12-26,111.65
2014-12-29,110.85
2014-12-30,110.5
2014-12-31,113.85
