Date,KOTAKNIFTY
2014-01-01,641.25
2014-01-02,636.21
2014-01-03,630.94
2014-01-06,630.62
2014-01-07,628.81
2014-01-08,629.9
2014-01-09,632.0
2014-01-10,634.1
2014-01-13,637.25
2014-01-14,637.75
2014-01-15,642.0
2014-01-16,643.5
2014-01-17,641.68
2014-01-20,641.0
2014-01-21,643.0
2014-01-22,637.1
2014-01-23,635.0
2014-01-24,629.5
2014-01-27,618.64
2014-01-28,615.13
2014-01-29,615.97
2014-01-30,607.63
2014-01-31,611.8
2014-02-03,603.02
2014-02-04,602.0
2014-02-05,605.0
2014-02-06,604.0
2014-02-07,608.12
2014-02-10,608.0
2014-02-11,608.0
2014-02-12,612.15
2014-02-13,606.0
2014-02-14,606.51
2014-02-17,609.0
2014-02-18,615.5
2014-02-19,615.5
2014-02-20,614.5
2014-02-21,615.52
2014-02-24,621.0
2014-02-25,622.5
2014-02-26,625.5
2014-02-28,630.02
2014-03-03,624.25
2014-03-04,631.25
2014-03-05,634.61
2014-03-06,641.75
2014-03-07,655.5
2014-03-10,658.68
2014-03-11,654.25
2014-03-12,655.75
2014-03-13,658.57
2014-03-14,655.02
2014-03-18,656.25
2014-03-19,657.5
2014-03-20,653.75
2014-03-21,652.91
2014-03-24,661.0
2014-03-25,661.75
2014-03-26,663.5
2014-03-27,667.5
2014-03-28,672.71
2014-03-31,675.0
2014-04-01,675.39
2014-04-02,677.74
2014-04-03,675.25
2014-04-04,673.25
2014-04-07,671.74
2014-04-09,680.53
2014-04-10,684.18
2014-04-11,680.25
2014-04-15,677.16
2014-04-16,673.04
2014-04-17,679.5
2014-04-21,684.5
2014-04-22,685.59
2014-04-23,686.87
2014-04-25,681.5
2014-04-28,681.25
2014-04-29,674.01
2014-04-30,675.61
2014-05-02,676.63
2014-05-05,677.49
2014-05-06,676.5
2014-05-07,670.4
2014-05-08,672.04
2014-05-09,690.06
2014-05-12,699.57
2014-05-13,711.29
2014-05-14,712.12
2014-05-15,711.86
2014-05-16,720.1
2014-05-19,725.01
2014-05-20,722.16
2014-05-21,723.53
2014-05-22,724.48
2014-05-23,737.05
2014-05-26,735.19
2014-05-27,733.89
2014-05-28,733.58
2014-05-29,725.48
2014-05-30,723.6
2014-06-02,736.99
2014-06-03,740.69
2014-06-04,739.83
2014-06-05,748.0
2014-06-06,758.58
2014-06-09,767.79
2014-06-10,766.97
2014-06-11,764.46
2014-06-12,767.09
2014-06-13,759.24
2014-06-16,758.66
2014-06-17,767.01
2014-06-18,766.63
2014-06-19,755.53
2014-06-20,755.53
2014-06-23,756.09
2014-06-24,761.02
2014-06-25,761.5
2014-06-26,755.63
2014-06-27,756.78
2014-06-30,766.14
2014-07-01,767.76
2014-07-02,776.5
2014-07-03,777.66
2014-07-04,776.21
2014-07-07,787.86
2014-07-08,770.52
2014-07-09,765.31
2014-07-10,763.43
2014-07-11,755.68
2014-07-14,751.6
2014-07-15,758.14
2014-07-16,766.24
2014-07-17,770.35
2014-07-18,772.53
2014-07-21,775.83
2014-07-22,783.41
2014-07-23,787.15
2014-07-24,790.21
2014-07-25,788.51
2014-07-28,781.97
2014-07-30,789.11
2014-07-31,788.04
2014-08-01,772.0
2014-08-04,777.78
2014-08-05,782.02
2014-08-06,772.95
2014-08-07,770.0
2014-08-08,763.78
2014-08-11,771.57
2014-08-12,780.1
2014-08-13,781.59
2014-08-14,787.5
2014-08-18,793.09
2014-08-19,797.59
2014-08-20,796.62
2014-08-21,799.0
2014-08-22,799.09
2014-08-25,803.01
2014-08-26,799.33
2014-08-27,803.0
2014-08-28,804.56
2014-09-01,812.95
2014-09-02,815.61
2014-09-03,818.25
2014-09-04,818.05
2014-09-05,816.46
2014-09-08,823.68
2014-09-09,823.05
2014-09-10,819.37
2014-09-11,819.95
2014-09-12,819.71
2014-09-15,813.81
2014-09-16,804.89
2014-09-17,808.8
2014-09-18,820.89
2014-09-19,821.79
2014-09-22,822.43
2014-09-23,812.32
2014-09-24,812.01
2014-09-25,802.77
2014-09-26,809.67
2014-09-29,804.07
2014-09-30,807.65
2014-10-01,808.02
2014-10-07,796.38
2014-10-08,795.12
2014-10-09,805.05
2014-10-10,798.03
2014-10-13,799.06
2014-10-14,796.73
2014-10-16,787.11
2014-10-17,788.57
2014-10-20,799.97
2014-10-21,807.77
2014-10-22,812.94
2014-10-23,817.18
2014-10-27,813.7
2014-10-28,816.09
2014-10-29,821.51
2014-10-30,826.71
2014-10-31,850.26
2014-11-03,844.73
2014-11-05,847.0
2014-11-07,846.06
2014-11-10,846.58
2014-11-11,846.91
2014-11-12,847.74
2014-11-13,847.11
2014-11-14,848.75
2014-11-17,853.07
2014-11-18,853.41
2014-11-19,849.43
2014-11-20,849.28
2014-11-21,856.38
2014-11-24,849.91
2014-11-25,843.27
2014-11-26,843.89
2014-11-27,847.33
2014-11-28,854.98
2014-12-01,852.38
2014-12-02,850.7
2014-12-03,850.31
2014-12-04,854.08
2014-12-05,856.23
2014-12-08,846.17
2014-12-09,837.07
2014-12-10,837.04
2014-12-11,827.69
2014-12-12,825.35
2014-12-15,824.14
2014-12-16,813.54
2014-12-17,804.32
2014-12-18,814.07
2014-12-19,822.67
2014-12-22,832.84
2014-12-23,826.92
2014-12-24,821.71
2014-12-26,818.41
2014-12-29,828.18
2014-12-30,826.5
2014-12-31,827.96
