Date,TRENT
2014-01-01,1228.7
2014-01-02,1205.65
2014-01-03,1197.85
2014-01-06,1174.25
2014-01-07,1195.6
2014-01-08,1169.5
2014-01-09,1150.15
2014-01-10,1125.25
2014-01-13,1163.45
2014-01-14,1132.2
2014-01-15,1140.8
2014-01-16,1132.35
2014-01-17,1134.4
2014-01-20,1116.85
2014-01-21,1108.8
2014-01-22,1093.75
2014-01-23,1100.55
2014-01-24,1083.45
2014-01-27,1054.1
2014-01-28,1065.75
2014-01-29,1080.25
2014-01-30,1082.7
2014-01-31,1085.7
2014-02-03,1070.6
2014-02-04,1055.55
2014-02-05,1067.25
2014-02-06,1047.85
2014-02-07,1037.55
2014-02-10,1037.95
2014-02-11,1034.9
2014-02-12,1036.75
2014-02-13,1022.6
2014-02-14,1034.35
2014-02-17,1020.0
2014-02-18,1014.45
2014-02-19,1019.25
2014-02-20,1014.95
2014-02-21,1023.05
2014-02-24,1008.45
2014-02-25,1002.05
2014-02-26,1004.3
2014-02-28,997.4
2014-03-03,995.6
2014-03-04,997.4
2014-03-05,998.0
2014-03-06,1004.45
2014-03-07,1001.1
2014-03-10,1018.55
2014-03-11,1029.5
2014-03-12,1018.9
2014-03-13,1011.05
2014-03-14,1003.5
2014-03-18,1007.9
2014-03-19,996.85
2014-03-20,998.85
2014-03-21,999.7
2014-03-22,1053.8
2014-03-24,1047.65
2014-03-25,1029.9
2014-03-26,1029.9
2014-03-27,1022.95
2014-03-28,1022.5
2014-03-31,1028.25
2014-04-01,1015.3
2014-04-02,1020.0
2014-04-03,1021.25
2014-04-04,1020.45
2014-04-07,1007.55
2014-04-09,1015.05
2014-04-10,997.7
2014-04-11,992.05
2014-04-15,994.35
2014-04-16,993.25
2014-04-17,1004.3
2014-04-21,998.35
2014-04-22,996.35
2014-04-23,1004.35
2014-04-25,991.7
2014-04-28,984.95
2014-04-29,968.8
2014-04-30,985.7
2014-05-02,983.0
2014-05-05,970.9
2014-05-06,968.55
2014-05-07,956.4
2014-05-08,962.15
2014-05-09,987.6
2014-05-12,986.4
2014-05-13,979.65
2014-05-14,969.6
2014-05-15,960.0
2014-05-16,977.2
2014-05-19,979.95
2014-05-20,994.0
2014-05-21,986.9
2014-05-22,975.15
2014-05-23,980.15
2014-05-26,1005.7
2014-05-27,1005.5
2014-05-28,1010.65
2014-05-29,993.9
2014-05-30,1042.5
2014-06-02,1066.25
2014-06-03,1042.0
2014-06-04,1048.75
2014-06-05,1110.15
2014-06-06,1114.55
2014-06-09,1204.05
2014-06-10,1185.4
2014-06-11,1172.6
2014-06-12,1199.65
2014-06-13,1207.2
2014-06-16,1165.15
2014-06-17,1168.65
2014-06-18,1169.55
2014-06-19,1190.1
2014-06-20,1171.65
2014-06-23,1159.0
2014-06-24,1189.55
2014-06-25,1211.6
2014-06-26,1203.45
2014-06-27,1256.3
2014-06-30,1253.9
2014-07-01,1245.1
