Date,TAJGVK
2014-01-01,68.2
2014-01-02,65.05
2014-01-03,66.3
2014-01-06,68.1
2014-01-07,64.95
2014-01-08,63.9
2014-01-09,62.95
2014-01-10,63.2
2014-01-13,63.35
2014-01-14,64.4
2014-01-15,64.9
2014-01-16,64.25
2014-01-17,63.4
2014-01-20,62.6
2014-01-21,64.55
2014-01-22,65.15
2014-01-23,65.4
2014-01-24,62.45
2014-01-27,60.0
2014-01-28,58.55
2014-01-29,58.4
2014-01-30,58.15
2014-01-31,58.6
2014-02-03,59.1
2014-02-04,59.0
2014-02-05,58.0
2014-02-06,58.55
2014-02-07,57.85
2014-02-10,59.55
2014-02-11,59.05
2014-02-12,58.85
2014-02-13,57.75
2014-02-14,58.4
2014-02-17,57.55
2014-02-18,58.1
2014-02-19,58.25
2014-02-20,60.75
2014-02-21,60.35
2014-02-24,60.9
2014-02-25,60.3
2014-02-26,59.25
2014-02-28,58.75
2014-03-03,58.55
2014-03-04,59.3
2014-03-05,59.75
2014-03-06,61.15
2014-03-07,60.2
2014-03-10,60.6
2014-03-11,59.55
2014-03-12,60.55
2014-03-13,61.4
2014-03-14,62.5
2014-03-18,63.65
2014-03-19,61.85
2014-03-20,60.45
2014-03-21,60.3
2014-03-22,60.4
2014-03-24,60.0
2014-03-25,59.95
2014-03-26,61.5
2014-03-27,62.7
2014-03-28,63.35
2014-03-31,66.25
2014-04-01,65.4
2014-04-02,64.9
2014-04-03,65.65
2014-04-04,66.1
2014-04-07,66.1
2014-04-09,69.65
2014-04-10,67.9
2014-04-11,72.45
2014-04-15,73.3
2014-04-16,70.6
2014-04-17,70.1
2014-04-21,71.0
2014-04-22,69.05
2014-04-23,69.85
2014-04-25,69.35
2014-04-28,67.05
2014-04-29,68.25
2014-04-30,66.0
2014-05-02,66.75
2014-05-05,66.75
2014-05-06,68.75
2014-05-07,66.5
2014-05-08,66.75
2014-05-09,66.75
2014-05-12,67.8
2014-05-13,67.35
2014-05-14,68.7
2014-05-15,67.2
2014-05-16,68.15
2014-05-19,73.7
2014-05-20,77.85
2014-05-21,82.05
2014-05-22,89.8
2014-05-23,88.7
2014-05-26,85.0
2014-05-27,83.1
2014-05-28,85.05
2014-05-29,83.65
2014-05-30,81.7
2014-06-02,82.8
2014-06-03,86.95
2014-06-04,86.3
2014-06-05,85.95
2014-06-06,87.15
2014-06-09,88.15
2014-06-10,90.65
2014-06-11,89.8
2014-06-12,89.5
2014-06-13,85.7
2014-06-16,83.8
2014-06-17,84.85
2014-06-18,83.45
2014-06-19,83.55
2014-06-20,82.85
2014-06-23,81.55
2014-06-24,84.55
2014-06-25,85.05
2014-06-26,87.1
2014-06-27,86.3
2014-06-30,96.1
2014-07-01,94.6
2014-07-02,92.05
2014-07-03,92.0
2014-07-04,99.25
2014-07-07,97.55
2014-07-08,97.45
2014-07-09,96.5
2014-07-10,97.1
2014-07-11,97.1
2014-07-14,99.5
2014-07-15,100.3
2014-07-16,101.35
2014-07-17,100.05
2014-07-18,99.85
2014-07-21,98.85
2014-07-22,100.05
2014-07-23,99.4
2014-07-24,99.55
2014-07-25,98.25
2014-07-28,102.35
2014-07-30,103.0
2014-07-31,101.1
2014-08-01,98.75
2014-08-04,96.5
2014-08-05,96.35
2014-08-06,98.8
2014-08-07,99.15
2014-08-08,99.15
2014-08-11,100.0
2014-08-12,99.8
2014-08-13,99.7
2014-08-14,95.75
2014-08-18,96.0
2014-08-19,98.95
2014-08-20,100.45
2014-08-21,100.75
2014-08-22,109.4
2014-08-25,105.45
2014-08-26,109.9
2014-08-27,115.65
2014-08-28,124.0
2014-09-01,118.45
2014-09-02,116.85
2014-09-03,115.0
2014-09-04,121.9
2014-09-05,118.8
2014-09-08,117.75
2014-09-09,116.2
2014-09-10,117.65
2014-09-11,117.5
2014-09-12,119.75
2014-09-15,121.75
2014-09-16,114.35
2014-09-17,111.3
2014-09-18,114.2
2014-09-19,111.65
2014-09-22,113.7
2014-09-23,111.05
2014-09-24,107.5
2014-09-25,110.1
2014-09-26,107.55
2014-09-29,115.95
2014-09-30,117.05
2014-10-01,113.5
2014-10-07,110.45
2014-10-08,110.7
2014-10-09,111.15
2014-10-10,111.25
2014-10-13,111.0
2014-10-14,109.05
2014-10-16,105.65
2014-10-17,105.05
2014-10-20,104.25
2014-10-21,102.1
2014-10-22,102.15
2014-10-23,102.2
2014-10-27,100.9
2014-10-28,103.4
2014-10-29,104.75
2014-10-30,102.95
2014-10-31,102.45
2014-11-03,101.65
2014-11-05,102.6
2014-11-07,103.5
2014-11-10,99.65
2014-11-11,98.25
2014-11-12,96.35
2014-11-13,91.75
2014-11-14,93.05
2014-11-17,92.4
2014-11-18,94.5
2014-11-19,94.15
2014-11-20,93.4
2014-11-21,93.8
2014-11-24,92.6
2014-11-25,89.5
2014-11-26,88.25
2014-11-27,88.9
2014-11-28,87.5
2014-12-01,88.45
2014-12-02,97.9
2014-12-03,102.5
2014-12-04,104.95
2014-12-05,106.2
2014-12-08,103.55
2014-12-09,100.05
2014-12-10,100.95
2014-12-11,98.75
2014-12-12,96.5
2014-12-15,92.85
2014-12-16,85.2
2014-12-17,83.5
2014-12-18,87.1
2014-12-19,87.35
2014-12-22,90.75
2014-12-23,89.95
2014-12-24,91.2
2014-12-26,89.7
2014-12-29,89.8
2014-12-30,88.4
2014-12-31,89.8
