Date,ANSALHSG
2014-01-01,20.2
2014-01-02,19.9
2014-01-03,19.8
2014-01-06,19.55
2014-01-07,19.3
2014-01-08,19.1
2014-01-09,19.1
2014-01-10,19.05
2014-01-13,18.75
2014-01-14,18.95
2014-01-15,19.1
2014-01-16,18.5
2014-01-17,18.8
2014-01-20,18.8
2014-01-21,18.65
2014-01-22,18.45
2014-01-23,18.55
2014-01-24,18.15
2014-01-27,17.6
2014-01-28,17.35
2014-01-29,16.6
2014-01-30,16.35
2014-01-31,15.8
2014-02-03,15.55
2014-02-04,15.7
2014-02-05,15.5
2014-02-06,15.15
2014-02-07,15.55
2014-02-10,15.7
2014-02-11,15.85
2014-02-12,16.0
2014-02-13,16.15
2014-02-14,16.15
2014-02-17,16.55
2014-02-18,16.7
2014-02-19,16.85
2014-02-20,16.65
2014-02-21,16.7
2014-02-24,17.05
2014-02-25,17.0
2014-02-26,17.1
2014-02-28,17.2
2014-03-03,16.85
2014-03-04,16.95
2014-03-05,17.15
2014-03-06,17.6
2014-03-07,17.55
2014-03-10,17.8
2014-03-11,17.3
2014-03-12,17.3
2014-03-13,17.7
2014-03-14,17.4
2014-03-18,17.25
2014-03-19,17.5
2014-03-20,17.35
2014-03-21,17.1
2014-03-22,17.6
2014-03-24,17.4
2014-03-25,17.1
2014-03-26,17.0
2014-03-27,17.45
2014-03-28,17.25
2014-03-31,17.4
2014-04-01,17.5
2014-04-02,18.15
2014-04-03,17.8
2014-04-04,19.15
2014-04-07,19.4
2014-04-09,19.85
2014-04-10,20.05
2014-04-11,21.95
2014-04-15,20.55
2014-04-16,19.8
2014-04-17,20.6
2014-04-21,20.9
2014-04-22,20.35
2014-04-23,19.75
2014-04-25,19.55
2014-04-28,19.45
2014-04-29,19.0
2014-04-30,18.85
2014-05-02,19.0
2014-05-05,19.1
2014-05-06,19.05
2014-05-07,18.8
2014-05-08,18.25
2014-05-09,19.0
2014-05-12,18.95
2014-05-13,19.25
2014-05-14,21.2
2014-05-15,20.1
2014-05-16,20.35
2014-05-19,22.95
2014-05-20,24.6
2014-05-21,25.3
2014-05-22,29.15
2014-05-23,28.25
2014-05-26,28.95
2014-05-27,27.45
2014-05-28,28.4
2014-05-29,25.6
2014-05-30,24.35
2014-06-02,24.95
2014-06-03,25.35
2014-06-04,26.65
2014-06-05,27.35
2014-06-06,28.25
2014-06-09,31.05
2014-06-10,30.9
2014-06-11,29.7
2014-06-12,30.15
2014-06-13,27.7
2014-06-16,27.4
2014-06-17,29.05
2014-06-18,28.0
2014-06-19,27.9
2014-06-20,27.4
2014-06-23,27.0
2014-06-24,28.05
2014-06-25,29.75
2014-06-26,30.55
2014-06-27,29.7
2014-06-30,30.0
2014-07-01,29.95
2014-07-02,29.5
2014-07-03,29.5
2014-07-04,29.9
2014-07-07,30.1
2014-07-08,28.1
2014-07-09,28.55
2014-07-10,28.8
2014-07-11,27.45
2014-07-14,27.05
2014-07-15,27.9
2014-07-16,31.15
2014-07-17,30.55
2014-07-18,29.9
2014-07-21,31.55
2014-07-22,30.55
2014-07-23,32.75
2014-07-24,31.9
2014-07-25,30.6
2014-07-28,29.5
2014-07-30,30.1
2014-07-31,31.35
2014-08-01,32.85
2014-08-04,32.45
2014-08-05,31.9
2014-08-06,31.25
2014-08-07,30.8
2014-08-08,29.5
2014-08-11,29.65
2014-08-12,29.5
2014-08-13,28.0
2014-08-14,28.45
2014-08-18,30.1
2014-08-19,30.2
2014-08-20,30.4
2014-08-21,30.0
2014-08-22,29.2
2014-08-25,29.1
2014-08-26,28.4
2014-08-27,30.2
2014-08-28,31.65
2014-09-01,32.15
2014-09-02,31.95
2014-09-03,31.95
2014-09-04,31.2
2014-09-05,30.8
2014-09-08,31.4
2014-09-09,31.3
2014-09-10,33.2
2014-09-11,34.05
2014-09-12,33.7
2014-09-15,33.9
2014-09-16,32.3
2014-09-17,32.15
2014-09-18,34.55
2014-09-19,32.95
2014-09-22,32.85
2014-09-23,31.85
2014-09-24,31.15
2014-09-25,30.5
2014-09-26,30.5
2014-09-29,31.2
2014-09-30,30.65
2014-10-01,30.25
2014-10-07,29.55
2014-10-08,29.5
2014-10-09,30.45
2014-10-10,29.7
2014-10-13,29.25
2014-10-14,29.45
2014-10-16,29.0
2014-10-17,28.75
2014-10-20,28.9
2014-10-21,28.9
2014-10-22,29.0
2014-10-23,29.15
2014-10-27,32.2
2014-10-28,32.6
2014-10-29,31.7
2014-10-30,32.2
2014-10-31,32.3
2014-11-03,32.75
2014-11-05,32.4
2014-11-07,31.5
2014-11-10,31.5
2014-11-11,31.1
2014-11-12,30.7
2014-11-13,30.7
2014-11-14,30.8
2014-11-17,32.25
2014-11-18,31.9
2014-11-19,32.4
2014-11-20,31.7
2014-11-21,31.65
2014-11-24,31.15
2014-11-25,29.75
2014-11-26,31.45
2014-11-27,31.15
2014-11-28,30.85
2014-12-01,30.45
2014-12-02,30.45
2014-12-03,30.35
2014-12-04,30.45
2014-12-05,30.55
2014-12-08,30.0
2014-12-09,29.4
2014-12-10,30.25
2014-12-11,29.45
2014-12-12,29.0
2014-12-15,28.7
2014-12-16,27.45
2014-12-17,26.65
2014-12-18,27.65
2014-12-19,27.5
2014-12-22,27.55
2014-12-23,27.6
2014-12-24,27.35
2014-12-26,27.95
2014-12-29,28.1
2014-12-30,27.95
2014-12-31,28.55
