Date,ESSDEE
2014-01-01,524.55
2014-01-02,544.35
2014-01-03,558.55
2014-01-06,570.3
2014-01-07,566.85
2014-01-08,558.85
2014-01-09,551.95
2014-01-10,558.85
2014-01-13,597.35
2014-01-14,603.45
2014-01-15,616.95
2014-01-16,612.2
2014-01-17,608.05
2014-01-20,619.55
2014-01-21,630.1
2014-01-22,641.45
2014-01-23,668.8
2014-01-24,655.5
2014-01-27,646.5
2014-01-28,653.45
2014-01-29,654.65
2014-01-30,644.9
2014-01-31,647.35
2014-02-03,641.45
2014-02-04,634.75
2014-02-05,637.4
2014-02-06,626.0
2014-02-07,623.45
2014-02-10,642.75
2014-02-11,631.85
2014-02-12,623.55
2014-02-13,611.8
2014-02-14,616.3
2014-02-17,636.25
2014-02-18,677.35
2014-02-19,713.5
2014-02-20,716.65
2014-02-21,729.05
2014-02-24,742.0
2014-02-25,740.2
2014-02-26,749.4
2014-02-28,742.15
2014-03-03,734.3
2014-03-04,731.2
2014-03-05,726.2
2014-03-06,725.35
2014-03-07,688.8
2014-03-10,698.2
2014-03-11,713.35
2014-03-12,700.6
2014-03-13,714.65
2014-03-14,726.55
2014-03-18,727.5
2014-03-19,711.6
2014-03-20,701.1
2014-03-21,703.15
2014-03-22,709.2
2014-03-24,705.0
2014-03-25,700.1
2014-03-26,696.75
2014-03-27,690.85
2014-03-28,696.3
2014-03-31,625.6
2014-04-01,634.4
2014-04-02,630.85
2014-04-03,648.55
2014-04-04,636.8
2014-04-07,625.75
2014-04-09,628.95
2014-04-10,625.6
2014-04-11,624.15
2014-04-15,608.95
2014-04-16,623.5
2014-04-17,633.6
2014-04-21,647.7
2014-04-22,674.0
2014-04-23,660.25
2014-04-25,663.45
2014-04-28,663.05
2014-04-29,644.8
2014-04-30,624.1
2014-05-02,617.15
2014-05-05,609.25
2014-05-06,611.95
2014-05-07,624.2
2014-05-08,660.5
2014-05-09,692.15
2014-05-12,669.7
2014-05-13,669.1
2014-05-14,658.85
2014-05-15,637.25
2014-05-16,633.35
2014-05-19,621.2
2014-05-20,625.15
2014-05-21,628.25
2014-05-22,647.25
2014-05-23,641.7
2014-05-26,617.8
2014-05-27,616.7
2014-05-28,618.6
2014-05-29,621.4
2014-05-30,644.75
2014-06-02,616.75
2014-06-03,607.65
2014-06-04,606.7
2014-06-05,623.5
2014-06-06,617.3
2014-06-09,620.45
2014-06-10,618.0
2014-06-11,581.45
2014-06-12,571.1
2014-06-13,529.1
2014-06-16,573.55
2014-06-17,579.05
2014-06-18,564.6
2014-06-19,562.0
2014-06-20,584.9
2014-06-23,583.05
2014-06-24,588.85
2014-06-25,571.7
2014-06-26,571.05
2014-06-27,565.0
2014-06-30,575.95
2014-07-01,576.45
2014-07-02,572.95
2014-07-03,574.9
2014-07-04,560.25
2014-07-07,549.8
2014-07-08,531.7
2014-07-09,510.3
2014-07-10,528.4
2014-07-11,520.0
2014-07-14,512.6
2014-07-15,517.15
2014-07-16,527.7
2014-07-17,523.05
2014-07-18,520.35
2014-07-21,533.05
2014-07-22,557.7
2014-07-23,556.15
2014-07-24,555.4
2014-07-25,529.95
2014-07-28,552.8
2014-07-30,549.25
2014-07-31,538.7
2014-08-01,548.65
2014-08-04,536.95
2014-08-05,526.15
2014-08-06,535.0
2014-08-07,518.4
2014-08-08,512.2
2014-08-11,510.5
2014-08-12,513.85
2014-08-13,490.2
2014-08-14,490.5
2014-08-18,504.1
2014-08-19,495.3
2014-08-20,489.1
2014-08-21,481.25
2014-08-22,470.55
2014-08-25,438.25
2014-08-26,419.6
2014-08-27,421.0
2014-08-28,502.75
2014-09-01,540.35
2014-09-02,535.75
2014-09-03,525.1
2014-09-04,511.4
2014-09-05,491.8
2014-09-08,488.35
2014-09-09,492.4
2014-09-10,489.2
2014-09-11,481.6
2014-09-12,498.65
2014-09-15,486.75
2014-09-16,464.15
2014-09-17,459.2
2014-09-18,459.35
2014-09-19,472.55
2014-09-22,464.55
2014-09-23,447.45
2014-09-24,433.0
2014-09-25,415.3
2014-09-26,427.05
2014-09-29,420.5
2014-09-30,407.75
2014-10-01,395.0
2014-10-07,372.95
2014-10-08,369.45
2014-10-09,417.7
2014-10-10,405.75
2014-10-13,395.55
2014-10-14,380.85
2014-10-16,355.15
2014-10-17,347.95
2014-10-20,346.9
2014-10-21,365.25
2014-10-22,366.9
2014-10-23,371.8
2014-10-27,362.1
2014-10-28,362.45
2014-10-29,357.25
2014-10-30,354.15
2014-10-31,355.25
2014-11-03,378.4
2014-11-05,375.65
2014-11-07,377.35
2014-11-10,386.3
2014-11-11,396.45
2014-11-12,384.65
2014-11-13,375.3
2014-11-14,370.7
2014-11-17,383.35
2014-11-18,382.2
2014-11-19,374.2
2014-11-20,371.65
2014-11-21,371.85
2014-11-24,381.75
2014-11-25,364.85
2014-11-26,366.65
2014-11-27,368.95
2014-11-28,363.9
2014-12-01,350.3
2014-12-02,351.75
2014-12-03,364.6
2014-12-04,385.5
2014-12-05,390.15
2014-12-08,387.2
2014-12-09,370.75
2014-12-10,367.4
2014-12-11,362.1
2014-12-12,367.7
2014-12-15,380.7
2014-12-16,360.85
2014-12-17,356.4
2014-12-18,366.1
2014-12-19,356.65
2014-12-22,360.95
2014-12-23,354.15
2014-12-24,352.9
2014-12-26,350.25
2014-12-29,349.25
2014-12-30,345.35
2014-12-31,345.2
