Date,SINTEX
2014-01-01,35.85
2014-01-02,35.6
2014-01-03,36.8
2014-01-06,37.7
2014-01-07,39.85
2014-01-08,38.3
2014-01-09,37.3
2014-01-10,37.0
2014-01-13,37.2
2014-01-14,37.65
2014-01-15,37.55
2014-01-16,36.85
2014-01-17,35.55
2014-01-20,35.75
2014-01-21,35.55
2014-01-22,35.15
2014-01-23,36.25
2014-01-24,35.7
2014-01-27,33.05
2014-01-28,33.1
2014-01-29,33.35
2014-01-30,33.35
2014-01-31,34.55
2014-02-03,32.7
2014-02-04,31.35
2014-02-05,31.45
2014-02-06,31.9
2014-02-07,31.95
2014-02-10,32.2
2014-02-11,31.95
2014-02-12,32.25
2014-02-13,32.25
2014-02-14,32.6
2014-02-17,32.55
2014-02-18,32.85
2014-02-19,33.25
2014-02-20,33.4
2014-02-21,34.55
2014-02-24,34.95
2014-02-25,34.6
2014-02-26,34.5
2014-02-28,34.3
2014-03-03,35.05
2014-03-04,36.75
2014-03-05,36.8
2014-03-06,36.85
2014-03-07,37.0
2014-03-10,37.95
2014-03-11,38.25
2014-03-12,37.65
2014-03-13,37.95
2014-03-14,38.4
2014-03-18,39.2
2014-03-19,39.9
2014-03-20,39.85
2014-03-21,41.0
2014-03-22,42.05
2014-03-24,41.5
2014-03-25,41.55
2014-03-26,42.95
2014-03-27,43.45
2014-03-28,43.2
2014-03-31,43.5
2014-04-01,43.05
2014-04-02,45.2
2014-04-03,44.1
2014-04-04,43.75
2014-04-07,43.6
2014-04-09,44.35
2014-04-10,45.6
2014-04-11,45.95
2014-04-15,47.15
2014-04-16,45.05
2014-04-17,46.35
2014-04-21,46.6
2014-04-22,47.85
2014-04-23,47.3
2014-04-25,46.9
2014-04-28,47.15
2014-04-29,46.6
2014-04-30,45.65
2014-05-02,45.7
2014-05-05,45.7
2014-05-06,46.65
2014-05-07,47.25
2014-05-08,48.95
2014-05-09,51.0
2014-05-12,51.8
2014-05-13,56.6
2014-05-14,59.0
2014-05-15,61.4
2014-05-16,68.55
2014-05-19,81.4
2014-05-20,85.4
2014-05-21,80.1
2014-05-22,83.95
2014-05-23,84.65
2014-05-26,84.55
2014-05-27,89.05
2014-05-28,90.95
2014-05-29,89.15
2014-05-30,92.35
2014-06-02,90.8
2014-06-03,89.2
2014-06-04,95.95
2014-06-05,103.35
2014-06-06,99.95
2014-06-09,102.85
2014-06-10,100.3
2014-06-11,98.85
2014-06-12,95.95
2014-06-13,87.9
2014-06-16,85.6
2014-06-17,93.05
2014-06-18,92.65
2014-06-19,92.95
2014-06-20,87.1
2014-06-23,89.3
2014-06-24,97.45
2014-06-25,95.6
2014-06-26,97.1
2014-06-27,95.05
2014-06-30,98.25
2014-07-01,99.15
2014-07-02,101.95
2014-07-03,98.8
2014-07-04,97.9
2014-07-07,98.5
2014-07-08,91.8
2014-07-09,88.75
2014-07-10,88.35
2014-07-11,84.7
2014-07-14,89.25
2014-07-15,91.3
2014-07-16,93.75
2014-07-17,93.95
2014-07-18,91.95
2014-07-21,93.95
2014-07-22,95.35
2014-07-23,92.1
2014-07-24,89.0
2014-07-25,86.6
2014-07-28,87.85
2014-07-30,85.2
2014-07-31,85.2
2014-08-01,80.45
2014-08-04,84.2
2014-08-05,87.15
2014-08-06,86.95
2014-08-07,84.3
2014-08-08,80.45
2014-08-11,78.15
2014-08-12,74.3
2014-08-13,67.95
2014-08-14,72.9
2014-08-18,78.0
2014-08-19,78.5
2014-08-20,78.8
2014-08-21,77.45
2014-08-22,75.95
2014-08-25,76.2
2014-08-26,74.95
2014-08-27,74.55
2014-08-28,72.95
2014-09-01,76.6
2014-09-02,77.15
2014-09-03,80.6
2014-09-04,79.0
2014-09-05,78.1
2014-09-08,79.35
2014-09-09,77.7
2014-09-10,78.15
2014-09-11,80.75
2014-09-12,78.3
2014-09-15,79.0
2014-09-16,76.45
2014-09-17,73.8
2014-09-18,74.9
2014-09-19,73.7
2014-09-22,75.05
2014-09-23,73.35
2014-09-24,75.7
2014-09-25,73.9
2014-09-26,72.35
2014-09-29,72.75
2014-09-30,72.2
2014-10-01,71.85
2014-10-07,71.65
2014-10-08,73.75
2014-10-09,74.95
2014-10-10,72.65
2014-10-13,86.9
2014-10-14,83.9
2014-10-16,80.9
2014-10-17,81.6
2014-10-20,83.85
2014-10-21,82.5
2014-10-22,87.05
2014-10-23,89.55
2014-10-27,93.4
2014-10-28,92.0
2014-10-29,92.6
2014-10-30,90.85
2014-10-31,97.0
2014-11-03,99.1
2014-11-05,97.6
2014-11-07,95.85
2014-11-10,98.9
2014-11-11,98.05
2014-11-12,96.55
2014-11-13,92.8
2014-11-14,94.95
2014-11-17,96.15
2014-11-18,95.4
2014-11-19,93.7
2014-11-20,92.25
2014-11-21,93.05
2014-11-24,93.85
2014-11-25,90.05
2014-11-26,91.0
2014-11-27,90.95
2014-11-28,93.65
2014-12-01,92.85
2014-12-02,93.0
2014-12-03,96.15
2014-12-04,95.35
2014-12-05,99.45
2014-12-08,102.85
2014-12-09,97.6
2014-12-10,98.15
2014-12-11,100.55
2014-12-12,96.15
2014-12-15,95.0
2014-12-16,89.0
2014-12-17,85.7
2014-12-18,91.75
2014-12-19,91.6
2014-12-22,92.55
2014-12-23,92.15
2014-12-24,92.1
2014-12-26,92.2
2014-12-29,93.75
2014-12-30,94.0
2014-12-31,95.9
