Date,LICHSGFIN
2014-01-01,221.7
2014-01-02,211.55
2014-01-03,215.15
2014-01-06,212.35
2014-01-07,209.7
2014-01-08,210.4
2014-01-09,207.55
2014-01-10,202.75
2014-01-13,204.6
2014-01-14,207.6
2014-01-15,212.95
2014-01-16,210.8
2014-01-17,208.7
2014-01-20,211.3
2014-01-21,212.2
2014-01-22,211.0
2014-01-23,211.95
2014-01-24,207.2
2014-01-27,199.4
2014-01-28,199.6
2014-01-29,199.15
2014-01-30,192.7
2014-01-31,195.75
2014-02-03,191.05
2014-02-04,193.15
2014-02-05,192.95
2014-02-06,195.45
2014-02-07,201.6
2014-02-10,201.8
2014-02-11,200.3
2014-02-12,199.85
2014-02-13,196.5
2014-02-14,198.95
2014-02-17,201.6
2014-02-18,202.95
2014-02-19,204.25
2014-02-20,201.45
2014-02-21,201.1
2014-02-24,202.7
2014-02-25,209.2
2014-02-26,206.8
2014-02-28,206.4
2014-03-03,205.05
2014-03-04,208.0
2014-03-05,213.9
2014-03-06,215.7
2014-03-07,223.25
2014-03-10,231.7
2014-03-11,231.45
2014-03-12,227.15
2014-03-13,225.8
2014-03-14,229.6
2014-03-18,229.8
2014-03-19,230.05
2014-03-20,225.1
2014-03-21,224.4
2014-03-22,225.55
2014-03-24,228.45
2014-03-25,227.05
2014-03-26,226.95
2014-03-27,232.15
2014-03-28,237.85
2014-03-31,236.15
2014-04-01,236.75
2014-04-02,247.75
2014-04-03,244.45
2014-04-04,243.0
2014-04-07,247.7
2014-04-09,256.6
2014-04-10,267.95
2014-04-11,269.25
2014-04-15,264.7
2014-04-16,262.65
2014-04-17,269.2
2014-04-21,273.35
2014-04-22,278.65
2014-04-23,279.55
2014-04-25,280.05
2014-04-28,270.55
2014-04-29,266.6
2014-04-30,262.4
2014-05-02,264.8
2014-05-05,263.25
2014-05-06,269.75
2014-05-07,264.5
2014-05-08,268.5
2014-05-09,279.0
2014-05-12,285.95
2014-05-13,293.2
2014-05-14,303.25
2014-05-15,298.0
2014-05-16,311.45
2014-05-19,334.6
2014-05-20,325.25
2014-05-21,321.9
2014-05-22,323.5
2014-05-23,329.15
2014-05-26,321.7
2014-05-27,311.85
2014-05-28,317.25
2014-05-29,318.45
2014-05-30,318.35
2014-06-02,329.1
2014-06-03,333.95
2014-06-04,337.0
2014-06-05,337.5
2014-06-06,346.05
2014-06-09,339.3
2014-06-10,331.95
2014-06-11,322.2
2014-06-12,318.05
2014-06-13,308.15
2014-06-16,309.6
2014-06-17,320.6
2014-06-18,316.5
2014-06-19,317.0
2014-06-20,319.95
2014-06-23,323.05
2014-06-24,326.45
2014-06-25,326.4
2014-06-26,319.05
2014-06-27,317.2
2014-06-30,327.35
2014-07-01,323.8
2014-07-02,327.65
2014-07-03,324.0
2014-07-04,327.25
2014-07-07,333.45
2014-07-08,320.65
2014-07-09,315.3
2014-07-10,325.3
2014-07-11,312.2
2014-07-14,317.5
2014-07-15,320.8
2014-07-16,307.95
2014-07-17,309.65
2014-07-18,306.15
2014-07-21,310.9
2014-07-22,309.45
2014-07-23,312.0
2014-07-24,311.4
2014-07-25,296.0
2014-07-28,290.9
2014-07-30,287.4
2014-07-31,289.7
2014-08-01,286.1
2014-08-04,290.95
2014-08-05,295.9
2014-08-06,291.9
2014-08-07,287.2
2014-08-08,278.4
2014-08-11,282.6
2014-08-12,287.65
2014-08-13,287.2
2014-08-14,285.7
2014-08-18,294.05
2014-08-19,298.55
2014-08-20,300.3
2014-08-21,302.95
2014-08-22,305.1
2014-08-25,301.5
2014-08-26,303.7
2014-08-27,302.8
2014-08-28,302.65
2014-09-01,312.35
2014-09-02,311.95
2014-09-03,322.9
2014-09-04,320.45
2014-09-05,319.7
2014-09-08,325.45
2014-09-09,329.85
2014-09-10,319.0
2014-09-11,317.2
2014-09-12,317.65
2014-09-15,319.75
2014-09-16,306.15
2014-09-17,311.75
2014-09-18,316.9
2014-09-19,319.4
2014-09-22,318.3
2014-09-23,312.55
2014-09-24,308.9
2014-09-25,302.2
2014-09-26,314.05
2014-09-29,316.15
2014-09-30,325.5
2014-10-01,320.25
2014-10-07,312.35
2014-10-08,307.0
2014-10-09,317.85
2014-10-10,312.15
2014-10-13,319.6
2014-10-14,333.5
2014-10-16,327.65
2014-10-17,332.85
2014-10-20,323.55
2014-10-21,333.9
2014-10-22,339.8
2014-10-23,343.5
2014-10-27,334.2
2014-10-28,338.2
2014-10-29,339.2
2014-10-30,345.6
2014-10-31,362.05
2014-11-03,365.05
2014-11-05,373.65
2014-11-07,382.3
2014-11-10,386.85
2014-11-11,395.7
2014-11-12,411.95
2014-11-13,410.15
2014-11-14,420.65
2014-11-17,421.35
2014-11-18,418.75
2014-11-19,411.35
2014-11-20,406.55
2014-11-21,414.85
2014-11-24,406.15
2014-11-25,405.2
2014-11-26,401.35
2014-11-27,409.95
2014-11-28,422.4
2014-12-01,422.1
2014-12-02,427.35
2014-12-03,435.1
2014-12-04,430.9
2014-12-05,433.6
2014-12-08,437.4
2014-12-09,433.25
2014-12-10,459.8
2014-12-11,453.25
2014-12-12,436.9
2014-12-15,435.4
2014-12-16,396.15
2014-12-17,402.3
2014-12-18,421.7
2014-12-19,422.8
2014-12-22,419.4
2014-12-23,413.3
2014-12-24,417.0
2014-12-26,417.75
2014-12-29,418.85
2014-12-30,432.3
2014-12-31,436.0
