Date,JSWENERGY
2014-01-01,56.55
2014-01-02,53.7
2014-01-03,52.65
2014-01-06,52.75
2014-01-07,51.45
2014-01-08,51.55
2014-01-09,50.85
2014-01-10,48.75
2014-01-13,49.8
2014-01-14,50.0
2014-01-15,50.8
2014-01-16,50.85
2014-01-17,50.1
2014-01-20,50.55
2014-01-21,50.55
2014-01-22,50.55
2014-01-23,50.25
2014-01-24,47.95
2014-01-27,44.0
2014-01-28,43.4
2014-01-29,44.25
2014-01-30,43.55
2014-01-31,44.1
2014-02-03,43.0
2014-02-04,43.05
2014-02-05,44.05
2014-02-06,45.4
2014-02-07,45.3
2014-02-10,45.35
2014-02-11,44.95
2014-02-12,44.65
2014-02-13,44.15
2014-02-14,44.9
2014-02-17,45.6
2014-02-18,47.6
2014-02-19,49.25
2014-02-20,50.1
2014-02-21,50.0
2014-02-24,50.05
2014-02-25,48.9
2014-02-26,51.75
2014-02-28,50.3
2014-03-03,48.55
2014-03-04,49.5
2014-03-05,50.0
2014-03-06,51.65
2014-03-07,52.6
2014-03-10,51.8
2014-03-11,52.9
2014-03-12,52.2
2014-03-13,52.3
2014-03-14,52.4
2014-03-18,53.45
2014-03-19,53.5
2014-03-20,56.4
2014-03-21,55.5
2014-03-22,55.55
2014-03-24,56.3
2014-03-25,58.85
2014-03-26,58.9
2014-03-27,57.3
2014-03-28,60.5
2014-03-31,59.25
2014-04-01,60.2
2014-04-02,61.65
2014-04-03,60.65
2014-04-04,61.7
2014-04-07,61.65
2014-04-09,63.15
2014-04-10,64.9
2014-04-11,62.5
2014-04-15,59.35
2014-04-16,56.85
2014-04-17,58.9
2014-04-21,58.3
2014-04-22,58.45
2014-04-23,58.65
2014-04-25,56.55
2014-04-28,57.1
2014-04-29,56.05
2014-04-30,53.6
2014-05-02,51.6
2014-05-05,53.6
2014-05-06,53.75
2014-05-07,53.85
2014-05-08,54.65
2014-05-09,55.95
2014-05-12,56.85
2014-05-13,57.7
2014-05-14,59.85
2014-05-15,59.95
2014-05-16,63.2
2014-05-19,68.85
2014-05-20,73.05
2014-05-21,73.2
2014-05-22,74.95
2014-05-23,76.3
2014-05-26,76.65
2014-05-27,74.2
2014-05-28,74.8
2014-05-29,73.6
2014-05-30,73.65
2014-06-02,74.75
2014-06-03,74.35
2014-06-04,79.75
2014-06-05,81.9
2014-06-06,82.2
2014-06-09,83.2
2014-06-10,81.15
2014-06-11,78.85
2014-06-12,78.9
2014-06-13,75.6
2014-06-16,75.25
2014-06-17,77.55
2014-06-18,75.1
2014-06-19,73.7
2014-06-20,73.45
2014-06-23,72.15
2014-06-24,76.25
2014-06-25,78.2
2014-06-26,78.2
2014-06-27,78.0
2014-06-30,84.35
2014-07-01,82.4
2014-07-02,85.25
2014-07-03,84.1
2014-07-04,84.0
2014-07-07,83.2
2014-07-08,75.95
2014-07-09,74.1
2014-07-10,76.8
2014-07-11,70.45
2014-07-14,71.9
2014-07-15,74.7
2014-07-16,77.4
2014-07-17,79.7
2014-07-18,77.5
2014-07-21,78.7
2014-07-22,81.15
2014-07-23,82.2
2014-07-24,81.5
2014-07-25,79.8
2014-07-28,77.3
2014-07-30,75.95
2014-07-31,75.3
2014-08-01,74.75
2014-08-04,76.75
2014-08-05,79.35
2014-08-06,77.0
2014-08-07,77.3
2014-08-08,73.9
2014-08-11,74.2
2014-08-12,77.05
2014-08-13,74.35
2014-08-14,75.65
2014-08-18,76.25
2014-08-19,77.5
2014-08-20,80.0
2014-08-21,78.7
2014-08-22,78.95
2014-08-25,76.1
2014-08-26,78.05
2014-08-27,77.15
2014-08-28,76.05
2014-09-01,79.8
2014-09-02,78.8
2014-09-03,82.2
2014-09-04,80.1
2014-09-05,78.55
2014-09-08,80.0
2014-09-09,80.3
2014-09-10,82.1
2014-09-11,81.4
2014-09-12,79.75
2014-09-15,80.0
2014-09-16,74.8
2014-09-17,74.2
2014-09-18,77.65
2014-09-19,76.2
2014-09-22,76.85
2014-09-23,74.05
2014-09-24,77.1
2014-09-25,72.15
2014-09-26,72.3
2014-09-29,71.5
2014-09-30,70.7
2014-10-01,69.25
2014-10-07,71.1
2014-10-08,69.15
2014-10-09,73.6
2014-10-10,72.75
2014-10-13,74.2
2014-10-14,72.05
2014-10-16,69.3
2014-10-17,69.9
2014-10-20,72.4
2014-10-21,75.1
2014-10-22,76.35
2014-10-23,75.5
2014-10-27,74.4
2014-10-28,77.65
2014-10-29,78.15
2014-10-30,80.5
2014-10-31,80.3
2014-11-03,80.4
2014-11-05,78.25
2014-11-07,77.8
2014-11-10,77.0
2014-11-11,78.2
2014-11-12,78.25
2014-11-13,75.1
2014-11-14,75.85
2014-11-17,85.05
2014-11-18,84.05
2014-11-19,82.9
2014-11-20,82.7
2014-11-21,82.25
2014-11-24,88.2
2014-11-25,86.3
2014-11-26,90.6
2014-11-27,93.1
2014-11-28,94.0
2014-12-01,94.65
2014-12-02,97.1
2014-12-03,95.65
2014-12-04,93.25
2014-12-05,92.15
2014-12-08,91.05
2014-12-09,90.65
2014-12-10,93.55
2014-12-11,93.85
2014-12-12,91.8
2014-12-15,92.85
2014-12-16,90.25
2014-12-17,89.95
2014-12-18,93.25
2014-12-19,102.1
2014-12-22,100.75
2014-12-23,100.5
2014-12-24,100.7
2014-12-26,101.1
2014-12-29,99.25
2014-12-30,102.35
2014-12-31,102.75
