Date,JSL
2014-01-01,39.3
2014-01-02,38.15
2014-01-03,38.0
2014-01-06,38.55
2014-01-07,37.9
2014-01-08,38.05
2014-01-09,37.65
2014-01-10,37.85
2014-01-13,37.95
2014-01-14,37.35
2014-01-15,37.45
2014-01-16,37.35
2014-01-17,36.45
2014-01-20,36.5
2014-01-21,36.45
2014-01-22,36.6
2014-01-23,36.25
2014-01-24,35.55
2014-01-27,34.65
2014-01-28,34.55
2014-01-29,34.45
2014-01-30,33.75
2014-01-31,33.5
2014-02-03,32.4
2014-02-04,32.3
2014-02-05,32.5
2014-02-06,32.5
2014-02-07,35.9
2014-02-10,35.25
2014-02-11,34.35
2014-02-12,33.95
2014-02-13,34.0
2014-02-14,33.95
2014-02-17,33.5
2014-02-18,33.35
2014-02-19,33.3
2014-02-20,32.95
2014-02-21,32.9
2014-02-24,32.9
2014-02-25,33.35
2014-02-26,32.55
2014-02-28,32.35
2014-03-03,32.15
2014-03-04,32.45
2014-03-05,32.4
2014-03-06,32.4
2014-03-07,32.95
2014-03-10,32.8
2014-03-11,34.5
2014-03-12,34.1
2014-03-13,33.2
2014-03-14,33.15
2014-03-18,33.85
2014-03-19,33.9
2014-03-20,33.3
2014-03-21,33.5
2014-03-22,33.7
2014-03-24,33.45
2014-03-25,34.25
2014-03-26,35.9
2014-03-27,35.0
2014-03-28,35.45
2014-03-31,35.9
2014-04-01,36.2
2014-04-02,36.15
2014-04-03,36.6
2014-04-04,36.85
2014-04-07,36.45
2014-04-09,37.1
2014-04-10,42.25
2014-04-11,40.6
2014-04-15,39.3
2014-04-16,37.9
2014-04-17,38.9
2014-04-21,39.3
2014-04-22,38.9
2014-04-23,38.55
2014-04-25,39.25
2014-04-28,38.9
2014-04-29,38.55
2014-04-30,38.75
2014-05-02,37.75
2014-05-05,36.5
2014-05-06,36.55
2014-05-07,35.8
2014-05-08,35.3
2014-05-09,36.3
2014-05-12,35.75
2014-05-13,37.15
2014-05-14,38.55
2014-05-15,37.75
2014-05-16,37.95
2014-05-19,41.1
2014-05-20,42.3
2014-05-21,47.85
2014-05-22,50.75
2014-05-23,52.35
2014-05-26,46.6
2014-05-27,48.4
2014-05-28,51.7
2014-05-29,48.9
2014-05-30,48.7
2014-06-02,50.4
2014-06-03,51.25
2014-06-04,54.75
2014-06-05,53.1
2014-06-06,54.55
2014-06-09,54.75
2014-06-10,57.05
2014-06-11,55.45
2014-06-12,54.75
2014-06-13,50.65
2014-06-16,53.5
2014-06-17,56.4
2014-06-18,55.8
2014-06-19,57.85
2014-06-20,55.7
2014-06-23,58.4
2014-06-24,60.85
2014-06-25,60.25
2014-06-26,57.35
2014-06-27,58.05
2014-06-30,59.05
2014-07-01,61.15
2014-07-02,63.15
2014-07-03,60.75
2014-07-04,60.65
2014-07-07,58.15
2014-07-08,50.75
2014-07-09,50.0
2014-07-10,52.7
2014-07-11,49.25
2014-07-14,49.05
2014-07-15,48.65
2014-07-16,49.2
2014-07-17,49.6
2014-07-18,49.1
2014-07-21,49.4
2014-07-22,49.95
2014-07-23,51.35
2014-07-24,53.8
2014-07-25,51.3
2014-07-28,49.15
2014-07-30,48.25
2014-07-31,48.5
2014-08-01,48.25
2014-08-04,48.95
2014-08-05,49.15
2014-08-06,49.45
2014-08-07,52.9
2014-08-08,49.2
2014-08-11,50.85
2014-08-12,50.2
2014-08-13,48.05
2014-08-14,48.9
2014-08-18,50.65
2014-08-19,53.25
2014-08-20,51.5
2014-08-21,49.9
2014-08-22,49.55
2014-08-25,48.6
2014-08-26,46.25
2014-08-27,46.35
2014-08-28,44.6
2014-09-01,45.5
2014-09-02,45.5
2014-09-03,46.5
2014-09-04,44.8
2014-09-05,44.4
2014-09-08,45.05
2014-09-09,44.85
2014-09-10,45.35
2014-09-11,45.8
2014-09-12,45.7
2014-09-15,44.75
2014-09-16,43.0
2014-09-17,42.5
2014-09-18,44.3
2014-09-19,44.05
2014-09-22,43.6
2014-09-23,42.35
2014-09-24,39.35
2014-09-25,35.9
2014-09-26,39.5
2014-09-29,38.35
2014-09-30,37.0
2014-10-01,36.4
2014-10-07,35.0
2014-10-08,34.95
2014-10-09,34.9
2014-10-10,34.5
2014-10-13,34.4
2014-10-14,34.05
2014-10-16,33.55
2014-10-17,32.8
2014-10-20,32.1
2014-10-21,31.8
2014-10-22,32.75
2014-10-23,33.45
2014-10-27,33.2
2014-10-28,33.55
2014-10-29,33.45
2014-10-30,33.6
2014-10-31,33.9
2014-11-03,34.5
2014-11-05,34.25
2014-11-07,33.6
2014-11-10,32.75
2014-11-11,32.75
2014-11-12,32.75
2014-11-13,32.6
2014-11-14,34.65
2014-11-17,34.2
2014-11-18,34.6
2014-11-19,34.3
2014-11-20,33.15
2014-11-21,33.0
2014-11-24,32.75
2014-11-25,31.05
2014-11-26,30.9
2014-11-27,30.9
2014-11-28,31.15
2014-12-01,30.55
2014-12-02,30.95
2014-12-03,30.8
2014-12-04,31.5
2014-12-05,31.4
2014-12-08,30.9
2014-12-09,31.2
2014-12-10,31.95
2014-12-11,31.25
2014-12-12,30.75
2014-12-15,30.3
2014-12-16,29.25
2014-12-17,29.65
2014-12-18,30.25
2014-12-19,30.3
2014-12-22,32.7
2014-12-23,33.4
2014-12-24,32.7
2014-12-26,36.75
2014-12-29,39.0
2014-12-30,39.8
2014-12-31,42.35
