Date,JINDALSAW
2014-01-01,55.2
2014-01-02,50.0
2014-01-03,51.9
2014-01-06,54.85
2014-01-07,52.8
2014-01-08,58.25
2014-01-09,58.1
2014-01-10,60.15
2014-01-13,60.85
2014-01-14,59.25
2014-01-15,61.1
2014-01-16,61.25
2014-01-17,58.1
2014-01-20,57.95
2014-01-21,58.2
2014-01-22,59.0
2014-01-23,58.0
2014-01-24,54.35
2014-01-27,51.4
2014-01-28,52.2
2014-01-29,52.25
2014-01-30,51.15
2014-01-31,51.55
2014-02-03,50.05
2014-02-04,51.1
2014-02-05,53.05
2014-02-06,51.75
2014-02-07,51.4
2014-02-10,50.75
2014-02-11,50.5
2014-02-12,50.55
2014-02-13,49.35
2014-02-14,49.6
2014-02-17,50.1
2014-02-18,50.85
2014-02-19,50.85
2014-02-20,49.45
2014-02-21,49.05
2014-02-24,49.2
2014-02-25,48.05
2014-02-26,47.75
2014-02-28,47.0
2014-03-03,46.55
2014-03-04,48.2
2014-03-05,48.8
2014-03-06,50.55
2014-03-07,51.15
2014-03-10,52.35
2014-03-11,51.5
2014-03-12,51.65
2014-03-13,51.5
2014-03-14,50.3
2014-03-18,49.9
2014-03-19,49.65
2014-03-20,48.75
2014-03-21,49.85
2014-03-22,51.4
2014-03-24,52.15
2014-03-25,53.6
2014-03-26,53.15
2014-03-27,53.95
2014-03-28,55.55
2014-03-31,56.55
2014-04-01,55.9
2014-04-02,54.95
2014-04-03,56.55
2014-04-04,58.3
2014-04-07,58.15
2014-04-09,59.5
2014-04-10,62.35
2014-04-11,62.25
2014-04-15,60.4
2014-04-16,57.8
2014-04-17,59.85
2014-04-21,60.15
2014-04-22,60.55
2014-04-23,60.05
2014-04-25,58.5
2014-04-28,58.0
2014-04-29,57.05
2014-04-30,55.9
2014-05-02,54.2
2014-05-05,54.35
2014-05-06,54.05
2014-05-07,53.7
2014-05-08,53.7
2014-05-09,54.35
2014-05-12,58.4
2014-05-13,59.35
2014-05-14,59.55
2014-05-15,58.4
2014-05-16,64.75
2014-05-19,72.55
2014-05-20,77.6
2014-05-21,80.75
2014-05-22,86.95
2014-05-23,86.75
2014-05-26,83.9
2014-05-27,81.95
2014-05-28,83.5
2014-05-29,86.7
2014-05-30,89.35
2014-06-02,87.5
2014-06-03,89.4
2014-06-04,88.85
2014-06-05,90.8
2014-06-06,91.15
2014-06-09,88.55
2014-06-10,88.25
2014-06-11,88.8
2014-06-12,89.25
2014-06-13,87.2
2014-06-16,86.2
2014-06-17,88.75
2014-06-18,87.95
2014-06-19,85.7
2014-06-20,83.95
2014-06-23,83.8
2014-06-24,84.85
2014-06-25,85.2
2014-06-26,84.2
2014-06-27,82.1
2014-06-30,83.35
2014-07-01,84.25
2014-07-02,84.2
2014-07-03,82.15
2014-07-04,82.65
2014-07-07,81.8
2014-07-08,77.15
2014-07-09,73.75
2014-07-10,78.3
2014-07-11,74.55
2014-07-14,72.1
2014-07-15,73.75
2014-07-16,74.45
2014-07-17,75.25
2014-07-18,74.15
2014-07-21,73.95
2014-07-22,75.05
2014-07-23,82.7
2014-07-24,84.3
2014-07-25,80.9
2014-07-28,79.8
2014-07-30,77.95
2014-07-31,77.15
2014-08-01,74.7
2014-08-04,75.25
2014-08-05,76.55
2014-08-06,77.95
2014-08-07,77.6
2014-08-08,75.05
2014-08-11,76.05
2014-08-12,75.35
2014-08-13,74.3
2014-08-14,77.35
2014-08-18,77.8
2014-08-19,80.05
2014-08-20,81.3
2014-08-21,80.85
2014-08-22,78.75
2014-08-25,74.15
2014-08-26,74.2
2014-08-27,76.25
2014-08-28,77.5
2014-09-01,78.85
2014-09-02,79.6
2014-09-03,77.9
2014-09-04,75.85
2014-09-05,75.0
2014-09-08,75.95
2014-09-09,75.25
2014-09-10,74.85
2014-09-11,76.1
2014-09-12,80.25
2014-09-15,83.5
2014-09-16,78.1
2014-09-17,77.05
2014-09-18,81.7
2014-09-19,92.35
2014-09-22,91.7
2014-09-23,87.8
2014-09-24,84.7
2014-09-25,80.9
2014-09-26,81.1
2014-09-29,82.5
2014-09-30,80.45
2014-10-01,78.75
2014-10-07,77.05
2014-10-08,81.45
2014-10-09,83.0
2014-10-10,79.35
2014-10-13,79.4
2014-10-14,81.6
2014-10-16,77.7
2014-10-17,75.85
2014-10-20,81.8
2014-10-21,78.4
2014-10-22,78.1
2014-10-23,80.75
2014-10-27,78.7
2014-10-28,78.35
2014-10-29,77.0
2014-10-30,77.05
2014-10-31,77.7
2014-11-03,78.2
2014-11-05,79.25
2014-11-07,78.1
2014-11-10,81.8
2014-11-11,88.7
2014-11-12,86.15
2014-11-13,91.05
2014-11-14,98.8
2014-11-17,101.45
2014-11-18,99.45
2014-11-19,97.65
2014-11-20,106.8
2014-11-21,105.3
2014-11-24,107.8
2014-11-25,104.75
2014-11-26,109.55
2014-11-27,113.25
2014-11-28,111.0
2014-12-01,104.35
2014-12-02,106.3
2014-12-03,109.9
2014-12-04,108.55
2014-12-05,111.8
2014-12-08,108.0
2014-12-09,104.55
2014-12-10,106.2
2014-12-11,106.55
2014-12-12,105.35
2014-12-15,102.3
2014-12-16,95.5
2014-12-17,95.6
2014-12-18,99.6
2014-12-19,97.65
2014-12-22,98.1
2014-12-23,91.85
2014-12-24,92.6
2014-12-26,91.5
2014-12-29,91.75
2014-12-30,89.55
2014-12-31,93.3
