Date,GITANJALI
2014-01-01,72.6
2014-01-02,69.0
2014-01-03,68.95
2014-01-06,70.35
2014-01-07,68.6
2014-01-08,68.55
2014-01-09,68.05
2014-01-10,66.5
2014-01-13,65.7
2014-01-14,64.6
2014-01-15,63.2
2014-01-16,69.5
2014-01-17,67.4
2014-01-20,67.55
2014-01-21,68.05
2014-01-22,67.6
2014-01-23,71.7
2014-01-24,68.25
2014-01-27,65.0
2014-01-28,64.85
2014-01-29,64.5
2014-01-30,62.25
2014-01-31,62.85
2014-02-03,62.65
2014-02-04,62.05
2014-02-05,62.5
2014-02-06,63.4
2014-02-07,62.6
2014-02-10,63.0
2014-02-11,63.7
2014-02-12,63.9
2014-02-13,63.8
2014-02-14,65.05
2014-02-17,64.7
2014-02-18,64.05
2014-02-19,64.3
2014-02-20,63.95
2014-02-21,64.55
2014-02-24,63.1
2014-02-25,64.25
2014-02-26,63.5
2014-02-28,62.2
2014-03-03,61.85
2014-03-04,63.35
2014-03-05,61.85
2014-03-06,62.65
2014-03-07,62.7
2014-03-10,62.35
2014-03-11,61.6
2014-03-12,62.1
2014-03-13,61.1
2014-03-14,59.9
2014-03-18,60.2
2014-03-19,61.85
2014-03-20,60.6
2014-03-21,60.15
2014-03-22,60.35
2014-03-24,59.95
2014-03-25,59.55
2014-03-26,58.45
2014-03-27,58.1
2014-03-28,57.35
2014-03-31,58.95
2014-04-01,63.15
2014-04-02,62.9
2014-04-03,61.6
2014-04-04,62.5
2014-04-07,62.85
2014-04-09,65.65
2014-04-10,64.4
2014-04-11,67.2
2014-04-15,69.05
2014-04-16,66.35
2014-04-17,66.65
2014-04-21,66.0
2014-04-22,65.8
2014-04-23,66.2
2014-04-25,65.15
2014-04-28,63.8
2014-04-29,63.95
2014-04-30,62.35
2014-05-02,62.55
2014-05-05,61.2
2014-05-06,61.95
2014-05-07,62.9
2014-05-08,61.6
2014-05-09,62.15
2014-05-12,62.7
2014-05-13,63.85
2014-05-14,66.3
2014-05-15,65.0
2014-05-16,64.45
2014-05-19,69.1
2014-05-20,82.9
2014-05-21,91.55
2014-05-22,102.45
2014-05-23,97.75
2014-05-26,88.4
2014-05-27,82.5
2014-05-28,87.25
2014-05-29,83.95
2014-05-30,82.4
2014-06-02,77.1
2014-06-03,81.55
2014-06-04,83.35
2014-06-05,83.4
2014-06-06,86.05
2014-06-09,86.45
2014-06-10,94.6
2014-06-11,97.55
2014-06-12,94.2
2014-06-13,88.5
2014-06-16,88.75
2014-06-17,90.8
2014-06-18,88.45
2014-06-19,87.8
2014-06-20,92.55
2014-06-23,92.35
2014-06-24,92.95
2014-06-25,92.2
2014-06-26,91.8
2014-06-27,90.8
2014-06-30,92.3
2014-07-01,92.3
2014-07-02,92.3
2014-07-03,92.3
2014-07-04,94.25
2014-07-07,94.95
2014-07-08,87.95
2014-07-09,86.95
2014-07-10,81.9
2014-07-11,78.05
2014-07-14,73.4
2014-07-15,77.0
2014-07-16,76.25
2014-07-17,77.9
2014-07-18,76.35
2014-07-21,76.6
2014-07-22,75.55
2014-07-23,75.15
2014-07-24,73.8
2014-07-25,70.85
2014-07-28,69.65
2014-07-30,68.8
2014-07-31,70.7
2014-08-01,69.2
2014-08-04,71.1
2014-08-05,70.75
2014-08-06,69.7
2014-08-07,68.9
2014-08-08,66.2
2014-08-11,66.75
2014-08-12,67.75
2014-08-13,64.3
2014-08-14,64.45
2014-08-18,69.8
2014-08-19,68.95
2014-08-20,67.6
2014-08-21,73.2
2014-08-22,72.8
2014-08-25,69.3
2014-08-26,67.3
2014-08-27,66.8
2014-08-28,66.35
2014-09-01,67.0
2014-09-02,67.9
2014-09-03,66.85
2014-09-04,65.15
2014-09-05,67.9
2014-09-08,66.95
2014-09-09,66.95
2014-09-10,67.2
2014-09-11,70.25
2014-09-12,69.15
2014-09-15,71.2
2014-09-16,67.05
2014-09-17,67.0
2014-09-18,68.45
2014-09-19,68.9
2014-09-22,73.1
2014-09-23,69.9
2014-09-24,67.5
2014-09-25,65.05
2014-09-26,64.6
2014-09-29,65.45
2014-09-30,63.75
2014-10-01,63.25
2014-10-07,63.15
2014-10-08,61.75
2014-10-09,63.15
2014-10-10,61.75
2014-10-13,61.9
2014-10-14,61.55
2014-10-16,58.6
2014-10-17,58.4
2014-10-20,57.85
2014-10-21,56.9
2014-10-22,57.45
2014-10-23,58.1
2014-10-27,59.15
2014-10-28,57.7
2014-10-29,57.7
2014-10-30,57.65
2014-10-31,57.75
2014-11-03,58.65
2014-11-05,58.8
2014-11-07,57.9
2014-11-10,58.0
2014-11-11,58.0
2014-11-12,59.9
2014-11-13,58.7
2014-11-14,58.1
2014-11-17,57.95
2014-11-18,57.7
2014-11-19,56.6
2014-11-20,54.85
2014-11-21,52.6
2014-11-24,53.7
2014-11-25,51.85
2014-11-26,51.6
2014-11-27,51.85
2014-11-28,50.15
2014-12-01,60.15
2014-12-02,63.55
2014-12-03,60.95
2014-12-04,59.1
2014-12-05,57.0
2014-12-08,55.05
2014-12-09,53.25
2014-12-10,58.05
2014-12-11,55.9
2014-12-12,54.2
2014-12-15,54.15
2014-12-16,51.3
2014-12-17,50.7
2014-12-18,53.1
2014-12-19,51.25
2014-12-22,55.3
2014-12-23,53.55
2014-12-24,53.3
2014-12-26,53.65
2014-12-29,53.95
2014-12-30,53.65
2014-12-31,53.75
