Date,KOHINOOR
2014-01-01,45.5
2014-01-02,43.95
2014-01-03,45.35
2014-01-06,46.3
2014-01-07,45.1
2014-01-08,45.1
2014-01-09,42.85
2014-01-10,42.6
2014-01-13,42.25
2014-01-14,42.45
2014-01-15,44.35
2014-01-16,43.05
2014-01-17,41.7
2014-01-20,41.85
2014-01-21,43.2
2014-01-22,43.05
2014-01-23,42.6
2014-01-24,42.4
2014-01-27,40.2
2014-01-28,40.9
2014-01-29,40.1
2014-01-30,39.6
2014-01-31,39.45
2014-02-03,39.15
2014-02-04,38.65
2014-02-05,40.45
2014-02-06,39.95
2014-02-07,40.55
2014-02-10,40.45
2014-02-11,41.8
2014-02-12,41.3
2014-02-13,40.4
2014-02-14,39.85
2014-02-17,38.9
2014-02-18,38.7
2014-02-19,38.7
2014-02-20,38.5
2014-02-21,39.1
2014-02-24,38.65
2014-02-25,39.35
2014-02-26,38.65
2014-02-28,38.35
2014-03-03,38.25
2014-03-04,41.85
2014-03-05,42.55
2014-03-06,41.3
2014-03-07,40.3
2014-03-10,41.65
2014-03-11,40.1
2014-03-12,40.1
2014-03-13,39.95
2014-03-14,39.55
2014-03-18,40.2
2014-03-19,39.65
2014-03-20,39.1
2014-03-21,38.75
2014-03-22,38.85
2014-03-24,38.8
2014-03-25,38.5
2014-03-26,38.35
2014-03-27,40.8
2014-03-28,42.85
2014-03-31,43.15
2014-04-01,43.15
2014-04-02,43.9
2014-04-03,44.2
2014-04-04,47.6
2014-04-07,44.8
2014-04-09,45.1
2014-04-10,44.15
2014-04-11,46.3
2014-04-15,45.6
2014-04-16,45.4
2014-04-17,44.7
2014-04-21,45.05
2014-04-22,45.4
2014-04-23,44.3
2014-04-25,43.15
2014-04-28,43.3
2014-04-29,42.85
2014-04-30,41.8
2014-05-02,42.7
2014-05-05,43.35
2014-05-06,42.75
2014-05-07,43.0
2014-05-08,43.1
2014-05-09,42.45
2014-05-12,41.95
2014-05-13,41.4
2014-05-14,41.45
2014-05-15,40.75
2014-05-16,39.7
2014-05-19,41.95
2014-05-20,44.7
2014-05-21,46.0
2014-05-22,45.75
2014-05-23,48.15
2014-05-26,44.95
2014-05-27,44.1
2014-05-28,45.35
2014-05-29,44.15
2014-05-30,43.7
2014-06-02,44.8
2014-06-03,46.3
2014-06-04,46.45
2014-06-05,47.2
2014-06-06,51.05
2014-06-09,56.7
2014-06-10,54.45
2014-06-11,53.6
2014-06-12,52.95
2014-06-13,48.85
2014-06-16,49.65
2014-06-17,55.05
2014-06-18,56.6
2014-06-19,54.2
2014-06-20,52.95
2014-06-23,52.1
2014-06-24,52.65
2014-06-25,52.2
2014-06-26,52.5
2014-06-27,51.55
2014-06-30,52.3
2014-07-01,52.85
2014-07-02,52.55
2014-07-03,51.75
2014-07-04,51.6
2014-07-07,51.05
2014-07-08,49.5
2014-07-09,47.35
2014-07-10,46.85
2014-07-11,46.05
2014-07-14,46.15
2014-07-15,47.7
2014-07-16,50.45
2014-07-17,48.8
2014-07-18,49.05
2014-07-21,48.8
2014-07-22,48.0
2014-07-23,49.1
2014-07-24,48.0
2014-07-25,49.35
2014-07-28,49.3
2014-07-30,47.4
2014-07-31,47.4
2014-08-01,46.85
2014-08-04,47.05
2014-08-05,46.9
2014-08-06,50.6
2014-08-07,48.75
2014-08-08,47.15
2014-08-11,48.25
2014-08-12,48.05
2014-08-13,46.9
2014-08-14,47.35
2014-08-18,47.7
2014-08-19,47.2
2014-08-20,47.2
2014-08-21,47.5
2014-08-22,47.45
2014-08-25,47.15
2014-08-26,46.1
2014-08-27,46.15
2014-08-28,45.8
2014-09-01,45.8
2014-09-02,50.95
2014-09-03,60.4
2014-09-04,55.8
2014-09-05,55.65
2014-09-08,56.75
2014-09-09,57.1
2014-09-10,56.35
2014-09-11,56.4
2014-09-12,56.3
2014-09-15,55.45
2014-09-16,52.3
2014-09-17,52.1
2014-09-18,53.05
2014-09-19,53.0
2014-09-22,53.35
2014-09-23,52.35
2014-09-24,51.4
2014-09-25,48.55
2014-09-26,48.5
2014-09-29,48.55
2014-09-30,47.95
2014-10-01,47.6
2014-10-07,48.9
2014-10-08,48.0
2014-10-09,48.75
2014-10-10,47.95
2014-10-13,48.05
2014-10-14,47.05
2014-10-16,45.6
2014-10-17,45.55
2014-10-20,45.45
2014-10-21,45.05
2014-10-22,45.65
2014-10-23,46.05
2014-10-27,46.1
2014-10-28,45.65
2014-10-29,45.95
2014-10-30,45.9
2014-10-31,46.75
2014-11-03,49.5
2014-11-05,50.05
2014-11-07,48.45
2014-11-10,48.4
2014-11-11,49.4
2014-11-12,48.45
2014-11-13,48.4
2014-11-14,47.0
2014-11-17,46.9
2014-11-18,46.8
2014-11-19,46.25
2014-11-20,46.45
2014-11-21,45.35
2014-11-24,44.7
2014-11-25,43.1
2014-11-26,43.6
2014-11-27,43.75
2014-11-28,43.15
2014-12-01,42.5
2014-12-02,45.95
2014-12-03,45.8
2014-12-04,45.75
2014-12-05,44.55
2014-12-08,44.1
2014-12-09,43.65
2014-12-10,43.85
2014-12-11,43.25
2014-12-12,42.3
2014-12-15,41.75
2014-12-16,40.3
2014-12-17,38.85
2014-12-18,40.3
2014-12-19,41.05
2014-12-22,42.6
2014-12-23,41.7
2014-12-24,41.95
2014-12-26,41.6
2014-12-29,41.75
2014-12-30,41.6
2014-12-31,41.9
