Date,GMDCLTD
2014-01-01,118.75
2014-01-02,115.0
2014-01-03,116.0
2014-01-06,118.5
2014-01-07,117.5
2014-01-08,119.6
2014-01-09,118.15
2014-01-10,116.2
2014-01-13,115.9
2014-01-14,116.95
2014-01-15,116.8
2014-01-16,117.85
2014-01-17,116.2
2014-01-20,116.2
2014-01-21,116.75
2014-01-22,116.6
2014-01-23,116.95
2014-01-24,115.85
2014-01-27,114.45
2014-01-28,113.7
2014-01-29,113.5
2014-01-30,113.9
2014-01-31,115.0
2014-02-03,113.9
2014-02-04,111.2
2014-02-05,109.55
2014-02-06,106.7
2014-02-07,107.75
2014-02-10,106.55
2014-02-11,104.0
2014-02-12,104.3
2014-02-13,102.4
2014-02-14,101.65
2014-02-17,102.05
2014-02-18,103.0
2014-02-19,105.85
2014-02-20,105.35
2014-02-21,107.05
2014-02-24,107.25
2014-02-25,108.3
2014-02-26,106.3
2014-02-28,105.65
2014-03-03,104.3
2014-03-04,104.75
2014-03-05,105.55
2014-03-06,107.15
2014-03-07,108.9
2014-03-10,116.3
2014-03-11,118.15
2014-03-12,118.4
2014-03-13,122.0
2014-03-14,126.3
2014-03-18,127.8
2014-03-19,127.45
2014-03-20,128.15
2014-03-21,124.75
2014-03-22,123.9
2014-03-24,123.35
2014-03-25,125.35
2014-03-26,127.45
2014-03-27,124.95
2014-03-28,127.4
2014-03-31,131.9
2014-04-01,133.55
2014-04-02,133.75
2014-04-03,130.65
2014-04-04,130.95
2014-04-07,129.35
2014-04-09,132.2
2014-04-10,134.1
2014-04-11,140.0
2014-04-15,137.75
2014-04-16,138.8
2014-04-17,139.95
2014-04-21,143.95
2014-04-22,136.95
2014-04-23,136.1
2014-04-25,138.1
2014-04-28,136.15
2014-04-29,134.2
2014-04-30,132.0
2014-05-02,129.05
2014-05-05,129.1
2014-05-06,129.4
2014-05-07,128.5
2014-05-08,129.95
2014-05-09,130.1
2014-05-12,131.95
2014-05-13,131.9
2014-05-14,133.65
2014-05-15,133.2
2014-05-16,133.6
2014-05-19,141.15
2014-05-20,145.75
2014-05-21,143.3
2014-05-22,146.2
2014-05-23,156.6
2014-05-26,147.35
2014-05-27,144.8
2014-05-28,154.35
2014-05-29,154.6
2014-05-30,150.75
2014-06-02,153.9
2014-06-03,151.95
2014-06-04,159.15
2014-06-05,156.9
2014-06-06,167.8
2014-06-09,171.85
2014-06-10,173.25
2014-06-11,164.75
2014-06-12,168.75
2014-06-13,163.9
2014-06-16,163.6
2014-06-17,167.65
2014-06-18,163.85
2014-06-19,163.35
2014-06-20,162.1
2014-06-23,163.05
2014-06-24,167.85
2014-06-25,169.1
2014-06-26,167.95
2014-06-27,168.35
2014-06-30,168.75
2014-07-01,171.6
2014-07-02,170.75
2014-07-03,168.2
2014-07-04,165.8
2014-07-07,165.75
2014-07-08,157.65
2014-07-09,158.3
2014-07-10,159.05
2014-07-11,153.5
2014-07-14,150.05
2014-07-15,153.9
2014-07-16,156.2
2014-07-17,157.25
2014-07-18,155.9
2014-07-21,159.3
2014-07-22,158.45
2014-07-23,156.45
2014-07-24,155.45
2014-07-25,152.0
2014-07-28,153.6
2014-07-30,155.45
2014-07-31,154.25
2014-08-01,149.75
2014-08-04,150.65
2014-08-05,153.95
2014-08-06,152.05
2014-08-07,150.15
2014-08-08,147.05
2014-08-11,147.95
2014-08-12,148.05
2014-08-13,147.4
2014-08-14,145.55
2014-08-18,145.3
2014-08-19,146.0
2014-08-20,146.1
2014-08-21,145.75
2014-08-22,143.9
2014-08-25,140.2
2014-08-26,137.85
2014-08-27,138.0
2014-08-28,145.45
2014-09-01,141.65
2014-09-02,139.0
2014-09-03,141.15
2014-09-04,140.3
2014-09-05,136.0
2014-09-08,139.6
2014-09-09,142.45
2014-09-10,141.8
2014-09-11,149.95
2014-09-12,151.85
2014-09-15,153.35
2014-09-16,147.7
2014-09-17,150.25
2014-09-18,147.65
2014-09-19,148.75
2014-09-22,147.3
2014-09-23,146.5
2014-09-24,144.45
2014-09-25,142.05
2014-09-26,143.95
2014-09-29,145.9
2014-09-30,144.8
2014-10-01,142.3
2014-10-07,140.95
2014-10-08,139.35
2014-10-09,147.75
2014-10-10,147.05
2014-10-13,154.75
2014-10-14,153.2
2014-10-16,152.15
2014-10-17,151.05
2014-10-20,148.5
2014-10-21,150.25
2014-10-22,152.5
2014-10-23,153.65
2014-10-27,152.6
2014-10-28,153.05
2014-10-29,152.8
2014-10-30,151.4
2014-10-31,152.45
2014-11-03,152.65
2014-11-05,153.85
2014-11-07,151.9
2014-11-10,152.0
2014-11-11,151.5
2014-11-12,153.5
2014-11-13,152.5
2014-11-14,150.2
2014-11-17,147.5
2014-11-18,141.5
2014-11-19,140.8
2014-11-20,139.85
2014-11-21,139.05
2014-11-24,136.55
2014-11-25,133.6
2014-11-26,134.7
2014-11-27,135.6
2014-11-28,133.3
2014-12-01,130.45
2014-12-02,129.0
2014-12-03,128.6
2014-12-04,136.25
2014-12-05,133.65
2014-12-08,136.15
2014-12-09,132.5
2014-12-10,134.15
2014-12-11,133.35
2014-12-12,130.5
2014-12-15,129.9
2014-12-16,127.65
2014-12-17,124.9
2014-12-18,121.1
2014-12-19,122.6
2014-12-22,126.3
2014-12-23,123.5
2014-12-24,123.3
2014-12-26,122.6
2014-12-29,123.9
2014-12-30,126.15
2014-12-31,129.2
