Date,BIL
2014-01-01,181.7
2014-01-02,179.55
2014-01-03,177.0
2014-01-06,175.7
2014-01-07,176.25
2014-01-08,173.6
2014-01-09,165.85
2014-01-10,159.5
2014-01-13,166.35
2014-01-14,172.2
2014-01-15,176.0
2014-01-16,176.95
2014-01-17,176.25
2014-01-20,174.25
2014-01-21,166.65
2014-01-22,169.35
2014-01-23,167.8
2014-01-24,162.4
2014-01-27,156.9
2014-01-28,156.6
2014-01-29,152.25
2014-01-30,154.3
2014-01-31,171.65
2014-02-03,163.4
2014-02-04,160.55
2014-02-05,169.15
2014-02-06,166.1
2014-02-07,164.45
2014-02-10,159.1
2014-02-11,158.35
2014-02-12,158.25
2014-02-13,160.55
2014-02-14,155.85
2014-02-17,160.05
2014-02-18,160.8
2014-02-19,161.5
2014-02-20,161.75
2014-02-21,162.0
2014-02-24,172.75
2014-02-25,182.6
2014-02-26,183.95
2014-02-28,182.7
2014-03-03,188.3
2014-03-04,187.95
2014-03-05,191.15
2014-03-06,193.4
2014-03-07,196.25
2014-03-10,198.35
2014-03-11,205.0
2014-03-12,205.8
2014-03-13,200.15
2014-03-14,205.1
2014-03-18,200.7
2014-03-19,209.85
2014-03-20,206.5
2014-03-21,213.55
2014-03-22,225.15
2014-03-24,214.45
2014-03-25,209.75
2014-03-26,205.3
2014-03-27,205.25
2014-03-28,204.6
2014-03-31,203.4
2014-04-01,204.0
2014-04-02,208.45
2014-04-03,208.45
2014-04-04,218.5
2014-04-07,215.6
2014-04-09,224.3
2014-04-10,225.7
2014-04-11,225.1
2014-04-15,224.85
2014-04-16,222.1
2014-04-17,227.95
2014-04-21,226.1
2014-04-22,230.25
2014-04-23,234.25
2014-04-25,237.35
2014-04-28,233.95
2014-04-29,233.15
2014-04-30,232.8
2014-05-02,237.9
2014-05-05,243.9
2014-05-06,242.9
2014-05-07,243.15
2014-05-08,242.05
2014-05-09,250.95
2014-05-12,245.95
2014-05-13,246.3
2014-05-14,246.15
2014-05-15,245.6
2014-05-16,244.7
2014-05-19,249.4
2014-05-20,251.55
2014-05-21,251.7
2014-05-22,259.3
2014-05-23,267.4
2014-05-26,266.1
2014-05-27,270.05
2014-05-28,275.55
2014-05-29,274.8
2014-05-30,269.35
2014-06-02,270.35
2014-06-03,271.2
2014-06-04,272.1
2014-06-05,297.9
2014-06-06,297.0
2014-06-09,301.35
2014-06-10,297.55
2014-06-11,293.55
2014-06-12,314.05
2014-06-13,310.05
2014-06-16,312.1
2014-06-17,316.3
2014-06-18,325.65
2014-06-19,332.65
2014-06-20,339.55
2014-06-23,347.65
2014-06-24,365.05
2014-06-25,356.35
2014-06-26,358.85
2014-06-27,359.45
2014-06-30,358.45
2014-07-01,357.95
2014-07-02,351.9
2014-07-03,347.45
2014-07-04,349.4
2014-07-07,348.95
2014-07-08,347.9
2014-07-09,353.65
2014-07-10,352.3
2014-07-11,342.5
2014-07-14,337.85
2014-07-15,341.9
2014-07-16,339.95
2014-07-17,352.05
2014-07-18,350.35
2014-07-21,352.25
2014-07-22,354.05
2014-07-23,350.75
2014-07-24,349.5
2014-07-25,340.15
2014-07-28,338.1
2014-07-30,328.7
2014-07-31,335.45
2014-08-01,332.9
2014-08-04,331.55
2014-08-05,345.75
2014-08-06,341.95
2014-08-07,341.0
2014-08-08,348.9
2014-08-11,350.1
2014-08-12,347.6
2014-08-13,343.85
2014-08-14,336.1
2014-08-18,337.3
2014-08-19,341.2
2014-08-20,355.5
2014-08-21,353.8
2014-08-22,357.0
2014-08-25,361.55
2014-08-26,361.3
2014-08-27,359.2
2014-08-28,352.25
2014-09-01,360.0
2014-09-02,357.85
2014-09-03,357.4
2014-09-04,354.05
2014-09-05,356.9
2014-09-08,359.1
2014-09-09,375.95
2014-09-10,373.25
2014-09-11,369.15
2014-09-12,372.0
2014-09-15,372.4
2014-09-16,356.05
2014-09-17,355.25
2014-09-18,358.95
2014-09-19,365.15
2014-09-22,361.55
2014-09-23,361.5
2014-09-24,373.9
2014-09-25,367.65
2014-09-26,364.25
2014-09-29,373.1
2014-09-30,375.2
2014-10-01,380.7
2014-10-07,395.5
2014-10-08,392.7
2014-10-09,389.05
2014-10-10,380.1
2014-10-13,392.95
2014-10-14,388.2
2014-10-16,376.3
2014-10-17,369.5
2014-10-20,370.9
2014-10-21,369.0
2014-10-22,370.05
2014-10-23,372.05
2014-10-27,367.9
2014-10-28,365.7
2014-10-29,371.0
2014-10-30,377.0
2014-10-31,380.3
2014-11-03,377.3
2014-11-05,380.75
2014-11-07,378.7
2014-11-10,393.95
2014-11-11,392.6
2014-11-12,394.0
2014-11-13,387.45
2014-11-14,386.95
2014-11-17,386.35
2014-11-18,399.6
2014-11-19,402.7
2014-11-20,411.75
2014-11-21,411.35
2014-11-24,416.8
2014-11-25,413.15
2014-11-26,412.2
2014-11-27,412.15
2014-11-28,412.25
2014-12-01,410.0
2014-12-02,410.85
2014-12-03,410.4
2014-12-04,410.65
2014-12-05,415.15
2014-12-08,412.05
2014-12-09,412.05
2014-12-10,413.25
2014-12-11,412.0
2014-12-12,412.0
2014-12-15,410.15
2014-12-16,404.35
2014-12-17,406.1
2014-12-18,410.2
2014-12-19,403.0
2014-12-22,405.5
2014-12-23,404.95
2014-12-24,396.7
2014-12-26,397.7
2014-12-29,401.55
2014-12-30,403.7
2014-12-31,401.65
