Date,KALPATPOWR
2014-01-01,91.6
2014-01-02,90.65
2014-01-03,90.5
2014-01-06,88.85
2014-01-07,88.15
2014-01-08,86.1
2014-01-09,87.65
2014-01-10,87.0
2014-01-13,84.35
2014-01-14,85.5
2014-01-15,85.5
2014-01-16,86.9
2014-01-17,84.9
2014-01-20,85.25
2014-01-21,83.8
2014-01-22,85.05
2014-01-23,83.6
2014-01-24,81.35
2014-01-27,79.25
2014-01-28,77.9
2014-01-29,76.85
2014-01-30,75.45
2014-01-31,76.9
2014-02-03,72.9
2014-02-04,72.85
2014-02-05,73.45
2014-02-06,72.95
2014-02-07,73.3
2014-02-10,72.55
2014-02-11,71.65
2014-02-12,71.5
2014-02-13,72.1
2014-02-14,72.15
2014-02-17,73.05
2014-02-18,75.85
2014-02-19,91.0
2014-02-20,82.7
2014-02-21,82.1
2014-02-24,85.0
2014-02-25,83.6
2014-02-26,81.1
2014-02-28,82.05
2014-03-03,80.75
2014-03-04,81.35
2014-03-05,83.0
2014-03-06,84.7
2014-03-07,87.4
2014-03-10,89.05
2014-03-11,87.55
2014-03-12,88.15
2014-03-13,87.05
2014-03-14,85.95
2014-03-18,87.5
2014-03-19,87.6
2014-03-20,86.9
2014-03-21,85.8
2014-03-22,90.65
2014-03-24,89.35
2014-03-25,89.55
2014-03-26,88.4
2014-03-27,88.9
2014-03-28,97.6
2014-03-31,95.4
2014-04-01,97.6
2014-04-02,98.15
2014-04-03,98.0
2014-04-04,98.3
2014-04-07,99.1
2014-04-09,105.0
2014-04-10,105.15
2014-04-11,106.75
2014-04-15,106.5
2014-04-16,106.75
2014-04-17,110.25
2014-04-21,119.85
2014-04-22,120.45
2014-04-23,115.95
2014-04-25,113.1
2014-04-28,111.95
2014-04-29,113.55
2014-04-30,115.5
2014-05-02,112.95
2014-05-05,112.25
2014-05-06,112.9
2014-05-07,114.95
2014-05-08,116.8
2014-05-09,116.8
2014-05-12,126.95
2014-05-13,130.4
2014-05-14,131.75
2014-05-15,125.4
2014-05-16,127.05
2014-05-19,144.85
2014-05-20,148.85
2014-05-21,152.15
2014-05-22,148.3
2014-05-23,149.05
2014-05-26,169.15
2014-05-27,165.1
2014-05-28,183.0
2014-05-29,177.5
2014-05-30,174.35
2014-06-02,179.95
2014-06-03,183.05
2014-06-04,182.05
2014-06-05,179.05
2014-06-06,177.65
2014-06-09,179.5
2014-06-10,174.2
2014-06-11,167.9
2014-06-12,171.8
2014-06-13,169.4
2014-06-16,171.0
2014-06-17,174.15
2014-06-18,174.8
2014-06-19,177.2
2014-06-20,175.05
2014-06-23,175.1
2014-06-24,179.85
2014-06-25,180.55
2014-06-26,180.2
2014-06-27,181.5
2014-06-30,186.4
2014-07-01,186.8
2014-07-02,193.05
2014-07-03,190.85
2014-07-04,189.2
2014-07-07,190.55
2014-07-08,180.05
2014-07-09,171.6
2014-07-10,174.8
2014-07-11,164.75
2014-07-14,168.45
2014-07-15,169.4
2014-07-16,175.5
2014-07-17,175.9
2014-07-18,175.2
2014-07-21,175.5
2014-07-22,172.25
2014-07-23,169.35
2014-07-24,169.25
2014-07-25,164.4
2014-07-28,164.15
2014-07-30,163.7
2014-07-31,160.9
2014-08-01,159.85
2014-08-04,159.85
2014-08-05,170.2
2014-08-06,171.3
2014-08-07,166.3
2014-08-08,162.0
2014-08-11,159.1
2014-08-12,160.85
2014-08-13,159.15
2014-08-14,160.85
2014-08-18,161.8
2014-08-19,161.05
2014-08-20,165.95
2014-08-21,167.15
2014-08-22,174.45
2014-08-25,166.3
2014-08-26,169.4
2014-08-27,170.95
2014-08-28,165.55
2014-09-01,167.85
2014-09-02,168.45
2014-09-03,169.7
2014-09-04,167.75
2014-09-05,169.25
2014-09-08,169.1
2014-09-09,169.8
2014-09-10,168.25
2014-09-11,179.9
2014-09-12,177.55
2014-09-15,179.35
2014-09-16,172.55
2014-09-17,167.95
2014-09-18,166.85
2014-09-19,166.5
2014-09-22,167.15
2014-09-23,162.0
2014-09-24,153.7
2014-09-25,143.5
2014-09-26,147.45
2014-09-29,150.75
2014-09-30,154.3
2014-10-01,155.0
2014-10-07,152.8
2014-10-08,154.45
2014-10-09,157.5
2014-10-10,153.35
2014-10-13,149.95
2014-10-14,149.55
2014-10-16,140.1
2014-10-17,132.0
2014-10-20,136.55
2014-10-21,138.95
2014-10-22,148.8
2014-10-23,155.15
2014-10-27,158.05
2014-10-28,158.1
2014-10-29,164.6
2014-10-30,163.35
2014-10-31,170.25
2014-11-03,173.05
2014-11-05,167.05
2014-11-07,166.75
2014-11-10,166.85
2014-11-11,168.8
2014-11-12,170.0
2014-11-13,167.5
2014-11-14,167.75
2014-11-17,185.4
2014-11-18,191.75
2014-11-19,186.5
2014-11-20,181.55
2014-11-21,180.25
2014-11-24,176.1
2014-11-25,173.25
2014-11-26,171.9
2014-11-27,184.55
2014-11-28,183.65
2014-12-01,176.15
2014-12-02,176.15
2014-12-03,183.0
2014-12-04,180.6
2014-12-05,186.35
2014-12-08,187.65
2014-12-09,182.45
2014-12-10,202.5
2014-12-11,201.9
2014-12-12,199.5
2014-12-15,200.6
2014-12-16,188.45
2014-12-17,181.45
2014-12-18,194.55
2014-12-19,193.5
2014-12-22,197.4
2014-12-23,197.25
2014-12-24,201.9
2014-12-26,216.15
2014-12-29,218.6
2014-12-30,213.85
2014-12-31,215.7
