Date,ANKITMETAL
2014-01-01,11.1
2014-01-02,11.9
2014-01-03,11.85
2014-01-06,11.6
2014-01-07,11.3
2014-01-08,11.15
2014-01-09,11.35
2014-01-10,10.55
2014-01-13,10.25
2014-01-14,10.2
2014-01-15,10.5
2014-01-16,10.2
2014-01-17,9.9
2014-01-20,9.45
2014-01-21,9.5
2014-01-22,8.95
2014-01-23,9.65
2014-01-24,8.7
2014-01-27,8.45
2014-01-28,8.4
2014-01-29,8.3
2014-01-30,8.05
2014-01-31,8.35
2014-02-03,8.35
2014-02-04,8.25
2014-02-05,8.25
2014-02-06,7.8
2014-02-07,7.85
2014-02-10,8.1
2014-02-11,8.05
2014-02-12,7.9
2014-02-13,8.1
2014-02-14,7.85
2014-02-17,7.65
2014-02-18,7.6
2014-02-19,7.6
2014-02-20,7.35
2014-02-21,7.35
2014-02-24,7.75
2014-02-25,7.25
2014-02-26,7.15
2014-02-28,6.85
2014-03-03,6.7
2014-03-04,6.9
2014-03-05,7.35
2014-03-06,7.4
2014-03-07,7.9
2014-03-10,7.4
2014-03-11,7.0
2014-03-12,7.0
2014-03-13,7.0
2014-03-14,7.15
2014-03-18,7.0
2014-03-19,6.9
2014-03-20,6.85
2014-03-24,7.1
2014-03-25,6.9
2014-03-26,6.75
2014-03-27,7.0
2014-03-28,6.85
2014-03-31,7.05
2014-04-01,7.75
2014-04-02,7.85
2014-04-03,7.85
2014-04-04,7.95
2014-04-07,7.9
2014-04-09,8.55
2014-04-10,8.95
2014-04-11,8.7
2014-04-15,8.8
2014-04-16,8.25
2014-04-17,7.95
2014-04-21,8.15
2014-04-22,8.15
2014-04-23,8.15
2014-04-25,8.05
2014-04-28,7.9
2014-04-29,8.0
2014-04-30,8.0
2014-05-02,7.85
2014-05-06,8.15
2014-05-07,7.8
2014-05-08,8.0
2014-05-09,7.85
2014-05-12,7.8
2014-05-13,7.8
2014-05-14,8.35
2014-05-15,8.25
2014-05-16,8.1
2014-05-19,8.35
2014-05-20,8.25
2014-05-21,8.5
2014-05-22,9.45
2014-05-23,11.0
2014-05-26,10.25
2014-05-27,9.5
2014-05-28,9.4
2014-05-29,9.35
2014-05-30,9.25
2014-06-02,8.95
2014-06-03,8.8
2014-06-04,8.8
2014-06-05,8.4
2014-06-06,8.3
2014-06-09,9.7
2014-06-10,8.75
2014-06-11,8.55
2014-06-12,8.5
2014-06-13,8.1
2014-06-16,7.6
2014-06-17,8.5
2014-06-18,8.35
2014-06-19,8.35
2014-06-20,8.4
2014-06-23,8.45
2014-06-24,8.65
2014-06-25,8.7
2014-06-26,8.45
2014-06-27,8.5
2014-06-30,8.65
2014-07-01,9.0
2014-07-02,10.8
2014-07-03,8.9
2014-07-04,9.95
2014-07-07,10.35
2014-07-08,9.6
2014-07-09,9.3
2014-07-10,9.0
2014-07-11,8.6
2014-07-14,8.8
2014-07-15,8.65
2014-07-16,8.85
2014-07-17,8.45
2014-07-18,8.5
2014-07-21,8.55
2014-07-22,8.5
2014-07-23,8.05
2014-07-24,8.0
2014-07-25,7.85
2014-07-28,8.0
2014-07-30,7.6
2014-07-31,7.6
2014-08-01,7.4
2014-08-04,7.35
2014-08-05,7.45
2014-08-06,7.4
2014-08-07,7.3
2014-08-08,7.15
2014-08-11,6.9
2014-08-12,6.85
2014-08-13,6.65
2014-08-14,6.3
2014-08-18,6.25
2014-08-19,5.9
2014-08-20,6.2
2014-08-21,6.45
2014-08-22,6.55
2014-08-25,6.5
2014-08-26,6.2
2014-08-27,6.1
2014-08-28,6.15
2014-09-01,5.95
2014-09-02,6.2
2014-09-03,6.15
2014-09-04,6.0
2014-09-05,5.95
2014-09-08,6.1
2014-09-09,6.1
2014-09-10,6.0
2014-09-11,6.1
2014-09-12,7.3
2014-09-15,7.55
2014-09-16,6.9
2014-09-17,6.9
2014-09-18,7.2
2014-09-19,8.6
2014-09-22,8.7
2014-09-23,8.4
2014-09-24,8.3
2014-09-25,7.6
2014-09-26,7.3
2014-09-29,7.5
2014-09-30,7.45
2014-10-01,7.45
2014-10-07,7.55
2014-10-08,7.5
2014-10-09,7.5
2014-10-10,7.2
2014-10-13,7.25
2014-10-14,7.2
2014-10-16,6.95
2014-10-17,6.75
2014-10-20,6.8
2014-10-21,6.85
2014-10-22,6.95
2014-10-23,7.05
2014-10-27,6.9
2014-10-28,6.9
2014-10-29,7.0
2014-10-30,6.85
2014-10-31,6.9
2014-11-03,6.9
2014-11-05,6.8
2014-11-07,6.6
2014-11-10,6.55
2014-11-11,6.45
2014-11-12,6.5
2014-11-13,6.4
2014-11-14,6.3
2014-11-17,6.35
2014-11-18,6.1
2014-11-19,6.05
2014-11-20,5.95
2014-11-21,5.95
2014-11-24,5.95
2014-11-25,5.85
2014-11-26,5.85
2014-11-27,5.75
2014-11-28,5.95
2014-12-01,5.8
2014-12-02,5.5
2014-12-03,5.35
2014-12-04,5.35
2014-12-05,5.5
2014-12-08,5.4
2014-12-09,5.1
2014-12-10,5.0
2014-12-11,5.05
2014-12-12,4.85
2014-12-15,4.6
2014-12-16,4.25
2014-12-17,4.25
2014-12-18,4.35
2014-12-19,4.4
2014-12-22,4.45
2014-12-23,4.35
2014-12-24,4.15
2014-12-26,4.15
2014-12-29,4.25
2014-12-30,4.2
2014-12-31,4.2
