Date,NAKODA
2014-01-01,12.75
2014-01-02,12.55
2014-01-03,12.7
2014-01-06,12.4
2014-01-07,12.25
2014-01-08,12.3
2014-01-09,12.25
2014-01-10,12.15
2014-01-13,11.95
2014-01-14,12.3
2014-01-15,12.15
2014-01-16,11.8
2014-01-17,11.15
2014-01-20,10.95
2014-01-21,11.15
2014-01-22,11.7
2014-01-23,11.25
2014-01-24,11.7
2014-01-27,11.15
2014-01-28,10.6
2014-01-29,10.5
2014-01-30,10.4
2014-01-31,10.1
2014-02-03,10.25
2014-02-04,9.85
2014-02-05,10.2
2014-02-06,9.95
2014-02-07,10.05
2014-02-10,10.0
2014-02-11,9.9
2014-02-12,9.95
2014-02-13,9.9
2014-02-14,9.8
2014-02-17,9.85
2014-02-18,10.0
2014-02-19,10.0
2014-02-20,9.95
2014-02-21,9.95
2014-02-24,9.9
2014-02-25,9.9
2014-02-26,10.0
2014-02-28,11.15
2014-03-03,10.9
2014-03-04,10.75
2014-03-05,10.5
2014-03-06,10.3
2014-03-07,10.25
2014-03-10,9.95
2014-03-11,9.9
2014-03-12,10.15
2014-03-13,9.95
2014-03-14,10.1
2014-03-18,9.8
2014-03-19,10.05
2014-03-20,10.1
2014-03-21,9.8
2014-03-22,9.8
2014-03-24,10.35
2014-03-25,10.7
2014-03-26,9.95
2014-03-27,10.3
2014-03-28,10.8
2014-03-31,10.8
2014-04-01,10.8
2014-04-02,10.6
2014-04-03,10.75
2014-04-04,10.4
2014-04-07,10.65
2014-04-09,10.65
2014-04-10,10.5
2014-04-11,10.7
2014-04-15,10.55
2014-04-16,10.45
2014-04-17,10.35
2014-04-21,10.6
2014-04-22,10.45
2014-04-23,10.35
2014-04-25,10.1
2014-04-28,10.35
2014-04-29,10.15
2014-04-30,10.15
2014-05-02,10.25
2014-05-05,9.95
2014-05-06,9.8
2014-05-07,9.65
2014-05-08,9.35
2014-05-09,9.5
2014-05-12,9.2
2014-05-13,9.25
2014-05-14,9.3
2014-05-15,9.1
2014-05-16,9.15
2014-05-19,9.4
2014-05-20,9.95
2014-05-21,10.35
2014-05-22,10.95
2014-05-23,10.45
2014-05-26,10.05
2014-05-27,9.85
2014-05-28,9.9
2014-05-29,9.7
2014-05-30,9.6
2014-06-02,9.65
2014-06-03,9.5
2014-06-04,9.7
2014-06-05,10.05
2014-06-06,10.5
2014-06-09,10.7
2014-06-10,11.15
2014-06-11,11.45
2014-06-12,11.05
2014-06-13,10.2
2014-06-16,10.0
2014-06-17,10.2
2014-06-18,9.95
2014-06-19,9.9
2014-06-20,9.9
2014-06-23,9.8
2014-06-24,9.95
2014-06-25,9.75
2014-06-26,9.7
2014-06-27,9.5
2014-06-30,9.45
2014-07-01,8.95
2014-07-02,9.0
2014-07-03,8.65
2014-07-04,8.95
2014-07-07,8.9
2014-07-08,8.45
2014-07-09,7.55
2014-07-10,6.7
2014-07-11,7.0
2014-07-14,7.05
2014-07-15,7.0
2014-07-16,6.8
2014-07-17,6.7
2014-07-18,6.15
2014-07-21,5.65
2014-07-22,5.1
2014-07-23,4.6
2014-07-24,4.9
2014-07-25,5.35
2014-07-28,5.85
2014-07-30,6.4
2014-07-31,6.1
2014-08-01,6.2
2014-08-04,6.45
2014-08-05,6.65
2014-08-06,6.6
2014-08-07,6.4
2014-08-08,6.35
2014-08-11,6.1
2014-08-12,6.0
2014-08-13,5.7
2014-08-14,5.45
2014-08-18,5.2
2014-08-19,4.95
2014-08-20,4.75
2014-08-21,4.75
2014-08-22,4.55
2014-08-25,4.75
2014-08-26,4.9
2014-08-27,4.85
2014-08-28,4.95
2014-09-01,4.8
2014-09-02,4.65
2014-09-03,4.45
2014-09-04,4.25
2014-09-05,4.1
2014-09-08,3.9
2014-09-09,3.75
2014-09-10,3.6
2014-09-11,3.45
2014-09-12,3.3
2014-09-15,3.45
2014-09-16,3.55
2014-09-17,3.7
2014-09-18,3.85
2014-09-19,4.0
2014-09-22,4.2
2014-09-23,4.4
2014-09-24,4.25
2014-09-25,4.05
2014-09-26,3.85
2014-09-29,3.7
2014-09-30,3.7
2014-10-01,3.6
2014-10-07,3.5
2014-10-08,3.35
2014-10-09,3.45
2014-10-10,3.3
2014-10-13,3.35
2014-10-14,3.35
2014-10-16,3.25
2014-10-17,3.25
2014-10-20,3.1
2014-10-21,2.95
2014-10-22,2.85
2014-10-23,2.75
2014-10-27,2.85
2014-10-28,2.95
2014-10-29,3.05
2014-10-30,3.2
2014-10-31,3.35
2014-11-03,3.5
2014-11-05,3.65
2014-11-07,3.5
2014-11-10,3.35
2014-11-11,3.2
2014-11-12,3.05
2014-11-13,2.9
2014-11-14,2.85
2014-11-17,2.75
2014-11-18,2.65
2014-11-19,2.55
2014-11-20,2.45
2014-11-21,2.35
2014-11-24,2.45
2014-11-25,2.55
2014-11-26,2.65
2014-11-27,2.75
2014-11-28,2.8
2014-12-01,2.85
2014-12-02,2.75
2014-12-03,2.65
2014-12-04,2.55
2014-12-05,2.45
2014-12-08,2.35
2014-12-09,2.25
2014-12-10,2.2
2014-12-11,2.2
2014-12-12,2.2
2014-12-15,2.1
2014-12-16,2.05
2014-12-17,2.0
2014-12-18,2.1
2014-12-19,2.2
2014-12-22,2.3
2014-12-23,2.35
2014-12-24,2.3
2014-12-26,2.2
2014-12-29,2.15
2014-12-30,2.1
2014-12-31,2.1
