Date,BANKBEES
2014-01-01,1152.99
2014-01-02,1130.88
2014-01-03,1131.12
2014-01-06,1113.24
2014-01-07,1111.11
2014-01-08,1116.83
2014-01-09,1106.76
2014-01-10,1090.82
2014-01-13,1112.55
2014-01-14,1106.26
2014-01-15,1122.16
2014-01-16,1124.41
2014-01-17,1109.91
2014-01-20,1113.67
2014-01-21,1126.54
2014-01-22,1135.33
2014-01-23,1134.14
2014-01-24,1112.09
2014-01-27,1068.92
2014-01-28,1068.17
2014-01-29,1063.59
2014-01-30,1032.2
2014-01-31,1039.56
2014-02-03,1024.0
2014-02-04,1038.02
2014-02-05,1033.37
2014-02-06,1033.63
2014-02-07,1033.5
2014-02-10,1033.25
2014-02-11,1033.04
2014-02-12,1043.26
2014-02-13,1027.71
2014-02-14,1031.23
2014-02-17,1041.11
2014-02-18,1070.65
2014-02-19,1075.11
2014-02-20,1057.31
2014-02-21,1065.85
2014-02-24,1073.66
2014-02-25,1077.09
2014-02-26,1082.75
2014-02-28,1087.02
2014-03-03,1077.19
2014-03-04,1105.86
2014-03-05,1125.25
2014-03-06,1141.13
2014-03-07,1198.08
2014-03-10,1211.35
2014-03-11,1209.28
2014-03-12,1205.22
2014-03-13,1215.9
2014-03-14,1206.44
2014-03-18,1223.66
2014-03-19,1217.2
2014-03-20,1207.87
2014-03-21,1229.15
2014-03-22,1229.72
2014-03-24,1242.32
2014-03-25,1247.62
2014-03-26,1252.47
2014-03-27,1258.93
2014-03-28,1270.16
2014-03-31,1267.81
2014-04-01,1252.15
2014-04-02,1272.34
2014-04-03,1258.05
2014-04-04,1257.27
2014-04-07,1252.58
2014-04-09,1293.15
2014-04-10,1291.67
2014-04-11,1286.6
2014-04-15,1262.53
2014-04-16,1257.48
2014-04-17,1283.22
2014-04-21,1297.23
2014-04-22,1298.89
2014-04-23,1309.31
2014-04-25,1308.11
2014-04-28,1312.91
2014-04-29,1305.38
2014-04-30,1303.2
2014-05-02,1290.32
2014-05-05,1295.24
2014-05-06,1304.32
2014-05-07,1290.93
2014-05-08,1308.56
2014-05-09,1379.4
2014-05-12,1411.43
2014-05-13,1416.9
2014-05-14,1427.48
2014-05-15,1423.14
2014-05-16,1483.23
2014-05-19,1526.26
2014-05-20,1525.48
2014-05-21,1502.26
2014-05-22,1517.61
2014-05-23,1532.24
2014-05-26,1516.89
2014-05-27,1509.97
2014-05-28,1510.83
2014-05-29,1504.51
2014-05-30,1481.86
2014-06-02,1528.82
2014-06-03,1522.56
2014-06-04,1532.01
2014-06-05,1539.02
2014-06-06,1555.65
2014-06-09,1566.12
2014-06-10,1550.44
2014-06-11,1545.57
2014-06-12,1548.59
2014-06-13,1531.14
2014-06-16,1523.04
2014-06-17,1552.17
2014-06-18,1541.25
2014-06-19,1528.38
2014-06-20,1523.01
2014-06-23,1524.92
2014-06-24,1547.73
2014-06-25,1545.52
2014-06-26,1562.81
2014-06-27,1567.17
2014-06-30,1617.66
2014-07-01,1562.25
2014-07-02,1570.78
2014-07-03,1561.37
2014-07-04,1569.32
2014-07-07,1550.31
2014-07-08,1515.07
2014-07-09,1500.02
2014-07-10,1511.96
2014-07-11,1468.14
2014-07-14,1470.17
2014-07-15,1499.8
2014-07-16,1537.94
2014-07-17,1538.63
2014-07-18,1551.01
2014-07-21,1546.25
2014-07-22,1549.15
2014-07-23,1566.49
2014-07-24,1561.25
2014-07-25,1552.41
2014-07-28,1546.27
2014-07-30,1552.04
2014-07-31,1539.86
2014-08-01,1526.7
2014-08-04,1541.94
2014-08-05,1538.72
2014-08-06,1521.68
2014-08-07,1523.08
2014-08-08,1488.8
2014-08-11,1499.42
2014-08-12,1513.44
2014-08-13,1500.95
2014-08-14,1521.78
2014-08-18,1551.92
2014-08-19,1563.54
2014-08-20,1562.69
2014-08-21,1575.6
2014-08-22,1592.76
2014-08-25,1577.45
2014-08-26,1573.96
2014-08-27,1584.1
2014-08-28,1589.26
2014-09-01,1614.89
2014-09-02,1626.85
2014-09-03,1623.88
2014-09-04,1619.7
2014-09-05,1609.86
2014-09-08,1631.15
2014-09-09,1631.15
2014-09-10,1631.0
2014-09-11,1636.16
2014-09-12,1641.16
2014-09-15,1631.06
2014-09-16,1600.28
2014-09-17,1597.85
2014-09-18,1625.83
2014-09-19,1626.64
2014-09-22,1631.42
2014-09-23,1604.64
2014-09-24,1590.38
2014-09-25,1546.67
2014-09-26,1585.49
2014-09-29,1566.39
2014-09-30,1553.14
2014-10-01,1554.95
2014-10-07,1556.0
2014-10-08,1547.63
2014-10-09,1586.02
2014-10-10,1561.95
2014-10-13,1584.82
2014-10-14,1585.93
2014-10-16,1563.29
2014-10-17,1608.18
2014-10-20,1629.07
2014-10-21,1649.66
2014-10-22,1652.59
2014-10-23,1657.54
2014-10-27,1672.97
2014-10-28,1679.79
2014-10-29,1680.31
2014-10-30,1685.18
2014-10-31,1724.91
2014-11-03,1757.72
2014-11-05,1756.42
2014-11-07,1747.28
2014-11-10,1740.0
2014-11-11,1760.11
2014-11-12,1772.15
2014-11-13,1757.52
2014-11-14,1779.96
2014-11-17,1782.77
2014-11-18,1785.98
2014-11-19,1778.53
2014-11-20,1783.29
2014-11-21,1834.13
2014-11-24,1856.19
2014-11-25,1823.45
2014-11-26,1819.69
2014-11-27,1815.48
2014-11-28,1870.19
2014-12-01,1877.79
2014-12-02,1871.81
2014-12-03,1885.43
2014-12-04,1901.57
2014-12-05,1901.87
2014-12-08,1876.44
2014-12-09,1847.88
2014-12-10,1868.96
2014-12-11,1852.26
2014-12-12,1843.96
2014-12-15,1866.29
2014-12-16,1808.07
2014-12-17,1808.67
2014-12-18,1853.23
2014-12-19,1861.96
2014-12-22,1887.38
2014-12-23,1879.66
2014-12-24,1890.17
2014-12-26,1877.73
2014-12-29,1875.42
2014-12-30,1888.66
2014-12-31,1898.46
