Date,JAICORPLTD
2014-01-01,76.35
2014-01-02,72.1
2014-01-03,73.6
2014-01-06,76.95
2014-01-07,74.9
2014-01-08,76.9
2014-01-09,74.0
2014-01-10,75.8
2014-01-13,74.85
2014-01-14,73.5
2014-01-15,73.15
2014-01-16,71.45
2014-01-17,67.65
2014-01-20,68.5
2014-01-21,67.5
2014-01-22,68.7
2014-01-23,69.55
2014-01-24,67.7
2014-01-27,62.5
2014-01-28,62.35
2014-01-29,61.65
2014-01-30,62.45
2014-01-31,63.6
2014-02-03,61.45
2014-02-04,62.6
2014-02-05,65.0
2014-02-06,63.65
2014-02-07,63.5
2014-02-10,63.05
2014-02-11,62.75
2014-02-12,62.25
2014-02-13,61.05
2014-02-14,59.65
2014-02-17,58.5
2014-02-18,59.4
2014-02-19,61.4
2014-02-20,59.8
2014-02-21,59.55
2014-02-24,60.0
2014-02-25,61.95
2014-02-26,60.75
2014-02-28,62.15
2014-03-03,62.15
2014-03-04,62.6
2014-03-05,62.65
2014-03-06,70.3
2014-03-07,68.45
2014-03-10,70.8
2014-03-11,69.8
2014-03-12,69.55
2014-03-13,67.6
2014-03-14,66.0
2014-03-18,66.65
2014-03-19,66.3
2014-03-20,64.95
2014-03-21,66.45
2014-03-22,67.05
2014-03-24,67.25
2014-03-25,65.95
2014-03-26,67.45
2014-03-27,69.0
2014-03-28,69.9
2014-03-31,69.5
2014-04-01,72.1
2014-04-02,75.25
2014-04-03,73.2
2014-04-04,74.45
2014-04-07,72.8
2014-04-09,76.7
2014-04-10,76.45
2014-04-11,76.5
2014-04-15,74.3
2014-04-16,71.7
2014-04-17,72.55
2014-04-21,73.6
2014-04-22,73.05
2014-04-23,72.3
2014-04-25,71.8
2014-04-28,70.95
2014-04-29,74.45
2014-04-30,69.45
2014-05-02,68.85
2014-05-05,67.85
2014-05-06,67.65
2014-05-07,67.6
2014-05-08,67.1
2014-05-09,67.2
2014-05-12,68.3
2014-05-13,71.1
2014-05-14,73.4
2014-05-15,70.55
2014-05-16,73.05
2014-05-19,84.7
2014-05-20,85.95
2014-05-21,90.15
2014-05-22,89.95
2014-05-23,90.25
2014-05-26,84.45
2014-05-27,82.95
2014-05-28,86.2
2014-05-29,84.25
2014-05-30,91.2
2014-06-02,94.9
2014-06-03,94.1
2014-06-04,95.9
2014-06-05,98.45
2014-06-06,97.45
2014-06-09,100.9
2014-06-10,101.05
2014-06-11,111.05
2014-06-12,109.7
2014-06-13,101.75
2014-06-16,100.25
2014-06-17,106.5
2014-06-18,103.85
2014-06-19,105.0
2014-06-20,100.45
2014-06-23,99.15
2014-06-24,102.65
2014-06-25,102.15
2014-06-26,104.15
2014-06-27,105.85
2014-06-30,107.3
2014-07-01,106.6
2014-07-02,109.4
2014-07-03,105.95
2014-07-04,105.9
2014-07-07,112.55
2014-07-08,104.25
2014-07-09,110.6
2014-07-10,108.65
2014-07-11,100.05
2014-07-14,101.1
2014-07-15,104.55
2014-07-16,107.25
2014-07-17,106.15
2014-07-18,103.8
2014-07-21,104.0
2014-07-22,106.0
2014-07-23,104.25
2014-07-24,106.0
2014-07-25,101.7
2014-07-28,96.6
2014-07-30,95.65
2014-07-31,95.05
2014-08-01,92.8
2014-08-04,92.55
2014-08-05,95.75
2014-08-06,98.0
2014-08-07,97.45
2014-08-08,92.8
2014-08-11,93.3
2014-08-12,93.75
2014-08-13,85.9
2014-08-14,89.2
2014-08-18,93.2
2014-08-19,95.0
2014-08-20,97.0
2014-08-21,96.3
2014-08-22,95.8
2014-08-25,95.05
2014-08-26,94.3
2014-08-27,98.7
2014-08-28,97.15
2014-09-01,101.15
2014-09-02,103.25
2014-09-03,100.85
2014-09-04,96.2
2014-09-05,95.75
2014-09-08,101.75
2014-09-09,102.55
2014-09-10,109.15
2014-09-11,108.1
2014-09-12,106.75
2014-09-15,103.6
2014-09-16,94.8
2014-09-17,94.85
2014-09-18,100.05
2014-09-19,99.2
2014-09-22,97.8
2014-09-23,93.3
2014-09-24,91.1
2014-09-25,87.9
2014-09-26,88.9
2014-09-29,89.15
2014-09-30,88.6
2014-10-01,86.5
2014-10-07,84.75
2014-10-08,84.8
2014-10-09,89.15
2014-10-10,84.75
2014-10-13,85.35
2014-10-14,85.05
2014-10-16,81.75
2014-10-17,81.5
2014-10-20,82.9
2014-10-21,84.25
2014-10-22,87.7
2014-10-23,87.0
2014-10-27,88.2
2014-10-28,92.05
2014-10-29,93.55
2014-10-30,92.65
2014-10-31,94.3
2014-11-03,94.8
2014-11-05,94.8
2014-11-07,91.7
2014-11-10,90.8
2014-11-11,90.85
2014-11-12,90.7
2014-11-13,89.0
2014-11-14,89.1
2014-11-17,89.6
2014-11-18,91.5
2014-11-19,88.75
2014-11-20,87.15
2014-11-21,87.65
2014-11-24,89.75
2014-11-25,84.6
2014-11-26,84.4
2014-11-27,84.75
2014-11-28,84.75
2014-12-01,82.05
2014-12-02,82.55
2014-12-03,84.7
2014-12-04,84.05
2014-12-05,83.75
2014-12-08,85.55
2014-12-09,82.35
2014-12-10,82.45
2014-12-11,80.8
2014-12-12,76.15
2014-12-15,74.55
2014-12-16,68.15
2014-12-17,64.95
2014-12-18,70.55
2014-12-19,68.2
2014-12-22,70.5
2014-12-23,68.1
2014-12-24,71.1
2014-12-26,71.0
2014-12-29,72.3
2014-12-30,78.6
2014-12-31,76.6
