Date,TREEHOUSE
2014-01-01,242.4
2014-01-02,242.65
2014-01-03,239.55
2014-01-06,239.65
2014-01-07,242.05
2014-01-08,242.0
2014-01-09,239.55
2014-01-10,239.6
2014-01-13,239.5
2014-01-14,238.1
2014-01-15,240.25
2014-01-16,243.4
2014-01-17,238.9
2014-01-20,239.7
2014-01-21,236.1
2014-01-22,235.55
2014-01-23,234.05
2014-01-24,235.25
2014-01-27,228.65
2014-01-28,229.75
2014-01-29,228.55
2014-01-30,230.1
2014-01-31,229.75
2014-02-03,229.15
2014-02-04,225.1
2014-02-05,225.7
2014-02-06,224.85
2014-02-07,224.65
2014-02-10,224.2
2014-02-11,224.65
2014-02-12,224.4
2014-02-13,224.25
2014-02-14,219.95
2014-02-17,217.35
2014-02-18,227.95
2014-02-19,225.0
2014-02-20,232.2
2014-02-21,229.7
2014-02-24,225.6
2014-02-25,232.5
2014-02-26,230.4
2014-02-28,226.05
2014-03-03,226.3
2014-03-04,225.95
2014-03-05,223.95
2014-03-06,220.65
2014-03-07,217.45
2014-03-10,220.75
2014-03-11,220.35
2014-03-12,219.95
2014-03-13,221.55
2014-03-14,222.8
2014-03-18,219.1
2014-03-19,232.8
2014-03-20,238.35
2014-03-21,238.65
2014-03-22,240.1
2014-03-24,242.8
2014-03-25,246.45
2014-03-26,248.45
2014-03-27,251.2
2014-03-28,252.2
2014-03-31,258.0
2014-04-01,266.45
2014-04-02,274.85
2014-04-03,278.5
2014-04-04,273.05
2014-04-07,280.35
2014-04-09,288.4
2014-04-10,289.4
2014-04-11,284.55
2014-04-15,278.3
2014-04-16,280.4
2014-04-17,296.15
2014-04-21,306.05
2014-04-22,319.8
2014-04-23,319.15
2014-04-25,309.7
2014-04-28,324.35
2014-04-29,320.9
2014-04-30,322.45
2014-05-02,324.35
2014-05-05,318.1
2014-05-06,317.25
2014-05-07,309.65
2014-05-08,289.75
2014-05-09,283.15
2014-05-12,290.9
2014-05-13,301.65
2014-05-14,306.2
2014-05-15,299.7
2014-05-16,292.15
2014-05-19,309.85
2014-05-20,308.1
2014-05-21,313.5
2014-05-22,309.65
2014-05-23,325.75
2014-05-26,338.9
2014-05-27,339.9
2014-05-28,333.9
2014-05-29,343.05
2014-05-30,344.0
2014-06-02,368.55
2014-06-03,359.4
2014-06-04,363.1
2014-06-05,364.4
2014-06-06,366.2
2014-06-09,358.3
2014-06-10,356.3
2014-06-11,357.15
2014-06-12,363.9
2014-06-13,351.85
2014-06-16,339.55
2014-06-17,333.95
2014-06-18,318.65
2014-06-19,324.4
2014-06-20,319.95
2014-06-23,317.75
2014-06-24,318.75
2014-06-25,317.75
2014-06-26,316.7
2014-06-27,313.8
2014-06-30,320.15
2014-07-01,343.9
2014-07-02,365.4
2014-07-03,364.9
2014-07-04,391.3
2014-07-07,385.8
2014-07-08,371.35
2014-07-09,360.3
2014-07-10,363.3
2014-07-11,359.85
2014-07-14,357.4
2014-07-15,359.35
2014-07-16,368.05
2014-07-17,366.65
2014-07-18,359.4
2014-07-21,362.25
2014-07-22,359.6
2014-07-23,359.8
2014-07-24,359.7
2014-07-25,358.45
2014-07-28,354.15
2014-07-30,355.9
2014-07-31,349.5
2014-08-01,347.8
2014-08-04,352.55
2014-08-05,376.2
2014-08-06,378.65
2014-08-07,389.6
2014-08-08,374.7
2014-08-11,388.25
2014-08-12,392.85
2014-08-13,379.05
2014-08-14,376.25
2014-08-18,379.7
2014-08-19,379.5
2014-08-20,378.4
2014-08-21,376.2
2014-08-22,389.15
2014-08-25,383.15
2014-08-26,378.8
2014-08-27,386.8
2014-08-28,392.4
2014-09-01,398.8
2014-09-02,403.15
2014-09-03,401.45
2014-09-04,413.55
2014-09-05,415.15
2014-09-08,419.65
2014-09-09,427.75
2014-09-10,425.6
2014-09-11,432.55
2014-09-12,442.25
2014-09-15,462.55
2014-09-16,447.85
2014-09-17,440.3
2014-09-18,453.55
2014-09-19,485.25
2014-09-22,481.55
2014-09-23,476.1
2014-09-24,483.7
2014-09-25,469.3
2014-09-26,470.65
2014-09-29,485.95
2014-09-30,491.9
2014-10-01,489.4
2014-10-07,489.9
2014-10-08,502.0
2014-10-09,505.9
2014-10-10,503.9
2014-10-13,512.5
2014-10-14,501.85
2014-10-16,495.7
2014-10-17,484.7
2014-10-20,479.75
2014-10-21,467.6
2014-10-22,466.8
2014-10-23,477.15
2014-10-27,466.2
2014-10-28,468.35
2014-10-29,449.25
2014-10-30,447.45
2014-10-31,444.0
2014-11-03,440.0
2014-11-05,444.85
2014-11-07,444.9
2014-11-10,440.0
2014-11-11,437.4
2014-11-12,437.6
2014-11-13,434.9
2014-11-14,432.35
2014-11-17,444.7
2014-11-18,447.65
2014-11-19,433.55
2014-11-20,433.65
2014-11-21,429.35
2014-11-24,424.8
2014-11-25,432.3
2014-11-26,428.45
2014-11-27,460.35
2014-11-28,453.3
2014-12-01,457.0
2014-12-02,449.0
2014-12-03,451.65
2014-12-04,458.85
2014-12-05,454.75
2014-12-08,455.5
2014-12-09,457.05
2014-12-10,457.5
2014-12-11,458.95
2014-12-12,455.5
2014-12-15,462.1
2014-12-16,450.8
2014-12-17,431.05
2014-12-18,438.25
2014-12-19,443.55
2014-12-22,438.7
2014-12-23,438.05
2014-12-24,443.15
2014-12-26,439.2
2014-12-29,435.95
2014-12-30,435.9
2014-12-31,444.9
