Date,POLYPLEX
2014-01-01,159.1
2014-01-02,155.3
2014-01-03,155.6
2014-01-06,152.6
2014-01-07,153.2
2014-01-08,153.95
2014-01-09,153.75
2014-01-10,151.75
2014-01-13,153.45
2014-01-14,151.95
2014-01-15,152.85
2014-01-16,151.6
2014-01-17,150.05
2014-01-20,148.65
2014-01-21,149.15
2014-01-22,147.6
2014-01-23,146.3
2014-01-24,143.55
2014-01-27,141.05
2014-01-28,140.55
2014-01-29,144.1
2014-01-30,139.35
2014-01-31,142.75
2014-02-03,140.2
2014-02-04,138.5
2014-02-05,140.65
2014-02-06,139.2
2014-02-07,141.6
2014-02-10,143.05
2014-02-11,140.1
2014-02-12,140.7
2014-02-13,136.65
2014-02-14,131.9
2014-02-17,126.95
2014-02-18,130.8
2014-02-19,132.05
2014-02-20,130.9
2014-02-21,131.15
2014-02-24,131.15
2014-02-25,130.0
2014-02-26,130.0
2014-02-28,133.6
2014-03-03,132.8
2014-03-04,133.15
2014-03-05,134.05
2014-03-06,138.55
2014-03-07,141.0
2014-03-10,142.7
2014-03-11,142.2
2014-03-12,140.35
2014-03-13,138.75
2014-03-14,136.45
2014-03-18,134.45
2014-03-19,133.2
2014-03-20,133.1
2014-03-21,132.95
2014-03-22,133.0
2014-03-24,133.3
2014-03-25,132.05
2014-03-26,135.0
2014-03-27,139.45
2014-03-28,153.75
2014-03-31,154.15
2014-04-01,150.2
2014-04-02,152.75
2014-04-03,149.45
2014-04-04,156.9
2014-04-07,156.95
2014-04-09,157.65
2014-04-10,155.6
2014-04-11,161.6
2014-04-15,158.45
2014-04-16,155.8
2014-04-17,164.1
2014-04-21,165.35
2014-04-22,165.0
2014-04-23,165.0
2014-04-25,163.1
2014-04-28,165.4
2014-04-29,162.7
2014-04-30,159.95
2014-05-02,167.8
2014-05-05,162.2
2014-05-06,158.9
2014-05-07,157.25
2014-05-08,152.2
2014-05-09,152.55
2014-05-12,150.9
2014-05-13,151.05
2014-05-14,153.35
2014-05-15,151.0
2014-05-16,151.0
2014-05-19,164.35
2014-05-20,173.05
2014-05-21,175.9
2014-05-22,180.0
2014-05-23,190.7
2014-05-26,185.1
2014-05-27,185.1
2014-05-28,180.0
2014-05-29,181.1
2014-05-30,176.0
2014-06-02,196.05
2014-06-03,196.3
2014-06-04,193.05
2014-06-05,202.75
2014-06-06,201.5
2014-06-09,207.75
2014-06-10,205.35
2014-06-11,204.3
2014-06-12,202.75
2014-06-13,194.2
2014-06-16,193.95
2014-06-17,196.6
2014-06-18,190.15
2014-06-19,190.2
2014-06-20,188.05
2014-06-23,189.5
2014-06-24,190.75
2014-06-25,184.45
2014-06-26,181.5
2014-06-27,191.15
2014-06-30,190.25
2014-07-01,200.8
2014-07-02,200.05
2014-07-03,195.6
2014-07-04,196.8
2014-07-07,193.75
2014-07-08,185.65
2014-07-09,185.75
2014-07-10,200.1
2014-07-11,197.75
2014-07-14,192.9
2014-07-15,192.55
2014-07-16,193.0
2014-07-17,195.2
2014-07-18,199.1
2014-07-21,205.05
2014-07-22,200.8
2014-07-23,225.7
2014-07-24,226.05
2014-07-25,214.0
2014-07-28,208.55
2014-07-30,204.75
2014-07-31,210.7
2014-08-01,210.15
2014-08-04,212.25
2014-08-05,211.75
2014-08-06,215.25
2014-08-07,212.85
2014-08-08,209.1
2014-08-11,212.6
2014-08-12,214.0
2014-08-13,209.5
2014-08-14,216.9
2014-08-18,254.9
2014-08-19,260.6
2014-08-20,258.5
2014-08-21,262.75
2014-08-22,261.95
2014-08-25,265.55
2014-08-26,262.7
2014-08-27,260.1
2014-08-28,254.6
2014-09-01,260.4
2014-09-02,267.2
2014-09-03,263.85
2014-09-04,259.85
2014-09-05,259.9
2014-09-08,260.05
2014-09-09,278.25
2014-09-10,291.15
2014-09-11,300.85
2014-09-12,308.15
2014-09-15,314.2
2014-09-16,289.15
2014-09-17,286.8
2014-09-18,296.55
2014-09-19,294.55
2014-09-22,290.8
2014-09-23,277.35
2014-09-24,264.85
2014-09-25,254.8
2014-09-26,254.1
2014-09-29,258.9
2014-09-30,252.75
2014-10-01,251.75
2014-10-07,249.4
2014-10-08,244.5
2014-10-09,248.3
2014-10-10,258.05
2014-10-13,259.5
2014-10-14,258.9
2014-10-16,245.15
2014-10-17,239.8
2014-10-20,237.9
2014-10-21,236.75
2014-10-22,238.45
2014-10-23,243.55
2014-10-27,242.15
2014-10-28,250.15
2014-10-29,253.2
2014-10-30,252.1
2014-10-31,256.5
2014-11-03,254.7
2014-11-05,256.35
2014-11-07,255.45
2014-11-10,255.0
2014-11-11,265.1
2014-11-12,263.6
2014-11-13,264.2
2014-11-14,262.15
2014-11-17,237.15
2014-11-18,238.35
2014-11-19,232.0
2014-11-20,231.1
2014-11-21,226.75
2014-11-24,221.2
2014-11-25,219.15
2014-11-26,223.95
2014-11-27,231.1
2014-11-28,231.2
2014-12-01,226.85
2014-12-02,223.55
2014-12-03,224.8
2014-12-04,229.75
2014-12-05,233.45
2014-12-08,228.5
2014-12-09,223.7
2014-12-10,222.1
2014-12-11,218.25
2014-12-12,215.05
2014-12-15,212.0
2014-12-16,200.55
2014-12-17,202.35
2014-12-18,209.7
2014-12-19,214.9
2014-12-22,219.0
2014-12-23,217.05
2014-12-24,217.3
2014-12-26,215.35
2014-12-29,211.9
2014-12-30,211.3
2014-12-31,214.45
